Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
25,1,+0:00,,9.0,Zberg Markus,1,Rabobank ProTeam,4:57:06 4:57:06,+0:00,\u25b28,2,2000
29,2,+0:00,,1.0,Wesemann Steffen,2,Team Telekom,",, ,,",+0:05,\u25bc1,2,2000
26,3,+0:02,,20.0,Rodriguez Fred,3,Mapei - Quickstep,0:02 0:02,+-1:55,\u25b217,2,2000
35,4,+0:03,,2.0,Heppner Jens,4,Team Telekom,0:03 0:03,+0:08,\u25bc2,2,2000
26,5,+0:03,,7.0,Ullrich Jan,5,Team Telekom,",, 0:03",+0:08,\u25b22,2,2000
27,6,+0:06,,,Teutenberg Sven,6,Gerolsteiner,0:06 0:06,+1590:16,-,2,2000
33,7,+0:07,,5.0,Bolts Udo,7,Team Telekom,0:07 0:07,+0:12,\u25bc2,2,2000
26,8,+0:07,,3.0,Vinokourov Alexandre,8,Team Telekom,",, 0:07",+0:12,\u25bc5,2,2000
30,9,+0:07,,4.0,Guerini Giuseppe,9,Team Telekom,",, 0:07",+0:12,\u25bc5,2,2000
27,10,+0:08,,15.0,Aebersold Niki,10,Rabobank ProTeam,0:08 0:08,+0:08,\u25b25,2,2000
23,11,+0:11,,,Hunter Robert,11,Lampre - Daikin,0:11 0:11,+1590:21,-,2,2000
31,12,+0:12,,8.0,Aldag Rolf,12,Team Telekom,0:12 0:12,+0:13,\u25bc4,2,2000
35,13,+0:12,,19.0,Peeters Wilfried,13,Mapei - Quickstep,",, 0:12",+0:05,\u25b26,2,2000
30,14,+0:12,,16.0,Bartoli Michele,14,Mapei - Quickstep,",, 0:12",+0:05,\u25b22,2,2000
31,15,+0:12,,17.0,Zanini Stefano,15,Mapei - Quickstep,",, 0:12",+0:05,\u25b22,2,2000
35,16,+0:12,,14.0,S\xf8rensen Rolf,16,Rabobank ProTeam,",, 0:12",+0:12,\u25bc2,2,2000
28,17,+0:12,,10.0,Boogerd Michael,17,Rabobank ProTeam,",, 0:12",+0:12,\u25bc7,2,2000
24,18,+0:12,,12.0,Niermann Grischa,18,Rabobank ProTeam,",, 0:12",+0:12,\u25bc6,2,2000
31,19,+0:12,,11.0,Wauters Marc,19,Rabobank ProTeam,",, 0:12",+0:12,\u25bc8,2,2000
31,20,+0:12,,13.0,den Bakker Maarten,20,Rabobank ProTeam,",, 0:12",+0:12,\u25bc7,2,2000
28,1,+0:00,,17.0,Boogerd Michael,1,Rabobank ProTeam,9:20:22 9:20:22,+0:00,\u25b216,3,2000
23,2,+0:10,,,Strauss Marcel,2,,0:10 0:10,+297:28,-,3,2000
26,3,+0:18,,,Mazzoleni Eddy,3,Saeco,0:18 0:18,+297:36,-,3,2000
25,4,+0:22,,1.0,Zberg Markus,4,Rabobank ProTeam,0:22 0:22,+0:34,\u25bc3,3,2000
29,5,+0:22,,2.0,Wesemann Steffen,5,Team Telekom,",, 0:22",+0:34,\u25bc3,3,2000
