Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,GC,GC-Time,Time,year,stage
26,28.0,\u25b22,214,Felline Fabio,24,Trek Factory Racing,97.0,+57:13,56:03 56:03,2014,9
27,22.0,\u25bc5,36,Colbrelli Sonny,24,Bardiani - CSF Pro Team,103.0,+58:20,57:10 57:10,2014,9
28,33.0,\u25b25,117,Van der Sande Tosh,23,Lotto Belisol,105.0,+58:42,57:32 57:32,2014,9
29,38.0,\u25b29,37,Barbin Enrico,24,Bardiani - CSF Pro Team,111.0,+1:02:54,1:01:44 1:01:44,2014,9
30,31.0,\u25b21,53,Eijssen Yannick,24,BMC Racing Team,113.0,+1:03:40,1:02:30 1:02:30,2014,9
31,26.0,\u25bc5,152,Durbridge Luke,23,Orica GreenEDGE,114.0,+1:03:41,1:02:31 1:02:31,2014,9
32,29.0,\u25bc3,66,Moser Moreno,23,Cannondale,127.0,+1:10:05,1:08:55 1:08:55,2014,9
33,30.0,\u25bc3,39,Zardini Edoardo,24,Bardiani - CSF Pro Team,128.0,+1:10:39,1:09:29 1:09:29,2014,9
34,32.0,\u25bc2,163,Tulik Angelo,23,Team Europcar,131.0,+1:12:38,1:11:28 1:11:28,2014,9
35,37.0,\u25b22,208,McCarthy Jay,21,Tinkoff - Saxo,132.0,+1:13:27,1:12:17 1:12:17,2014,9
36,35.0,\u25bc1,12,Appollonio Davide,24,AG2R La Mondiale,145.0,+1:21:37,1:20:27 1:20:27,2014,9
37,36.0,\u25bc1,33,Boem Nicola,24,Bardiani - CSF Pro Team,148.0,+1:22:33,1:21:23 1:21:23,2014,9
38,41.0,\u25b23,202,Juul-Jensen Christopher,24,Tinkoff - Saxo,152.0,+1:23:47,1:22:37 1:22:37,2014,9
39,39.0,-,216,Nizzolo Giacomo,25,Trek Factory Racing,153.0,+1:24:07,1:22:57 1:22:57,2014,9
40,40.0,-,67,Ratto Daniele,24,Cannondale,154.0,+1:24:24,1:23:14 1:23:14,2014,9
41,42.0,\u25b21,69,Viviani Elia,25,Cannondale,158.0,+1:26:03,1:24:53 1:24:53,2014,9
42,43.0,\u25b21,81,Bouhanni Nacer,23,FDJ.fr,159.0,+1:26:18,1:25:08 1:25:08,2014,9
43,47.0,\u25b24,96,Haas Nathan,25,Garmin Sharp,161.0,+1:27:08,1:25:58 1:25:58,2014,9
44,34.0,\u25bc10,73,Avila Edwin,24,Team Colombia,,+ - 38:49:34,1:26:13 1:26:13,2014,9
45,44.0,\u25bc1,78,Romero Jeffry,24,Team Colombia,166.0,+1:28:28,1:27:18 1:27:18,2014,9
46,45.0,\u25bc1,136,Fedi Andrea,22,Neri Sottoli,169.0,+1:29:16,1:28:06 1:28:06,2014,9
47,46.0,\u25bc1,212,Alafaci Eugenio,23,Trek Factory Racing,170.0,+1:29:42,1:28:32 1:28:32,2014,9
48,48.0,-,63,Koch Michel,22,Cannondale,174.0,+1:34:30,1:33:20 1:33:20,2014,9
49,49.0,-,38,Ruffoni Nicola,23,Bardiani - CSF Pro Team,176.0,+1:41:25,1:40:15 1:40:15,2014,9
50,50.0,-,153,Hepburn Michael,22,Orica GreenEDGE,178.0,+1:47:13,1:46:03 1:46:03,2014,9
51,51.0,-,83,Courteille Arnaud,25,FDJ.fr,179.0,+1:48:54,1:47:44 1:47:44,2014,9
52,52.0,-,42,Bol Jetse,24,Belkin-Pro Cycling Team,182.0,+1:52:32,1:51:22 1:51:22,2014,9
1,1.0,-,203,Majka Rafa\u0142,24,Tinkoff - Saxo,3.0,+1:10,42:51:57 42:51:57,2014,10
2,2.0,-,3,Aru Fabio,23,Astana Pro Team,6.0,+1:39,0:29 0:29,2014,10
3,3.0,-,109,Ulissi Diego,24,Lampre - Merida,7.0,+1:43,0:33 0:33,2014,10
4,4.0,-,41,Kelderman Wilco,23,Belkin-Pro Cycling Team,8.0,+1:44,0:34 0:34,2014,10
5,5.0,-,121,Quintana Nairo,24,Movistar Team,9.0,+1:45,0:35 0:35,2014,10
6,6.0,-,176,Preidler Georg,23,Team Giant - Shimano,31.0,+11:43,10:33 10:33,2014,10
7,7.0,-,174,Ludvigsson Tobias,23,Team Giant - Shimano,36.0,+14:09,12:59 12:59,2014,10
8,8.0,-,205,Poljanski Pawel,24,Tinkoff - Saxo,40.0,+17:41,16:31 16:31,2014,10
9,10.0,\u25b21,107,Polanc Jan,22,Lampre - Merida,44.0,+23:15,22:05 22:05,2014,10
10,9.0,\u25bc1,7,Landa Mikel,24,Astana Pro Team,48.0,+25:42,24:32 24:32,2014,10
11,11.0,-,195,Henao Sebasti\xe1n,20,Team Sky,50.0,+27:38,26:28 26:28,2014,10
12,12.0,-,28,Rosa Diego,25,Androni Giocattoli - Venezuela,53.0,+32:49,31:39 31:39,2014,10
13,14.0,\u25b21,44,Goos Marc,23,Belkin-Pro Cycling Team,57.0,+34:59,33:49 33:49,2014,10
14,13.0,\u25bc1,34,Bongiorno Francesco Manuel,23,Bardiani - CSF Pro Team,61.0,+37:46,36:36 36:36,2014,10
15,15.0,-,32,Battaglin Enrico,24,Bardiani - CSF Pro Team,65.0,+38:41,37:31 37:31,2014,10
16,18.0,\u25b22,138,Monsalve Yonathan,24,Neri Sottoli,68.0,+41:05,39:55 39:55,2014,10
17,16.0,\u25bc1,86,Le Bon Johan,23,FDJ.fr,69.0,+42:34,41:24 41:24,2014,10
18,17.0,\u25bc1,24,Godoy Yonder,21,Androni Giocattoli - Venezuela,70.0,+44:01,42:51 42:51,2014,10
19,20.0,\u25b21,15,Domont Axel,23,AG2R La Mondiale,72.0,+44:47,43:37 43:37,2014,10
20,19.0,\u25bc1,197,Puccio Salvatore,24,Team Sky,74.0,+46:11,45:01 45:01,2014,10
21,22.0,\u25b21,118,Wellens Tim,23,Lotto Belisol,84.0,+50:59,49:49 49:49,2014,10
22,23.0,\u25b21,149,Vermote Julien,24,Omega Pharma - Quick-Step,85.0,+51:40,50:30 50:30,2014,10
23,21.0,\u25bc2,103,Cattaneo Mattia,23,Lampre - Merida,86.0,+52:04,50:54 50:54,2014,10
24,24.0,-,98,van Baarle Dylan,21,Garmin Sharp,90.0,+55:33,54:23 54:23,2014,10
25,25.0,-,155,Matthews Michael,23,Orica GreenEDGE,91.0,+55:48,54:38 54:38,2014,10
26,26.0,-,214,Felline Fabio,24,Trek Factory Racing,92.0,+57:13,56:03 56:03,2014,10
27,27.0,-,36,Colbrelli Sonny,24,Bardiani - CSF Pro Team,95.0,+58:20,57:10 57:10,2014,10
28,28.0,-,117,Van der Sande Tosh,23,Lotto Belisol,96.0,+58:42,57:32 57:32,2014,10
29,29.0,-,37,Barbin Enrico,24,Bardiani - CSF Pro Team,109.0,+1:02:54,1:01:44 1:01:44,2014,10
30,31.0,\u25b21,152,Durbridge Luke,23,Orica GreenEDGE,122.0,+1:10:39,1:09:29 1:09:29,2014,10
31,34.0,\u25b23,163,Tulik Angelo,23,Team Europcar,125.0,+1:12:38,1:11:28 1:11:28,2014,10
32,35.0,\u25b23,208,McCarthy Jay,21,Tinkoff - Saxo,128.0,+1:13:27,1:12:17 1:12:17,2014,10
33,33.0,-,39,Zardini Edoardo,24,Bardiani - CSF Pro Team,130.0,+1:14:01,1:12:51 1:12:51,2014,10
34,32.0,\u25bc2,66,Moser Moreno,23,Cannondale,132.0,+1:14:43,1:13:33 1:13:33,2014,10
35,36.0,\u25b21,12,Appollonio Davide,24,AG2R La Mondiale,140.0,+1:21:37,1:20:27 1:20:27,2014,10
36,39.0,\u25b23,216,Nizzolo Giacomo,25,Trek Factory Racing,146.0,+1:24:01,1:22:51 1:22:51,2014,10
37,41.0,\u25b24,69,Viviani Elia,25,Cannondale,151.0,+1:26:02,1:24:52 1:24:52,2014,10
38,42.0,\u25b24,81,Bouhanni Nacer,23,FDJ.fr,152.0,+1:26:08,1:24:58 1:24:58,2014,10
39,43.0,\u25b24,96,Haas Nathan,25,Garmin Sharp,155.0,+1:27:08,1:25:58 1:25:58,2014,10
40,40.0,-,67,Ratto Daniele,24,Cannondale,159.0,+1:27:56,1:26:46 1:26:46,2014,10
41,37.0,\u25bc4,33,Boem Nicola,24,Bardiani - CSF Pro Team,160.0,+1:28:26,1:27:16 1:27:16,2014,10
42,38.0,\u25bc4,202,Juul-Jensen Christopher,24,Tinkoff - Saxo,163.0,+1:29:40,1:28:30 1:28:30,2014,10
43,45.0,\u25b22,78,Romero Jeffry,24,Team Colombia,170.0,+1:31:50,1:30:40 1:30:40,2014,10
44,47.0,\u25b23,212,Alafaci Eugenio,23,Trek Factory Racing,171.0,+1:33:04,1:31:54 1:31:54,2014,10
45,46.0,\u25b21,136,Fedi Andrea,22,Neri Sottoli,172.0,+1:37:19,1:36:09 1:36:09,2014,10
46,48.0,\u25b22,63,Koch Michel,22,Cannondale,173.0,+1:39:08,1:37:58 1:37:58,2014,10
47,49.0,\u25b22,38,Ruffoni Nicola,23,Bardiani - CSF Pro Team,174.0,+1:41:25,1:40:15 1:40:15,2014,10
48,50.0,\u25b22,153,Hepburn Michael,22,Orica GreenEDGE,178.0,+1:51:39,1:50:29 1:50:29,2014,10
49,52.0,\u25b23,42,Bol Jetse,24,Belkin-Pro Cycling Team,179.0,+1:55:54,1:54:44 1:54:44,2014,10
50,51.0,\u25b21,83,Courteille Arnaud,25,FDJ.fr,180.0,+1:56:37,1:55:27 1:55:27,2014,10
1,1.0,-,203,Majka Rafa\u0142,24,Tinkoff - Saxo,3.0,+1:10,48:40:14 48:40:14,2014,11
2,2.0,-,3,Aru Fabio,23,Astana Pro Team,6.0,+1:39,0:29 0:29,2014,11
3,4.0,\u25b21,41,Kelderman Wilco,23,Belkin-Pro Cycling Team,7.0,+1:44,0:34 0:34,2014,11
4,5.0,\u25b21,121,Quintana Nairo,24,Movistar Team,8.0,+1:45,0:35 0:35,2014,11
5,3.0,\u25bc2,109,Ulissi Diego,24,Lampre - Merida,21.0,+6:04,4:54 4:54,2014,11
6,6.0,-,176,Preidler Georg,23,Team Giant - Shimano,27.0,+11:43,10:33 10:33,2014,11
7,8.0,\u25b21,205,Poljanski Pawel,24,Tinkoff - Saxo,36.0,+25:13,24:03 24:03,2014,11
8,10.0,\u25b22,7,Landa Mikel,24,Astana Pro Team,37.0,+25:42,24:32 24:32,2014,11
9,9.0,-,107,Polanc Jan,22,Lampre - Merida,39.0,+27:33,26:23 26:23,2014,11
10,11.0,\u25b21,195,Henao Sebasti\xe1n,20,Team Sky,40.0,+27:38,26:28 26:28,2014,11
11,7.0,\u25bc4,174,Ludvigsson Tobias,23,Team Giant - Shimano,45.0,+28:43,27:33 27:33,2014,11
12,15.0,\u25b23,32,Battaglin Enrico,24,Bardiani - CSF Pro Team,51.0,+38:37,37:27 37:27,2014,11
13,13.0,-,44,Goos Marc,23,Belkin-Pro Cycling Team,53.0,+39:06,37:56 37:56,2014,11
14,12.0,\u25bc2,28,Rosa Diego,25,Androni Giocattoli - Venezuela,61.0,+47:23,46:13 46:13,2014,11
15,14.0,\u25bc1,34,Bongiorno Francesco Manuel,23,Bardiani - CSF Pro Team,65.0,+52:20,51:10 51:10,2014,11
16,16.0,-,138,Monsalve Yonathan,24,Neri Sottoli,72.0,+55:39,54:29 54:29,2014,11
17,18.0,\u25b21,24,Godoy Yonder,21,Androni Giocattoli - Venezuela,74.0,+58:35,57:25 57:25,2014,11
18,19.0,\u25b21,15,Domont Axel,23,AG2R La Mondiale,77.0,+59:21,58:11 58:11,2014,11
19,17.0,\u25bc2,86,Le Bon Johan,23,FDJ.fr,79.0,+1:00:38,59:28 59:28,2014,11
20,20.0,-,197,Puccio Salvatore,24,Team Sky,87.0,+1:04:15,1:03:05 1:03:05,2014,11
21,21.0,-,118,Wellens Tim,23,Lotto Belisol,90.0,+1:09:03,1:07:53 1:07:53,2014,11
22,22.0,-,149,Vermote Julien,24,Omega Pharma - Quick-Step,92.0,+1:09:44,1:08:34 1:08:34,2014,11
23,23.0,-,103,Cattaneo Mattia,23,Lampre - Merida,94.0,+1:10:08,1:08:58 1:08:58,2014,11
24,26.0,\u25b22,214,Felline Fabio,24,Trek Factory Racing,95.0,+1:11:47,1:10:37 1:10:37,2014,11
25,27.0,\u25b22,36,Colbrelli Sonny,24,Bardiani - CSF Pro Team,97.0,+1:12:54,1:11:44 1:11:44,2014,11
26,28.0,\u25b22,117,Van der Sande Tosh,23,Lotto Belisol,99.0,+1:13:16,1:12:06 1:12:06,2014,11
27,24.0,\u25bc3,98,van Baarle Dylan,22,Garmin Sharp,100.0,+1:13:37,1:12:27 1:12:27,2014,11
28,34.0,\u25b26,66,Moser Moreno,23,Cannondale,102.0,+1:14:43,1:13:33 1:13:33,2014,11
29,33.0,\u25b24,39,Zardini Edoardo,24,Bardiani - CSF Pro Team,103.0,+1:14:50,1:13:40 1:13:40,2014,11
30,29.0,\u25bc1,37,Barbin Enrico,24,Bardiani - CSF Pro Team,114.0,+1:20:55,1:19:45 1:19:45,2014,11
31,31.0,-,163,Tulik Angelo,23,Team Europcar,122.0,+1:27:12,1:26:02 1:26:02,2014,11
32,32.0,-,208,McCarthy Jay,21,Tinkoff - Saxo,125.0,+1:28:01,1:26:51 1:26:51,2014,11
33,36.0,\u25b23,216,Nizzolo Giacomo,25,Trek Factory Racing,145.0,+1:42:05,1:40:55 1:40:55,2014,11
34,37.0,\u25b23,69,Viviani Elia,25,Cannondale,147.0,+1:44:06,1:42:56 1:42:56,2014,11
35,38.0,\u25b23,81,Bouhanni Nacer,23,FDJ.fr,148.0,+1:44:12,1:43:02 1:43:02,2014,11
36,42.0,\u25b26,202,Juul-Jensen Christopher,24,Tinkoff - Saxo,149.0,+1:44:14,1:43:04 1:43:04,2014,11
37,39.0,\u25b22,96,Haas Nathan,25,Garmin Sharp,152.0,+1:45:12,1:44:02 1:44:02,2014,11
38,40.0,\u25b22,67,Ratto Daniele,24,Cannondale,156.0,+1:46:00,1:44:50 1:44:50,2014,11
39,41.0,\u25b22,33,Boem Nicola,24,Bardiani - CSF Pro Team,157.0,+1:46:30,1:45:20 1:45:20,2014,11
40,43.0,\u25b23,78,Romero Jeffry,24,Team Colombia,166.0,+1:49:54,1:48:44 1:48:44,2014,11
41,44.0,\u25b23,212,Alafaci Eugenio,23,Trek Factory Racing,167.0,+1:51:08,1:49:58 1:49:58,2014,11
42,45.0,\u25b23,136,Fedi Andrea,22,Neri Sottoli,168.0,+1:55:23,1:54:13 1:54:13,2014,11
43,46.0,\u25b23,63,Koch Michel,22,Cannondale,169.0,+1:57:12,1:56:02 1:56:02,2014,11
44,48.0,\u25b24,153,Hepburn Michael,22,Orica GreenEDGE,173.0,+2:09:43,2:08:33 2:08:33,2014,11
45,49.0,\u25b24,42,Bol Jetse,24,Belkin-Pro Cycling Team,174.0,+2:13:58,2:12:48 2:12:48,2014,11
46,50.0,\u25b24,83,Courteille Arnaud,25,FDJ.fr,175.0,+2:14:41,2:13:31 2:13:31,2014,11
1,1.0,-,203,Majka Rafa\u0142,24,Tinkoff - Saxo,3.0,+1:52,49:39:27 49:39:27,2014,12
2,3.0,\u25b21,41,Kelderman Wilco,23,Belkin-Pro Cycling Team,5.0,+2:50,0:58 0:58,2014,12
3,4.0,\u25b21,121,Quintana Nairo,24,Movistar Team,6.0,+3:29,1:37 1:37,2014,12
4,2.0,\u25bc2,3,Aru Fabio,23,Astana Pro Team,7.0,+3:37,1:45 1:45,2014,12
5,5.0,-,109,Ulissi Diego,24,Lampre - Merida,14.0,+6:24,4:32 4:32,2014,12
6,6.0,-,176,Preidler Georg,23,Team Giant - Shimano,27.0,+14:17,12:25 12:25,2014,12
7,7.0,-,205,Poljanski Pawel,24,Tinkoff - Saxo,35.0,+30:03,28:11 28:11,2014,12
8,8.0,-,7,Landa Mikel,24,Astana Pro Team,36.0,+31:25,29:33 29:33,2014,12
9,10.0,\u25b21,195,Henao Sebasti\xe1n,20,Team Sky,38.0,+32:10,30:18 30:18,2014,12
10,9.0,\u25bc1,107,Polanc Jan,22,Lampre - Merida,40.0,+32:34,30:42 30:42,2014,12
11,13.0,\u25b22,44,Goos Marc,23,Belkin-Pro Cycling Team,49.0,+44:12,42:20 42:20,2014,12
12,12.0,-,32,Battaglin Enrico,24,Bardiani - CSF Pro Team,51.0,+44:52,43:00 43:00,2014,12
13,14.0,\u25b21,28,Rosa Diego,25,Androni Giocattoli - Venezuela,58.0,+53:22,51:30 51:30,2014,12
14,15.0,\u25b21,34,Bongiorno Francesco Manuel,23,Bardiani - CSF Pro Team,65.0,+59:03,57:11 57:11,2014,12
15,16.0,\u25b21,138,Monsalve Yonathan,24,Neri Sottoli,72.0,+1:03:50,1:01:58 1:01:58,2014,12
16,19.0,\u25b23,86,Le Bon Johan,23,FDJ.fr,73.0,+1:04:18,1:02:26 1:02:26,2014,12
17,18.0,\u25b21,15,Domont Axel,23,AG2R La Mondiale,75.0,+1:04:50,1:02:58 1:02:58,2014,12
18,17.0,\u25bc1,24,Godoy Yonder,21,Androni Giocattoli - Venezuela,77.0,+1:07:22,1:05:30 1:05:30,2014,12
19,20.0,\u25b21,197,Puccio Salvatore,24,Team Sky,86.0,+1:11:43,1:09:51 1:09:51,2014,12
20,23.0,\u25b23,103,Cattaneo Mattia,23,Lampre - Merida,87.0,+1:12:54,1:11:02 1:11:02,2014,12
21,21.0,-,118,Wellens Tim,23,Lotto Belisol,89.0,+1:15:42,1:13:50 1:13:50,2014,12
22,27.0,\u25b25,98,van Baarle Dylan,22,Garmin Sharp,91.0,+1:16:55,1:15:03 1:15:03,2014,12
23,22.0,\u25bc1,149,Vermote Julien,24,Omega Pharma - Quick-Step,94.0,+1:18:46,1:16:54 1:16:54,2014,12
24,24.0,-,214,Felline Fabio,24,Trek Factory Racing,95.0,+1:19:12,1:17:20 1:17:20,2014,12
25,25.0,-,36,Colbrelli Sonny,24,Bardiani - CSF Pro Team,97.0,+1:19:42,1:17:50 1:17:50,2014,12
26,26.0,-,117,Van der Sande Tosh,23,Lotto Belisol,99.0,+1:20:29,1:18:37 1:18:37,2014,12
27,29.0,\u25b22,39,Zardini Edoardo,24,Bardiani - CSF Pro Team,103.0,+1:21:11,1:19:19 1:19:19,2014,12
28,28.0,-,66,Moser Moreno,23,Cannondale,104.0,+1:21:36,1:19:44 1:19:44,2014,12
29,30.0,\u25b21,37,Barbin Enrico,24,Bardiani - CSF Pro Team,115.0,+1:29:34,1:27:42 1:27:42,2014,12
30,32.0,\u25b22,208,McCarthy Jay,21,Tinkoff - Saxo,120.0,+1:33:10,1:31:18 1:31:18,2014,12
31,31.0,-,163,Tulik Angelo,23,Team Europcar,124.0,+1:34:31,1:32:39 1:32:39,2014,12
32,37.0,\u25b25,96,Haas Nathan,25,Garmin Sharp,145.0,+1:50:01,1:48:09 1:48:09,2014,12
33,36.0,\u25b23,202,Juul-Jensen Christopher,24,Tinkoff - Saxo,147.0,+1:51:14,1:49:22 1:49:22,2014,12
34,33.0,\u25bc1,216,Nizzolo Giacomo,25,Trek Factory Racing,148.0,+1:51:18,1:49:26 1:49:26,2014,12
35,39.0,\u25b24,33,Boem Nicola,24,Bardiani - CSF Pro Team,149.0,+1:51:50,1:49:58 1:49:58,2014,12
36,34.0,\u25bc2,69,Viviani Elia,25,Cannondale,152.0,+1:52:43,1:50:51 1:50:51,2014,12
37,38.0,\u25b21,67,Ratto Daniele,24,Cannondale,155.0,+1:53:30,1:51:38 1:51:38,2014,12
38,35.0,\u25bc3,81,Bouhanni Nacer,23,FDJ.fr,161.0,+1:56:11,1:54:19 1:54:19,2014,12
39,41.0,\u25b22,212,Alafaci Eugenio,23,Trek Factory Racing,163.0,+1:57:11,1:55:19 1:55:19,2014,12
40,40.0,-,78,Romero Jeffry,24,Team Colombia,165.0,+2:01:29,1:59:37 1:59:37,2014,12
41,43.0,\u25b22,63,Koch Michel,22,Cannondale,166.0,+2:01:49,1:59:57 1:59:57,2014,12
42,42.0,-,136,Fedi Andrea,22,Neri Sottoli,167.0,+2:02:26,2:00:34 2:00:34,2014,12
43,44.0,\u25b21,153,Hepburn Michael,22,Orica GreenEDGE,171.0,+2:16:52,2:15:00 2:15:00,2014,12
44,45.0,\u25b21,42,Bol Jetse,24,Belkin-Pro Cycling Team,172.0,+2:21:31,2:19:39 2:19:39,2014,12
45,46.0,\u25b21,83,Courteille Arnaud,25,FDJ.fr,173.0,+2:22:15,2:20:23 2:20:23,2014,12
1,1.0,-,203,Majka Rafa\u0142,24,Tinkoff - Saxo,3.0,+1:52,53:16:58 53:16:58,2014,13
2,2.0,-,41,Kelderman Wilco,23,Belkin-Pro Cycling Team,5.0,+2:50,0:58 0:58,2014,13
3,3.0,-,121,Quintana Nairo,24,Movistar Team,6.0,+3:29,1:37 1:37,2014,13
4,4.0,-,3,Aru Fabio,23,Astana Pro Team,7.0,+3:37,1:45 1:45,2014,13
5,5.0,-,109,Ulissi Diego,24,Lampre - Merida,14.0,+6:24,4:32 4:32,2014,13
6,6.0,-,176,Preidler Georg,23,Team Giant - Shimano,27.0,+14:17,12:25 12:25,2014,13
7,7.0,-,205,Poljanski Pawel,24,Tinkoff - Saxo,35.0,+30:03,28:11 28:11,2014,13
8,9.0,\u25b21,195,Henao Sebasti\xe1n,20,Team Sky,37.0,+32:10,30:18 30:18,2014,13
9,10.0,\u25b21,107,Polanc Jan,22,Lampre - Merida,39.0,+32:34,30:42 30:42,2014,13
10,8.0,\u25bc2,7,Landa Mikel,24,Astana Pro Team,44.0,+37:45,35:53 35:53,2014,13
11,11.0,-,44,Goos Marc,23,Belkin-Pro Cycling Team,49.0,+44:12,42:20 42:20,2014,13
12,12.0,-,32,Battaglin Enrico,24,Bardiani - CSF Pro Team,50.0,+44:52,43:00 43:00,2014,13
13,13.0,-,28,Rosa Diego,25,Androni Giocattoli - Venezuela,60.0,+56:56,55:04 55:04,2014,13
14,14.0,-,34,Bongiorno Francesco Manuel,23,Bardiani - CSF Pro Team,65.0,+1:01:05,59:13 59:13,2014,13
15,15.0,-,138,Monsalve Yonathan,24,Neri Sottoli,70.0,+1:03:50,1:01:58 1:01:58,2014,13
16,17.0,\u25b21,15,Domont Axel,23,AG2R La Mondiale,73.0,+1:04:50,1:02:58 1:02:58,2014,13
17,16.0,\u25bc1,86,Le Bon Johan,23,FDJ.fr,74.0,+1:05:01,1:03:09 1:03:09,2014,13
18,18.0,-,24,Godoy Yonder,21,Androni Giocattoli - Venezuela,77.0,+1:08:40,1:06:48 1:06:48,2014,13
19,19.0,-,197,Puccio Salvatore,24,Team Sky,85.0,+1:12:48,1:10:56 1:10:56,2014,13
20,20.0,-,103,Cattaneo Mattia,23,Lampre - Merida,87.0,+1:14:56,1:13:04 1:13:04,2014,13
21,21.0,-,118,Wellens Tim,23,Lotto Belisol,89.0,+1:15:42,1:13:50 1:13:50,2014,13
22,22.0,-,98,van Baarle Dylan,22,Garmin Sharp,91.0,+1:18:13,1:16:21 1:16:21,2014,13
23,23.0,-,149,Vermote Julien,24,Omega Pharma - Quick-Step,92.0,+1:19:13,1:17:21 1:17:21,2014,13
24,25.0,\u25b21,36,Colbrelli Sonny,24,Bardiani - CSF Pro Team,94.0,+1:19:42,1:17:50 1:17:50,2014,13
25,24.0,\u25bc1,214,Felline Fabio,24,Trek Factory Racing,95.0,+1:20:13,1:18:21 1:18:21,2014,13
26,26.0,-,117,Van der Sande Tosh,23,Lotto Belisol,96.0,+1:20:29,1:18:37 1:18:37,2014,13
27,27.0,-,39,Zardini Edoardo,24,Bardiani - CSF Pro Team,102.0,+1:22:48,1:20:56 1:20:56,2014,13
28,28.0,-,66,Moser Moreno,23,Cannondale,110.0,+1:28:02,1:26:10 1:26:10,2014,13
29,30.0,\u25b21,208,McCarthy Jay,21,Tinkoff - Saxo,118.0,+1:33:10,1:31:18 1:31:18,2014,13
30,31.0,\u25b21,163,Tulik Angelo,23,Team Europcar,122.0,+1:34:15,1:32:23 1:32:23,2014,13
31,29.0,\u25bc2,37,Barbin Enrico,24,Bardiani - CSF Pro Team,126.0,+1:35:54,1:34:02 1:34:02,2014,13
32,34.0,\u25b22,216,Nizzolo Giacomo,25,Trek Factory Racing,146.0,+1:51:18,1:49:26 1:49:26,2014,13
33,32.0,\u25bc1,96,Haas Nathan,25,Garmin Sharp,147.0,+1:51:19,1:49:27 1:49:27,2014,13
34,36.0,\u25b22,69,Viviani Elia,25,Cannondale,150.0,+1:52:43,1:50:51 1:50:51,2014,13
35,35.0,-,33,Boem Nicola,24,Bardiani - CSF Pro Team,153.0,+1:53:17,1:51:25 1:51:25,2014,13
36,33.0,\u25bc3,202,Juul-Jensen Christopher,24,Tinkoff - Saxo,154.0,+1:53:37,1:51:45 1:51:45,2014,13
37,37.0,-,67,Ratto Daniele,24,Cannondale,155.0,+1:53:50,1:51:58 1:51:58,2014,13
38,38.0,-,81,Bouhanni Nacer,23,FDJ.fr,159.0,+1:56:11,1:54:19 1:54:19,2014,13
39,39.0,-,212,Alafaci Eugenio,23,Trek Factory Racing,161.0,+1:59:22,1:57:30 1:57:30,2014,13
40,40.0,-,78,Romero Jeffry,24,Team Colombia,165.0,+2:01:56,2:00:04 2:00:04,2014,13
41,42.0,\u25b21,136,Fedi Andrea,22,Neri Sottoli,166.0,+2:02:26,2:00:34 2:00:34,2014,13
42,41.0,\u25bc1,63,Koch Michel,22,Cannondale,167.0,+2:03:51,2:01:59 2:01:59,2014,13
43,43.0,-,153,Hepburn Michael,22,Orica GreenEDGE,171.0,+2:18:17,2:16:25 2:16:25,2014,13
44,45.0,\u25b21,83,Courteille Arnaud,25,FDJ.fr,173.0,+2:27:22,2:25:30 2:25:30,2014,13
45,44.0,\u25bc1,42,Bol Jetse,24,Belkin-Pro Cycling Team,174.0,+2:28:00,2:26:08 2:26:08,2014,13
1,1.0,-,203,Majka Rafa\u0142,24,Tinkoff - Saxo,3.0,+1:35,57:54:26 57:54:26,2014,14
2,2.0,-,41,Kelderman Wilco,23,Belkin-Pro Cycling Team,5.0,+2:33,0:58 0:58,2014,14
3,3.0,-,121,Quintana Nairo,24,Movistar Team,6.0,+3:04,1:29 1:29,2014,14
4,4.0,-,3,Aru Fabio,23,Astana Pro Team,7.0,+3:16,1:41 1:41,2014,14
5,5.0,-,109,Ulissi Diego,24,Lampre - Merida,14.0,+7:21,5:46 5:46,2014,14
6,6.0,-,176,Preidler Georg,23,Team Giant - Shimano,26.0,+17:51,16:16 16:16,2014,14
7,9.0,\u25b22,107,Polanc Jan,22,Lampre - Merida,31.0,+29:47,28:12 28:12,2014,14
8,8.0,-,195,Henao Sebasti\xe1n,20,Team Sky,36.0,+34:00,32:25 32:25,2014,14
9,10.0,\u25b21,7,Landa Mikel,24,Astana Pro Team,39.0,+38:17,36:42 36:42,2014,14
10,7.0,\u25bc3,205,Poljanski Pawel,24,Tinkoff - Saxo,41.0,+40:10,38:35 38:35,2014,14
11,12.0,\u25b21,32,Battaglin Enrico,24,Bardiani - CSF Pro Team,42.0,+41:36,40:01 40:01,2014,14
12,11.0,\u25bc1,44,Goos Marc,23,Belkin-Pro Cycling Team,46.0,+47:46,46:11 46:11,2014,14
13,15.0,\u25b22,138,Monsalve Yonathan,24,Neri Sottoli,57.0,+1:02:32,1:00:57 1:00:57,2014,14
14,16.0,\u25b22,15,Domont Axel,23,AG2R La Mondiale,60.0,+1:04:50,1:03:15 1:03:15,2014,14
15,14.0,\u25bc1,34,Bongiorno Francesco Manuel,23,Bardiani - CSF Pro Team,64.0,+1:06:25,1:04:50 1:04:50,2014,14
16,20.0,\u25b24,103,Cattaneo Mattia,23,Lampre - Merida,69.0,+1:12:25,1:10:50 1:10:50,2014,14
17,13.0,\u25bc4,28,Rosa Diego,25,Androni Giocattoli - Venezuela,71.0,+1:13:16,1:11:41 1:11:41,2014,14
