Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,GC,GC-Time,Time,year,stage
14,10.0,\u25bc4,195,Henao Sebasti\xe1n,20,Team Sky,50.0,+6:15,6:15 6:15,2014,6
15,15.0,-,152,Durbridge Luke,23,Orica GreenEDGE,56.0,+7:49,7:49 7:49,2014,6
16,11.0,\u25bc5,36,Colbrelli Sonny,23,Bardiani - CSF Pro Team,59.0,+9:29,9:29 9:29,2014,6
17,28.0,\u25b211,86,Le Bon Johan,23,FDJ.fr,63.0,+10:50,10:50 10:50,2014,6
18,26.0,\u25b28,138,Monsalve Yonathan,24,Neri Sottoli,65.0,+12:02,12:02 12:02,2014,6
19,30.0,\u25b211,15,Domont Axel,23,AG2R La Mondiale,67.0,+12:43,12:43 12:43,2014,6
20,27.0,\u25b27,24,Godoy Yonder,21,Androni Giocattoli - Venezuela,68.0,+12:52,12:52 12:52,2014,6
21,18.0,\u25bc3,107,Polanc Jan,22,Lampre - Merida,75.0,+15:02,15:02 15:02,2014,6
22,20.0,\u25bc2,53,Eijssen Yannick,24,BMC Racing Team,77.0,+15:30,15:30 15:30,2014,6
23,41.0,\u25b218,98,van Baarle Dylan,21,Garmin Sharp,88.0,+17:12,17:12 17:12,2014,6
24,21.0,\u25bc3,39,Zardini Edoardo,24,Bardiani - CSF Pro Team,89.0,+17:15,17:15 17:15,2014,6
25,13.0,\u25bc12,66,Moser Moreno,23,Cannondale,94.0,+17:51,17:51 17:51,2014,6
26,16.0,\u25bc10,197,Puccio Salvatore,24,Team Sky,98.0,+18:29,18:29 18:29,2014,6
27,32.0,\u25b25,149,Vermote Julien,24,Omega Pharma - Quick-Step,100.0,+18:44,18:44 18:44,2014,6
28,49.0,\u25b221,44,Goos Marc,23,Belkin-Pro Cycling Team,102.0,+19:20,19:20 19:20,2014,6
29,34.0,\u25b25,78,Romero Jeffry,24,Team Colombia,105.0,+19:40,19:40 19:40,2014,6
30,23.0,\u25bc7,214,Felline Fabio,24,Trek Factory Racing,117.0,+21:47,21:47 21:47,2014,6
31,24.0,\u25bc7,7,Landa Mikel,24,Astana Pro Team,120.0,+22:21,22:21 22:21,2014,6
32,29.0,\u25bc3,103,Cattaneo Mattia,23,Lampre - Merida,127.0,+23:56,23:56 23:56,2014,6
33,31.0,\u25bc2,63,Koch Michel,22,Cannondale,134.0,+25:42,25:42 25:42,2014,6
34,42.0,\u25b28,12,Appollonio Davide,24,AG2R La Mondiale,135.0,+25:44,25:44 25:44,2014,6
35,46.0,\u25b211,73,Avila Edwin,24,Team Colombia,136.0,+25:52,25:52 25:52,2014,6
36,33.0,\u25bc3,163,Tulik Angelo,23,Team Europcar,139.0,+26:18,26:18 26:18,2014,6
37,39.0,\u25b22,202,Juul-Jensen Christopher,24,Tinkoff - Saxo,140.0,+26:40,26:40 26:40,2014,6
38,45.0,\u25b27,33,Boem Nicola,24,Bardiani - CSF Pro Team,141.0,+27:24,27:24 27:24,2014,6
39,35.0,\u25bc4,117,Van der Sande Tosh,23,Lotto Belisol,143.0,+27:35,27:35 27:35,2014,6
40,36.0,\u25bc4,208,McCarthy Jay,21,Tinkoff - Saxo,145.0,+27:51,27:51 27:51,2014,6
41,25.0,\u25bc16,37,Barbin Enrico,24,Bardiani - CSF Pro Team,149.0,+28:47,28:47 28:47,2014,6
42,37.0,\u25bc5,216,Nizzolo Giacomo,25,Trek Factory Racing,151.0,+29:02,29:02 29:02,2014,6
43,38.0,\u25bc5,67,Ratto Daniele,24,Cannondale,152.0,+29:13,29:13 29:13,2014,6
44,40.0,\u25bc4,69,Viviani Elia,25,Cannondale,159.0,+30:52,30:52 30:52,2014,6
45,43.0,\u25bc2,38,Ruffoni Nicola,23,Bardiani - CSF Pro Team,160.0,+31:12,31:12 31:12,2014,6
46,44.0,\u25bc2,81,Bouhanni Nacer,23,FDJ.fr,161.0,+31:17,31:17 31:17,2014,6
47,47.0,-,212,Alafaci Eugenio,23,Trek Factory Racing,163.0,+31:34,31:34 31:34,2014,6
48,48.0,-,136,Fedi Andrea,22,Neri Sottoli,165.0,+31:53,31:53 31:53,2014,6
49,51.0,\u25b22,96,Haas Nathan,25,Garmin Sharp,182.0,+38:59,38:59 38:59,2014,6
50,52.0,\u25b22,42,Bol Jetse,24,Belkin-Pro Cycling Team,185.0,+43:44,43:44 43:44,2014,6
51,53.0,\u25b22,153,Hepburn Michael,22,Orica GreenEDGE,187.0,+47:21,47:21 47:21,2014,6
52,,-,83,Courteille Arnaud,25,FDJ.fr,188.0,+49:17,49:17 49:17,2014,6
53,,-,133,Carretero Ramon,23,Neri Sottoli,190.0,+1:04:39,1:04:39 1:04:39,2014,6
1,1.0,-,155,Matthews Michael,23,Orica GreenEDGE,1.0,+0:00,29:34:19 29:34:19,2014,7
2,2.0,-,203,Majka Rafa\u0142,24,Tinkoff - Saxo,4.0,+1:25,1:25 1:25,2014,7
3,3.0,-,3,Aru Fabio,23,Astana Pro Team,8.0,+1:51,1:51 1:51,2014,7
4,4.0,-,118,Wellens Tim,23,Lotto Belisol,9.0,+1:52,1:52 1:52,2014,7
5,5.0,-,121,Quintana Nairo,24,Movistar Team,11.0,+2:08,2:08 2:08,2014,7
6,6.0,-,41,Kelderman Wilco,23,Belkin-Pro Cycling Team,12.0,+2:11,2:11 2:11,2014,7
7,7.0,-,109,Ulissi Diego,24,Lampre - Merida,15.0,+2:22,2:22 2:22,2014,7
8,8.0,-,174,Ludvigsson Tobias,23,Team Giant - Shimano,21.0,+2:47,2:47 2:47,2014,7
9,9.0,-,176,Preidler Georg,23,Team Giant - Shimano,27.0,+3:14,3:14 3:14,2014,7
10,10.0,-,28,Rosa Diego,25,Androni Giocattoli - Venezuela,34.0,+3:45,3:45 3:45,2014,7
11,11.0,-,34,Bongiorno Francesco Manuel,23,Bardiani - CSF Pro Team,41.0,+5:00,5:00 5:00,2014,7
12,12.0,-,32,Battaglin Enrico,24,Bardiani - CSF Pro Team,45.0,+5:24,5:24 5:24,2014,7
13,13.0,-,205,Poljanski Pawel,24,Tinkoff - Saxo,48.0,+6:13,6:13 6:13,2014,7
14,14.0,-,195,Henao Sebasti\xe1n,20,Team Sky,49.0,+6:15,6:15 6:15,2014,7
15,15.0,-,152,Durbridge Luke,23,Orica GreenEDGE,53.0,+7:49,7:49 7:49,2014,7
16,16.0,-,36,Colbrelli Sonny,23,Bardiani - CSF Pro Team,57.0,+9:29,9:29 9:29,2014,7
17,17.0,-,86,Le Bon Johan,23,FDJ.fr,60.0,+10:50,10:50 10:50,2014,7
18,18.0,-,138,Monsalve Yonathan,24,Neri Sottoli,63.0,+12:02,12:02 12:02,2014,7
19,19.0,-,15,Domont Axel,23,AG2R La Mondiale,65.0,+12:43,12:43 12:43,2014,7
20,20.0,-,24,Godoy Yonder,21,Androni Giocattoli - Venezuela,66.0,+12:52,12:52 12:52,2014,7
21,21.0,-,107,Polanc Jan,22,Lampre - Merida,73.0,+15:02,15:02 15:02,2014,7
22,22.0,-,53,Eijssen Yannick,24,BMC Racing Team,75.0,+15:30,15:30 15:30,2014,7
23,23.0,-,98,van Baarle Dylan,21,Garmin Sharp,84.0,+17:12,17:12 17:12,2014,7
24,26.0,\u25b22,197,Puccio Salvatore,24,Team Sky,91.0,+18:29,18:29 18:29,2014,7
25,27.0,\u25b22,149,Vermote Julien,24,Omega Pharma - Quick-Step,93.0,+18:44,18:44 18:44,2014,7
26,28.0,\u25b22,44,Goos Marc,23,Belkin-Pro Cycling Team,96.0,+19:20,19:20 19:20,2014,7
