Age,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,Time won/lost,stage,year
25,1,+0:00,,Mayo Iban,1,Euskaltel - Euskadi,4:47:59 4:47:59,+0:00,1,2003
26,2,+0:05,,Millar David,2,Cofidis,0:05 0:05,+0:05,1,2003
27,3,+0:10,,McGee Bradley,3,Fdjeux.com,0:10 0:10,+0:10,1,2003
31,4,+0:11,,Armstrong Lance,4,US Postal Service,0:11 0:11,+0:11,1,2003
31,5,+0:14,,Lopez De Munain Alberto,5,Euskaltel - Euskadi,0:14 0:14,+0:14,1,2003
27,6,+0:15,,Mancebo Francisco,6,Ibanesto.com,0:15 0:15,+0:15,1,2003
29,7,+0:15,,Leipheimer Levi,7,Rabobank ProTeam,",, 0:15",+0:15,1,2003
27,8,+0:18,,Lastras Pablo,8,Ibanesto.com,0:18 0:18,+0:18,1,2003
32,9,+0:19,,Moreau Christophe,9,Cr\xe9dit Agricole,0:19 0:19,+0:19,1,2003
35,10,+0:24,,Brochard Laurent,10,AG2R Pr\xe9voyance,0:24 0:24,+0:24,1,2003
25,11,+0:25,,Menchov Denis,11,Ibanesto.com,0:25 0:25,+0:25,1,2003
28,12,+0:25,,Pe\xf1a Victor Hugo,12,US Postal Service,",, 0:25",+0:25,1,2003
25,13,+0:26,,Wielinga Remmert,13,Rabobank ProTeam,0:26 0:26,+0:26,1,2003
22,14,+0:28,,Karpets Vladimir,14,Ibanesto.com,0:28 0:28,+0:28,1,2003
28,15,+0:29,,Sastre Carlos,15,CSC ProTeam,0:29 0:29,+0:29,1,2003
28,16,+0:32,,Dessel Cyril,16,Phonak Hearing Systems,0:32 0:32,+0:32,1,2003
21,17,+0:32,,Vaugrenard Benoit,17,Fdjeux.com,",, 0:32",+0:32,1,2003
32,18,+0:36,,Rous Didier,18,Brioches La Boulang\xe8re,0:36 0:36,+0:36,1,2003
34,19,+0:37,,Dufaux Laurent,19,Alessio,0:37 0:37,+0:37,1,2003
23,20,+0:37,,Astarloza Mikel,20,AG2R Pr\xe9voyance,",, 0:37",+0:37,1,2003
29,21,+0:37,,Halgand Patrice,21,Jean Delatour,",, 0:37",+0:37,1,2003
26,22,+0:37,,Flores Iker,22,Euskaltel - Euskadi,",, 0:37",+0:37,1,2003
30,23,+0:38,,Chaurreau I\xf1igo,23,AG2R Pr\xe9voyance,0:38 0:38,+0:38,1,2003
35,24,+0:38,,Lelli Massimiliano,24,Cofidis,",, 0:38",+0:38,1,2003
33,25,+0:39,,Bouvard Gilles,25,Jean Delatour,0:39 0:39,+0:39,1,2003
30,26,+0:40,,Rubiera Jos\xe9 Luis,26,US Postal Service,0:40 0:40,+0:40,1,2003
32,27,+0:40,,Padrnos Pavel,27,US Postal Service,",, 0:40",+0:40,1,2003
28,28,+0:40,,Turpin Ludovic,28,AG2R Pr\xe9voyance,",, 0:40",+0:40,1,2003
24,29,+0:41,,Mercado Juan Miguel,29,Ibanesto.com,0:41 0:41,+0:41,1,2003
26,30,+0:41,,Lefevre Laurent,30,Jean Delatour,",, 0:41",+0:41,1,2003
29,31,+0:43,,Salmon Benoit,31,Phonak Hearing Systems,0:43 0:43,+0:43,1,2003
26,32,+0:44,,Calvente Corbas Manuel,32,CSC ProTeam,0:44 0:44,+0:44,1,2003
34,33,+0:44,,Garc\xeda Felix Manuel,33,,",, 0:44",+0:44,1,2003
22,34,+0:44,,Dumoulin Samuel,34,Jean Delatour,",, 0:44",+0:44,1,2003
32,35,+0:46,,Hamilton Tyler,35,CSC ProTeam,0:46 0:46,+0:46,1,2003
30,36,+0:47,,Luttenberger Peter,36,CSC ProTeam,0:47 0:47,+0:47,1,2003
