Rnk,Prev,\u25bc\u25b2,BIB,Team,GC,GC-Time,Time,year,stage
1,1,-,,BMC Racing Team,,+ -4:29:08,13:27:22 13:27:22,2017,2
2,2,-,,Team Sunweb,,+ -4:29:08,0:18 0:18,2017,2
3,3,-,,BORA - hansgrohe,,+ -4:29:08,0:26 0:26,2017,2
4,4,-,,Movistar Team,,+ -4:29:08,0:27 0:27,2017,2
5,9,\u25b24,,Quick-Step Floors,,+ -4:29:08,0:42 0:42,2017,2
6,12,\u25b26,,AG2R La Mondiale,,+ -4:29:08,0:55 0:55,2017,2
7,13,\u25b26,,Aqua Blue Sport,,+ -4:29:08,0:56 0:56,2017,2
8,14,\u25b26,,FDJ,,+ -4:29:08,1:02 1:02,2017,2
9,15,\u25b26,,Team Dimension Data,,+ -4:29:08,1:03 1:03,2017,2
10,7,\u25bc3,,Trek - Segafredo,,+ -4:29:08,1:20 1:20,2017,2
11,20,\u25b29,,Bahrain Merida Pro Cycling Team,,+ -4:29:08,",, 1:20",2017,2
12,17,\u25b25,,Team Katusha - Alpecin,,+ -4:29:08,4:41 4:41,2017,2
13,5,\u25bc8,,Team LottoNL-Jumbo,,+ -4:29:08,5:33 5:33,2017,2
14,8,\u25bc6,,ORICA-Scott,,+ -4:29:08,6:11 6:11,2017,2
15,18,\u25b23,,UAE Team Emirates,,+ -4:29:08,6:45 6:45,2017,2
16,6,\u25bc10,,Cannondale-Drapac Pro Cycling Team,,+ -4:29:08,7:19 7:19,2017,2
17,11,\u25bc6,,Team Sky,,+ -4:29:08,7:41 7:41,2017,2
18,19,\u25b21,,Direct Energie,,+ -4:29:08,8:05 8:05,2017,2
19,16,\u25bc3,,CCC Sprandi Polkowice,,+ -4:29:08,11:04 11:04,2017,2
20,21,\u25b21,,Astana Pro Team,,+ -4:29:08,11:13 11:13,2017,2
21,10,\u25bc11,,Lotto Soudal,,+ -4:29:08,17:51 17:51,2017,2
22,22,-,,Roompot - Nederlandse Loterij,,+ -4:29:08,21:10 21:10,2017,2
1,2,\u25b21,,Team Sunweb,,+ -8:18:47,24:57:04 24:57:04,2017,3
