Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
23,,73,76.0,+48:34,12.0,Ewan Caleb,3,Mitchelton-Scott,",, ,,",6.0,7,2018
28,,11,58.0,+37:58,9.0,Sagan Peter,4,BORA - hansgrohe,",, ,,",,7,2018
23,,152,99.0,+59:08,7.0,Bryon Miguel,5,Holowesko - Citadel p/b Arapahoe Resources,",, ,,",,7,2018
30,,141,66.0,+42:42,5.0,Kristoff Alexander,6,UAE-Team Emirates,",, ,,",,7,2018
22,,107,96.0,+58:37,3.0,Rice Michael,7,Hagens Berman Axeon,",, ,,",,7,2018
27,,65,86.0,+54:58,2.0,Magner Ty,8,Rally Cycling,",, ,,",,7,2018
26,,116,95.0,+58:25,1.0,McLay Daniel,9,Team EF Education First-Drapac p/b Cannondale,",, ,,",,7,2018
31,,125,53.0,+36:14,,Reijnen Kiel,10,Trek - Segafredo,",, ,,",,7,2018
20,,104,72.0,+47:54,,Garrison Ian,11,Hagens Berman Axeon,",, ,,",,7,2018
29,,164,65.0,+42:24,,McCabe Travis,12,UnitedHealthcare Pro Cycling Team,",, ,,",,7,2018
31,,15,78.0,+49:41,,Oss Daniel,13,BORA - hansgrohe,",, ,,",,7,2018
22,,103,24.0,+13:20,,Bennett Sean,14,Hagens Berman Axeon,",, ,,",,7,2018
25,,13,112.0,+1:08:57,,Kol\xe1\u0159 Michael,15,BORA - hansgrohe,",, ,,",,7,2018
35,,37,82.0,+51:22,,Richeze Ariel Maximiliano,16,Quick-Step Floors,",, ,,",,7,2018
30,,51,105.0,+1:02:58,,Kittel Marcel,17,Team Katusha - Alpecin,",, ,,",,7,2018
29,,77,61.0,+41:31,,Mezgec Luka,18,Mitchelton-Scott,",, ,,",,7,2018
27,,22,42.0,+24:01,,Bevin Patrick,19,BMC Racing Team,",, ,,",,7,2018
23,,32,33.0,+18:25,,Asgreen Kasper,20,Quick-Step Floors,",, ,,",,7,2018
25,,71,4.0,+2:16,,Yates Adam,21,Mitchelton-Scott,",, ,,",,7,2018
21,,34,90.0,+56:34,,Hodeg \xc1lvaro Jos\xe9,22,Quick-Step Floors,",, ,,",,7,2018
21,,105,34.0,+18:35,,Oliveira Ivo,23,Hagens Berman Axeon,",, ,,",,7,2018
22,,33,8.0,+3:50,,De Plus Laurens,24,Quick-Step Floors,",, ,,",,7,2018
26,,161,11.0,+5:40,,Mannion Gavin,25,UnitedHealthcare Pro Cycling Team,",, ,,",,7,2018
30,,96,25.0,+14:40,,Gautier Cyril,26,AG2R La Mondiale,",, ,,",,7,2018
35,,163,70.0,+45:58,,Haedo Lucas Sebastian,27,UnitedHealthcare Pro Cycling Team,",, ,,",,7,2018
26,,127,50.0,+30:55,,Stuyven Jasper,28,Trek - Segafredo,",, ,,",,7,2018
23,,82,5.0,+2:28,,Geoghegan Hart Tao,29,Team Sky,",, ,,",,7,2018
31,,25,30.0,+16:33,,Schar Michael,30,BMC Racing Team,",, ,,",,7,2018
31,,112,55.0,+36:34,,Clarke Simon,31,Team EF Education First-Drapac p/b Cannondale,",, ,,",,7,2018
22,,115,3.0,+2:14,,Martinez Daniel Felipe,32,Team EF Education First-Drapac p/b Cannondale,",, ,,",,7,2018
21,,81,1.0,+0:00,,Bernal Egan Arley,33,Team Sky,",, ,,",,7,2018
30,,144,9.0,+3:59,,Durasek Kristijan,34,UAE-Team Emirates,",, ,,",,7,2018
32,,27,37.0,+22:11,,Wyss Danilo,35,BMC Racing Team,",, ,,",,7,2018
31,,94,10.0,+4:01,,Frank Mathias,36,AG2R La Mondiale,",, ,,",,7,2018
28,,16,35.0,+20:11,,Poljanski Pawel,37,BORA - hansgrohe,",, ,,",,7,2018
28,,14,6.0,+3:01,,Majka Rafa\u0142,38,BORA - hansgrohe,",, ,,",,7,2018
29,,23,2.0,+1:25,,van Garderen Tejay,39,BMC Racing Team,",, ,,",,7,2018
36,,6,59.0,+40:58,,Wynants Maarten,40,Team LottoNL-Jumbo,",, ,,",,7,2018
24,,57,93.0,+57:58,,Zabel Rick,41,Team Katusha - Alpecin,",, ,,",,7,2018
