Rnk,Team,GC,GC-Time,Time,year,stage
1,Fassa Bortolo,,+ - 36:38:58,110:00:32 110:00:32,2003,9
2,Phonak Hearing Systems,,+ - 36:38:58,1:53 1:53,2003,9
3,Team Telekom,,+ - 36:38:58,5:29 5:29,2003,9
5,Fdjeux.com,,+ - 36:38:58,28:20 28:20,2003,9
6,Domina Vacanze - Elitron,,+ - 36:38:58,44:15 44:15,2003,9
7,Quickstep - Davitamon,,+ - 36:38:58,55:45 55:45,2003,9
8,Gerolsteiner,,+ - 36:38:58,56:17 56:17,2003,9
9,Team Bianchi,,+ - 36:38:58,1:04:05 1:04:05,2003,9
10,Saeco,,+ - 36:38:58,1:06:08 1:06:08,2003,9
11,Palmans - Collstrop,,+ - 36:38:58,1:18:35 1:18:35,2003,9
12,Lampre,,+ - 36:38:58,1:24:38 1:24:38,2003,9
13,Cr\xe9dit Agricole,,+ - 36:38:58,1:39:17 1:39:17,2003,9
14,CSC ProTeam,,+ - 36:38:58,1:40:56 1:40:56,2003,9
15,Lotto - Domo,,+ - 36:38:58,2:02:29 2:02:29,2003,9
16,AG2R Pr\xe9voyance,,+ - 36:38:58,2:16:45 2:16:45,2003,9
17,Vini Calderola - So.di,,+ - 36:38:58,3:00:45 3:00:45,2003,9
