Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
21.0,46,+0:20,,54.0,Boswell Ian,46,Bontrager Livestrong Team,",, 0:20",+0:10,,\u25b28,2,2012
25.0,47,+0:20,,53.0,Sulzberger Wesley,47,Orica GreenEDGE,",, 0:20",+0:10,,\u25b26,2,2012
24.0,48,+0:20,,59.0,Howes Alex,48,Team Garmin - Barracuda,",, 0:20",+0:10,,\u25b211,2,2012
22.0,49,+0:20,,58.0,Eijssen Yannick,49,BMC Racing Team,",, 0:20",+0:10,,\u25b29,2,2012
36.0,50,+0:42,,66.0,Baldwin Christopher,50,Bissell Pro Cycling,0:42 0:42,+0:10,,\u25b216,2,2012
33.0,51,+0:42,,72.0,Tankink Bram,51,Rabobank Cycling Team,",, 0:42",+0:08,,\u25b221,2,2012
25.0,52,+0:43,,67.0,Bouet Maxime,52,AG2R La Mondiale,0:43 0:43,+0:10,,\u25b215,2,2012
22.0,53,+0:44,,69.0,Bennett George,53,RadioShack - Nissan,0:44 0:44,+0:10,,\u25b216,2,2012
21.0,54,+0:44,,71.0,Dombrowski Joe,54,Bontrager Livestrong Team,",, 0:44",+0:10,,\u25b217,2,2012
29.0,55,+1:04,,41.0,Duggan Timothy,55,Liquigas - Cannondale,1:04 1:04,+0:54,,\u25bc14,2,2012
31.0,56,+1:04,,55.0,Vanotti Alessandro,56,Liquigas - Cannondale,",, 1:04",+0:54,,\u25bc1,2,2012
39.0,57,+1:28,,70.0,Bajadali Andrew,57,Optum p/b Kelly Benefit Strategies,1:28 1:28,+0:54,,\u25b213,2,2012
27.0,58,+1:56,,34.0,Busche Matthew,58,RadioShack - Nissan,1:56 1:56,+1:46,,\u25bc24,2,2012
25.0,59,+3:22,,31.0,Oss Daniel,59,Liquigas - Cannondale,3:22 3:22,+3:12,,\u25bc28,2,2012
31.0,60,+7:04,,30.0,Cummings Stephen,60,BMC Racing Team,7:04 7:04,+6:54,,\u25bc30,2,2012
32.0,61,+7:04,,29.0,Jones Chris,61,UnitedHealthcare Presented by Maxxis,",, 7:04",+6:54,,\u25bc32,2,2012
29.0,62,+7:04,,32.0,Morabito Steve,62,BMC Racing Team,",, 7:04",+6:54,,\u25bc30,2,2012
23.0,63,+7:16,,96.0,Damuseau Thomas,63,Argos - Shimano,7:16 7:16,+0:10,,\u25b233,2,2012
21.0,64,+7:16,,90.0,Houle Hugo,64,Spidertech Powered by C10,",, 7:16",+0:10,,\u25b226,2,2012
29.0,65,+7:16,,110.0,de Kort Koen,65,Argos - Shimano,",, 7:16",+0:10,,\u25b245,2,2012
37.0,66,+7:16,,101.0,Candelario Alex,66,Optum p/b Kelly Benefit Strategies,",, 7:16",+0:10,,\u25b235,2,2012
20.0,67,+7:16,,115.0,Stuyven Jasper,67,Bontrager Livestrong Team,",, 7:16",+0:10,,\u25b248,2,2012
28.0,68,+7:16,,100.0,Doi Yukihiro,68,Argos - Shimano,",, 7:16",+0:10,,\u25b232,2,2012
37.0,69,+7:16,,82.0,Pe\xf1a Victor Hugo,69,Colombia - Coldeportes,",, 7:16",+0:10,,\u25b213,2,2012
40.0,70,+7:16,,105.0,Voigt Jens,70,RadioShack - Nissan,",, 7:16",+0:10,,\u25b235,2,2012
28.0,71,+7:16,,117.0,Euser Lucas,71,,",, 7:16",+0:10,,\u25b246,2,2012
20.0,72,+8:36,,15.0,Mannion Gavin,72,Bontrager Livestrong Team,8:36 8:36,+8:26,,\u25bc57,2,2012
29.0,73,+8:36,,64.0,King Edward,73,Liquigas - Cannondale,",, 8:36",+8:26,,\u25bc9,2,2012
24.0,74,+9:00,,68.0,Geniez Alexandre,74,Argos - Shimano,9:00 9:00,+8:26,,\u25bc6,2,2012
34.0,75,+9:09,,73.0,Pipp Frank Kevin,75,Bissell Pro Cycling,9:09 9:09,+8:26,,\u25bc2,2,2012
28.0,76,+11:53,,11.0,Vandenbergh Stijn,76,Omega Pharma - Quick-Step,11:53 11:53,+11:43,,\u25bc65,2,2012
31.0,77,+11:53,,57.0,Boonen Tom,77,Omega Pharma - Quick-Step,",, 11:53",+11:43,,\u25bc20,2,2012
31.0,78,+14:19,,60.0,Vennell Jeremy,78,Bissell Pro Cycling,14:19 14:19,+14:09,,\u25bc18,2,2012
24.0,79,+14:21,,10.0,Anderson Ryan,79,Spidertech Powered by C10,14:21 14:21,+14:11,,\u25bc69,2,2012
28.0,80,+14:21,,16.0,Devenyns Dries,80,Omega Pharma - Quick-Step,",, 14:21",+14:11,,\u25bc64,2,2012
34.0,81,+15:05,,47.0,Nocentini Rinaldo,81,AG2R La Mondiale,15:05 15:05,+14:55,,\u25bc34,2,2012
21.0,82,+15:05,,65.0,Matthews Michael,82,Rabobank Cycling Team,",, 15:05",+14:55,,\u25bc17,2,2012
30.0,83,+15:31,,94.0,Mondory Lloyd,83,AG2R La Mondiale,15:31 15:31,+8:25,,\u25b211,2,2012
27.0,84,+15:32,,77.0,Clarke Jonathan,84,UnitedHealthcare Presented by Maxxis,15:32 15:32,+8:26,,\u25bc7,2,2012
23.0,85,+15:32,,87.0,King Benjamin,85,RadioShack - Nissan,",, 15:32",+8:26,,\u25b22,2,2012
25.0,86,+15:32,,86.0,Koren Kristijan,86,Liquigas - Cannondale,",, 15:32",+8:26,,-,2,2012
25.0,87,+15:32,,102.0,Peterson Tom,87,Team Garmin - Barracuda,",, 15:32",+8:26,,\u25b215,2,2012
36.0,88,+15:32,,104.0,Grabsch Bert,88,Omega Pharma - Quick-Step,",, 15:32",+8:26,,\u25b216,2,2012
19.0,89,+15:32,,116.0,Eastman Ryan,89,Bontrager Livestrong Team,",, 15:32",+8:26,,\u25b227,2,2012
24.0,90,+18:08,,75.0,Salas Sebastian,90,Optum p/b Kelly Benefit Strategies,18:08 18:08,+11:43,,\u25bc15,2,2012
33.0,91,+18:49,,78.0,Zirbel Tom,91,Optum p/b Kelly Benefit Strategies,18:49 18:49,+11:43,,\u25bc13,2,2012
22.0,92,+18:49,,91.0,Boily David,92,Spidertech Powered by C10,",, 18:49",+11:43,,\u25bc1,2,2012
31.0,93,+18:49,,95.0,Riblon Christophe,93,AG2R La Mondiale,",, 18:49",+11:43,,\u25b22,2,2012
30.0,94,+18:49,,113.0,Mccarty Jonathan Patrick,94,Spidertech Powered by C10,",, 18:49",+11:43,,\u25b219,2,2012
22.0,95,+19:11,,118.0,Rodriguez Michael,95,Colombia - Coldeportes,19:11 19:11,+8:26,,\u25b223,2,2012
28.0,96,+19:48,,74.0,Johnson Sam,96,Team Exergy,19:48 19:48,+14:55,,\u25bc22,2,2012
30.0,97,+21:13,,89.0,White Bradley,97,UnitedHealthcare Presented by Maxxis,21:13 21:13,+14:07,,\u25bc8,2,2012
34.0,98,+21:15,,108.0,Tjallingii Maarten,98,Rabobank Cycling Team,21:15 21:15,+14:09,,\u25b210,2,2012
32.0,99,+21:17,,80.0,Rast Gregory,99,RadioShack - Nissan,21:17 21:17,+14:11,,\u25bc19,2,2012
34.0,100,+21:17,,76.0,Wilson Matthew,100,Orica GreenEDGE,",, 21:17",+14:11,,\u25bc24,2,2012
39.0,101,+21:17,,81.0,McEwen Robbie,101,Orica GreenEDGE,",, 21:17",+14:11,,\u25bc20,2,2012
34.0,102,+21:17,,103.0,Zwizanski Scott,102,Optum p/b Kelly Benefit Strategies,",, 21:17",+14:11,,\u25b21,2,2012
26.0,103,+21:17,,107.0,Stamsnijder Tom,103,Argos - Shimano,",, 21:17",+14:11,,\u25b24,2,2012
31.0,104,+21:17,,114.0,Creed Michael,104,Optum p/b Kelly Benefit Strategies,",, 21:17",+14:11,,\u25b210,2,2012
23.0,105,+21:17,,111.0,Haas Nathan,105,Team Garmin - Barracuda,",, 21:17",+14:11,,\u25b26,2,2012
23.0,106,+22:01,,88.0,Jones Carter,106,Bissell Pro Cycling,22:01 22:01,+14:55,,\u25bc18,2,2012
31.0,107,+22:01,,84.0,Da Dalto Mauro,107,Liquigas - Cannondale,",, 22:01",+14:55,,\u25bc23,2,2012
22.0,108,+22:01,,85.0,Loader Logan,108,Team Exergy,",, 22:01",+14:55,,\u25bc23,2,2012
32.0,109,+22:01,,92.0,Gonzalez Javier,109,Colombia - Coldeportes,",, 22:01",+14:55,,\u25bc17,2,2012
22.0,110,+22:01,,93.0,Boivin Guillaume,110,Spidertech Powered by C10,",, 22:01",+14:55,,\u25bc17,2,2012
26.0,111,+22:01,,83.0,Suarez Juan Pablo,111,Colombia - Coldeportes,",, 22:01",+14:55,,\u25bc28,2,2012
25.0,112,+22:01,,97.0,Ciolek Gerald,112,Omega Pharma - Quick-Step,",, 22:01",+14:55,,\u25bc15,2,2012
26.0,113,+22:01,,106.0,Kluge Roger,113,Argos - Shimano,",, 22:01",+14:55,,\u25bc7,2,2012
30.0,114,+22:01,,99.0,Hanson Ken,114,Optum p/b Kelly Benefit Strategies,",, 22:01",+14:55,,\u25bc15,2,2012
24.0,115,+22:01,,98.0,Kittel Marcel,115,Argos - Shimano,",, 22:01",+14:55,,\u25bc17,2,2012
27.0,116,+22:01,,109.0,Schmitt Morgan,116,Team Exergy,",, 22:01",+14:55,,\u25bc7,2,2012
28.0,117,+22:01,,112.0,Rabon Frantisek,117,Omega Pharma - Quick-Step,",, 22:01",+14:55,,\u25bc5,2,2012
26.0,118,+23:41,,122.0,Quintero Carlos,118,Colombia - Coldeportes,23:41 23:41,+11:43,,\u25b24,2,2012
38.0,119,+26:09,,123.0,McCartney Jason,119,UnitedHealthcare Presented by Maxxis,26:09 26:09,+14:11,,\u25b24,2,2012
22.0,120,+26:09,,127.0,Meyer Travis,120,Orica GreenEDGE,",, 26:09",+14:11,,\u25b27,2,2012
26.0,121,+26:53,,120.0,Marentes Wilson Alexander,121,Colombia - Coldeportes,26:53 26:53,+14:55,,\u25bc1,2,2012
23.0,122,+26:53,,119.0,Tvetcov Serghei,122,Team Exergy,",, 26:53",+14:55,,\u25bc3,2,2012
29.0,123,+26:53,,125.0,Friedman Michael,123,Optum p/b Kelly Benefit Strategies,",, 26:53",+14:55,,\u25b22,2,2012
21.0,124,+26:53,,121.0,Rathe Jacob,124,Team Garmin - Barracuda,",, 26:53",+14:55,,\u25bc3,2,2012
29.0,125,+26:53,,124.0,Alzate Carlos Eduardo,125,Team Exergy,",, 26:53",+14:55,,\u25bc1,2,2012
23.0,126,+31:28,,128.0,Dahlheim Andrew,126,Bissell Pro Cycling,31:28 31:28,+14:55,,\u25b22,2,2012
22.0,1,+0:00,,1.0,Sagan Peter,1,Liquigas - Cannondale,14:34:54 14:34:54,+0:00,10.0,-,3,2012
28.0,2,+0:12,,2.0,Haussler Heinrich,2,Team Garmin - Barracuda,0:12 0:12,+0:04,,-,3,2012
34.0,3,+0:24,,4.0,Louder Jeff,3,UnitedHealthcare Presented by Maxxis,0:24 0:24,+0:10,,\u25b21,3,2012
38.0,4,+0:26,,5.0,Rodriguez Fred,4,Team Exergy,0:26 0:26,+0:10,,\u25b21,3,2012
33.0,5,+0:26,,6.0,Jacques-Maynes Benjamin,5,Bissell Pro Cycling,",, 0:26",+0:10,,\u25b21,3,2012
28.0,6,+0:27,,7.0,de Maar Marc,6,UnitedHealthcare Presented by Maxxis,0:27 0:27,+0:10,,\u25b21,3,2012
32.0,7,+0:29,,8.0,Irizar Markel,7,RadioShack - Nissan,0:29 0:29,+0:10,,\u25b21,3,2012
19.0,8,+0:29,,9.0,Atkins Joshua,8,Bontrager Livestrong Team,",, 0:29",+0:10,,\u25b21,3,2012
26.0,9,+0:30,,10.0,Van Avermaet Greg,9,BMC Racing Team,0:30 0:30,+0:10,,\u25b21,3,2012
20.0,10,+0:30,,11.0,Craddock Lawson,10,Bontrager Livestrong Team,",, 0:30",+0:10,,\u25b21,3,2012
28.0,11,+0:30,,14.0,Sanchez Luis Leon,11,Rabobank Cycling Team,",, 0:30",+0:10,,\u25b23,3,2012
27.0,12,+0:30,,15.0,Velits Peter,12,Omega Pharma - Quick-Step,",, 0:30",+0:10,,\u25b23,3,2012
38.0,13,+0:30,,12.0,Hincapie George,13,BMC Racing Team,",, 0:30",+0:10,,\u25bc1,3,2012
21.0,14,+0:30,,13.0,Dumoulin Tom,14,Argos - Shimano,",, 0:30",+0:10,,\u25bc1,3,2012
40.0,15,+0:30,,17.0,Horner Chris,15,RadioShack - Nissan,",, 0:30",+0:10,,\u25b22,3,2012
26.0,16,+0:30,,22.0,Machado Tiago,16,RadioShack - Nissan,",, 0:30",+0:10,,\u25b26,3,2012
28.0,17,+0:30,,21.0,Bookwalter Brent,17,BMC Racing Team,",, 0:30",+0:10,,\u25b24,3,2012
24.0,18,+0:30,,27.0,Atapuma John Darwin,18,Colombia - Coldeportes,",, 0:30",+0:10,,\u25b29,3,2012
23.0,19,+0:30,,24.0,van Garderen Tejay,19,BMC Racing Team,",, 0:30",+0:10,,\u25b25,3,2012
24.0,20,+0:30,,20.0,Meyer Cameron,20,Orica GreenEDGE,",, 0:30",+0:10,,-,3,2012
21.0,21,+0:30,,19.0,Kelderman Wilco,21,Rabobank Cycling Team,",, 0:30",+0:10,,\u25bc2,3,2012
21.0,22,+0:30,,35.0,Durbridge Luke,22,Orica GreenEDGE,",, 0:30",+0:10,,\u25b213,3,2012
34.0,23,+0:30,,26.0,Danielson Thomas,23,Team Garmin - Barracuda,",, 0:30",+0:10,,\u25b23,3,2012
23.0,24,+0:30,,28.0,Talansky Andrew,24,Team Garmin - Barracuda,",, 0:30",+0:10,,\u25b24,3,2012
25.0,25,+0:30,,18.0,Duarte Fabio,25,Colombia - Coldeportes,",, 0:30",+0:10,,\u25bc7,3,2012
21.0,26,+0:30,,16.0,Bardet Romain,26,AG2R La Mondiale,",, 0:30",+0:10,,\u25bc10,3,2012
28.0,27,+0:30,,23.0,Martens Paul,27,Rabobank Cycling Team,",, 0:30",+0:10,,\u25bc4,3,2012
31.0,28,+0:30,,32.0,ten Dam Laurens,28,Rabobank Cycling Team,",, 0:30",+0:10,,\u25b24,3,2012
30.0,29,+0:30,,31.0,Vandborg Brian,29,Spidertech Powered by C10,",, 0:30",+0:10,,\u25b22,3,2012
25.0,30,+0:30,,25.0,Gesink Robert,30,Rabobank Cycling Team,",, 0:30",+0:10,,\u25bc5,3,2012
30.0,31,+0:30,,33.0,Sutherland Rory,31,UnitedHealthcare Presented by Maxxis,",, 0:30",+0:10,,\u25b22,3,2012
25.0,32,+0:30,,47.0,Sulzberger Wesley,32,Orica GreenEDGE,",, 0:30",+0:10,,\u25b215,3,2012
38.0,33,+0:30,,34.0,Leipheimer Levi,33,Omega Pharma - Quick-Step,",, 0:30",+0:10,,\u25b21,3,2012
27.0,34,+0:30,,30.0,K\xfcnzli Raimond,34,Spidertech Powered by C10,",, 0:30",+0:10,,\u25bc4,3,2012
31.0,35,+0:30,,29.0,Weening Pieter,35,Orica GreenEDGE,",, 0:30",+0:10,,\u25bc6,3,2012
27.0,36,+0:30,,36.0,Roche Nicolas,36,AG2R La Mondiale,",, 0:30",+0:10,,-,3,2012
33.0,37,+0:30,,37.0,Zabriskie David,37,Team Garmin - Barracuda,",, 0:30",+0:10,,-,3,2012
22.0,38,+0:30,,49.0,Eijssen Yannick,38,BMC Racing Team,",, 0:30",+0:10,,\u25b211,3,2012
27.0,39,+0:30,,39.0,Nibali Vincenzo,39,Liquigas - Cannondale,",, 0:30",+0:10,,-,3,2012
26.0,40,+0:30,,45.0,Ch\xe9rel Micka\xebl,40,AG2R La Mondiale,",, 0:30",+0:10,,\u25b25,3,2012
28.0,41,+0:30,,41.0,Deignan Philip,41,UnitedHealthcare Presented by Maxxis,",, 0:30",+0:10,,-,3,2012
32.0,42,+0:30,,38.0,Cooke Matt,42,Team Exergy,",, 0:30",+0:10,,\u25bc4,3,2012
28.0,43,+0:30,,40.0,Diaz Andr\xe8s Miguel,43,Team Exergy,",, 0:30",+0:10,,\u25bc3,3,2012
28.0,44,+0:30,,44.0,Georges Sylvain,44,AG2R La Mondiale,",, 0:30",+0:10,,-,3,2012
24.0,45,+0:30,,48.0,Howes Alex,45,Team Garmin - Barracuda,",, 0:30",+0:10,,\u25b23,3,2012
22.0,46,+0:30,,42.0,Roe Timothy,46,BMC Racing Team,",, 0:30",+0:10,,\u25bc4,3,2012
21.0,47,+0:30,,46.0,Boswell Ian,47,Bontrager Livestrong Team,",, 0:30",+0:10,,\u25bc1,3,2012
20.0,48,+0:30,,43.0,Brown Nathan,48,Bontrager Livestrong Team,",, 0:30",+0:10,,\u25bc5,3,2012
36.0,49,+0:52,,50.0,Baldwin Christopher,49,Bissell Pro Cycling,0:52 0:52,+0:10,,\u25b21,3,2012
33.0,50,+0:52,,51.0,Tankink Bram,50,Rabobank Cycling Team,",, 0:52",+0:10,,\u25b21,3,2012
25.0,51,+0:53,,52.0,Bouet Maxime,51,AG2R La Mondiale,0:53 0:53,+0:10,,\u25b21,3,2012
22.0,52,+0:54,,53.0,Bennett George,52,RadioShack - Nissan,0:54 0:54,+0:10,,\u25b21,3,2012
21.0,53,+0:54,,54.0,Dombrowski Joe,53,Bontrager Livestrong Team,",, 0:54",+0:10,,\u25b21,3,2012
29.0,54,+1:14,,55.0,Duggan Timothy,54,Liquigas - Cannondale,1:14 1:14,+0:10,,\u25b21,3,2012
31.0,55,+1:14,,56.0,Vanotti Alessandro,55,Liquigas - Cannondale,",, 1:14",+0:10,,\u25b21,3,2012
39.0,56,+1:38,,57.0,Bajadali Andrew,56,Optum p/b Kelly Benefit Strategies,1:38 1:38,+0:10,,\u25b21,3,2012
27.0,57,+2:06,,58.0,Busche Matthew,57,RadioShack - Nissan,2:06 2:06,+0:10,,\u25b21,3,2012
25.0,58,+3:32,,59.0,Oss Daniel,58,Liquigas - Cannondale,3:32 3:32,+0:10,,\u25b21,3,2012
37.0,59,+7:26,,66.0,Candelario Alex,59,Optum p/b Kelly Benefit Strategies,7:26 7:26,+0:10,,\u25b27,3,2012
21.0,60,+7:26,,64.0,Houle Hugo,60,Spidertech Powered by C10,",, 7:26",+0:10,,\u25b24,3,2012
29.0,61,+7:26,,65.0,de Kort Koen,61,Argos - Shimano,",, 7:26",+0:10,,\u25b24,3,2012
20.0,62,+7:26,,67.0,Stuyven Jasper,62,Bontrager Livestrong Team,",, 7:26",+0:10,,\u25b25,3,2012
28.0,63,+7:26,,68.0,Doi Yukihiro,63,Argos - Shimano,",, 7:26",+0:10,,\u25b25,3,2012
37.0,64,+7:26,,69.0,Pe\xf1a Victor Hugo,64,Colombia - Coldeportes,",, 7:26",+0:10,,\u25b25,3,2012
23.0,65,+7:26,,63.0,Damuseau Thomas,65,Argos - Shimano,",, 7:26",+0:10,,\u25bc2,3,2012
40.0,66,+7:26,,70.0,Voigt Jens,66,RadioShack - Nissan,",, 7:26",+0:10,,\u25b24,3,2012
28.0,67,+7:26,,71.0,Euser Lucas,67,,",, 7:26",+0:10,,\u25b24,3,2012
20.0,68,+8:46,,72.0,Mannion Gavin,68,Bontrager Livestrong Team,8:46 8:46,+0:10,,\u25b24,3,2012
24.0,69,+9:10,,74.0,Geniez Alexandre,69,Argos - Shimano,9:10 9:10,+0:10,,\u25b25,3,2012
34.0,70,+9:19,,75.0,Pipp Frank Kevin,70,Bissell Pro Cycling,9:19 9:19,+0:10,,\u25b25,3,2012
22.0,71,+11:06,,3.0,Howard Leigh,71,Orica GreenEDGE,11:06 11:06,+10:53,,\u25bc68,3,2012
31.0,72,+11:59,,77.0,Boonen Tom,72,Omega Pharma - Quick-Step,11:59 11:59,+0:06,,\u25b25,3,2012
28.0,73,+12:03,,76.0,Vandenbergh Stijn,73,Omega Pharma - Quick-Step,12:03 12:03,+0:10,,\u25b23,3,2012
29.0,74,+14:29,,73.0,King Edward,74,Liquigas - Cannondale,14:29 14:29,+5:53,,\u25bc1,3,2012
28.0,75,+14:31,,80.0,Devenyns Dries,75,Omega Pharma - Quick-Step,14:31 14:31,+0:10,,\u25b25,3,2012
21.0,76,+15:15,,82.0,Matthews Michael,76,Rabobank Cycling Team,15:15 15:15,+0:10,,\u25b26,3,2012
30.0,77,+15:41,,83.0,Mondory Lloyd,77,AG2R La Mondiale,15:41 15:41,+0:10,,\u25b26,3,2012
25.0,78,+15:42,,87.0,Peterson Tom,78,Team Garmin - Barracuda,15:42 15:42,+0:10,,\u25b29,3,2012
34.0,79,+16:09,,81.0,Nocentini Rinaldo,79,AG2R La Mondiale,16:09 16:09,+1:04,,\u25b22,3,2012
19.0,80,+18:13,,89.0,Eastman Ryan,80,Bontrager Livestrong Team,18:13 18:13,+2:41,,\u25b29,3,2012
33.0,81,+18:59,,91.0,Zirbel Tom,81,Optum p/b Kelly Benefit Strategies,18:59 18:59,+0:10,,\u25b210,3,2012
32.0,82,+19:20,,61.0,Jones Chris,82,UnitedHealthcare Presented by Maxxis,19:20 19:20,+12:16,,\u25bc21,3,2012
22.0,83,+19:21,,95.0,Rodriguez Michael,83,Colombia - Coldeportes,19:21 19:21,+0:10,,\u25b212,3,2012
23.0,84,+21:25,,85.0,King Benjamin,84,RadioShack - Nissan,21:25 21:25,+5:53,,\u25b21,3,2012
34.0,85,+21:25,,98.0,Tjallingii Maarten,85,Rabobank Cycling Team,",, 21:25",+0:10,,\u25b213,3,2012
32.0,86,+21:27,,99.0,Rast Gregory,86,RadioShack - Nissan,21:27 21:27,+0:10,,\u25b213,3,2012
31.0,87,+21:27,,104.0,Creed Michael,87,Optum p/b Kelly Benefit Strategies,",, 21:27",+0:10,,\u25b217,3,2012
26.0,88,+22:11,,113.0,Kluge Roger,88,Argos - Shimano,22:11 22:11,+0:10,,\u25b225,3,2012
25.0,89,+22:11,,112.0,Ciolek Gerald,89,Omega Pharma - Quick-Step,",, 22:11",+0:10,,\u25b223,3,2012
27.0,90,+22:11,,116.0,Schmitt Morgan,90,Team Exergy,",, 22:11",+0:10,,\u25b226,3,2012
24.0,91,+22:16,,79.0,Anderson Ryan,91,Spidertech Powered by C10,22:16 22:16,+7:55,,\u25bc12,3,2012
25.0,92,+23:27,,86.0,Koren Kristijan,92,Liquigas - Cannondale,23:27 23:27,+7:55,,\u25bc6,3,2012
36.0,93,+23:27,,88.0,Grabsch Bert,93,Omega Pharma - Quick-Step,",, 23:27",+7:55,,\u25bc5,3,2012
39.0,94,+23:58,,101.0,McEwen Robbie,94,Orica GreenEDGE,23:58 23:58,+2:41,,\u25b27,3,2012
22.0,95,+24:42,,92.0,Boily David,95,Spidertech Powered by C10,24:42 24:42,+5:53,,\u25bc3,3,2012
31.0,96,+25:10,,78.0,Vennell Jeremy,96,Bissell Pro Cycling,25:10 25:10,+10:51,,\u25bc18,3,2012
24.0,97,+26:02,,90.0,Salas Sebastian,97,Optum p/b Kelly Benefit Strategies,26:02 26:02,+7:54,,\u25bc7,3,2012
27.0,98,+27:48,,84.0,Clarke Jonathan,98,UnitedHealthcare Presented by Maxxis,27:48 27:48,+12:16,,\u25bc14,3,2012
22.0,99,+27:54,,110.0,Boivin Guillaume,99,Spidertech Powered by C10,27:54 27:54,+5:53,,\u25b211,3,2012
30.0,100,+29:08,,97.0,White Bradley,100,UnitedHealthcare Presented by Maxxis,29:08 29:08,+7:55,,\u25bc3,3,2012
34.0,101,+29:12,,102.0,Zwizanski Scott,101,Optum p/b Kelly Benefit Strategies,29:12 29:12,+7:55,,\u25b21,3,2012
26.0,102,+29:34,,118.0,Quintero Carlos,102,Colombia - Coldeportes,29:34 29:34,+5:53,,\u25b216,3,2012
23.0,103,+29:56,,106.0,Jones Carter,103,Bissell Pro Cycling,29:56 29:56,+7:55,,\u25b23,3,2012
32.0,104,+29:56,,109.0,Gonzalez Javier,104,Colombia - Coldeportes,",, 29:56",+7:55,,\u25b25,3,2012
31.0,105,+31:05,,93.0,Riblon Christophe,105,AG2R La Mondiale,31:05 31:05,+12:16,,\u25bc12,3,2012
30.0,106,+31:05,,94.0,Mccarty Jonathan Patrick,106,Spidertech Powered by C10,",, 31:05",+12:16,,\u25bc12,3,2012
28.0,107,+32:04,,96.0,Johnson Sam,107,Team Exergy,32:04 32:04,+12:16,,\u25bc11,3,2012
27.0,108,+32:10,,103.0,Stamsnijder Tom,108,Argos - Shimano,32:10 32:10,+10:53,,\u25bc5,3,2012
34.0,109,+33:33,,100.0,Wilson Matthew,109,Orica GreenEDGE,33:33 33:33,+12:16,,\u25bc9,3,2012
23.0,110,+33:33,,105.0,Haas Nathan,110,Team Garmin - Barracuda,",, 33:33",+12:16,,\u25bc5,3,2012
22.0,111,+34:04,,120.0,Meyer Travis,111,Orica GreenEDGE,34:04 34:04,+7:55,,\u25b29,3,2012
31.0,112,+34:17,,107.0,Da Dalto Mauro,112,Liquigas - Cannondale,34:17 34:17,+12:16,,\u25bc5,3,2012
26.0,113,+34:17,,111.0,Suarez Juan Pablo,113,Colombia - Coldeportes,",, 34:17",+12:16,,\u25bc2,3,2012
22.0,114,+34:17,,108.0,Loader Logan,114,Team Exergy,",, 34:17",+12:16,,\u25bc6,3,2012
24.0,115,+34:17,,115.0,Kittel Marcel,115,Argos - Shimano,",, 34:17",+12:16,,-,3,2012
30.0,116,+34:17,,114.0,Hanson Ken,116,Optum p/b Kelly Benefit Strategies,",, 34:17",+12:16,,\u25bc2,3,2012
28.0,117,+34:17,,117.0,Rabon Frantisek,117,Omega Pharma - Quick-Step,",, 34:17",+12:16,,-,3,2012
26.0,118,+34:45,,121.0,Marentes Wilson Alexander,118,Colombia - Coldeportes,34:45 34:45,+7:52,,\u25b23,3,2012
38.0,119,+38:25,,119.0,McCartney Jason,119,UnitedHealthcare Presented by Maxxis,38:25 38:25,+12:16,,-,3,2012
23.0,120,+39:09,,122.0,Tvetcov Serghei,120,Team Exergy,39:09 39:09,+12:16,,\u25b22,3,2012
29.0,121,+39:09,,123.0,Friedman Michael,121,Optum p/b Kelly Benefit Strategies,",, 39:09",+12:16,,\u25b22,3,2012
21.0,122,+39:09,,124.0,Rathe Jacob,122,Team Garmin - Barracuda,",, 39:09",+12:16,,\u25b22,3,2012
29.0,123,+39:09,,125.0,Alzate Carlos Eduardo,123,Team Exergy,",, 39:09",+12:16,,\u25b22,3,2012
22.0,1,+0:00,,1.0,Sagan Peter,1,Liquigas - Cannondale,19:52:52 19:52:52,+0:00,10.0,-,4,2012
28.0,2,+0:16,,2.0,Haussler Heinrich,2,Team Garmin - Barracuda,0:16 0:16,+0:04,,-,4,2012
34.0,3,+0:34,,3.0,Louder Jeff,3,UnitedHealthcare Presented by Maxxis,0:34 0:34,+0:10,,-,4,2012
24.0,4,+0:35,,45.0,Howes Alex,4,Team Garmin - Barracuda,0:35 0:35,+0:05,,\u25b241,4,2012
38.0,5,+0:36,,4.0,Rodriguez Fred,5,Team Exergy,0:36 0:36,+0:10,,\u25bc1,4,2012
33.0,6,+0:36,,5.0,Jacques-Maynes Benjamin,6,Bissell Pro Cycling,",, 0:36",+0:10,,\u25bc1,4,2012
32.0,7,+0:36,,7.0,Irizar Markel,7,RadioShack - Nissan,",, 0:36",+0:07,,-,4,2012
28.0,8,+0:37,,6.0,de Maar Marc,8,UnitedHealthcare Presented by Maxxis,0:37 0:37,+0:10,,\u25bc2,4,2012
21.0,9,+0:38,,21.0,Kelderman Wilco,9,Rabobank Cycling Team,0:38 0:38,+0:08,,\u25b212,4,2012
19.0,10,+0:39,,8.0,Atkins Joshua,10,Bontrager Livestrong Team,0:39 0:39,+0:10,,\u25bc2,4,2012
28.0,11,+0:40,,11.0,Sanchez Luis Leon,11,Rabobank Cycling Team,0:40 0:40,+0:10,,-,4,2012
27.0,12,+0:40,,12.0,Velits Peter,12,Omega Pharma - Quick-Step,",, 0:40",+0:10,,-,4,2012
38.0,13,+0:40,,13.0,Hincapie George,13,BMC Racing Team,",, 0:40",+0:10,,-,4,2012
