Rnk,BIB,Team,GC,GC-Time,Time,year,stage
1,,Lampre - ISD,,+ - 91:39:02,274:19:46 274:19:46,2012,20
2,,Movistar Team,,+ - 91:39:02,10:53 10:53,2012,20
3,,Sky Procycling,,+ - 91:39:02,37:07 37:07,2012,20
4,,Astana Pro Team,,+ - 91:39:02,43:12 43:12,2012,20
5,,Team Garmin - Barracuda,,+ - 91:39:02,51:52 51:52,2012,20
6,,Liquigas - Cannondale,,+ - 91:39:02,54:09 54:09,2012,20
7,,Euskaltel - Euskadi,,+ - 91:39:02,56:27 56:27,2012,20
8,,Colnago CSF Bardiani,,+ - 91:39:02,1:10:25 1:10:25,2012,20
9,,AG2R La Mondiale,,+ - 91:39:02,1:22:12 1:22:12,2012,20
10,,Team Katusha,,+ - 91:39:02,1:30:51 1:30:51,2012,20
11,,Vacansoleil - DCM,,+ - 91:39:02,1:51:37 1:51:37,2012,20
12,,Androni Giocattoli - Venezuela,,+ - 91:39:02,2:18:54 2:18:54,2012,20
13,,BMC Racing Team,,+ - 91:39:02,2:33:50 2:33:50,2012,20
14,,RadioShack - Nissan,,+ - 91:39:02,2:39:42 2:39:42,2012,20
15,,Lotto Belisol Team,,+ - 91:39:02,2:49:55 2:49:55,2012,20
16,,Omega Pharma - Quick-Step,,+ - 91:39:02,3:08:39 3:08:39,2012,20
17,,Rabobank Cycling Team,,+ - 91:39:02,4:18:50 4:18:50,2012,20
18,,FDJ - BigMat,,+ - 91:39:02,5:42:55 5:42:55,2012,20
19,,Farnese Vini-Neri-Sottoli,,+ - 91:39:02,6:54:50 6:54:50,2012,20
20,,Team Netapp,,+ - 91:39:02,7:21:26 7:21:26,2012,20
21,,Team Saxo Bank - Tinkoff Bank,,+ - 91:39:02,8:28:59 8:28:59,2012,20
22,,Orica GreenEDGE,,+ - 91:39:02,10:22:40 10:22:40,2012,20
