stage_type,Stage,Winner,Leader after stage,year,IndivTimeTrial,TeamTimeTrial,MountainStage,SprintStage
0.0,Individual Time Trial - Fromentine en l'Ile › Noirmoutier,,,2005,1,0,0,0
0.0,Stage 2 - Challans › Les Essarts,BOONEN Tom,Boonen Tom,2005,0,0,0,1
0.0,Stage 3 - La Châtaigneraie › Tours,BOONEN Tom,Boonen Tom,2005,0,0,0,1
0.0,Team Time Trial - Tours › Blois,,,2005,0,1,0,0
0.0,Stage 5 - Chambord › Montargis,MCEWEN Robbie,McEwen Robbie,2005,0,0,0,1
0.0,Stage 6 - Troyes › Nancy,BERNUCCI Lorenzo,Bernucci Lorenzo,2005,0,0,0,1
0.0,Stage 7 - Lunéville › Karlsruhe,MCEWEN Robbie,McEwen Robbie,2005,0,0,0,1
0.0,Stage 8 - Pforzheim › Gérardmer,WEENING Pieter,Weening Pieter,2005,0,0,0,1
0.0,Stage 9 - Gérardmer › Mulhouse,RASMUSSEN Michael,Voigt Jens,2005,0,0,0,1
0.0,Stage 10 - Brignoud › Courchevel,VALVERDE Alejandro,Valverde Alejandro,2005,0,0,0,1
4.0,Stage 11 - Courchevel › Briançon,VINOKOUROV Alexandre,Vinokourov Alexandre,2005,0,0,1,0
0.0,Stage 12 - Briançon › Digne-les-Bains,MONCOUTIÉ David,Moncoutié David,2005,0,0,0,1
0.0,Stage 13 - Miramas › Montpellier,MCEWEN Robbie,McEwen Robbie,2005,0,0,0,1
0.0,Stage 14 - Agde › Ax 3 domaines,TOTSCHNIG Georg,Totschnig Georg,2005,0,0,0,1
0.0,Stage 15 - Lézat-sur-Leze › Saint-Lary-Soulan,,,2005,0,0,0,1
0.0,Stage 16 - Mourenx › Pau,PEREIRO Oscar,Pereiro Oscar,2005,0,0,0,1
0.0,Stage 17 - Pau › Revel,SAVOLDELLI Paolo,Savoldelli Paolo,2005,0,0,0,1
0.0,Stage 18 - Albi › Mende,SERRANO Marcos Antonio,Serrano Marcos Antonio,2005,0,0,0,1
0.0,Stage 19 - Issoire › Le Puy en Velay,GUERINI Giuseppe,Guerini Giuseppe,2005,0,0,0,1
0.0,Stage 20 (ITT) - Saint-Etienne › Saint-Etienne,,,2005,1,0,0,0
0.0,Stage 21 - Corbeil-Essonnes › Paris,VINOKOUROV Alexandre,Vinokourov Alexandre,2005,0,0,0,1
