Age,BIB,Pnt,Prev,Rider,Rnk,Team,stage,year,▼▲
28.0,32.0,1.0,,Gilbert Philippe,1.0,Omega Pharma-Lotto,1,2011,
28.0,32.0,1.0,1.0,Gilbert Philippe,1.0,Omega Pharma-Lotto,3,2011,-
25.0,133.0,1.0,,Delage Mickaël,2.0,FDJ,3,2011,-
34.0,141.0,2.0,,Evans Cadel,1.0,BMC Racing Team,4,2011,-
29.0,32.0,1.0,1.0,Gilbert Philippe,2.0,Omega Pharma-Lotto,4,2011,▼1
25.0,133.0,1.0,2.0,Delage Mickaël,3.0,FDJ,4,2011,▼1
28.0,204.0,1.0,,Hoogerland Johnny,4.0,Vacansoleil - DCM,4,2011,-
28.0,1.0,1.0,,Contador Alberto,5.0,Saxo Bank - Sungard,4,2011,-
34.0,141.0,2.0,1.0,Evans Cadel,1.0,BMC Racing Team,5,2011,-
29.0,32.0,1.0,2.0,Gilbert Philippe,2.0,Omega Pharma-Lotto,5,2011,-
25.0,133.0,1.0,3.0,Delage Mickaël,3.0,FDJ,5,2011,-
28.0,204.0,1.0,4.0,Hoogerland Johnny,4.0,Vacansoleil - DCM,5,2011,-
21.0,213.0,1.0,,Delaplace Anthony,5.0,Saur - Sojasun,5,2011,-
28.0,1.0,1.0,5.0,Contador Alberto,6.0,Saxo Bank - Sungard,5,2011,▼1
28.0,204.0,4.0,4.0,Hoogerland Johnny,1.0,Vacansoleil - DCM,6,2011,▲3
24.0,137.0,3.0,,Roux Anthony,2.0,FDJ,6,2011,-
34.0,141.0,2.0,1.0,Evans Cadel,3.0,BMC Racing Team,6,2011,▼2
29.0,32.0,1.0,2.0,Gilbert Philippe,4.0,Omega Pharma-Lotto,6,2011,▼2
25.0,133.0,1.0,3.0,Delage Mickaël,5.0,FDJ,6,2011,▼2
21.0,213.0,1.0,5.0,Delaplace Anthony,6.0,Saur - Sojasun,6,2011,▼1
28.0,209.0,1.0,,Westra Lieuwe,7.0,Vacansoleil - DCM,6,2011,-
28.0,1.0,1.0,6.0,Contador Alberto,8.0,Saxo Bank - Sungard,6,2011,▼2
28.0,204.0,4.0,1.0,Hoogerland Johnny,1.0,Vacansoleil - DCM,7,2011,-
24.0,137.0,3.0,2.0,Roux Anthony,2.0,FDJ,7,2011,-
34.0,141.0,2.0,3.0,Evans Cadel,3.0,BMC Racing Team,7,2011,-
29.0,32.0,1.0,4.0,Gilbert Philippe,4.0,Omega Pharma-Lotto,7,2011,-
25.0,133.0,1.0,5.0,Delage Mickaël,5.0,FDJ,7,2011,-
28.0,209.0,1.0,7.0,Westra Lieuwe,6.0,Vacansoleil - DCM,7,2011,▲1
21.0,213.0,1.0,6.0,Delaplace Anthony,7.0,Saur - Sojasun,7,2011,▼1
28.0,1.0,1.0,8.0,Contador Alberto,8.0,Saxo Bank - Sungard,7,2011,-
22.0,178.0,5.0,,van Garderen Tejay,1.0,HTC - High Road,8,2011,-
24.0,83.0,5.0,,Costa Rui,2.0,Movistar Team,8,2011,-
28.0,204.0,4.0,1.0,Hoogerland Johnny,3.0,Vacansoleil - DCM,8,2011,▼2
24.0,137.0,3.0,2.0,Roux Anthony,4.0,FDJ,8,2011,▼2
34.0,141.0,2.0,3.0,Evans Cadel,5.0,BMC Racing Team,8,2011,▼2
29.0,32.0,2.0,4.0,Gilbert Philippe,6.0,Omega Pharma-Lotto,8,2011,▼2
30.0,109.0,2.0,,Riblon Christophe,7.0,AG2R La Mondiale,8,2011,-
26.0,155.0,1.0,,El Fares Julien,8.0,"Cofidis, le Crédit en Ligne",8,2011,-
30.0,197.0,1.0,,Kolobnev Alexandr,9.0,Team Katusha,8,2011,-
25.0,133.0,1.0,5.0,Delage Mickaël,10.0,FDJ,8,2011,▼5
28.0,209.0,1.0,6.0,Westra Lieuwe,11.0,Vacansoleil - DCM,8,2011,▼5
21.0,213.0,1.0,7.0,Delaplace Anthony,12.0,Saur - Sojasun,8,2011,▼5
28.0,1.0,1.0,8.0,Contador Alberto,13.0,Saxo Bank - Sungard,8,2011,▼5
23.0,183.0,1.0,,Gautier Cyril,14.0,Team Europcar,8,2011,-
28.0,204.0,22.0,3.0,Hoogerland Johnny,1.0,Vacansoleil - DCM,9,2011,▲2
32.0,181.0,16.0,,Voeckler Thomas,2.0,Team Europcar,9,2011,-
22.0,178.0,5.0,1.0,van Garderen Tejay,3.0,HTC - High Road,9,2011,▼2
24.0,83.0,5.0,2.0,Costa Rui,4.0,Movistar Team,9,2011,▼2
32.0,131.0,5.0,,Casar Sandy,5.0,FDJ,9,2011,-
33.0,112.0,4.0,,Flecha Juan Antonio,6.0,Sky Procycling,9,2011,-
24.0,137.0,3.0,4.0,Roux Anthony,7.0,FDJ,9,2011,▼3
34.0,141.0,2.0,5.0,Evans Cadel,8.0,BMC Racing Team,9,2011,▼3
29.0,32.0,2.0,6.0,Gilbert Philippe,9.0,Omega Pharma-Lotto,9,2011,▼3
30.0,109.0,2.0,7.0,Riblon Christophe,10.0,AG2R La Mondiale,9,2011,▼3
27.0,47.0,1.0,,Sánchez Luis León,11.0,Rabobank Cycling Team,9,2011,-
26.0,155.0,1.0,8.0,El Fares Julien,12.0,"Cofidis, le Crédit en Ligne",9,2011,▼4
30.0,197.0,1.0,9.0,Kolobnev Alexandr,13.0,Team Katusha,9,2011,▼4
25.0,133.0,1.0,10.0,Delage Mickaël,14.0,FDJ,9,2011,▼4
28.0,209.0,1.0,11.0,Westra Lieuwe,15.0,Vacansoleil - DCM,9,2011,▼4
21.0,213.0,1.0,12.0,Delaplace Anthony,16.0,Saur - Sojasun,9,2011,▼4
28.0,1.0,1.0,13.0,Contador Alberto,17.0,Saxo Bank - Sungard,9,2011,▼4
23.0,183.0,1.0,14.0,Gautier Cyril,18.0,Team Europcar,9,2011,▼4
28.0,204.0,22.0,1.0,Hoogerland Johnny,1.0,Vacansoleil - DCM,10,2011,-
32.0,181.0,17.0,2.0,Voeckler Thomas,2.0,Team Europcar,10,2011,-
22.0,178.0,5.0,3.0,van Garderen Tejay,3.0,HTC - High Road,10,2011,-
27.0,206.0,5.0,,Marcato Marco,4.0,Vacansoleil - DCM,10,2011,-
24.0,83.0,5.0,4.0,Costa Rui,5.0,Movistar Team,10,2011,▼1
32.0,131.0,5.0,5.0,Casar Sandy,6.0,FDJ,10,2011,▼1
33.0,112.0,4.0,6.0,Flecha Juan Antonio,7.0,Sky Procycling,10,2011,▼1
24.0,137.0,3.0,7.0,Roux Anthony,8.0,FDJ,10,2011,▼1
34.0,141.0,2.0,8.0,Evans Cadel,9.0,BMC Racing Team,10,2011,▼1
29.0,32.0,2.0,9.0,Gilbert Philippe,10.0,Omega Pharma-Lotto,10,2011,▼1
21.0,213.0,2.0,16.0,Delaplace Anthony,11.0,Saur - Sojasun,10,2011,▲5
30.0,109.0,2.0,10.0,Riblon Christophe,12.0,AG2R La Mondiale,10,2011,▼2
27.0,47.0,1.0,11.0,Sánchez Luis León,13.0,Rabobank Cycling Team,10,2011,▼2
26.0,155.0,1.0,12.0,El Fares Julien,14.0,"Cofidis, le Crédit en Ligne",10,2011,▼2
25.0,133.0,1.0,14.0,Delage Mickaël,15.0,FDJ,10,2011,▼1
28.0,209.0,1.0,15.0,Westra Lieuwe,16.0,Vacansoleil - DCM,10,2011,▼1
28.0,1.0,1.0,17.0,Contador Alberto,17.0,Saxo Bank - Sungard,10,2011,-
23.0,183.0,1.0,18.0,Gautier Cyril,18.0,Team Europcar,10,2011,-
29.0,107.0,1.0,,Minard Sébastien,19.0,AG2R La Mondiale,10,2011,-
28.0,204.0,22.0,1.0,Hoogerland Johnny,1.0,Vacansoleil - DCM,11,2011,-
32.0,181.0,17.0,2.0,Voeckler Thomas,2.0,Team Europcar,11,2011,-
22.0,178.0,5.0,3.0,van Garderen Tejay,3.0,HTC - High Road,11,2011,-
27.0,206.0,5.0,4.0,Marcato Marco,4.0,Vacansoleil - DCM,11,2011,-
24.0,83.0,5.0,5.0,Costa Rui,5.0,Movistar Team,11,2011,-
32.0,131.0,5.0,6.0,Casar Sandy,6.0,FDJ,11,2011,-
33.0,112.0,4.0,7.0,Flecha Juan Antonio,7.0,Sky Procycling,11,2011,-
24.0,137.0,3.0,8.0,Roux Anthony,8.0,FDJ,11,2011,-
34.0,141.0,2.0,9.0,Evans Cadel,9.0,BMC Racing Team,11,2011,-
25.0,43.0,2.0,,Boom Lars,10.0,Rabobank Cycling Team,11,2011,-
25.0,133.0,2.0,15.0,Delage Mickaël,11.0,FDJ,11,2011,▲4
29.0,32.0,2.0,10.0,Gilbert Philippe,12.0,Omega Pharma-Lotto,11,2011,▼2
21.0,213.0,2.0,11.0,Delaplace Anthony,13.0,Saur - Sojasun,11,2011,▼2
30.0,109.0,2.0,12.0,Riblon Christophe,14.0,AG2R La Mondiale,11,2011,▼2
27.0,47.0,1.0,13.0,Sánchez Luis León,15.0,Rabobank Cycling Team,11,2011,▼2
26.0,155.0,1.0,14.0,El Fares Julien,16.0,"Cofidis, le Crédit en Ligne",11,2011,▼2
28.0,209.0,1.0,16.0,Westra Lieuwe,17.0,Vacansoleil - DCM,11,2011,▼1
28.0,1.0,1.0,17.0,Contador Alberto,18.0,Saxo Bank - Sungard,11,2011,▼1
23.0,183.0,1.0,18.0,Gautier Cyril,19.0,Team Europcar,11,2011,▼1
29.0,107.0,1.0,19.0,Minard Sébastien,20.0,AG2R La Mondiale,11,2011,▼1
27.0,64.0,1.0,,Grivko Andrey,21.0,Pro Team Astana,11,2011,-
33.0,21.0,40.0,,Sánchez Samuel,1.0,Euskaltel - Euskadi,12,2011,-
26.0,38.0,32.0,,Vanendert Jelle,2.0,Omega Pharma-Lotto,12,2011,-
28.0,138.0,24.0,,Roy Jérémy,3.0,FDJ,12,2011,-
31.0,18.0,24.0,,Schleck Fränk,4.0,Leopard Trek,12,2011,-
28.0,204.0,22.0,1.0,Hoogerland Johnny,5.0,Vacansoleil - DCM,12,2011,▼4
25.0,117.0,18.0,,Thomas Geraint,6.0,Sky Procycling,12,2011,-
24.0,106.0,18.0,,Kadri Blel,7.0,AG2R La Mondiale,12,2011,-
32.0,181.0,17.0,2.0,Voeckler Thomas,8.0,Team Europcar,12,2011,▼6
33.0,91.0,16.0,,Basso Ivan,9.0,Liquigas - Cannondale,12,2011,-
29.0,25.0,16.0,,Pérez Rubén,10.0,Euskaltel - Euskadi,12,2011,-
30.0,218.0,10.0,,Mangel Laurent,11.0,Saur - Sojasun,12,2011,-
34.0,141.0,10.0,9.0,Evans Cadel,12.0,BMC Racing Team,12,2011,▼3
22.0,178.0,5.0,3.0,van Garderen Tejay,13.0,HTC - High Road,12,2011,▼10
27.0,206.0,5.0,4.0,Marcato Marco,14.0,Vacansoleil - DCM,12,2011,▼10
24.0,83.0,5.0,5.0,Costa Rui,15.0,Movistar Team,12,2011,▼10
32.0,131.0,5.0,6.0,Casar Sandy,16.0,FDJ,12,2011,▼10
26.0,11.0,4.0,,Schleck Andy,17.0,Leopard Trek,12,2011,-
25.0,66.0,4.0,,Kreuziger Roman,18.0,Pro Team Astana,12,2011,-
33.0,112.0,4.0,7.0,Flecha Juan Antonio,19.0,Sky Procycling,12,2011,▼12
24.0,137.0,3.0,8.0,Roux Anthony,20.0,FDJ,12,2011,▼12
25.0,43.0,2.0,10.0,Boom Lars,21.0,Rabobank Cycling Team,12,2011,▼11
25.0,133.0,2.0,11.0,Delage Mickaël,22.0,FDJ,12,2011,▼11
29.0,32.0,2.0,12.0,Gilbert Philippe,23.0,Omega Pharma-Lotto,12,2011,▼11
21.0,213.0,2.0,13.0,Delaplace Anthony,24.0,Saur - Sojasun,12,2011,▼11
