Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
30,127,,,,,Pellizotti Franco,1,Liquigas,,+0:00,-,2,2008
30,127,,,,1.0,Pellizotti Franco,1,Liquigas,,+0:00,-,3,2008
30,127,,,,1.0,Pellizotti Franco,1,Liquigas,,+0:00,-,4,2008
30,127,,,,1.0,Pellizotti Franco,1,Liquigas,,+0:00,-,5,2008
25,139,,,,,Visconti Giovanni,1,Quickstep - Innergetic,,+0:00,-,6,2008
25,139,,,,1.0,Visconti Giovanni,1,Quickstep - Innergetic,,+0:00,-,7,2008
25,139,,,,1.0,Visconti Giovanni,1,Quickstep - Innergetic,,+0:00,-,8,2008
25,139,,,,1.0,Visconti Giovanni,1,Quickstep - Innergetic,,+0:00,-,9,2008
25,139,,,,1.0,Visconti Giovanni,1,Quickstep - Innergetic,,+0:00,-,10,2008
25,139,,,,1.0,Visconti Giovanni,1,Quickstep - Innergetic,,+0:00,-,11,2008
25,139,,,,1.0,Visconti Giovanni,1,Quickstep - Innergetic,,+0:00,-,12,2008
25,139,,,,1.0,Visconti Giovanni,1,Quickstep - Innergetic,,+0:00,-,13,2008
27,3,,,,,Bosisio Gabriele,1,Team LPR Brakes,,+0:00,-,14,2008
25,22,1.0,+0:00,,,Contador Alberto,1,Astana,68:06:43 68:06:43,+0:00,-,15,2008
24,151,2.0,+0:33,,,Ricco Riccardo,2,Saunier Duval,0:33 0:33,+0:33,-,15,2008
32,1,3.0,+0:55,,,Di Luca Danilo,3,Team LPR Brakes,0:55 0:55,+0:55,-,15,2008
33,111,4.0,+1:18,,,Bruseghin Marzio,4,Lampre,1:18 1:18,+1:18,-,15,2008
30,141,5.0,+1:20,,,Menchov Denis,5,Rabobank ProTeam,1:20 1:20,+1:20,-,15,2008
36,161,6.0,+1:26,,,Simoni Gilberto,6,Serramenti PVC Diquigiovanni-Androni Giocattoli,1:26 1:26,+1:26,-,15,2008
