Rider,year,stage_scores
Henderson Gregory,2011,76.0
Henderson Gregory,2017,25.0
Henttala Joonas,2014,0.0
Henttala Joonas,2015,0.0
Henttala Joonas,2016,0.0
Henttala Joonas,2017,0.0
Hepburn Michael,2013,0.0
Hepburn Michael,2018,11.0
Hermans Ben,2015,44.0
Hern\xe1ndez Jes\xfas,2015,0.0
Hernandez Manuel,2006,0.0
Hernandez Sergio,2011,0.0
Herriot Todd,2006,0.0
Hesjedal Ryder,2007,32.0
Hesjedal Ryder,2010,92.0
Hesjedal Ryder,2011,43.0
Hiekmann Torsten,2006,0.0
Hiekmann Torsten,2007,0.0
Hinault S\xe9bastien,2007,17.0
Hincapie George,2006,184.0
Hincapie George,2007,39.0
Hincapie George,2008,43.0
Hincapie George,2009,91.0
Hincapie George,2010,25.0
Hincapie George,2011,18.0
Hincapie George,2012,64.0
Hindley Jai,2018,22.0
Hivert Jonathan,2008,0.0
Hodeg \xc1lvaro Jos\xe9,2018,0.0
Hofland Moreno,2014,32.0
Hofstede Lennard,2017,26.0
Hollenstein Reto,2018,0.0
Holloway Daniel,2010,13.0
Hornbeck Jonathan,2016,9.0
Horner Chris,2006,56.0
Horner Chris,2007,26.0
Horner Chris,2008,62.0
Horner Chris,2009,62.0
Horner Chris,2010,92.0
Horner Chris,2011,110.0
Horner Chris,2012,48.0
Horrillo Pedro,2008,23.0
Horrillo Pedro,2009,56.0
Houle Hugo,2012,19.0
Hovelijnck Kurt,2010,0.0
Howard Leigh,2011,63.0
Howard Leigh,2012,78.0
Howard Leigh,2014,0.0
Howes Alex,2012,18.0
Howes Alex,2013,6.0
Howes Alex,2014,24.0
Howes Alex,2015,0.0
Howes Alex,2018,19.0
Howson Damien,2014,16.0
Huff Charles Bradley,2006,24.0
Huff Charles Bradley,2009,11.0
Huff Charles Bradley,2014,0.0
Huffman Evan,2015,0.0
Huffman Evan,2016,30.0
Huffman Evan,2017,77.0
Huffman Evan,2018,0.0
Hulsmans Kevin,2008,0.0
Hulsmans Kevin,2009,0.0
Hulsmans Kevin,2010,0.0
Hunt Jeremy,2010,0.0
Hunt Jeremy,2011,0.0
Hunter Robert,2006,28.0
Hunter Robert,2010,40.0
Hupond Thierry,2015,0.0
Hushovd Thor,2007,109.0
Hushovd Thor,2009,118.0
Hushovd Thor,2011,45.0
Hushovd Thor,2013,85.0
Hushovd Thor,2014,57.0
Huzarski Bartosz,2011,0.0
Huzarski Bartosz,2013,0.0
Ile\u0161i\u010d Aldo Ino,2010,0.0
Ile\u0161i\u010d Aldo Ino,2011,17.0
Ile\u0161i\u010d Aldo Ino,2013,0.0
Ingels Nick,2007,0.0
Irizar Markel,2011,0.0
Irizar Markel,2012,18.0
Irizar Markel,2013,17.0
Irizar Markel,2014,18.0
Irizar Markel,2015,14.0
Irizar Markel,2016,0.0
Irizar Markel,2017,0.0
Isaychev Vladimir,2016,0.0
Ivanov Serguei,2008,0.0
Jacques Hubert,2012,14.0
Jacques-Maynes Andy,2009,0.0
Jacques-Maynes Andy,2010,0.0
Jacques-Maynes Andy,2011,0.0
Jacques-Maynes Benjamin,2006,39.0
Jacques-Maynes Benjamin,2007,49.0
Jacques-Maynes Benjamin,2008,38.0
Jacques-Maynes Benjamin,2009,41.0
Jacques-Maynes Benjamin,2010,0.0
Jacques-Maynes Benjamin,2011,0.0
Jacques-Maynes Benjamin,2012,0.0
Jacques-Maynes Benjamin,2013,0.0
Jacques-Maynes Benjamin,2014,0.0
Jacques-Maynes Benjamin,2015,0.0
Jalabert Nicolas,2006,8.0
Janse van Rensburg Jacques,2015,0.0
Janse van Rensburg Jacques,2016,0.0
Janse van Rensburg Reinardt,2014,0.0
Janse van Rensburg Reinardt,2017,54.0
Jaramillo Daniel Alexander,2014,36.0
Jaramillo Daniel Alexander,2015,24.0
Jaramillo Daniel Alexander,2016,0.0
Jaramillo Daniel Alexander,2017,0.0
Jeandesboz Fabrice,2016,0.0
Jenkins Max,2010,0.0
Jenkins Max,2013,14.0
Jensen Brian,2006,0.0
Jerome Vincent,2008,0.0
Johnson Sam,2012,0.0
Johnson Tim,2006,0.0
Johnson Tim,2007,8.0
Johnson Tim,2008,15.0
Johnson Tim,2009,0.0
Jones Brice,2006,12.0
Jones Brice,2007,10.0
Jones Carter,2012,0.0
Jones Carter,2013,0.0
Jones Carter,2014,50.0
Jones Carter,2015,10.0
Jones Chris,2009,0.0
Jones Chris,2010,18.0
Jones Chris,2011,8.0
Jones Chris,2012,0.0
Jones Chris,2013,0.0
Jones Chris,2014,24.0
Jones Chris,2016,0.0
Jones Michael,2006,0.0
Jones Michael,2007,0.0
Jorgensen Jonas Aaen,2011,20.0
Jorgensen Jonas Aaen,2013,13.0
Joyce Colin,2017,12.0
Jufre Josep,2006,67.0
Jufre Josep,2007,23.0
Julich Bobby,2006,117.0
Julich Bobby,2007,20.0
Julich Bobby,2008,16.0
Jungels Bob,2013,27.0
K\xf6nig Leopold,2011,0.0
K\xf6nig Leopold,2013,61.0
K\xfcnzli Raimond,2012,0.0
Kaggestad Mads,2006,0.0
Kaggestad Mads,2007,10.0
Kaisen Olivier,2006,0.0
Kamyshev Arman,2017,0.0
Keisse Iljo,2018,0.0
Kelderman Wilco,2012,33.0
Kelly Jake,2016,0.0
Kem Omer,2007,0.0
Kem Omer,2009,0.0
Kemp David,2009,0.0
Kemps Aaron,2008,14.0
Kemps Aaron,2010,10.0
Kennaugh Peter,2015,25.0
Kennaugh Peter,2016,0.0
Kennaugh Peter,2017,0.0
Keough Jake,2013,42.0
Kerby Jordan,2015,11.0
Kern Christophe,2007,0.0
Keukeleire Jens,2014,19.0
Kilun Roman,2008,0.0
Kilun Roman,2011,0.0
King Benjamin,2011,0.0
King Benjamin,2012,13.0
King Benjamin,2014,9.0
King Benjamin,2015,29.0
King Benjamin,2016,43.0
King Benjamin,2017,26.0
King Edward,2007,0.0
King Edward,2008,0.0
King Edward,2009,0.0
King Edward,2011,0.0
King Edward,2012,0.0
King Edward,2013,0.0
King Edward,2014,0.0
King Edward,2015,0.0
Kirchen Kim,2007,0.0
Kirchen Kim,2008,23.0
Kirchen Kim,2009,0.0
Kiryienka Vasil,2016,20.0
Kittel Marcel,2012,0.0
Kittel Marcel,2017,75.0
Kittel Marcel,2018,33.0
Kluge Roger,2012,61.0
Kluge Roger,2018,0.0
Knees Christian,2014,0.0
Knees Christian,2015,8.0
Kobzarenko Valery,2006,15.0
Kobzarenko Valery,2007,0.0
Kobzarenko Valery,2009,21.0
Kobzarenko Valery,2010,12.0
Kobzarenko Valery,2011,0.0
Kocjan Jure,2011,36.0
Kocjan Jure,2015,54.0
Kohl Bernhard,2006,18.0
Kohl Bernhard,2007,0.0
Kohl Bernhard,2008,7.0
Kohler Martin,2014,0.0
Kohler Martin,2015,0.0
