Age,BIB,Pnt,Prev,Rider,Rnk,Team,UCI,\u25bc\u25b2,stage,year
31,101,,,Cavendish Mark,1,Team Dimension Data,50.0,,1,2016
28,181,,,Kittel Marcel,2,Etixx - Quick Step,30.0,,1,2016
26,32,,,Sagan Peter,3,Tinkoff,20.0,,1,2016
33,161,,,Greipel Andr\xe9,4,Lotto Soudal,18.0,,1,2016
25,68,,,Theuns Edward,5,Trek - Segafredo,16.0,,1,2016
23,196,,,Laporte Christophe,6,"Cofidis, Solutions Cr\xe9dits",14.0,,1,2016
24,171,,,Coquard Bryan,7,Direct Energie,12.0,,1,2016
28,144,,,Kristoff Alexander,8,Team Katusha,10.0,,1,2016
24,216,,,McLay Daniel,9,Fortuneo - Vital Concept,8.0,,1,2016
39,167,,,Henderson Gregory,10,Lotto Soudal,7.0,,1,2016
22,75,,,Enger Sondre Holst,11,IAM Cycling,6.0,,1,2016
24,67,,,Stuyven Jasper,12,Trek - Segafredo,5.0,,1,2016
24,111,,,Barguil Warren,13,Team Giant - Alpecin,4.0,,1,2016
24,182,,,Alaphilippe Julian,14,Etixx - Quick Step,3.0,,1,2016
27,113,,,Degenkolb John,15,Team Giant - Alpecin,2.0,,1,2016
26,32,87.0,3.0,Sagan Peter,1,Tinkoff,,\u25b22,2,2016
31,101,63.0,1.0,Cavendish Mark,2,Team Dimension Data,,\u25bc1,2,2016
28,181,50.0,2.0,Kittel Marcel,3,Etixx - Quick Step,,\u25bc1,2,2016
33,161,40.0,4.0,Greipel Andr\xe9,4,Lotto Soudal,,-,2,2016
24,182,33.0,21.0,Alaphilippe Julian,5,Etixx - Quick Step,,\u25b216,2,2016
24,171,25.0,5.0,Coquard Bryan,6,Direct Energie,,\u25bc1,2,2016
28,144,21.0,12.0,Kristoff Alexander,7,Team Katusha,,\u25b25,2,2016
28,134,20.0,,Benedetti Cesare,8,Bora - Argon 18,,-,2,2016
26,77,20.0,6.0,Howard Leigh,9,IAM Cycling,,\u25bc3,2,2016
36,12,20.0,,Valverde Alejandro,10,Movistar Team,,-,2,2016
25,207,20.0,,Matthews Michael,11,ORICA-BikeExchange,,-,2,2016
29,184,18.0,,Martin Daniel,12,Etixx - Quick Step,,-,2,2016
24,67,18.0,17.0,Stuyven Jasper,13,Trek - Segafredo,,\u25b24,2,2016
31,98,17.0,15.0,Van Avermaet Greg,14,BMC Racing Team,,\u25b21,2,2016
30,139,17.0,,Voss Paul,15,Bora - Argon 18,,-,2,2016
31,133,17.0,7.0,B\xe1rta Jan,16,Bora - Argon 18,,\u25bc9,2,2016
25,68,16.0,8.0,Theuns Edward,17,Trek - Segafredo,,\u25bc9,2,2016
26,212,15.0,,Breen Vegard,18,Fortuneo - Vital Concept,,-,2,2016
28,84,15.0,9.0,Howes Alex,19,Cannondale-Drapac Pro Cycling Team,,\u25bc10,2,2016
25,51,14.0,,Kelderman Wilco,20,Team LottoNL-Jumbo,,-,2,2016
23,196,14.0,10.0,Laporte Christophe,21,"Cofidis, Solutions Cr\xe9dits",,\u25bc11,2,2016
26,213,13.0,11.0,Delaplace Anthony,22,Fortuneo - Vital Concept,,\u25bc11,2,2016
28,165,12.0,,Gallopin Tony,23,Lotto Soudal,,-,2,2016
29,61,8.0,,Mollema Bauke,24,Trek - Segafredo,,-,2,2016
24,216,8.0,13.0,McLay Daniel,25,Fortuneo - Vital Concept,,\u25bc12,2,2016
24,111,7.0,19.0,Barguil Warren,26,Team Giant - Alpecin,,\u25bc7,2,2016
31,1,7.0,,Froome Christopher,27,Team Sky,,-,2,2016
39,167,7.0,14.0,Henderson Gregory,28,Lotto Soudal,,\u25bc14,2,2016
36,201,6.0,,Gerrans Simon,29,ORICA-BikeExchange,,-,2,2016
22,75,6.0,16.0,Enger Sondre Holst,30,IAM Cycling,,\u25bc14,2,2016
26,164,6.0,,Debusschere Jens,31,Lotto Soudal,,-,2,2016
29,81,5.0,,Rolland Pierre,32,Cannondale-Drapac Pro Cycling Team,,-,2,2016
31,187,5.0,18.0,Sabatini Fabio,33,Etixx - Quick Step,,\u25bc15,2,2016
23,209,4.0,,Yates Adam,34,ORICA-BikeExchange,,-,2,2016
33,186,4.0,20.0,Richeze Ariel Maximiliano,35,Etixx - Quick Step,,\u25bc15,2,2016
31,146,3.0,22.0,M\xf8rk\xf8v Michael,36,Team Katusha,,\u25bc14,2,2016
28,16,3.0,,Izagirre Gorka,37,Movistar Team,,-,2,2016
37,141,2.0,,Rodr\xedguez Joaquim,38,Team Katusha,,-,2,2016
27,113,2.0,23.0,Degenkolb John,39,Team Giant - Alpecin,,\u25bc16,2,2016
28,142,2.0,,Guarnieri Jacopo,40,Team Katusha,,-,2,2016
29,103,1.0,24.0,Boasson Hagen Edvald,41,Team Dimension Data,,\u25bc17,2,2016
27,13,1.0,,Anacona Winner,42,Movistar Team,,-,2,2016
31,101,123.0,2.0,Cavendish Mark,1,Team Dimension Data,,\u25b21,3,2016
26,32,116.0,1.0,Sagan Peter,2,Tinkoff,,\u25bc1,3,2016
33,161,79.0,4.0,Greipel Andr\xe9,3,Lotto Soudal,,\u25b21,3,2016
28,181,77.0,3.0,Kittel Marcel,4,Etixx - Quick Step,,\u25bc1,3,2016
24,171,52.0,6.0,Coquard Bryan,5,Direct Energie,,\u25b21,3,2016
28,144,40.0,7.0,Kristoff Alexander,6,Team Katusha,,\u25b21,3,2016
24,182,35.0,5.0,Alaphilippe Julian,7,Etixx - Quick Step,,\u25bc2,3,2016
25,207,33.0,11.0,Matthews Michael,8,ORICA-BikeExchange,,\u25b23,3,2016
25,68,32.0,17.0,Theuns Edward,9,Trek - Segafredo,,\u25b28,3,2016
23,196,24.0,21.0,Laporte Christophe,10,"Cofidis, Solutions Cr\xe9dits",,\u25b211,3,2016
27,215,20.0,,Fonseca Armindo,11,Fortuneo - Vital Concept,,-,3,2016
26,77,20.0,9.0,Howard Leigh,12,IAM Cycling,,\u25bc3,3,2016
28,134,20.0,8.0,Benedetti Cesare,13,Bora - Argon 18,,\u25bc5,3,2016
36,12,20.0,10.0,Valverde Alejandro,14,Movistar Team,,\u25bc4,3,2016
22,75,20.0,30.0,Enger Sondre Holst,15,IAM Cycling,,\u25b215,3,2016
29,184,18.0,12.0,Martin Daniel,16,Etixx - Quick Step,,\u25bc4,3,2016
24,67,18.0,13.0,Stuyven Jasper,17,Trek - Segafredo,,\u25bc4,3,2016
31,98,17.0,14.0,Van Avermaet Greg,18,BMC Racing Team,,\u25bc4,3,2016
30,139,17.0,15.0,Voss Paul,19,Bora - Argon 18,,\u25bc4,3,2016
31,133,17.0,16.0,B\xe1rta Jan,20,Bora - Argon 18,,\u25bc4,3,2016
37,179,17.0,,Voeckler Thomas,21,Direct Energie,,-,3,2016
24,216,16.0,25.0,McLay Daniel,22,Fortuneo - Vital Concept,,\u25b23,3,2016
26,212,15.0,18.0,Breen Vegard,23,Fortuneo - Vital Concept,,\u25bc5,3,2016
28,84,15.0,19.0,Howes Alex,24,Cannondale-Drapac Pro Cycling Team,,\u25bc5,3,2016
25,51,14.0,20.0,Kelderman Wilco,25,Team LottoNL-Jumbo,,\u25bc5,3,2016
26,213,13.0,22.0,Delaplace Anthony,26,Fortuneo - Vital Concept,,\u25bc4,3,2016
28,165,12.0,23.0,Gallopin Tony,27,Lotto Soudal,,\u25bc4,3,2016
31,187,11.0,33.0,Sabatini Fabio,28,Etixx - Quick Step,,\u25b25,3,2016
33,186,9.0,35.0,Richeze Ariel Maximiliano,29,Etixx - Quick Step,,\u25b26,3,2016
29,61,8.0,24.0,Mollema Bauke,30,Trek - Segafredo,,\u25bc6,3,2016
31,1,7.0,27.0,Froome Christopher,31,Team Sky,,\u25bc4,3,2016
24,111,7.0,26.0,Barguil Warren,32,Team Giant - Alpecin,,\u25bc6,3,2016
39,167,7.0,28.0,Henderson Gregory,33,Lotto Soudal,,\u25bc5,3,2016
23,53,7.0,,Groenewegen Dylan,34,Team LottoNL-Jumbo,,-,3,2016
36,201,6.0,29.0,Gerrans Simon,35,ORICA-BikeExchange,,\u25bc6,3,2016
26,164,6.0,31.0,Debusschere Jens,36,Lotto Soudal,,\u25bc5,3,2016
27,113,6.0,39.0,Degenkolb John,37,Team Giant - Alpecin,,\u25b22,3,2016
29,81,5.0,32.0,Rolland Pierre,38,Cannondale-Drapac Pro Cycling Team,,\u25bc6,3,2016
23,209,4.0,34.0,Yates Adam,39,ORICA-BikeExchange,,\u25bc5,3,2016
29,163,4.0,,De Gendt Thomas,40,Lotto Soudal,,-,3,2016
28,16,3.0,37.0,Izagirre Gorka,41,Movistar Team,,\u25bc4,3,2016
31,185,3.0,,Martin Tony,42,Etixx - Quick Step,,-,3,2016
26,154,3.0,,Cimolai Davide,43,Lampre - Merida,,-,3,2016
31,146,3.0,36.0,M\xf8rk\xf8v Michael,44,Team Katusha,,\u25bc8,3,2016
37,141,2.0,38.0,Rodr\xedguez Joaquim,45,Team Katusha,,\u25bc7,3,2016
28,142,2.0,40.0,Guarnieri Jacopo,46,Team Katusha,,\u25bc6,3,2016
32,14,2.0,,Erviti Imanol,47,Movistar Team,,-,3,2016
25,15,1.0,,Herrada Jes\xfas,48,Movistar Team,,-,3,2016
29,103,1.0,41.0,Boasson Hagen Edvald,49,Team Dimension Data,,\u25bc8,3,2016
27,13,1.0,42.0,Anacona Winner,50,Movistar Team,,\u25bc8,3,2016
26,32,147.0,2.0,Sagan Peter,1,Tinkoff,,\u25b21,4,2016
31,101,142.0,1.0,Cavendish Mark,2,Team Dimension Data,,\u25bc1,4,2016
28,181,137.0,4.0,Kittel Marcel,3,Etixx - Quick Step,,\u25b21,4,2016
33,161,87.0,3.0,Greipel Andr\xe9,4,Lotto Soudal,,\u25bc1,4,2016
24,171,83.0,5.0,Coquard Bryan,5,Direct Energie,,-,4,2016
29,144,56.0,6.0,Kristoff Alexander,6,Team Katusha,,-,4,2016
25,68,45.0,9.0,Theuns Edward,7,Trek - Segafredo,,\u25b22,4,2016
25,207,38.0,8.0,Matthews Michael,8,ORICA-BikeExchange,,-,4,2016
24,182,37.0,7.0,Alaphilippe Julian,9,Etixx - Quick Step,,\u25bc2,4,2016
22,75,34.0,15.0,Enger Sondre Holst,10,IAM Cycling,,\u25b25,4,2016
24,216,28.0,22.0,McLay Daniel,11,Fortuneo - Vital Concept,,\u25b211,4,2016
23,53,25.0,34.0,Groenewegen Dylan,12,Team LottoNL-Jumbo,,\u25b222,4,2016
23,196,24.0,10.0,Laporte Christophe,13,"Cofidis, Solutions Cr\xe9dits",,\u25bc3,4,2016
27,215,20.0,11.0,Fonseca Armindo,14,Fortuneo - Vital Concept,,\u25bc3,4,2016
32,138,20.0,,Schillinger Andreas,15,Bora - Argon 18,,-,4,2016
28,134,20.0,13.0,Benedetti Cesare,16,Bora - Argon 18,,\u25bc3,4,2016
26,77,20.0,12.0,Howard Leigh,17,IAM Cycling,,\u25bc5,4,2016
36,12,20.0,14.0,Valverde Alejandro,18,Movistar Team,,\u25bc4,4,2016
