Rider,year,stage_scores
Dumoulin Samuel,2004,26.0
Dumoulin Samuel,2005,53.0
Dumoulin Samuel,2006,60.0
Dumoulin Samuel,2008,0.0
Dumoulin Samuel,2010,18.0
Dumoulin Samuel,2011,48.0
Dumoulin Samuel,2015,66.0
Dumoulin Samuel,2016,41.0
Dumoulin Samuel,2017,11.0
Dupont Hubert,2008,0.0
Dupont Hubert,2009,17.0
Duque Leonardo,2007,63.0
Duque Leonardo,2011,7.0
Duque Leonardo,2012,0.0
Duran Arkaitz,2010,26.0
Durand Jacky,2001,17.0
Durand Jacky,2002,75.0
Durand Jacky,2003,0.0
Durasek Kristijan,2013,0.0
Durasek Kristijan,2014,17.0
Durasek Kristijan,2017,0.0
Duret Sebastien,2013,0.0
Duval Julien,2017,0.0
Dyachenko Alexandr,2009,0.0
Edaleine Christophe,2002,32.0
Edaleine Christophe,2003,30.0
Edaleine Christophe,2004,0.0
Edaleine Christophe,2005,0.0
Edaleine Christophe,2006,0.0
Edaleine Christophe,2007,8.0
Edet Nicolas,2012,0.0
Edet Nicolas,2014,0.0
Edet Nicolas,2015,0.0
Edet Nicolas,2018,20.0
Edmondson Alexander,2018,15.0
Edo Angel,2005,0.0
Efimkin Vladimir,2008,47.0
Efimkin Vladimir,2009,42.0
Eichler Markus,2010,0.0
Eijssen Yannick,2013,0.0
Eiking Odd Christian,2018,15.0
Eisel Bernhard,2004,12.0
Ekimov Viatcheslav,1998,45.0
Ekimov Viatcheslav,2000,0.0
Ekimov Viatcheslav,2002,33.0
Ekimov Viatcheslav,2003,25.0
Ekimov Viatcheslav,2004,0.0
El Fares Julien,2009,0.0
El Fares Julien,2010,16.0
El Fares Julien,2017,0.0
Elijzen Michiel,2008,0.0
Elissonde Kenny,2013,0.0
Elissonde Kenny,2014,14.0
Elissonde Kenny,2015,10.0
Eltink Theo,2007,0.0
Engels Addy,2003,0.0
Engels Addy,2006,0.0
Enger Sondre Holst,2016,25.0
Engoulvent Jimmy,2005,15.0
Ermenault Corentin,2018,0.0
Erviti Imanol,2006,0.0
Erviti Imanol,2009,0.0
Erviti Imanol,2010,0.0
Erviti Imanol,2011,0.0
Erviti Imanol,2012,0.0
Erviti Imanol,2013,0.0
Erviti Imanol,2014,25.0
Erviti Imanol,2017,0.0
Erviti Imanol,2018,0.0
Estadieu Laurent,2000,0.0
Estadieu Laurent,2002,0.0
Etxebarria David,2000,52.0
Etxebarria David,2001,0.0
Etxebarria Unai,2001,114.0
Etxebarria Unai,2002,0.0
Evans Cadel,2007,91.0
Evans Cadel,2008,144.0
Evans Cadel,2009,142.0
Evans Cadel,2011,116.0
Evans Cadel,2012,26.0
Fabbro Matteo,2018,0.0
Facci Mauro,2005,0.0
Facci Mauro,2010,0.0
Failli Francesco,2006,0.0
Fairly Caleb,2013,0.0
Fairly Caleb,2015,0.0
Farazijn Peter,1998,0.0
Farazijn Peter,1999,0.0
Farrar Tyler,2011,33.0
Farrar Tyler,2015,0.0
Favilli Elia,2013,12.0
Favilli Elia,2014,7.0
Fedrigo Pierrick,2003,30.0
Fedrigo Pierrick,2004,0.0
