Rnk,BIB,Rider,Age,Team,Pnt,year,stage
1,121,Bennati Daniele,27,Liquigas,189,2008,21
2,61,Sella Emanuele,27,CSF Group - Navigare,138,2008,21
3,151,Ricco Riccardo,24,Saunier Duval,131,2008,21
4,101,Cavendish Mark,23,Team Highroad,106,2008,21
5,131,Bettini Paolo,34,Quickstep - Innergetic,106,2008,21
6,127,Pellizotti Franco,30,Liquigas,96,2008,21
7,1,Di Luca Danilo,32,Team LPR Brakes,87,2008,21
8,22,Contador Alberto,25,Astana,86,2008,21
9,201,Zabel Erik,37,Milram,80,2008,21
10,212,Kiryienka Vasil,26,Tinkoff Credit Systems,76,2008,21
11,111,Bruseghin Marzio,33,Lampre,65,2008,21
12,62,Baliani Fortunato,33,CSF Group - Navigare,65,2008,21
13,161,Simoni Gilberto,36,Serramenti PVC Diquigiovanni-Androni Giocattoli,61,2008,21
14,47,Rodr\xedguez Joaquim,29,Caisse d'Epargne,57,2008,21
15,3,Bosisio Gabriele,27,Team LPR Brakes,53,2008,21
16,141,Menchov Denis,30,Rabobank ProTeam,51,2008,21
17,69,Pozzovivo Domenico,25,CSF Group - Navigare,49,2008,21
18,139,Visconti Giovanni,25,Quickstep - Innergetic,43,2008,21
19,196,Voigt Jens,36,CSC ProTeam,39,2008,21
20,105,Pinotti Marco,32,Team Highroad,39,2008,21
21,178,Van den Broeck Jurgen,25,Silence - Lotto,39,2008,21
22,29,Bazayev Assan,27,Astana,39,2008,21
23,33,Rafael Cardenas F\xe9lix,35,Barloworld,38,2008,21
24,78,Perez Alan,25,Euskaltel - Euskadi,36,2008,21
25,216,Trusov Nikolay,22,Tinkoff Credit Systems,35,2008,21
26,18,Usov Alexandre,30,AG2R La Mondiale,35,2008,21
27,89,Veikkanen Jussi,27,Fran\xe7aise des Jeux,34,2008,21
28,8,Savoldelli Paolo,35,Team LPR Brakes,31,2008,21
29,68,Dall'Antonia Tiziano,24,CSF Group - Navigare,31,2008,21
30,104,Martin Tony,23,Team Highroad,30,2008,21
31,162,Bertolini Alessandro,36,Serramenti PVC Diquigiovanni-Androni Giocattoli,29,2008,21
32,102,Greipel Andr\xe9,25,Team Highroad,29,2008,21
33,87,Roy J\xe9r\xe9my,24,Fran\xe7aise des Jeux,28,2008,21
34,48,Rujano Jos\xe9 Humberto,26,Caisse d'Epargne,25,2008,21
35,132,Efimkin Alexander,26,Quickstep - Innergetic,24,2008,21
36,45,Perez Francisco,29,Caisse d'Epargne,24,2008,21
37,119,Gavazzi Francesco,23,Lampre,23,2008,21
38,51,Buffaz Mickael,29,Cofidis,22,2008,21
39,7,Pietropolli Daniele,27,Team LPR Brakes,22,2008,21
40,44,Lastras Pablo,32,Caisse d'Epargne,22,2008,21
41,34,Cummings Stephen,27,Barloworld,22,2008,21
42,215,Ignatyev Mikhail,23,Tinkoff Credit Systems,22,2008,21
43,125,Nibali Vincenzo,23,Liquigas,21,2008,21
44,93,Fr\xf6hlinger Johannes,22,Gerolsteiner,21,2008,21
45,64,Laverde Luis Felipe,28,CSF Group - Navigare,19,2008,21
46,84,Jegou Lilian,32,Fran\xe7aise des Jeux,19,2008,21
47,11,Valjavec Tadej,31,AG2R La Mondiale,17,2008,21
48,15,Nocentini Rinaldo,30,AG2R La Mondiale,17,2008,21
49,35,Gasparotto Enrico,26,Barloworld,17,2008,21
50,167,Nardello Daniele,35,Serramenti PVC Diquigiovanni-Androni Giocattoli,16,2008,21
51,148,Martens Paul,24,Rabobank ProTeam,15,2008,21
52,219,Serov Alexander,25,Tinkoff Credit Systems,15,2008,21
53,24,Colom Antonio,30,Astana,14,2008,21
54,163,Hondo Danilo,34,Serramenti PVC Diquigiovanni-Androni Giocattoli,14,2008,21
55,109,Wiggins Bradley,28,Team Highroad,14,2008,21
56,25,Iglinskiy Maxim,27,Astana,13,2008,21
57,143,de Groot Bram,33,Rabobank ProTeam,13,2008,21
58,14,Mangel Laurent,27,AG2R La Mondiale,12,2008,21
59,184,Millar David,31,,11,2008,21
60,186,Pate Danny,29,,10,2008,21
61,21,Leipheimer Levi,34,Astana,9,2008,21
62,149,Ardila Mauricio Alberto,29,Rabobank ProTeam,9,2008,21
63,188,Vande Velde Christian,32,,8,2008,21
64,114,Loosli David,28,Lampre,8,2008,21
65,65,Perez Cuapio Julio Alberto,30,CSF Group - Navigare,8,2008,21
66,211,Petrov Evgeni,30,Tinkoff Credit Systems,8,2008,21
68,106,Possoni Morris,23,Team Highroad,7,2008,21
69,23,Gusev Vladimir,25,Astana,7,2008,21
70,128,Vanotti Alessandro,27,Liquigas,6,2008,21
71,205,Jur\u010do Matej,23,Milram,5,2008,21
72,194,Larsson Gustav,27,CSC ProTeam,5,2008,21
73,193,S\xf8rensen Chris Anker,23,CSC ProTeam,5,2008,21
74,135,Garate Juan Manuel,32,Quickstep - Innergetic,5,2008,21
75,116,Spilak Simon,21,Lampre,5,2008,21
76,197,Blaudzun Michael,35,CSC ProTeam,5,2008,21
77,209,Velo Marco,34,Milram,5,2008,21
78,195,McCartney Jason,34,CSC ProTeam,5,2008,21
79,124,Miholjevic Vladimir,34,Liquigas,4,2008,21
80,138,Tonti Andrea,36,Quickstep - Innergetic,4,2008,21
81,9,Spezialetti Alessandro,33,Team LPR Brakes,4,2008,21
82,39,Thomas Geraint,22,Barloworld,4,2008,21
83,56,Huguet Yann,24,Cofidis,4,2008,21
84,85,le Boulanger Yoann,32,Fran\xe7aise des Jeux,3,2008,21
85,198,S\xf8rensen Nicki,33,CSC ProTeam,3,2008,21
86,5,Ermeti Giairo,27,Team LPR Brakes,3,2008,21
87,103,Hansen Adam,27,Team Highroad,3,2008,21
88,43,Karpets Vladimir,27,Caisse d'Epargne,2,2008,21
89,6,Gol\u010der Jure,30,Team LPR Brakes,2,2008,21
90,179,Van Huffel Wim,29,Silence - Lotto,2,2008,21
91,166,Missaglia Gabriele,37,Serramenti PVC Diquigiovanni-Androni Giocattoli,2,2008,21
92,46,Perget Mathieu,23,Caisse d'Epargne,2,2008,21
93,4,Chiarini Riccardo,24,Team LPR Brakes,2,2008,21
