Age,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,Time won/lost,stage,year
26,1,+0:00,,McGee Bradley,1,La Fran\xe7aise des Jeux,4:14 4:14,+0:00,0,2002
23,2,+0:01,,Cooke Baden,2,La Fran\xe7aise des Jeux,0:01 0:01,+0:01,0,2002
29,3,+0:02,,Kjaergaard Steffen,3,US Postal Service,0:02 0:02,+0:02,0,2002
22,4,+0:03,,Chavanel Sylvain,4,Bonjour,0:03 0:03,+0:03,0,2002
30,5,+0:04,,Armstrong Lance,5,US Postal Service,0:04 0:04,+0:04,0,2002
30,6,+0:04,,Mattan Nico,6,Cofidis,",, 0:04",+0:04,0,2002
29,7,+0:05,,Asmaker Olivier,7,CSC ProTeam - Tiscali,0:05 0:05,+0:05,0,2002
33,8,+0:05,,Seigneur Eddy,8,Jean Delatour,",, 0:05",+0:05,0,2002
35,9,+0:05,,Durand Jacky,9,La Fran\xe7aise des Jeux,",, 0:05",+0:05,0,2002
31,10,+0:05,,Rous Didier,10,Bonjour,",, 0:05",+0:05,0,2002
25,11,+0:05,,Millar David,11,Cofidis,",, 0:05",+0:05,0,2002
25,12,+0:06,,Sevilla Oscar,12,Kelme - Costa Blanca,0:06 0:06,+0:06,0,2002
27,13,+0:06,,Gutierrez Jose Enrique,13,Kelme - Costa Blanca,",, 0:06",+0:06,0,2002
22,14,+0:06,,Edaleine Christophe,14,Jean Delatour,",, 0:06",+0:06,0,2002
28,15,+0:07,,Tauler Toni,15,Kelme - Costa Blanca,0:07 0:07,+0:07,0,2002
36,16,+0:07,,Ekimov Viatcheslav,16,US Postal Service,",, 0:07",+0:07,0,2002
33,17,+0:07,,Jalabert Laurent,17,CSC ProTeam - Tiscali,",, 0:07",+0:07,0,2002
29,18,+0:08,,Beneteau Walter,18,Bonjour,0:08 0:08,+0:08,0,2002
22,19,+0:08,,Astarloza Mikel,19,AG2R Pr\xe9voyance,",, 0:08",+0:08,0,2002
29,20,+0:08,,Rubiera Jos\xe9 Luis,20,US Postal Service,",, 0:08",+0:08,0,2002
28,21,+0:08,,Bouyer Franck,21,Bonjour,",, 0:08",+0:08,0,2002
26,22,+0:09,,van Dijk Stefan,22,Lotto - Adecco,0:09 0:09,+0:09,0,2002
22,23,+0:09,,Plaza Rub\xe9n,23,Ibanesto.com,",, 0:09",+0:09,0,2002
25,24,+0:09,,Zubeldia Haimar,24,Euskaltel - Euskadi,",, 0:09",+0:09,0,2002
29,25,+0:09,,Botero Santiago,25,Kelme - Costa Blanca,",, 0:09",+0:09,0,2002
24,26,+0:09,,S\xe1nchez Samuel,26,Euskaltel - Euskadi,",, 0:09",+0:09,0,2002
27,27,+0:09,,Morin Anthony,27,Cr\xe9dit Agricole,",, 0:09",+0:09,0,2002
31,28,+0:09,,Heulot Stephane,28,BigMat - Auber 93,",, 0:09",+0:09,0,2002
28,29,+0:09,,Halgand Patrice,29,Jean Delatour,",, 0:09",+0:09,0,2002
26,30,+0:09,,Joachim Benoit,30,US Postal Service,",, 0:09",+0:09,0,2002
27,31,+0:10,,Pe\xf1a Victor Hugo,31,US Postal Service,0:10 0:10,+0:10,0,2002
24,32,+0:10,,Laurent Christophe,32,Jean Delatour,",, 0:10",+0:10,0,2002
31,33,+0:10,,Vasseur C\xe9dric,33,Cofidis,",, 0:10",+0:10,0,2002
30,34,+0:10,,Guesdon Fr\xe9d\xe9ric,34,La Fran\xe7aise des Jeux,",, 0:10",+0:10,0,2002
25,35,+0:10,,Lefevre Laurent,35,Jean Delatour,",, 0:10",+0:10,0,2002
31,36,+0:11,,Padrnos Pavel,36,US Postal Service,0:11 0:11,+0:11,0,2002
30,37,+0:11,,Sivakov Alexei,37,BigMat - Auber 93,",, 0:11",+0:11,0,2002
29,38,+0:11,,Etxebarria Unai,38,Euskaltel - Euskadi,",, 0:11",+0:11,0,2002
28,39,+0:11,,Renier Franck,39,Bonjour,",, 0:11",+0:11,0,2002
33,40,+0:11,,Simon Fran\xe7ois,40,Bonjour,",, 0:11",+0:11,0,2002
29,41,+0:11,,Jalabert Nicolas,41,CSC ProTeam - Tiscali,",, 0:11",+0:11,0,2002
30,42,+0:11,,Peron Andrea,42,CSC ProTeam - Tiscali,",, 0:11",+0:11,0,2002
28,43,+0:11,,Moerenhout Koos,43,Domo - Farm Frites,",, 0:11",+0:11,0,2002
21,44,+0:12,,Van Impe Kevin,44,Lotto - Adecco,0:12 0:12,+0:12,0,2002
27,45,+0:12,,Bruseghin Marzio,45,Ibanesto.com,",, 0:12",+0:12,0,2002
28,46,+0:12,,Mikhailov Guennady,46,Lotto - Adecco,",, 0:12",+0:12,0,2002
26,47,+0:12,,Landis Floyd,47,US Postal Service,",, 0:12",+0:12,0,2002
29,48,+0:12,,Baranowski Dariusz,48,Ibanesto.com,",, 0:12",+0:12,0,2002
30,49,+0:12,,van de Wouwer Kurt,49,Lotto - Adecco,",, 0:12",+0:12,0,2002
28,50,+0:12,,Pichon Mickael,50,Bonjour,",, 0:12",+0:12,0,2002
24,51,+0:12,,Talabardon S\xe9bastien,51,BigMat - Auber 93,",, 0:12",+0:12,0,2002
27,52,+0:12,,Jenner Christopher,52,Cr\xe9dit Agricole,",, 0:12",+0:12,0,2002
21,53,+0:13,,van Goolen Jurgen,53,Domo - Farm Frites,0:13 0:13,+0:13,0,2002
25,54,+0:13,,Arrizabalaga Gorka,54,Euskaltel - Euskadi,",, 0:13",+0:13,0,2002
