Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
25,32,5.0,+0:07,,,Brard Florent,1,Festina,9:27 9:27,0,2001,
25,186,12.0,+0:15,,,McGee Bradley,2,La Française des Jeux,0:08 0:08,0,2001,
23,104,19.0,+0:17,,,Hushovd Thor,3,Crédit Agricole,0:10 0:10,0,2001,
24,26,22.0,+0:18,,,Jaksche Jörg,4,O.N.C.E. - Eroski,0:11 0:11,0,2001,
22,173,32.0,+0:24,,,Bertogliati Rubens,5,Lampre - Daikin,0:17 0:17,0,2001,
25,177,33.0,+0:24,,,Pinotti Marco,6,Lampre - Daikin,",, 0:17",0,2001,
22,25,41.0,+0:26,,,Gutiérrez José Iván,7,O.N.C.E. - Eroski,0:19 0:19,0,2001,
25,172,52.0,+0:28,,,Belohvoščiks Raivis,8,Lampre - Daikin,0:21 0:21,0,2001,
23,189,56.0,+0:29,,,Vogondy Nicolas,9,La Française des Jeux,0:22 0:22,0,2001,
22,164,57.0,+0:30,,,Chavanel Sylvain,10,Bonjour,0:23 0:23,0,2001,
25,9,61.0,+0:31,,,Vande Velde Christian,11,US Postal Service,0:24 0:24,0,2001,
25,91,64.0,+0:32,,,Mancebo Francisco,12,Ibanesto.com,0:25 0:25,0,2001,
24,176,68.0,+0:32,,,Hunter Robert,13,Lampre - Daikin,",, 0:25",0,2001,
24,157,88.0,+0:38,,,Sevilla Óscar,14,Kelme - Costa Blanca,0:31 0:31,0,2001,
24,119,96.0,+0:40,,,Zubeldia Haimar,15,Euskaltel - Euskadi,0:33 0:33,0,2001,
24,71,110.0,+0:42,,,Millar David,16,Cofidis,0:35 0:35,0,2001,
25,181,114.0,+0:43,,,Montgomery Sven,17,La Française des Jeux,0:36 0:36,0,2001,
25,95,133.0,+0:48,,,Jiménez Eladio,18,Ibanesto.com,0:41 0:41,0,2001,
24,116,135.0,+0:48,,,Flores Iker,19,Euskaltel - Euskadi,",, 0:41",0,2001,
23,209,136.0,+0:49,,,Talabardon Sébastien,20,BigMat - Auber 93,0:42 0:42,0,2001,
23,96,152.0,+0:52,,,Menchov Denis,21,Ibanesto.com,0:45 0:45,0,2001,
