Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
28,,22,1.0,+0:00,30.0,Cavendish Mark,1,Omega Pharma - Quick-Step,4:44:17 4:44:17,20.0,1,2014
25,,84,2.0,+0:04,18.0,Degenkolb John,2,Team Giant - Shimano,",, ,,",14.0,1,2014
22,,74,3.0,+0:06,12.0,Hofland Moreno,3,Belkin-Pro Cycling Team,",, ,,",8.0,1,2014
24,,61,5.0,+0:10,7.0,Sagan Peter,4,Cannondale,",, ,,",7.0,1,2014
20,,35,6.0,+0:10,4.0,van Poppel Danny,5,Trek Factory Racing,",, ,,",6.0,1,2014
24,,63,7.0,+0:10,3.0,Boivin Guillaume,6,Cannondale,",, ,,",5.0,1,2014
25,,126,8.0,+0:10,2.0,Young Eric,7,Optum p/b Kelly Benefit Strategies,",, ,,",4.0,1,2014
27,,51,9.0,+0:10,1.0,Goss Matthew,8,Orica GreenEDGE,",, ,,",2.0,1,2014
23,,5,10.0,+0:10,,Phinney Taylor,9,BMC Racing Team,",, ,,",,1,2014
29,,96,11.0,+0:10,,Murphy John,10,UnitedHealthcare Pro Cycling Team,",, ,,",,1,2014
20,,152,12.0,+0:10,,Br\xf8chner Nicolai,11,Bissell Development Team,",, ,,",,1,2014
22,,151,13.0,+0:10,,Putt Tanner,12,Bissell Development Team,",, ,,",,1,2014
32,,94,14.0,+0:10,,Hanson Ken,13,UnitedHealthcare Pro Cycling Team,",, ,,",,1,2014
21,,155,15.0,+0:10,,Eastman Ryan,14,Bissell Development Team,",, ,,",,1,2014
22,,34,16.0,+0:10,,Stuyven Jasper,15,Trek Factory Racing,",, ,,",,1,2014
29,,114,17.0,+0:10,,Verschoor Martijn,16,Team Novo Nordisk,",, ,,",,1,2014
26,,103,18.0,+0:10,,Dempster Zakkari,17,Team NetApp \u2013 Endura,",, ,,",,1,2014
33,,141,19.0,+0:10,,Haedo Juan Jose,18,Jamis - Hagens Berman,",, ,,",,1,2014
36,,2,20.0,+0:10,,Hushovd Thor,19,BMC Racing Team,",, ,,",,1,2014
21,,88,21.0,+0:10,,Olivier Daan,20,Team Giant - Shimano,",, ,,",,1,2014
25,,85,22.0,+0:10,,Haga Chad,21,Team Giant - Shimano,",, ,,",,1,2014
