Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
22,12,58,+15:28,,28,Dombrowski Joe,58,Sky Procycling,15:28 15:28,+10:11,,\u25bc30,4,2013
21,105,59,+15:50,,59,Koch Michel,59,Cannondale Pro Cycling Team,15:50 15:50,+0:00,,-,4,2013
29,194,60,+16:20,,60,Haussler Heinrich,60,IAM Cycling,16:20 16:20,+0:00,,-,4,2013
32,155,61,+16:46,,61,Oroz Juan Jos\xe9,61,Euskaltel - Euskadi,16:46 16:46,+0:00,,-,4,2013
28,135,62,+17:02,,62,Impey Daryl,62,Orica GreenEDGE,17:02 17:02,+0:00,,-,4,2013
32,88,63,+17:10,,63,Riblon Christophe,63,AG2R La Mondiale,17:10 17:10,+0:00,,-,4,2013
27,163,64,+18:04,,64,Jeannesson Arnold,64,FDJ.fr,18:04 18:04,+0:00,,-,4,2013
26,186,65,+19:03,,66,Peterson Tom,65,Team Argos - Shimano,19:03 19:03,+0:00,,\u25b21,4,2013
39,127,66,+19:21,,67,Tosatto Matteo,66,Team Saxo - Tinkoff,19:21 19:21,+0:00,,\u25b21,4,2013
27,95,67,+19:32,,68,Stortoni Simone,67,Lampre - Merida,19:32 19:32,+0:00,,\u25b21,4,2013
29,72,68,+19:34,,69,Burghardt Marcus,68,BMC Racing Team,19:34 19:34,+0:00,,\u25b21,4,2013
29,86,69,+19:53,,70,Montaguti Matteo,69,AG2R La Mondiale,19:53 19:53,+0:00,,\u25b21,4,2013
22,182,70,+20:22,,71,Dumoulin Tom,70,Team Argos - Shimano,20:22 20:22,+0:00,,\u25b21,4,2013
30,84,71,+20:37,,72,Minard S\xe9bastien,71,AG2R La Mondiale,20:37 20:37,+0:00,,\u25b21,4,2013
28,46,72,+20:40,,65,Vandewalle Kristof,72,Omega Pharma - Quick-Step,20:40 20:40,+1:56,,\u25bc7,4,2013
31,207,73,+20:44,,74,Pauriol R\xe9mi,73,Sojasun,20:44 20:44,+0:00,,\u25b21,4,2013
25,141,74,+20:56,,75,Bulgac Brian,74,Lotto Belisol Team,20:56 20:56,+0:00,,\u25b21,4,2013
29,173,75,+20:59,,76,Marczynski Tomasz,75,Vacansoleil - DCM,20:59 20:59,+0:00,,\u25b21,4,2013
34,193,76,+21:11,,77,Elmiger Martin,76,IAM Cycling,21:11 21:11,+0:00,,\u25b21,4,2013
28,37,77,+21:14,,78,Schleck Andy,77,RadioShack - Leopard,21:14 21:14,+0:00,,\u25b21,4,2013
30,152,78,+21:27,,80,Azanza Jorge,78,Euskaltel - Euskadi,21:27 21:27,+0:00,,\u25b22,4,2013
28,176,79,+22:06,,79,Selvaggi Mirko,79,Vacansoleil - DCM,22:06 22:06,+0:43,,-,4,2013
26,185,80,+22:08,,81,Gretsch Patrick,80,Team Argos - Shimano,22:08 22:08,+0:00,,\u25b21,4,2013
37,16,81,+22:13,,82,Rasch Gabriel,81,Sky Procycling,22:13 22:13,+0:00,,\u25b21,4,2013
41,38,82,+22:25,,73,Voigt Jens,82,RadioShack - Leopard,22:25 22:25,+1:46,,\u25bc9,4,2013
25,102,83,+22:27,,83,Caruso Damiano,83,Cannondale Pro Cycling Team,22:27 22:27,+0:00,,-,4,2013
32,36,84,+22:29,,84,Roulston Hayden,84,RadioShack - Leopard,22:29 22:29,+0:00,,-,4,2013
27,74,85,+22:39,,85,Kohler Martin,85,BMC Racing Team,22:39 22:39,+0:00,,-,4,2013
32,94,86,+22:57,,86,Mori Manuele,86,Lampre - Merida,22:57 22:57,+0:00,,-,4,2013
28,6,87,+23:34,,87,Rojas Jos\xe9 Joaqu\xedn,87,Movistar Team,23:34 23:34,+0:00,,-,4,2013
34,178,88,+23:36,,88,Veuchelen Frederik,88,Vacansoleil - DCM,23:36 23:36,+0:00,,-,4,2013
