Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
21,122,23,+4:39,,14.0,Conci Nicola,23,Trek - Segafredo,4:39 4:39,+3:32,,\u25bc9,4,2018
28,24,24,+5:22,,26.0,Rosskopf Joey,24,BMC Racing Team,5:22 5:22,+1:29,,\u25b22,4,2018
29,167,25,+5:26,,27.0,Tvetcov Serghei,25,UnitedHealthcare Pro Cycling Team,5:26 5:26,+1:00,,\u25b22,4,2018
23,154,26,+5:39,,21.0,Eisenhart Taylor,26,Holowesko - Citadel p/b Arapahoe Resources,5:39 5:39,+3:31,,\u25bc5,4,2018
23,53,27,+6:30,,25.0,Fabbro Matteo,27,Team Katusha - Alpecin,6:30 6:30,+3:18,,\u25bc2,4,2018
20,85,28,+6:38,,29.0,Sivakov Pavel,28,Team Sky,6:38 6:38,+1:16,,\u25b21,4,2018
33,72,29,+7:48,,35.0,Bauer Jack,29,Mitchelton-Scott,7:48 7:48,+0:55,,\u25b26,4,2018
23,32,30,+8:33,,33.0,Asgreen Kasper,30,Quick-Step Floors,8:33 8:33,+2:07,,\u25b23,4,2018
30,96,31,+8:54,,28.0,Gautier Cyril,31,AG2R La Mondiale,8:54 8:54,+3:32,,\u25bc3,4,2018
21,105,32,+9:00,,31.0,Oliveira Ivo,32,Hagens Berman Axeon,9:00 9:00,+3:01,,\u25bc1,4,2018
31,25,33,+9:12,,37.0,Schar Michael,33,BMC Racing Team,9:12 9:12,+1:41,,\u25b24,4,2018
27,22,34,+9:50,,45.0,Bevin Patrick,34,BMC Racing Team,9:50 9:50,+0:07,,\u25b211,4,2018
21,36,35,+10:01,,30.0,Narvaez Jhonatan,35,Quick-Step Floors,10:01 10:01,+4:06,,\u25bc5,4,2018
25,142,36,+11:00,,34.0,Ait El Abdia Anass,36,UAE-Team Emirates,11:00 11:00,+4:26,,\u25bc2,4,2018
26,2,37,+11:05,,32.0,De Tier Floris,37,Team LottoNL-Jumbo,11:05 11:05,+4:42,,\u25bc5,4,2018
24,83,38,+11:34,,39.0,Henao Sebasti\xe1n,38,Team Sky,11:34 11:34,+3:44,,\u25b21,4,2018
29,155,39,+11:47,,36.0,Krasilnikau Andrei,39,Holowesko - Citadel p/b Arapahoe Resources,11:47 11:47,+4:17,,\u25bc3,4,2018
28,45,40,+11:55,,38.0,Slagter Tom-Jelte,40,Team Dimension Data,11:55 11:55,+4:17,,\u25bc2,4,2018
24,56,41,+11:58,,47.0,Politt Nils,41,Team Katusha - Alpecin,11:58 11:58,+0:59,,\u25b26,4,2018
22,133,42,+11:58,,42.0,Hindley Jai,42,Team Sunweb,",, 11:58",+3:17,,-,4,2018
32,27,43,+12:09,,41.0,Wyss Danilo,43,BMC Racing Team,12:09 12:09,+3:40,,\u25bc2,4,2018
30,95,44,+12:24,,46.0,Gastauer Ben,44,AG2R La Mondiale,12:24 12:24,+2:39,,\u25b22,4,2018
28,16,45,+12:50,,44.0,Poljanski Pawel,45,BORA - hansgrohe,12:50 12:50,+3:54,,\u25bc1,4,2018
26,131,46,+14:46,,50.0,Arndt Nikias,46,Team Sunweb,14:46 14:46,+1:19,,\u25b24,4,2018
26,43,47,+15:27,,43.0,Morton Lachlan,47,Team Dimension Data,15:27 15:27,+6:38,,\u25bc4,4,2018
27,91,48,+16:10,,40.0,Naesen Oliver,48,AG2R La Mondiale,16:10 16:10,+8:08,,\u25bc8,4,2018
30,114,49,+16:38,,51.0,Howes Alex,49,Team EF Education First-Drapac p/b Cannondale,16:38 16:38,+3:04,,\u25b22,4,2018
34,97,50,+16:44,,49.0,Vandenbergh Stijn,50,AG2R La Mondiale,16:44 16:44,+3:32,,\u25bc1,4,2018
23,3,51,+17:10,,48.0,Kuss Sepp,51,Team LottoNL-Jumbo,17:10 17:10,+6:02,,\u25bc3,4,2018
28,47,52,+18:04,,53.0,Vermote Julien,52,Team Dimension Data,18:04 18:04,+3:17,,\u25b21,4,2018
31,112,53,+18:13,,55.0,Clarke Simon,53,Team EF Education First-Drapac p/b Cannondale,18:13 18:13,+2:12,,\u25b22,4,2018
31,125,54,+19:27,,52.0,Reijnen Kiel,54,Trek - Segafredo,19:27 19:27,+5:20,,\u25bc2,4,2018
27,93,55,+19:29,,59.0,Dillier Silvan,55,AG2R La Mondiale,19:29 19:29,+1:49,,\u25b24,4,2018
28,84,56,+19:48,,56.0,Rowe Luke,56,Team Sky,19:48 19:48,+3:19,,-,4,2018
32,46,57,+21:00,,54.0,Thomson Jay Robert,57,Team Dimension Data,21:00 21:00,+5:20,,\u25bc3,4,2018
26,113,58,+21:01,,69.0,Craddock Lawson,58,Team EF Education First-Drapac p/b Cannondale,21:01 21:01,+0:46,,\u25b211,4,2018
28,11,59,+21:15,,58.0,Sagan Peter,59,BORA - hansgrohe,21:15 21:15,+3:39,,\u25bc1,4,2018
26,127,60,+22:12,,64.0,Stuyven Jasper,60,Trek - Segafredo,22:12 22:12,+3:28,,\u25b24,4,2018
20,106,61,+22:13,,62.0,Philipsen Jasper,61,Hagens Berman Axeon,22:13 22:13,+3:29,,\u25b21,4,2018
32,55,62,+22:31,,71.0,Hollenstein Reto,62,Team Katusha - Alpecin,22:31 22:31,+1:56,,\u25b29,4,2018
36,6,63,+22:37,,66.0,Wynants Maarten,63,Team LottoNL-Jumbo,22:37 22:37,+3:52,,\u25b23,4,2018
26,75,64,+23:26,,77.0,Hepburn Michael,64,Mitchelton-Scott,23:26 23:26,+1:15,,\u25b213,4,2018
23,73,65,+23:43,,57.0,Ewan Caleb,65,Mitchelton-Scott,23:43 23:43,+6:13,,\u25bc8,4,2018
26,143,66,+23:46,,67.0,Bystr\xf8m Sven Erik,66,UAE-Team Emirates,23:46 23:46,+4:23,,\u25b21,4,2018
30,141,67,+24:21,,63.0,Kristoff Alexander,67,UAE-Team Emirates,24:21 24:21,+5:37,,\u25bc4,4,2018
24,156,68,+24:23,,65.0,Lienhard Fabian,68,Holowesko - Citadel p/b Arapahoe Resources,24:23 24:23,+5:39,,\u25bc3,4,2018
29,77,69,+24:44,,60.0,Mezgec Luka,69,Mitchelton-Scott,24:44 24:44,+6:31,,\u25bc9,4,2018
31,165,70,+24:48,,68.0,Norris Lachlan,70,UnitedHealthcare Pro Cycling Team,24:48 24:48,+5:25,,\u25bc2,4,2018
21,145,71,+25:16,,81.0,Ganna Filippo,71,UAE-Team Emirates,25:16 25:16,+0:49,,\u25b210,4,2018
29,164,72,+25:37,,61.0,McCabe Travis,72,UnitedHealthcare Pro Cycling Team,25:37 25:37,+7:24,,\u25bc11,4,2018
23,31,73,+25:55,,75.0,Gaviria Fernando,73,Quick-Step Floors,25:55 25:55,+3:54,,\u25b22,4,2018
28,61,74,+25:57,,80.0,Huffman Evan,74,Rally Cycling,25:57 25:57,+1:34,,\u25b26,4,2018
35,37,75,+26:21,,73.0,Richeze Ariel Maximiliano,75,Quick-Step Floors,26:21 26:21,+5:08,,\u25bc2,4,2018
40,74,76,+26:22,,76.0,Hayman Mathew,76,Mitchelton-Scott,26:22 26:22,+4:11,,-,4,2018
25,135,77,+26:28,,70.0,Teunissen Mike,77,Team Sunweb,26:28 26:28,+6:00,,\u25bc7,4,2018
29,54,78,+26:30,,72.0,Haas Nathan,78,Team Katusha - Alpecin,26:30 26:30,+5:40,,\u25bc6,4,2018
35,163,79,+26:51,,74.0,Haedo Lucas Sebastian,79,UnitedHealthcare Pro Cycling Team,26:51 26:51,+5:38,,\u25bc5,4,2018
26,87,80,+26:58,,79.0,Wisniowski Lukasz,80,Team Sky,26:58 26:58,+2:55,,\u25bc1,4,2018
22,107,81,+26:58,,78.0,Rice Michael,81,Hagens Berman Axeon,",, 26:58",+4:47,,\u25bc3,4,2018
38,124,82,+29:11,,88.0,Rast Gregory,82,Trek - Segafredo,29:11 29:11,+4:37,,\u25b26,4,2018
19,101,83,+29:26,,104.0,Bjerg Mikkel,83,Hagens Berman Axeon,29:26 29:26,+0:53,,\u25b221,4,2018
33,12,84,+29:30,,102.0,Bodnar Maciej,84,BORA - hansgrohe,29:30 29:30,+0:57,,\u25b218,4,2018
26,166,85,+29:30,,84.0,Putt Tanner,85,UnitedHealthcare Pro Cycling Team,",, 29:30",+5:02,,\u25bc1,4,2018
22,92,86,+29:32,,91.0,Cosnefroy Benoit,86,AG2R La Mondiale,29:32 29:32,+3:39,,\u25b25,4,2018
20,104,87,+29:33,,92.0,Garrison Ian,87,Hagens Berman Axeon,29:33 29:33,+2:54,,\u25b25,4,2018
27,111,88,+29:35,,99.0,Phinney Taylor,88,Team EF Education First-Drapac p/b Cannondale,29:35 29:35,+1:02,,\u25b211,4,2018
22,42,89,+29:46,,82.0,Davies Scott,89,Team Dimension Data,29:46 29:46,+5:19,,\u25bc7,4,2018
30,86,90,+30:04,,90.0,Stannard Ian,90,Team Sky,30:04 30:04,+5:30,,-,4,2018
33,151,91,+30:08,,85.0,Murphy John,91,Holowesko - Citadel p/b Arapahoe Resources,30:08 30:08,+5:34,,\u25bc6,4,2018
32,4,92,+30:20,,89.0,Leezer Tom,92,Team LottoNL-Jumbo,30:20 30:20,+5:46,,\u25bc3,4,2018
24,64,93,+30:48,,83.0,De Vos Adam,93,Rally Cycling,30:48 30:48,+6:20,,\u25bc10,4,2018
29,146,94,+31:06,,87.0,Mirza Yousef Mohamed,94,UAE-Team Emirates,31:06 31:06,+6:32,,\u25bc7,4,2018
22,26,95,+31:11,,103.0,Van Hooydonck Nathan,95,BMC Racing Team,31:11 31:11,+2:38,,\u25b28,4,2018
21,34,96,+31:33,,95.0,Hodeg \xc1lvaro Jos\xe9,96,Quick-Step Floors,31:33 31:33,+3:01,,\u25bc1,4,2018
25,63,97,+31:37,,93.0,Carpenter Robin,97,Rally Cycling,31:37 31:37,+3:08,,\u25bc4,4,2018
32,132,98,+31:42,,86.0,Fr\xf6hlinger Johannes,98,Team Sunweb,31:42 31:42,+7:08,,\u25bc12,4,2018
31,15,99,+31:45,,107.0,Oss Daniel,99,BORA - hansgrohe,31:45 31:45,+3:12,,\u25b28,4,2018
35,35,100,+32:26,,109.0,Keisse Iljo,100,Quick-Step Floors,32:26 32:26,+3:22,,\u25b29,4,2018
24,136,101,+32:56,,96.0,Walscheid Max,101,Team Sunweb,32:56 32:56,+4:23,,\u25bc5,4,2018
24,57,102,+32:57,,101.0,Zabel Rick,102,Team Katusha - Alpecin,32:57 32:57,+4:24,,\u25bc1,4,2018
26,116,103,+33:24,,97.0,McLay Daniel,103,Team EF Education First-Drapac p/b Cannondale,33:24 33:24,+4:51,,\u25bc6,4,2018
39,67,104,+33:43,,106.0,Pate Danny,104,Rally Cycling,33:43 33:43,+5:10,,\u25b22,4,2018
27,65,105,+33:51,,98.0,Magner Ty,105,Rally Cycling,33:51 33:51,+5:18,,\u25bc7,4,2018
32,41,106,+33:59,,111.0,Cavendish Mark,106,Team Dimension Data,33:59 33:59,+4:16,,\u25b25,4,2018
23,117,107,+34:02,,100.0,Owen Logan,107,Team EF Education First-Drapac p/b Cannondale,34:02 34:02,+5:29,,\u25bc7,4,2018
32,76,108,+34:06,,108.0,Kluge Roger,108,Mitchelton-Scott,34:06 34:06,+5:17,,-,4,2018
23,152,109,+34:07,,105.0,Bryon Miguel,109,Holowesko - Citadel p/b Arapahoe Resources,34:07 34:07,+5:34,,\u25bc4,4,2018
33,162,110,+34:26,,94.0,Clarke Jonathan,110,UnitedHealthcare Pro Cycling Team,34:26 34:26,+5:55,,\u25bc16,4,2018
35,44,111,+35:02,,110.0,Renshaw Mark,111,Team Dimension Data,35:02 35:02,+5:32,,\u25bc1,4,2018
27,153,112,+35:08,,114.0,Companioni Ruben,112,Holowesko - Citadel p/b Arapahoe Resources,35:08 35:08,+4:14,,\u25b22,4,2018
33,134,113,+35:38,,112.0,Stamsnijder Tom,113,Team Sunweb,35:38 35:38,+5:53,,\u25bc1,4,2018
30,51,114,+36:31,,113.0,Kittel Marcel,114,Team Katusha - Alpecin,36:31 36:31,+6:07,,\u25bc1,4,2018
25,13,115,+43:56,,115.0,Kol\xe1\u0159 Michael,115,BORA - hansgrohe,43:56 43:56,+5:26,,-,4,2018
29,17,116,+47:42,,116.0,Sagan Juraj,116,BORA - hansgrohe,47:42 47:42,+5:48,,-,4,2018
29,23,1,+0:00,,1.0,van Garderen Tejay,1,BMC Racing Team,16:55:29 16:55:29,+0:00,6.0,-,5,2018
21,81,2,+0:23,,2.0,Bernal Egan Arley,2,Team Sky,0:23 0:23,+0:00,,-,5,2018
22,115,3,+0:37,,3.0,Martinez Daniel Felipe,3,Team EF Education First-Drapac p/b Cannondale,0:37 0:37,+0:00,,-,5,2018
25,71,4,+1:07,,5.0,Yates Adam,4,Mitchelton-Scott,1:07 1:07,+0:00,,\u25b21,5,2018
23,82,5,+1:15,,4.0,Geoghegan Hart Tao,5,Team Sky,1:15 1:15,+0:23,,\u25bc1,5,2018
28,14,6,+1:29,,6.0,Majka Rafa\u0142,6,BORA - hansgrohe,1:29 1:29,+0:00,,-,5,2018
20,66,7,+2:08,,7.0,McNulty Brandon,7,Rally Cycling,2:08 2:08,+0:00,,-,5,2018
22,33,8,+2:13,,8.0,De Plus Laurens,8,Quick-Step Floors,2:13 2:13,+0:00,,-,5,2018
30,144,9,+2:15,,9.0,Durasek Kristijan,9,UAE-Team Emirates,2:15 2:15,+0:00,,-,5,2018
34,21,10,+2:34,,10.0,Bookwalter Brent,10,BMC Racing Team,2:34 2:34,+0:00,,-,5,2018
31,94,11,+2:36,,11.0,Frank Mathias,11,AG2R La Mondiale,2:36 2:36,+0:00,,-,5,2018
22,102,12,+2:56,,12.0,Barta William,12,Hagens Berman Axeon,2:56 2:56,+0:00,,-,5,2018
