Rnk,Rider,Age,Team,Pnt,year,stage
1,Zabel Erik,30,Team Telekom,69,2001,9
2,Ruskys Saulius,27,Gerolsteiner,67,2001,9
3,Vinokourov Alexandre,27,Team Telekom,56,2001,9
4,Jalabert Laurent,32,CSC ProTeam - Tiscali,49,2001,9
5,Simoni Gilberto,29,Lampre - Daikin,44,2001,9
6,Armstrong Lance,29,US Postal Service,43,2001,9
7,McEwen Robbie,29,Domo - Farm Frites,40,2001,9
8,Camenzind Oscar,29,Lampre - Daikin,38,2001,9
9,Bettini Paolo,27,Mapei - Quickstep,35,2001,9
10,Zberg Beat,30,Rabobank ProTeam,33,2001,9
11,Belli Wladimir,30,Fassa Bortolo,30,2001,9
12,Garzelli Stefano,27,Mapei - Quickstep,29,2001,9
13,Hunter Robert,24,Lampre - Daikin,29,2001,9
14,Konishev Dimitri,35,Fassa Bortolo,28,2001,9
15,Magnien Emmanuel,30,La Fran\xe7aise des Jeux,26,2001,9
16,Nazon Jean-Patrick,24,La Fran\xe7aise des Jeux,26,2001,9
17,Ivanov Serguei,26,Fassa Bortolo,25,2001,9
18,Garate Juan Manuel,25,Lampre - Daikin,25,2001,9
19,Sassone Robert,22,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",24,2001,9
20,Glomser Gerrit,26,,22,2001,9
21,Jalabert Nicolas,28,CSC ProTeam - Tiscali,21,2001,9
22,Hamilton Tyler,30,US Postal Service,20,2001,9
23,Hincapie George,27,US Postal Service,20,2001,9
24,Fagnini Gian-matteo,30,Team Telekom,19,2001,9
25,Poos Christian,23,,16,2001,9
26,Beltran Manuel,30,Mapei - Quickstep,15,2001,9
27,Haselbacher Rene,23,Gerolsteiner,15,2001,9
28,Elmiger Martin,22,,14,2001,9
29,Moos Alexandre,28,Phonak Hearing Systems,13,2001,9
30,Bartoli Michele,31,Mapei - Quickstep,12,2001,9
31,Totschnig Georg,30,Gerolsteiner,12,2001,9
32,Konecny Tomas,27,Domo - Farm Frites,10,2001,9
33,Atienza Daniel,26,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",8,2001,9
34,Ekimov Viatcheslav,35,US Postal Service,8,2001,9
35,Schnider Daniel,27,La Fran\xe7aise des Jeux,7,2001,9
36,Cuesta \xcd\xf1igo,32,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",7,2001,9
37,Dufaux Laurent,32,Saeco,7,2001,9
38,Donati Massimo,34,Tacconi Sport - Vini Caldirola,6,2001,9
39,Mori Massimiliano,27,Saeco,6,2001,9
40,Z\xfclle Alex,32,Team Coast,4,2001,9
41,Zberg Markus,27,Rabobank ProTeam,4,2001,9
42,Niermann Grischa,25,Rabobank ProTeam,4,2001,9
43,Wadecki Piotr,28,Domo - Farm Frites,4,2001,9
44,Wauters Marc,32,Rabobank ProTeam,3,2001,9
45,Zampieri Steve,24,,2,2001,9
46,Radaelli Mauro,33,Tacconi Sport - Vini Caldirola,2,2001,9
47,Calcagni Patrick,23,Tacconi Sport - Vini Caldirola,2,2001,9
48,Vande Velde Christian,25,US Postal Service,1,2001,9
49,Belohvosciks Raivis,25,Lampre - Daikin,1,2001,9
50,Boven Jan,29,Rabobank ProTeam,1,2001,9
