Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
23,9,4.0,+0:10,,van Garderen Tejay,1,BMC Racing Team,7:23 7:23,0,2012,
25,102,5.0,+0:11,,Boasson Hagen Edvald,2,Sky Procycling,0:01 0:01,0,2012,
25,215,7.0,+0:12,,Gretsch Patrick,3,Argos - Shimano,0:02 0:02,0,2012,
24,211,25.0,+0:21,,Kittel Marcel,4,Argos - Shimano,0:11 0:11,0,2012,
25,81,37.0,+0:22,,Taaramäe Rein,5,"Cofidis, le Crédit en Ligne",0:12 0:12,0,2012,
22,146,48.0,+0:24,,Pinot Thibaut,6,FDJ - BigMat,0:14 0:14,0,2012,
24,126,52.0,+0:24,,Poels Wout,7,Vacansoleil - DCM,",, 0:14",0,2012,
22,57,53.0,+0:24,,Sagan Peter,8,Liquigas - Cannondale,",, 0:14",0,2012,
25,147,73.0,+0:27,,Roux Anthony,9,FDJ - BigMat,0:17 0:17,0,2012,
25,56,76.0,+0:28,,Oss Daniel,10,Liquigas - Cannondale,0:18 0:18,0,2012,
24,13,83.0,+0:29,,Gallopin Tony,11,RadioShack - Nissan,0:19 0:19,0,2012,
25,152,92.0,+0:30,,Kruijswijk Steven,12,Rabobank Cycling Team,0:20 0:20,0,2012,
24,86,96.0,+0:31,,Ghyselinck Jan,13,"Cofidis, le Crédit en Ligne",0:21 0:21,0,2012,
24,34,107.0,+0:33,,Izagirre Gorka,14,Euskaltel - Euskadi,0:23 0:23,0,2012,
23,149,115.0,+0:34,,Vichot Arthur,15,FDJ - BigMat,0:24 0:24,0,2012,
22,55,128.0,+0:37,,Nerz Dominik,16,Liquigas - Cannondale,0:27 0:27,0,2012,
25,122,140.0,+0:39,,Boeckmans Kris,17,Vacansoleil - DCM,0:29 0:29,0,2012,
22,92,146.0,+0:40,,Delaplace Anthony,18,Saur - Sojasun,0:30 0:30,0,2012,
25,128,162.0,+0:44,,Valls Rafael,19,Vacansoleil - DCM,0:34 0:34,0,2012,
24,28,173.0,+0:46,,Malacarne Davide,20,Team Europcar,0:36 0:36,0,2012,
24,24,174.0,+0:46,,Gautier Cyril,21,Team Europcar,",, 0:36",0,2012,
24,84,177.0,+0:47,,Edet Nicolas,22,"Cofidis, le Crédit en Ligne",0:37 0:37,0,2012,
25,89,178.0,+0:48,,Zingle Romain,23,"Cofidis, le Crédit en Ligne",0:38 0:38,0,2012,
23,9,4.0,+0:10,1.0,van Garderen Tejay,1,BMC Racing Team,5:05:42 5:05:42,1,2012,-
25,102,5.0,+0:11,2.0,Boasson Hagen Edvald,2,Sky Procycling,0:01 0:01,1,2012,-
25,81,16.0,+0:22,5.0,Taaramäe Rein,3,"Cofidis, le Crédit en Ligne",0:12 0:12,1,2012,▲2
24,126,22.0,+0:24,7.0,Poels Wout,4,Vacansoleil - DCM,0:14 0:14,1,2012,▲3
22,57,23.0,+0:24,8.0,Sagan Peter,5,Liquigas - Cannondale,",, 0:14",1,2012,▲3
23,149,38.0,+0:34,15.0,Vichot Arthur,6,FDJ - BigMat,0:24 0:24,1,2012,▲9
22,55,42.0,+0:37,16.0,Nerz Dominik,7,Liquigas - Cannondale,0:27 0:27,1,2012,▲9
22,146,56.0,+0:47,6.0,Pinot Thibaut,8,FDJ - BigMat,0:37 0:37,1,2012,▼2
24,13,58.0,+0:52,11.0,Gallopin Tony,9,RadioShack - Nissan,0:42 0:42,1,2012,▲2
25,152,60.0,+0:53,12.0,Kruijswijk Steven,10,Rabobank Cycling Team,0:43 0:43,1,2012,▲2
