Rnk,Team,GC,GC-Time,Time,year,stage
1,Lampre - Daikin,,+ - 35:00:06,105:10:16 105:10:16,2001,9
2,Fassa Bortolo,,+ - 35:00:06,6:44 6:44,2001,9
4,Team Telekom,,+ - 35:00:06,19:05 19:05,2001,9
5,US Postal Service,,+ - 35:00:06,19:22 19:22,2001,9
6,Post Swiss Team,,+ - 35:00:06,28:41 28:41,2001,9
7,Mapei - Quickstep,,+ - 35:00:06,29:21 29:21,2001,9
8,Team Coast,,+ - 35:00:06,31:22 31:22,2001,9
9,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",,+ - 35:00:06,40:55 40:55,2001,9
10,Rabobank ProTeam,,+ - 35:00:06,43:05 43:05,2001,9
11,Saeco,,+ - 35:00:06,53:30 53:30,2001,9
12,Gerolsteiner,,+ - 35:00:06,1:04:41 1:04:41,2001,9
13,Phonak Hearing Systems,,+ - 35:00:06,1:05:28 1:05:28,2001,9
14,La Fran\xe7aise des Jeux,,+ - 35:00:06,1:08:13 1:08:13,2001,9
15,Tacconi Sport - Vini Caldirola,,+ - 35:00:06,1:11:15 1:11:15,2001,9
16,Liquigas - Pata,,+ - 35:00:06,1:12:37 1:12:37,2001,9
17,Domo - Farm Frites,,+ - 35:00:06,1:26:59 1:26:59,2001,9
