Age,BIB,Pnt,Prev,Rider,Rnk,Team,UCI,\u25bc\u25b2,stage,year
36,3,15,12.0,Kiryienka Vasil,20,Team Sky,,\u25bc8,3,2017
30,217,15,14.0,Pichon Laurent,21,Fortuneo - Oscaro,,\u25bc7,3,2017
29,178,15,,Sicard Romain,22,Direct Energie,,-,3,2017
32,53,13,,Fuglsang Jakob,23,Astana Pro Team,,-,3,2017
29,125,13,16.0,Kristoff Alexander,24,Team Katusha - Alpecin,,\u25bc8,3,2017
30,205,13,17.0,Offredo Yoann,25,Wanty - Groupe Gobert,,\u25bc8,3,2017
32,121,13,18.0,Martin Tony,26,Team Katusha - Alpecin,,\u25bc8,3,2017
36,136,13,,Hansen Adam,27,Lotto Soudal,,-,3,2017
27,108,11,19.0,Trentin Matteo,28,Quick-Step Floors,,\u25bc9,3,2017
28,215,11,,Hardy Romain,29,Fortuneo - Oscaro,,-,3,2017
26,151,10,21.0,Bouhanni Nacer,30,"Cofidis, Solutions Cr\xe9dits",,\u25bc9,3,2017
25,184,10,,Brown Nathan,31,Cannondale-Drapac Pro Cycling Team,,-,3,2017
32,168,9,22.0,van Emden Jos,32,Team LottoNL-Jumbo,,\u25bc10,3,2017
27,5,8,23.0,Kwiatkowski Michal,33,Team Sky,,\u25bc10,3,2017
27,115,7,,Majka Rafa\u0142,34,BORA - hansgrohe,,-,3,2017
30,92,6,24.0,Boasson Hagen Edvald,35,Team Dimension Data,,\u25bc11,3,2017
27,21,6,,Quintana Nairo,36,Movistar Team,,-,3,2017
29,206,6,25.0,Pasqualon Andrea,37,Wanty - Groupe Gobert,,\u25bc12,3,2017
25,142,5,26.0,Arndt Nikias,38,Team Sunweb,,\u25bc12,3,2017
26,11,5,,Bardet Romain,39,AG2R La Mondiale,,-,3,2017
30,209,5,27.0,Vanspeybrouck Pieter,40,Wanty - Groupe Gobert,,\u25bc13,3,2017
26,139,4,,Wellens Tim,41,Lotto Soudal,,-,3,2017
28,33,4,28.0,Degenkolb John,42,Trek - Segafredo,,\u25bc14,3,2017
32,41,3,,Porte Richie,43,BMC Racing Team,,-,3,2017
33,54,3,29.0,Grivko Andrei,44,Astana Pro Team,,\u25bc15,3,2017
25,211,3,30.0,McLay Daniel,45,Fortuneo - Oscaro,,\u25bc15,3,2017
32,86,2,31.0,Impey Daryl,46,ORICA-Scott,,\u25bc15,3,2017
23,133,2,,Benoot Tiesj,47,Lotto Soudal,,-,3,2017
23,129,2,32.0,Zabel Rick,48,Team Katusha - Alpecin,,\u25bc16,3,2017
24,148,1,34.0,Teunissen Mike,49,Team Sunweb,,\u25bc15,3,2017
30,25,1,33.0,Castroviejo Jonathan,50,Movistar Team,,\u25bc17,3,2017
28,119,1,,Selig R\xfcdiger,51,BORA - hansgrohe,,-,3,2017
25,71,124,2.0,D\xe9mare Arnaud,1,FDJ,,\u25b21,4,2017
29,101,81,1.0,Kittel Marcel,2,Quick-Step Floors,,\u25bc1,4,2017
26,141,66,4.0,Matthews Michael,3,Team Sunweb,,\u25b21,4,2017
34,131,63,8.0,Greipel Andr\xe9,4,Lotto Soudal,,\u25b24,4,2017
29,125,43,24.0,Kristoff Alexander,5,Team Katusha - Alpecin,,\u25b219,4,2017
27,197,38,5.0,Colbrelli Sonny,6,Bahrain Merida Pro Cycling Team,,\u25bc1,4,2017
32,91,38,7.0,Cavendish Mark,7,Team Dimension Data,,-,4,2017
31,9,31,6.0,Thomas Geraint,8,Team Sky,,\u25bc2,4,2017
29,68,31,10.0,Swift Ben,9,UAE Team Emirates,,\u25b21,4,2017
26,151,28,30.0,Bouhanni Nacer,10,"Cofidis, Solutions Cr\xe9dits",,\u25b220,4,2017
30,105,22,9.0,Martin Daniel,11,Quick-Step Floors,,\u25bc2,4,2017
27,186,21,11.0,Phinney Taylor,12,Cannondale-Drapac Pro Cycling Team,,\u25bc1,4,2017
23,128,20,12.0,Politt Nils,13,Team Katusha - Alpecin,,\u25bc1,4,2017
23,172,20,13.0,Boudat Thomas,14,Direct Energie,,\u25bc1,4,2017
26,208,20,,van Keirsbulck Guillaume,15,Wanty - Groupe Gobert,,-,4,2017
32,1,19,14.0,Froome Christopher,16,Team Sky,,\u25bc2,4,2017
32,48,19,15.0,Van Avermaet Greg,17,BMC Racing Team,,\u25bc2,4,2017
23,44,17,16.0,K\xfcng Stefan,18,BMC Racing Team,,\u25bc2,4,2017
23,182,17,17.0,Bettiol Alberto,19,Cannondale-Drapac Pro Cycling Team,,\u25bc2,4,2017
27,202,17,18.0,Backaert Frederik,20,Wanty - Groupe Gobert,,\u25bc2,4,2017
26,176,16,,Petit Adrien,21,Direct Energie,,-,4,2017
24,163,16,19.0,Groenewegen Dylan,22,Team LottoNL-Jumbo,,\u25bc3,4,2017
36,3,15,20.0,Kiryienka Vasil,23,Team Sky,,\u25bc3,4,2017
30,217,15,21.0,Pichon Laurent,24,Fortuneo - Oscaro,,\u25bc3,4,2017
29,178,15,22.0,Sicard Romain,25,Direct Energie,,\u25bc3,4,2017
32,137,14,,Roelandts Jurgen,26,Lotto Soudal,,-,4,2017
32,53,13,23.0,Fuglsang Jakob,27,Astana Pro Team,,\u25bc4,4,2017
27,108,13,28.0,Trentin Matteo,28,Quick-Step Floors,,-,4,2017
30,205,13,25.0,Offredo Yoann,29,Wanty - Groupe Gobert,,\u25bc4,4,2017
36,136,13,27.0,Hansen Adam,30,Lotto Soudal,,\u25bc3,4,2017
32,121,13,26.0,Martin Tony,31,Team Katusha - Alpecin,,\u25bc5,4,2017
30,92,12,35.0,Boasson Hagen Edvald,32,Team Dimension Data,,\u25b23,4,2017
28,215,11,29.0,Hardy Romain,33,Fortuneo - Oscaro,,\u25bc4,4,2017
23,133,10,47.0,Benoot Tiesj,34,Lotto Soudal,,\u25b213,4,2017
30,209,10,40.0,Vanspeybrouck Pieter,35,Wanty - Groupe Gobert,,\u25b25,4,2017
36,67,10,,Mori Manuele,36,UAE Team Emirates,,-,4,2017
25,184,10,31.0,Brown Nathan,37,Cannondale-Drapac Pro Cycling Team,,\u25bc6,4,2017
32,168,9,32.0,van Emden Jos,38,Team LottoNL-Jumbo,,\u25bc6,4,2017
27,5,8,33.0,Kwiatkowski Michal,39,Team Sky,,\u25bc6,4,2017
32,112,8,,Bodnar Maciej,40,BORA - hansgrohe,,-,4,2017
27,115,7,34.0,Majka Rafa\u0142,41,BORA - hansgrohe,,\u25bc7,4,2017
31,107,7,,Stybar Zdenek,42,Quick-Step Floors,,-,4,2017
27,21,6,36.0,Quintana Nairo,43,Movistar Team,,\u25bc7,4,2017
29,206,6,37.0,Pasqualon Andrea,44,Wanty - Groupe Gobert,,\u25bc7,4,2017
28,119,6,51.0,Selig R\xfcdiger,45,BORA - hansgrohe,,\u25b26,4,2017
25,142,5,38.0,Arndt Nikias,46,Team Sunweb,,\u25bc8,4,2017
26,11,5,39.0,Bardet Romain,47,AG2R La Mondiale,,\u25bc8,4,2017
26,139,4,41.0,Wellens Tim,48,Lotto Soudal,,\u25bc7,4,2017
28,33,4,42.0,Degenkolb John,49,Trek - Segafredo,,\u25bc7,4,2017
32,102,4,,Bauer Jack,50,Quick-Step Floors,,-,4,2017
32,41,3,43.0,Porte Richie,51,BMC Racing Team,,\u25bc8,4,2017
33,54,3,44.0,Grivko Andrei,52,Astana Pro Team,,\u25bc8,4,2017
24,148,3,49.0,Teunissen Mike,53,Team Sunweb,,\u25bc4,4,2017
25,211,3,45.0,McLay Daniel,54,Fortuneo - Oscaro,,\u25bc9,4,2017
35,138,3,,Sieberg Marcel,55,Lotto Soudal,,-,4,2017
30,134,3,,De Gendt Thomas,56,Lotto Soudal,,-,4,2017
32,86,2,46.0,Impey Daryl,57,ORICA-Scott,,\u25bc11,4,2017
23,129,2,48.0,Zabel Rick,58,Team Katusha - Alpecin,,\u25bc10,4,2017
30,25,1,50.0,Castroviejo Jonathan,59,Movistar Team,,\u25bc9,4,2017
28,146,1,,Sinkeldam Ramon,60,Team Sunweb,,-,4,2017
25,71,127,1.0,D\xe9mare Arnaud,1,FDJ,,-,5,2017
29,101,87,2.0,Kittel Marcel,2,Quick-Step Floors,,-,5,2017
26,141,73,3.0,Matthews Michael,3,Team Sunweb,,-,5,2017
34,131,63,4.0,Greipel Andr\xe9,4,Lotto Soudal,,-,5,2017
30,125,48,5.0,Kristoff Alexander,5,Team Katusha - Alpecin,,-,5,2017
30,105,47,11.0,Martin Daniel,6,Quick-Step Floors,,\u25b25,5,2017
32,1,41,16.0,Froome Christopher,7,Team Sky,,\u25b29,5,2017
27,197,40,6.0,Colbrelli Sonny,8,Bahrain Merida Pro Cycling Team,,\u25bc2,5,2017
31,9,38,8.0,Thomas Geraint,9,Team Sky,,\u25bc1,5,2017
30,92,32,32.0,Boasson Hagen Edvald,10,Team Dimension Data,,\u25b222,5,2017
29,68,32,9.0,Swift Ben,11,UAE Team Emirates,,\u25bc2,5,2017
27,51,30,,Aru Fabio,12,Astana Pro Team,,-,5,2017
26,151,28,10.0,Bouhanni Nacer,13,"Cofidis, Solutions Cr\xe9dits",,\u25bc3,5,2017
32,41,22,51.0,Porte Richie,14,BMC Racing Team,,\u25b237,5,2017
26,11,22,47.0,Bardet Romain,15,AG2R La Mondiale,,\u25b232,5,2017
27,186,21,12.0,Phinney Taylor,16,Cannondale-Drapac Pro Cycling Team,,\u25bc4,5,2017
23,172,20,14.0,Boudat Thomas,17,Direct Energie,,\u25bc3,5,2017
26,208,20,15.0,van Keirsbulck Guillaume,18,Wanty - Groupe Gobert,,\u25bc3,5,2017
23,128,20,13.0,Politt Nils,19,Team Katusha - Alpecin,,\u25bc6,5,2017
32,48,19,17.0,Van Avermaet Greg,20,BMC Racing Team,,\u25bc3,5,2017
30,134,18,56.0,De Gendt Thomas,21,Lotto Soudal,,\u25b235,5,2017
27,202,17,20.0,Backaert Frederik,22,Wanty - Groupe Gobert,,\u25bc2,5,2017
35,104,17,,Gilbert Philippe,23,Quick-Step Floors,,-,5,2017
23,44,17,18.0,K\xfcng Stefan,24,BMC Racing Team,,\u25bc6,5,2017
23,182,17,19.0,Bettiol Alberto,25,Cannondale-Drapac Pro Cycling Team,,\u25bc6,5,2017
24,163,16,22.0,Groenewegen Dylan,26,Team LottoNL-Jumbo,,\u25bc4,5,2017
26,176,16,21.0,Petit Adrien,27,Direct Energie,,\u25bc6,5,2017
24,89,15,,Yates Simon,28,ORICA-Scott,,-,5,2017
27,21,15,43.0,Quintana Nairo,29,Movistar Team,,\u25b214,5,2017
29,178,15,25.0,Sicard Romain,30,Direct Energie,,\u25bc5,5,2017
30,217,15,24.0,Pichon Laurent,31,Fortuneo - Oscaro,,\u25bc7,5,2017
36,3,15,23.0,Kiryienka Vasil,32,Team Sky,,\u25bc9,5,2017
32,137,14,26.0,Roelandts Jurgen,33,Lotto Soudal,,\u25bc7,5,2017
30,188,13,,Uran Rigoberto,34,Cannondale-Drapac Pro Cycling Team,,-,5,2017
32,53,13,27.0,Fuglsang Jakob,35,Astana Pro Team,,\u25bc8,5,2017
31,73,13,,Delage Micka\xebl,36,FDJ,,-,5,2017
32,121,13,31.0,Martin Tony,37,Team Katusha - Alpecin,,\u25bc6,5,2017
30,205,13,29.0,Offredo Yoann,38,Wanty - Groupe Gobert,,\u25bc9,5,2017
36,136,13,30.0,Hansen Adam,39,Lotto Soudal,,\u25bc9,5,2017
27,108,13,28.0,Trentin Matteo,40,Quick-Step Floors,,\u25bc12,5,2017
27,115,12,41.0,Majka Rafa\u0142,41,BORA - hansgrohe,,-,5,2017
34,31,11,,Contador Alberto,42,Trek - Segafredo,,-,5,2017
31,12,11,,Bakelants Jan,43,AG2R La Mondiale,,-,5,2017
28,215,11,33.0,Hardy Romain,44,Fortuneo - Oscaro,,\u25bc11,5,2017
23,133,10,34.0,Benoot Tiesj,45,Lotto Soudal,,\u25bc11,5,2017
36,67,10,36.0,Mori Manuele,46,UAE Team Emirates,,\u25bc10,5,2017
25,184,10,37.0,Brown Nathan,47,Cannondale-Drapac Pro Cycling Team,,\u25bc10,5,2017
30,216,10,,Perichon Pierre-Luc,48,Fortuneo - Oscaro,,-,5,2017
30,209,10,35.0,Vanspeybrouck Pieter,49,Wanty - Groupe Gobert,,\u25bc14,5,2017
32,168,9,38.0,van Emden Jos,50,Team LottoNL-Jumbo,,\u25bc12,5,2017
25,189,9,,van Baarle Dylan,51,Cannondale-Drapac Pro Cycling Team,,-,5,2017
27,5,8,39.0,Kwiatkowski Michal,52,Team Sky,,\u25bc13,5,2017
38,171,8,,Voeckler Thomas,53,Direct Energie,,-,5,2017
32,112,8,40.0,Bodnar Maciej,54,BORA - hansgrohe,,\u25bc14,5,2017
31,107,7,42.0,Stybar Zdenek,55,Quick-Step Floors,,\u25bc13,5,2017
25,61,6,,Meintjes Louis,56,UAE Team Emirates,,-,5,2017
