Rider,year,stage_scores
Clerc Aur\xe9lien,2006,60.0
Clerc Aur\xe9lien,2007,43.0
Cobo Juan Jose,2004,0.0
Cobo Juan Jose,2005,0.0
Coenen Johan,2007,0.0
Cohnen Stefan,2006,0.0
Colbrelli Sonny,2013,28.0
Coledan Marco,2013,0.0
Coledan Marco,2014,22.0
Colombo Gabriele,2006,0.0
Colonna Paolo,2014,0.0
Commesso Salvatore,2004,13.0
Cooke Baden,2010,50.0
Cooke Baden,2012,31.0
Cooke Baden,2013,0.0
Corioni Claudio,2009,0.0
Corti Marco,2011,0.0
Cortinovis Alessandro,2007,18.0
Costa M\xe1rio,2015,0.0
Costa M\xe1rio,2016,0.0
Coutouly Cedric,2010,0.0
Coutts Alex,2012,0.0
Cozza Steven,2010,0.0
Crawford Jai,2012,0.0
Cretskens Wilfried,2004,0.0
Cretskens Wilfried,2005,9.0
Cretskens Wilfried,2006,0.0
Cretskens Wilfried,2007,61.0
Cretskens Wilfried,2008,47.0
Cretskens Wilfried,2009,6.0
Cretskens Wilfried,2010,0.0
Crosbie Nicolas,2006,0.0
Cruz Antonio,2008,0.0
Cruz Antonio,2009,0.0
Cummings Stephen,2013,0.0
Curtolo Alberto,2008,23.0
Curvers Roy,2008,12.0
Curvers Roy,2009,0.0
Curvers Roy,2012,0.0
Curvers Roy,2013,0.0
D\xe9mare Arnaud,2012,45.0
D\xe9mare Arnaud,2014,78.0
D\xe9mare Arnaud,2015,66.0
Da Cruz Carlos,2006,0.0
Da Dalto Mauro,2007,31.0
Da Dalto Mauro,2009,0.0
Da Dalto Mauro,2012,0.0
Da Ros Gianni,2009,0.0
Dall'Antonia Tiziano,2006,0.0
Dall'Antonia Tiziano,2013,0.0
Damiens Mickael,2009,0.0
Davis Allan,2012,20.0
Davis Allan,2013,0.0
De Angeli Luca,2004,0.0
De Marchi Alessandro,2013,0.0
De Marchi Alessandro,2014,0.0
De Marchi Alessandro,2015,0.0
De Negri Pier Paolo,2012,0.0
De Tier Floris,2016,0.0
De Vocht Wim,2005,0.0
De Vocht Wim,2006,0.0
De Vocht Wim,2007,7.0
De Vocht Wim,2010,12.0
De Weert Kevin,2004,0.0
De Weert Kevin,2008,0.0
De Weert Kevin,2010,0.0
Dean Julian,2008,15.0
Debesay Mekseb,2016,6.0
Debusschere Jens,2012,0.0
Debusschere Maxim,2011,0.0
Declercq Tim,2015,0.0
Declercq Tim,2016,0.0
Degenkolb John,2012,64.0
Degenkolb John,2013,63.0
Dehaes Kenny,2006,0.0
Dehaes Kenny,2007,0.0
Dehaes Kenny,2008,33.0
Dehaes Kenny,2010,59.0
Dehaes Kenny,2016,0.0
Dekker Erik,2006,0.0
Dekker Thomas,2012,22.0
Dekkers Hans,2004,0.0
Dekkers Hans,2006,16.0
Dekkers Hans,2009,24.0
Del Nero Jes\xfas,2007,8.0
Delage Micka\xebl,2006,14.0
Delage Micka\xebl,2012,0.0
Delage Micka\xebl,2014,0.0
Delage Micka\xebl,2015,9.0
Delle Stelle Cristian,2013,6.0
Dempster Zakkari,2013,0.0
Dempster Zakkari,2014,0.0
Dempster Zakkari,2015,0.0
Dempster Zakkari,2016,23.0
Deroo David,2007,0.0
Deroo David,2009,0.0
Detilloux Christophe,2004,22.0
Detilloux Christophe,2006,17.0
Devenyns Dries,2015,0.0
Devolder Stijn,2005,14.0
Devolder Stijn,2013,0.0
Devolder Stijn,2014,0.0
Dillier Silvan,2014,28.0
Dion Renaud,2007,0.0
Dion Renaud,2009,6.0
Diudia Volodymyr,2007,0.0
Diudia Volodymyr,2008,0.0
Dmitriyev Valeriy,2006,0.0
Docker Mitchell,2008,0.0
Docker Mitchell,2009,0.0
Docker Mitchell,2015,0.0
Dockx Bart,2009,0.0
Dockx Gert,2010,0.0
Dockx Gert,2014,0.0
Downing Russell,2010,8.0
Downing Russell,2011,26.0
Downing Russell,2013,19.0
Dowsett Alex,2010,0.0
Dowsett Alex,2011,22.0
Drucker Jean-Pierre,2015,26.0
Drucker Jean-Pierre,2016,7.0
Duclos-Lassalle Herv\xe9,2006,0.0
Duijn Huub,2008,16.0
Duijn Huub,2009,0.0
Dumoulin Samuel,2004,11.0
Dyachenko Alexandr,2006,0.0
Dymovkikh Alexandr,2006,0.0
Eaton Daniel,2016,0.0
Eeckhout Niko,2006,18.0
Eeckhout Niko,2007,0.0
Eeckhout Niko,2008,44.0
Eeckhout Niko,2011,10.0
Eichler Markus,2013,0.0
Eijssen Yannick,2013,0.0
Eisel Bernhard,2006,82.0
Eisel Bernhard,2007,54.0
Eisel Bernhard,2010,28.0
Eisel Bernhard,2011,30.0
Eisel Bernhard,2012,39.0
Eisel Bernhard,2013,42.0
Eisel Bernhard,2014,53.0
El Mohammadi Farouk,2005,0.0
Elijzen Michiel,2006,0.0
Elijzen Michiel,2010,0.0
Elmiger Martin,2013,30.0
Elmiger Martin,2014,44.0
Engoulvent Jimmy,2008,19.0
Engoulvent Jimmy,2010,0.0
Eriksen Thomas bruun,2004,0.0
Eriksen Thomas bruun,2005,22.0
Erviti Imanol,2015,0.0
Eskov Nikita,2008,0.0
Eskov Nikita,2010,0.0
Esmaeili Tareq,2005,0.0
Esmaeili Tareq,2007,0.0
Esmaeili Tareq,2008,0.0
Esmaeili Tareq,2009,0.0
F\xf6rster Robert,2004,0.0
F\xf6rster Robert,2006,47.0
F\xf6rster Robert,2007,44.0
F\xf6rster Robert,2009,52.0
F\xf6rster Robert,2014,14.0
Facci Mauro,2004,0.0
Failli Francesco,2007,12.0
Failli Francesco,2011,0.0
Farrar Tyler,2010,63.0
Farrar Tyler,2012,103.0
Farrar Tyler,2016,0.0
Feillu Romain,2007,15.0
Feillu Romain,2010,15.0
Feng Chun Kai,2013,0.0
Fenn Andrew,2011,0.0
Fenn Andrew,2014,24.0
Fenn Andrew,2015,7.0
Ferrari Roberto,2015,12.0
Finot Fr\xe9d\xe9ric,2006,0.0
Fischer Murilo Antonio,2006,0.0
Fischer Murilo Antonio,2007,36.0
Fischer Murilo Antonio,2009,20.0
Fischer Murilo Antonio,2010,0.0
Fischer Murilo Antonio,2012,0.0
Fischer Murilo Antonio,2013,7.0
Fischer Murilo Antonio,2014,0.0
Fischer Murilo Antonio,2015,0.0
Flecha Juan Antonio,2009,7.0
Flecha Juan Antonio,2010,0.0
Flecha Juan Antonio,2011,81.0
Flecha Juan Antonio,2012,31.0
Flecha Juan Antonio,2013,6.0
Flens Rick,2007,0.0
Flens Rick,2011,0.0
Flickinger Andy,2005,15.0
Florencio Xavier,2009,45.0
Florencio Xavier,2011,0.0
Fortin Filippo,2013,55.0
Fortin Filippo,2014,24.0
Fothen Markus,2004,0.0
Fothen Thomas,2006,0.0
Fothen Thomas,2009,12.0
Fr\xf6hlinger Johannes,2007,0.0
Fr\xf6hlinger Johannes,2016,0.0
Friedemann Matthias,2012,23.0
Friedemann Matthias,2013,0.0
Friedman Michael,2009,9.0
Frischkorn William,2009,0.0
Fumeaux Jonathan,2013,0.0
Furlan Angelo,2005,19.0
Furlan Angelo,2008,63.0
Furlan Angelo,2009,63.0
Gabriel Fr\xe9d\xe9ric,2006,0.0
Gajek Artur,2006,0.0
Gajek Artur,2009,0.0
Galdos Aitor,2006,32.0
Galimzyanov Denis,2009,19.0
Galimzyanov Denis,2011,90.0
Galimzyanov Denis,2012,17.0
Gallagher Stephen,2007,0.0
Gallopin Tony,2012,0.0
Gallopin Tony,2013,20.0
Gardeyn Gorik,2006,44.0
Gardeyn Gorik,2008,57.0
Gardeyn Gorik,2012,0.0
Gastauer Ben,2010,0.0
Gastauer Ben,2014,0.0
Gatto Oscar,2007,7.0
Gatto Oscar,2011,0.0
Gatto Oscar,2014,0.0
Gaudin Damien,2008,0.0
Gaudin Damien,2014,0.0
Gaudin Damien,2016,6.0
Gaztanaga Mikel,2007,10.0
Gene Yohann,2005,0.0
Gene Yohann,2008,0.0
Gerard Arnaud,2016,41.0
Geschke Simon,2011,0.0
Geslin Anthony,2004,0.0
Geslin Anthony,2008,8.0
Geslin Anthony,2011,0.0
Ghyllebert Pieter,2005,0.0
Ghyllebert Pieter,2006,0.0
Ghyllebert Pieter,2008,0.0
Ghyselinck Jan,2010,0.0
Ghyselinck Jan,2011,0.0
Gilbert Philippe,2010,58.0
Gilbert Philippe,2012,10.0
Gilbert Philippe,2014,18.0
Gilbert Philippe,2015,6.0
Giling Bas,2005,6.0
Giordani Leonardo,2004,0.0
Giordani Leonardo,2011,0.0
Glomser Gerrit,2004,0.0
Gobbi Michele,2005,0.0
Goddaert Kristof,2009,15.0
Goddaert Kristof,2010,25.0
Goddaert Kristof,2013,0.0
Goddaert Kristof,2014,0.0
Goesinnen Floris,2008,7.0
Gomez Gomez Angel,2004,0.0
Gomez Gomez Angel,2007,0.0
Gomez Gomez Angel,2008,0.0
Gonzalo Eduardo,2006,0.0
Goss Matthew,2010,38.0
Gottfried Alexander,2008,0.0
Goubert Stephane,2004,0.0
Gourov Maxim,2007,13.0
Gourov Maxim,2011,0.0
Grabsch Bert,2004,0.0
Grabsch Bert,2007,0.0
Grabsch Bert,2009,9.0
Grabsch Ralf,2006,0.0
Grabsch Ralf,2008,0.0
Greipel Andr\xe9,2005,16.0
Greipel Andr\xe9,2014,65.0
Gretsch Patrick,2010,0.0
Gretsch Patrick,2011,0.0
Gretsch Patrick,2014,0.0
Gretsch Patrick,2016,0.0
Grillo Paride,2006,65.0
Grivko Andrei,2005,0.0
Grivko Andrei,2011,0.0
Grivko Andrei,2013,0.0
Grivko Andrei,2015,47.0
Gruzdev Dmitriy,2006,0.0
Gruzdev Dmitriy,2013,0.0
Gruzdev Dmitriy,2015,10.0
Gruzdev Dmitriy,2016,22.0
Guardini Andrea,2011,35.0
Guardini Andrea,2012,18.0
Guardini Andrea,2013,49.0
Guardini Andrea,2014,19.0
Guardini Andrea,2015,96.0
Guardini Andrea,2016,26.0
Guarnieri Jacopo,2013,0.0
Guarnieri Jacopo,2014,28.0
Guarnieri Jacopo,2015,0.0
Guarnieri Jacopo,2016,40.0
Guesdon Fr\xe9d\xe9ric,2011,0.0
Guidi Fabrizio,2004,16.0
Guidi Fabrizio,2005,73.0
Guidi Fabrizio,2006,85.0
Guti\xe9rrez David,2011,0.0
H\xf8j Frank,2004,39.0
H\xf8j Frank,2006,0.0
H\xf8j Frank,2008,0.0
H\xf8j Frank,2010,0.0
Haddi Soufiane,2014,0.0
Haddi Soufiane,2016,7.0
Haddou Sa\xefd,2007,0.0
Haddou Sa\xefd,2008,0.0
Haedo Juan Jose,2010,88.0
Haedo Lucas Sebastian,2010,0.0
Haedo Lucas Sebastian,2014,22.0
Haghi Alireza,2007,0.0
Haller Marco,2012,15.0
Haller Marco,2013,0.0
Haller Marco,2014,0.0
Haller Marco,2015,13.0
Haller Marco,2016,0.0
Hammond Roger,2005,9.0
Hammond Roger,2009,79.0
Hammond Roger,2010,54.0
Hammond Roger,2011,67.0
Hannachi Abdelbaset,2008,28.0
Hannachi Abdelbaset,2009,0.0
Hansen Adam,2010,0.0
Hansen Adam,2012,6.0
Hansen Jesper,2015,0.0
Hanson Ken,2014,12.0
Hasanin Omar,2008,9.0
Hasanin Omar,2009,0.0
Haselbacher Rene,2006,20.0
Haselbacher Rene,2007,19.0
Hasnaoui Maher,2014,0.0
Hasnaoui Maher,2016,0.0
Hatanaka Yusuke,2013,0.0
Haussler Heinrich,2009,106.0
Haussler Heinrich,2010,119.0
Haussler Heinrich,2011,141.0
Haussler Heinrich,2013,71.0
Haussler Heinrich,2014,0.0
Haussler Heinrich,2015,91.0
Hayman Mathew,2007,10.0
Hayman Mathew,2013,0.0
Hayman Mathew,2014,0.0
Hayman Mathew,2015,16.0
Healion Paul,2007,0.0
Heijboer Mathieu,2006,0.0
Heijboer Mathieu,2008,0.0
Henderson Gregory,2007,34.0
Henderson Gregory,2009,0.0
Henderson Gregory,2012,26.0
Hepburn Michael,2014,35.0
Hermans Ben,2015,0.0
Herve C\xe9dric,2005,0.0
Hesjedal Ryder,2005,0.0
Hesjedal Ryder,2006,0.0
Hiekmann Torsten,2004,0.0
Hinault S\xe9bastien,2004,16.0
Hinault S\xe9bastien,2010,0.0
Hinault S\xe9bastien,2013,0.0
Hinault S\xe9bastien,2014,0.0
Hoffman Tristan,2004,0.0
Hoffman Tristan,2005,0.0
Hofland Moreno,2016,44.0
Hollands Edmund,2005,0.0
Hollenstein Reto,2013,0.0
Hollenstein Reto,2015,16.0
Honchar Serhiy,2004,0.0
Hondo Danilo,2011,68.0
Honkisz Adrian,2016,0.0
Horner Chris,2006,0.0
Hoste Leif,2004,0.0
Hoste Leif,2005,0.0
Hoste Leif,2007,7.0
Hoste Leif,2008,0.0
Hoste Leif,2009,0.0
Hoste Leif,2010,0.0
Hoste Leif,2011,0.0
Houle Hugo,2013,0.0
Houle Hugo,2014,0.0
Houle Hugo,2016,13.0
Hovelijnck Kurt,2005,0.0
Hovelijnck Kurt,2008,12.0
Howard Leigh,2014,0.0
Howard Leigh,2015,0.0
Huang Chin-lung,2012,0.0
Huffman Evan,2013,0.0
Huffman Evan,2014,0.0
Hulsmans Kevin,2005,0.0
Hulsmans Kevin,2006,9.0
Hulsmans Kevin,2008,30.0
Hulsmans Kevin,2009,12.0
Hulsmans Kevin,2010,7.0
Hulsmans Kevin,2012,0.0
Humbert Ashley,2009,0.0
Hunt Jeremy,2006,0.0
Hunt Jeremy,2009,6.0
Hunt Jeremy,2010,29.0
Hunt Jeremy,2011,37.0
Hunt Jeremy,2012,0.0
Hunter Robert,2004,95.0
Hunter Robert,2005,72.0
Hunter Robert,2006,88.0
Hunter Robert,2012,20.0
Hushovd Thor,2012,0.0
Hussain Mohammed,2007,0.0
Hutarovich Yauheni,2013,88.0
Hutarovich Yauheni,2016,24.0
Ibrahim Khalid,2016,0.0
Iglinskiy Valentin,2011,6.0
Iglinskiy Valentin,2013,0.0
Iglinskiy Valentin,2014,0.0
Ignatyev Mikhail,2009,0.0
Ignatyev Mikhail,2010,0.0
Ignatyev Mikhail,2011,0.0
Ignatyev Mikhail,2012,0.0
Ile\u0161i\u010d Aldo Ino,2014,7.0
Ingels Nick,2006,57.0
Ingels Nick,2007,17.0
Inoue Kazuo,2012,0.0
Irizar Markel,2012,0.0
Irizar Markel,2013,0.0
Irizar Markel,2014,10.0
Irizar Markel,2015,0.0
Irwin Grant,2008,0.0
Isaychev Vladimir,2012,10.0
Isaychev Vladimir,2013,0.0
Isaychev Vladimir,2014,0.0
Ista Kevyn,2014,0.0
Ivanov Serguei,2005,0.0
Jacobs Pieter,2014,0.0
Jahanbanian Hossein,2008,0.0
Jalabert Nicolas,2004,0.0
Jalabert Nicolas,2005,16.0
Jalabert Nicolas,2006,21.0
Jang Chan Jae,2013,0.0
Jans Roy,2016,67.0
Jarc Bla\u017e,2013,23.0
Jarc Bla\u017e,2014,0.0
Jarrier Benoit,2016,0.0
Jegou Lilian,2004,33.0
Jegou Lilian,2006,25.0
Jelloul Adil,2014,0.0
Jelloul Adil,2016,0.0
Ji Cheng,2016,0.0
Jiao Pengda,2012,0.0
Jiao Pengda,2013,0.0
Joachim Benoit,2005,0.0
Joachim Benoit,2007,0.0
Johnson Benjamin,2006,0.0
Joly S\xe9bastien,2004,0.0
Jones Brenton,2016,0.0
Jones Chris,2014,0.0
Jones Chris,2016,0.0
Jorgensen Jonas Aaen,2013,0.0
Joseph Gregory,2011,0.0
Joseph Stijn,2009,0.0
Jur\u010do Matej,2004,36.0
Jur\u010do Matej,2008,0.0
Juul-Jensen Christopher,2014,8.0
Juul-Jensen Christopher,2015,14.0
Kadri Blel,2009,0.0
Kaggestad Mads,2005,11.0
Kamberaj Giuliano,2016,0.0
Kamp Alexander,2016,0.0
Kamyshev Arman,2013,0.0
Kangert Tanel,2011,8.0
Kano Tomoya,2005,0.0
Kashechkin Andrey,2004,0.0
Kashechkin Andrey,2005,0.0
Keisse Iljo,2013,0.0
Keisse Iljo,2014,0.0
Keisse Iljo,2015,0.0
Kemna Rudi,2005,26.0
Kemps Aaron,2007,23.0
Kemps Aaron,2012,11.0
Keough Luke,2016,0.0
Kerby Jordan,2016,18.0
Kerkhof Tim,2016,0.0
Kern Christophe,2004,0.0
Kern Christophe,2005,0.0
Keukeleire Jens,2013,14.0
Keukeleire Jens,2014,0.0
Keukeleire Jens,2015,0.0
Khatuntsev Alexander,2008,0.0
Kiendys Tomasz,2016,17.0
Kikuchi Masaaki,2009,0.0
King Benjamin,2010,0.0
Kirchen Kim,2007,19.0
Kirsch Alex,2016,11.0
Kittel Marcel,2015,0.0
Klemme Dominic,2010,0.0
Klemme Dominic,2011,0.0
Klemme Dominic,2012,0.0
Klemme Dominic,2014,0.0
Klier Andreas,2007,12.0
Klier Andreas,2009,46.0
Klier Andreas,2010,13.0
Klier Andreas,2011,17.0
Klimov Sergey,2008,0.0
Klinger Tim,2006,0.0
Klinger Tim,2007,0.0
Klostergaard Kasper,2006,0.0
Kluge Roger,2010,64.0
Kluge Roger,2011,90.0
Kluge Roger,2012,0.0
Kluge Roger,2013,74.0
Kluge Roger,2015,19.0
Knaven Servais,2004,26.0
Knaven Servais,2005,6.0
Knaven Servais,2006,8.0
Knaven Servais,2007,0.0
Knaven Servais,2009,0.0
Knaven Servais,2010,0.0
Knees Christian,2005,0.0
Knees Christian,2006,0.0
Knees Christian,2007,0.0
Knees Christian,2008,0.0
Knees Christian,2012,0.0
Knees Christian,2014,0.0
Knees Christian,2015,0.0
Koch Michel,2014,0.0
Koep Thomas,2016,0.0
Kohl Bernhard,2005,0.0
Kohler Martin,2008,0.0
Kohler Martin,2009,0.0
Kohler Martin,2010,0.0
Kohler Martin,2012,0.0
Kohler Martin,2014,0.0
Kol\xe1\u0159 Michael,2014,0.0
Kondrut Vitaliy,2011,0.0
Konecny Tomas,2004,0.0
Koning Peter,2016,0.0
Konovalovas Ignatas,2008,0.0
Koren Kristijan,2013,0.0
Koren Kristijan,2014,0.0
Korff Andre,2004,17.0
Korff Andre,2005,20.0
Kozonchuk Dmitry,2011,0.0
Kozonchuk Dmitry,2015,0.0
Kozonchuk Dmitry,2016,0.0
Krauss Sven,2004,0.0
Krauss Sven,2006,0.0
Krauss Sven,2007,17.0
Kreder Wesley,2013,0.0
Kreder Wesley,2016,0.0
Kristoff Alexander,2010,7.0
Kristoff Alexander,2011,12.0
Kristoff Alexander,2012,40.0
Kristoff Alexander,2013,85.0
