Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,stage,year,▼▲
28,32,,,45.0,,Gilbert Philippe,1,Omega Pharma-Lotto,,1,2011,
34,141,,,35.0,,Evans Cadel,2,BMC Racing Team,,1,2011,
33,51,,,30.0,,Hushovd Thor,3,Team Garmin - Cervélo,,1,2011,
26,88,,,26.0,,Rojas José Joaquín,4,Movistar Team,,1,2011,
28,31,,,22.0,,Van den Broeck Jurgen,5,Omega Pharma-Lotto,,1,2011,
28,138,,,20.0,,Roy Jérémy,6,FDJ,,1,2011,
25,117,,,20.0,,Thomas Geraint,7,Sky Procycling,,1,2011,
36,74,,,18.0,,Klöden Andreas,8,RadioShack,,1,2011,
28,209,,,17.0,,Westra Lieuwe,9,Vacansoleil - DCM,,1,2011,
24,151,,,16.0,,Taaramäe Rein,10,"Cofidis, le Crédit en Ligne",,1,2011,
27,187,,,15.0,,Quéméneur Perrig,11,Team Europcar,,1,2011,
39,72,,,14.0,,Horner Chris,12,RadioShack,,1,2011,
27,54,,,13.0,,Farrar Tyler,13,Team Garmin - Cervélo,,1,2011,
26,175,,,12.0,,Martin Tony,14,HTC - High Road,,1,2011,
28,33,,,11.0,,Greipel André,15,Omega Pharma-Lotto,,1,2011,
28,14,,,10.0,,Gerdemann Linus,16,Leopard Trek,,1,2011,
29,89,,,10.0,,Ventoso Francisco José,17,Movistar Team,,1,2011,
24,193,,,9.0,,Galimzyanov Denis,18,Team Katusha,,1,2011,
31,18,,,8.0,,Schleck Fränk,19,Leopard Trek,,1,2011,
30,202,,,8.0,,Božič Borut,20,Vacansoleil - DCM,,1,2011,
30,122,,,7.0,,Boonen Tom,21,Quickstep Cycling Team,,1,2011,
26,179,,,6.0,,Velits Peter,22,HTC - High Road,,1,2011,
31,214,,,6.0,,Engoulvent Jimmy,23,Saur - Sojasun,,1,2011,
26,171,,,5.0,,Cavendish Mark,24,HTC - High Road,,1,2011,
32,181,,,4.0,,Voeckler Thomas,25,Team Europcar,,1,2011,
37,169,,,4.0,,Petacchi Alessandro,26,Lampre - ISD,,1,2011,
25,133,,,3.0,,Delage Mickaël,27,FDJ,,1,2011,
29,161,,,2.0,,Cunego Damiano,28,Lampre - ISD,,1,2011,
30,153,,,2.0,,Dumoulin Samuel,29,"Cofidis, le Crédit en Ligne",,1,2011,
26,97,,,1.0,,Sabatini Fabio,30,Liquigas - Cannondale,,1,2011,
25,117,4.0,+0:04,,1.0,Thomas Geraint,1,Sky Procycling,5:06:29 5:06:29,2,2011,-
24,114,8.0,+0:04,,5.0,Boasson Hagen Edvald,2,Sky Procycling,",, ,,",2,2011,▲3
22,178,16.0,+0:05,,7.0,van Garderen Tejay,3,HTC - High Road,0:01 0:01,2,2011,▲4
24,174,19.0,+0:05,,15.0,Goss Matthew,4,HTC - High Road,",, 0:01",2,2011,▲11
23,116,24.0,+0:11,,12.0,Swift Ben,5,Sky Procycling,0:07 0:07,2,2011,▲7
25,41,25.0,+0:12,,14.0,Gesink Robert,6,Rabobank Cycling Team,0:08 0:08,2,2011,▲8
23,183,38.0,+0:50,,9.0,Gautier Cyril,7,Team Europcar,0:46 0:46,2,2011,▲2
24,96,45.0,+0:57,,4.0,Paterski Maciej,8,Liquigas - Cannondale,0:53 0:53,2,2011,▼4
24,95,47.0,+0:57,,11.0,Oss Daniel,9,Liquigas - Cannondale,",, 0:53",2,2011,▲2
23,57,48.0,+1:01,,13.0,Navardauskas Ramūnas,10,Team Garmin - Cervélo,0:57 0:57,2,2011,▲3
23,198,53.0,+1:04,,3.0,Silin Egor,11,Team Katusha,1:00 1:00,2,2011,▼8
24,118,64.0,+1:18,,19.0,Urán Rigoberto,12,Sky Procycling,1:14 1:14,2,2011,▲7
24,151,65.0,+1:20,,2.0,Taaramäe Rein,13,"Cofidis, le Crédit en Ligne",1:16 1:16,2,2011,▼11
23,156,66.0,+1:20,,8.0,Gallopin Tony,14,"Cofidis, le Crédit en Ligne",",, 1:16",2,2011,▼6
24,45,71.0,+1:26,,16.0,Mollema Bauke,15,Rabobank Cycling Team,1:22 1:22,2,2011,▲1
24,137,81.0,+2:00,,18.0,Roux Anthony,16,FDJ,1:56 1:56,2,2011,▲2
24,93,85.0,+2:11,,20.0,Koren Kristijan,17,Liquigas - Cannondale,2:07 2:07,2,2011,▲3
24,193,89.0,+2:20,,6.0,Galimzyanov Denis,18,Team Katusha,2:16 2:16,2,2011,▼12
25,66,90.0,+2:21,,23.0,Kreuziger Roman,19,Pro Team Astana,2:17 2:17,2,2011,▲4
24,208,92.0,+2:29,,17.0,Ruijgh Rob,20,Vacansoleil - DCM,2:25 2:25,2,2011,▼3
25,134,93.0,+2:29,,21.0,Jeannesson Arnold,21,FDJ,",, 2:25",2,2011,-
24,188,104.0,+2:39,,28.0,Rolland Pierre,22,Team Europcar,2:35 2:35,2,2011,▲6
24,211,110.0,+2:51,,26.0,Coppel Jérôme,23,Saur - Sojasun,2:47 2:47,2,2011,▲3
25,86,115.0,+2:58,,22.0,Intxausti Beñat,24,Movistar Team,2:54 2:54,2,2011,▼2
23,207,119.0,+3:04,,27.0,Poels Wout,25,Vacansoleil - DCM,3:00 3:00,2,2011,▲2
24,203,120.0,+3:04,,30.0,De Gendt Thomas,26,Vacansoleil - DCM,",, 3:00",2,2011,▲4
24,159,122.0,+3:09,,24.0,Zingle Romain,27,"Cofidis, le Crédit en Ligne",3:05 3:05,2,2011,▼3
24,102,127.0,+3:12,,32.0,Bouet Maxime,28,AG2R La Mondiale,3:08 3:08,2,2011,▲4
22,139,132.0,+3:21,,35.0,Vichot Arthur,29,FDJ,3:17 3:17,2,2011,▲6
