Rnk,Rider,Age,Team,GC,GC-Time,Time,year,stage
1,Peterson Tom,19,,38,+9:35,22:56:21 22:56:21,2006,7
2,Tolleson Taylor,20,Team TIAA-CREF,61,+20:17,10:42 10:42,2006,7
3,Lewis Craig,21,,62,+20:21,10:46 10:46,2006,7
