Rnk,Rider,Age,Team,UCI,year,stage
1,Simeoni Filippo,31,Domina Vacanze - Elitron,41,2003,9
2,Kohut Seweryn Zenon,27,,36,2003,9
3,Vinokourov Alexandre,29,Team Telekom,32,2003,9
4,Schnider Daniel,29,Phonak Hearing Systems,24,2003,9
5,Giunti Massimo,28,Domina Vacanze - Elitron,23,2003,9
6,Moos Alexandre,30,Phonak Hearing Systems,23,2003,9
7,Pereiro Oscar,25,Phonak Hearing Systems,20,2003,9
8,Guerini Giuseppe,33,Team Telekom,19,2003,9
9,McGee Bradley,27,Fdjeux.com,18,2003,9
10,Yakovlev Serguei,27,Team Telekom,13,2003,9
11,Camenzind Oscar,31,Phonak Hearing Systems,12,2003,9
12,Derganc Martin,26,Domina Vacanze - Elitron,11,2003,9
13,Valjavec Tadej,26,Fassa Bortolo,10,2003,9
14,Montgomery Sven,27,Fassa Bortolo,10,2003,9
15,Belli Wladimir,32,Lampre,10,2003,9
16,Leblacher Eric,25,Cr\xe9dit Agricole,9,2003,9
17,Zberg Markus,28,Gerolsteiner,8,2003,9
18,van Goolen Jurgen,22,Quickstep - Davitamon,7,2003,9
19,Schreck Stephan,24,Team Telekom,7,2003,9
20,Commesso Salvatore,28,Saeco,6,2003,9
21,Julich Bobby,31,Team Telekom,5,2003,9
22,Ullrich Jan,29,Team Bianchi,5,2003,9
23,Kirchen Kim,24,Fassa Bortolo,4,2003,9
24,Scanlon Mark,22,AG2R Pr\xe9voyance,4,2003,9
25,Astarloa Ascasibar Igor,27,Saeco,3,2003,9
26,Wuyts Peter,30,Palmans - Collstrop,3,2003,9
27,Ludewig Jorg,27,Saeco,2,2003,9
28,Kolobnev Alexandr,22,Domina Vacanze - Elitron,2,2003,9
29,Wesemann Steffen,32,Team Telekom,2,2003,9
30,Zucconi Pietro,28,Vini Calderola - So.di,2,2003,9
31,Z\xfclle Alex,34,Team Bianchi,1,2003,9
32,Urban Malte,28,Team Bianchi,1,2003,9
33,Fuentes Juan,26,Saeco,1,2003,9
