stage_type,Stage,Winner,Leader after stage,year,IndivTimeTrial,TeamTimeTrial,MountainStage,SprintStage
0.0,Prologue - Paris › Paris,MCGEE Bradley,McGee Bradley,2003,1,0,0,0
0.0,Stage 1 - Saint-Denis-Montgeron › Meaux,PETACCHI Alessandro,McGee Bradley,2003,0,0,0,1
0.0,Stage 2 - La Ferté-sous-Jouarre › Sedan,COOKE Baden,McGee Bradley,2003,0,0,0,1
0.0,Stage 3 - Charleville-Mézières › Saint-Dizier,PETACCHI Alessandro,Nazon Jean-Patrick,2003,0,0,0,1
0.0,Stage 4 (ITT) - Joinville › Saint-Dizier,,Peña Victor Hugo,2003,1,0,0,0
0.0,Stage 5 - Troyes › Nevers,PETACCHI Alessandro,Peña Victor Hugo,2003,0,0,0,1
0.0,Stage 6 - Nevers › Lyon,PETACCHI Alessandro,Peña Victor Hugo,2003,0,0,0,1
0.0,Stage 7 - Lyon › Morzine,VIRENQUE Richard,Virenque Richard,2003,0,0,0,1
0.0,Stage 8 - Sallanches › L'Alpe d'Huez,MAYO Iban,Mayo Iban,2003,0,0,0,1
0.0,Stage 9 - Bourg d'Oisans › Gap,VINOKOUROV Alexandre,Vinokourov Alexandre,2003,0,0,0,1
0.0,Stage 10 - Gap › Marseille,PIIL Jakob,Piil Jakob,2003,0,0,0,1
0.0,Stage 11 - Narbonne › Toulouse,FLECHA Juan Antonio,Flecha Juan Antonio,2003,0,0,0,1
0.0,Stage 12 (ITT) - Gaillac › Cap Découverte,ULLRICH Jan,Ullrich Jan,2003,1,0,0,0
0.0,Stage 13 - Toulouse › Ax 3 Domaines,SASTRE Carlos,Sastre Carlos,2003,0,0,0,1
0.0,Stage 14 - Saint-Girons › Loudenvielle-Le-Louron,SIMONI Gilberto,Simoni Gilberto,2003,0,0,0,1
0.0,Stage 15 - Bagnères-de-Bigorre › Luz-Ardiden,,,2003,0,0,0,1
0.0,Stage 16 - Pau › Bayonne,HAMILTON Tyler,Hamilton Tyler,2003,0,0,0,1
0.0,Stage 17 - Dax › Bordeaux,KNAVEN Servais,Knaven Servais,2003,0,0,0,1
0.0,Stage 18 - Bordeaux › Saint-Maixent-l'Ecole,LASTRAS Pablo,Lastras Pablo,2003,0,0,0,1
0.0,Stage 19 (ITT) - Pornic › Nantes,MILLAR David,Millar David,2003,1,0,0,0
0.0,Stage 20 - Ville d'Avray › Paris,NAZON Jean-Patrick,Nazon Jean-Patrick,2003,0,0,0,1
