Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
25,34,6,,Nardello Daniele,8,Mapei - Bricobi,-,6,1998
32,177,5,,Rodriguez Jos\xe9 Luis,9,Kelme - Costa Blanca,-,6,1998
24,128,5,7.0,Nazon Damien,10,La Fran\xe7aise des Jeux,\u25bc3,6,1998
25,178,5,8.0,Serrano Marcos Antonio,11,Kelme - Costa Blanca,\u25bc3,6,1998
28,125,5,9.0,Jan Xavier,12,La Fran\xe7aise des Jeux,\u25bc3,6,1998
27,162,5,10.0,Benitez Francisco,13,Vitalicio Seguros,\u25bc3,6,1998
27,88,3,,Vasseur C\xe9dric,14,GAN,-,6,1998
27,16,3,11.0,Moreau Christophe,15,Festina - Lotus,\u25bc4,6,1998
25,187,3,12.0,Hincapie George,16,US Postal Service,\u25bc4,6,1998
33,6,3,13.0,Heppner Jens,17,Team Telekom - ARD,\u25bc4,6,1998
30,12,3,,Brochard Laurent,18,Festina - Lotus,-,6,1998
29,172,2,14.0,Cabello Francisco,19,Kelme - Costa Blanca,\u25bc5,6,1998
31,129,1,,Sciandri Maximilian,20,La Fran\xe7aise des Jeux,-,6,1998
26,123,1,,Guesdon Fr\xe9d\xe9ric,21,La Fran\xe7aise des Jeux,-,6,1998
24,69,1,15.0,Salmon Benoit,22,Casino - AG2R,\u25bc7,6,1998
32,68,1,,Massi Rodolfo,23,Casino - AG2R,-,6,1998
26,135,1,16.0,Julich Bobby,24,Cofidis,\u25bc8,6,1998
25,174,1,17.0,De Los Angeles Juan Jos\xe9,25,Kelme - Costa Blanca,\u25bc8,6,1998
29,39,16,2.0,Zanini Stefano,1,Mapei - Bricobi,\u25b21,7,1998
26,89,13,3.0,Voigt Jens,2,GAN,\u25b21,7,1998
28,62,12,4.0,Agnolutto Christophe,3,Casino - AG2R,\u25b21,7,1998
34,66,12,5.0,Elli Alberto,4,Casino - AG2R,\u25b21,7,1998
27,186,10,,Hamilton Tyler,5,US Postal Service,-,7,1998
24,1,7,,Ullrich Jan,6,Team Telekom - ARD,-,7,1998
28,61,7,6.0,Hamburger Bo,7,Casino - AG2R,\u25bc1,7,1998
31,65,6,7.0,Durand Jacky,8,Casino - AG2R,\u25bc1,7,1998
25,34,6,8.0,Nardello Daniele,9,Mapei - Bricobi,\u25bc1,7,1998
32,177,5,9.0,Rodriguez Jos\xe9 Luis,10,Kelme - Costa Blanca,\u25bc1,7,1998
24,128,5,10.0,Nazon Damien,11,La Fran\xe7aise des Jeux,\u25bc1,7,1998
25,178,5,11.0,Serrano Marcos Antonio,12,Kelme - Costa Blanca,\u25bc1,7,1998
27,131,5,,Casagrande Francesco,13,Cofidis,-,7,1998
28,125,5,12.0,Jan Xavier,14,La Fran\xe7aise des Jeux,\u25bc2,7,1998
27,162,5,13.0,Benitez Francisco,15,Vitalicio Seguros,\u25bc2,7,1998
26,135,4,24.0,Julich Bobby,16,Cofidis,\u25b28,7,1998
27,88,3,14.0,Vasseur C\xe9dric,17,GAN,\u25bc3,7,1998
25,187,3,16.0,Hincapie George,18,US Postal Service,\u25bc2,7,1998
