BIB,GC,GC-Time,Prev,Rnk,Team,Time,stage,year,▼▲
,,+ -6:50,,1,US Postal Service,21:02 21:02,0,2004,
,,+ -6:50,,2,CSC ProTeam,0:06 0:06,0,2004,
,,+ -6:50,,3,Phonak Hearing Systems,0:11 0:11,0,2004,
,,+ -6:50,,4,Fassa Bortolo,0:14 0:14,0,2004,
,,+ -6:50,,5,Illes Balears - Banesto,0:18 0:18,0,2004,
,,+ -6:50,,6,Crédit Agricole,0:20 0:20,0,2004,
,,+ -6:50,,7,Rabobank ProTeam,0:26 0:26,0,2004,
,,+ -6:50,,8,Liberty Seguros,0:29 0:29,0,2004,
,,+ -6:50,,9,T-Mobile Team,0:30 0:30,0,2004,
,,+ -6:50,,10,Fdjeux.com,0:31 0:31,0,2004,
,,+ -6:50,,11,Gerolsteiner,0:37 0:37,0,2004,
,,+ -6:50,,12,Euskaltel - Euskadi,0:40 0:40,0,2004,
,,+ -6:50,,13,"Cofidis, le Crédit par Téléphone",0:43 0:43,0,2004,
,,+ -6:50,,14,Domina Vacanze,0:44 0:44,0,2004,
,,+ -6:50,,15,AG2R Prévoyance,0:50 0:50,0,2004,
,,+ -6:50,,16,Brioches La Boulangère,0:51 0:51,0,2004,
,,+ -6:50,,17,Quickstep - Davitamon,0:56 0:56,0,2004,
,,+ -6:50,,18,Lotto - Domo,1:05 1:05,0,2004,
,,+ -6:50,,19,Saeco,",, 1:05",0,2004,
,,+ -6:50,,20,Alessio - Bianchi,1:06 1:06,0,2004,
,,+ -6:50,,21,R.a.g.t Semence - Mg Rover,1:12 1:12,0,2004,
,,+ -4:47:11,1.0,1,US Postal Service,14:22:29 14:22:29,1,2004,-
,,+ -4:47:11,2.0,2,CSC ProTeam,0:06 0:06,1,2004,-
,,+ -4:47:11,3.0,3,Phonak Hearing Systems,0:11 0:11,1,2004,-
,,+ -4:47:11,4.0,4,Fassa Bortolo,0:14 0:14,1,2004,-
,,+ -4:47:11,5.0,5,Illes Balears - Banesto,0:18 0:18,1,2004,-
,,+ -4:47:11,6.0,6,Crédit Agricole,0:20 0:20,1,2004,-
,,+ -4:47:11,7.0,7,Rabobank ProTeam,0:26 0:26,1,2004,-
,,+ -4:47:11,8.0,8,Liberty Seguros,0:29 0:29,1,2004,-
,,+ -4:47:11,9.0,9,T-Mobile Team,0:30 0:30,1,2004,-
,,+ -4:47:11,10.0,10,Fdjeux.com,0:31 0:31,1,2004,-
,,+ -4:47:11,11.0,11,Gerolsteiner,0:37 0:37,1,2004,-
,,+ -4:47:11,12.0,12,Euskaltel - Euskadi,0:40 0:40,1,2004,-
,,+ -4:47:11,13.0,13,"Cofidis, le Crédit par Téléphone",0:43 0:43,1,2004,-
,,+ -4:47:11,14.0,14,Domina Vacanze,0:44 0:44,1,2004,-
,,+ -4:47:11,15.0,15,AG2R Prévoyance,0:50 0:50,1,2004,-
,,+ -4:47:11,16.0,16,Brioches La Boulangère,0:51 0:51,1,2004,-
,,+ -4:47:11,17.0,17,Quickstep - Davitamon,0:56 0:56,1,2004,-
,,+ -4:47:11,18.0,18,Lotto - Domo,1:05 1:05,1,2004,-
,,+ -4:47:11,19.0,19,Saeco,",, 1:05",1,2004,-
,,+ -4:47:11,20.0,20,Alessio - Bianchi,1:06 1:06,1,2004,-
,,+ -4:47:11,21.0,21,R.a.g.t Semence - Mg Rover,1:12 1:12,1,2004,-
,,+ -9:05:42,1.0,1,US Postal Service,27:18:26 27:18:26,2,2004,-
,,+ -9:05:42,2.0,2,CSC ProTeam,0:06 0:06,2,2004,-
,,+ -9:05:42,3.0,3,Phonak Hearing Systems,0:11 0:11,2,2004,-
,,+ -9:05:42,4.0,4,Fassa Bortolo,0:14 0:14,2,2004,-
,,+ -9:05:42,5.0,5,Illes Balears - Banesto,0:18 0:18,2,2004,-
,,+ -9:05:42,6.0,6,Crédit Agricole,0:20 0:20,2,2004,-
,,+ -9:05:42,7.0,7,Rabobank ProTeam,0:26 0:26,2,2004,-
,,+ -9:05:42,8.0,8,Liberty Seguros,0:29 0:29,2,2004,-
,,+ -9:05:42,9.0,9,T-Mobile Team,0:30 0:30,2,2004,-
,,+ -9:05:42,10.0,10,Fdjeux.com,0:31 0:31,2,2004,-
,,+ -9:05:42,11.0,11,Gerolsteiner,0:37 0:37,2,2004,-
,,+ -9:05:42,12.0,12,Euskaltel - Euskadi,0:40 0:40,2,2004,-
,,+ -9:05:42,13.0,13,"Cofidis, le Crédit par Téléphone",0:43 0:43,2,2004,-
,,+ -9:05:42,14.0,14,Domina Vacanze,0:44 0:44,2,2004,-
,,+ -9:05:42,15.0,15,AG2R Prévoyance,0:50 0:50,2,2004,-
,,+ -9:05:42,16.0,16,Brioches La Boulangère,0:51 0:51,2,2004,-
,,+ -9:05:42,17.0,17,Quickstep - Davitamon,0:56 0:56,2,2004,-
,,+ -9:05:42,18.0,18,Lotto - Domo,1:05 1:05,2,2004,-
,,+ -9:05:42,19.0,19,Saeco,",, 1:05",2,2004,-
,,+ -9:05:42,20.0,20,Alessio - Bianchi,1:06 1:06,2,2004,-
,,+ -9:05:42,21.0,21,R.a.g.t Semence - Mg Rover,1:12 1:12,2,2004,-
,,+ - 13:42:34,1.0,1,US Postal Service,41:08:56 41:08:56,3,2004,-
,,+ - 13:42:34,4.0,2,Fassa Bortolo,0:04 0:04,3,2004,▲2
,,+ - 13:42:34,2.0,3,CSC ProTeam,0:06 0:06,3,2004,▼1
,,+ - 13:42:34,3.0,4,Phonak Hearing Systems,",, 0:06",3,2004,▼1
,,+ - 13:42:34,7.0,5,Rabobank ProTeam,0:21 0:21,3,2004,▲2
,,+ - 13:42:34,9.0,6,T-Mobile Team,0:25 0:25,3,2004,▲3
,,+ - 13:42:34,8.0,7,Liberty Seguros,0:29 0:29,3,2004,▲1
,,+ - 13:42:34,10.0,8,Fdjeux.com,0:31 0:31,3,2004,▲2
,,+ - 13:42:34,11.0,9,Gerolsteiner,0:32 0:32,3,2004,▲2
,,+ - 13:42:34,15.0,10,AG2R Prévoyance,0:35 0:35,3,2004,▲5
,,+ - 13:42:34,5.0,11,Illes Balears - Banesto,0:39 0:39,3,2004,▼6
,,+ - 13:42:34,14.0,12,Domina Vacanze,0:50 0:50,3,2004,▲2
,,+ - 13:42:34,17.0,13,Quickstep - Davitamon,0:51 0:51,3,2004,▲4
,,+ - 13:42:34,16.0,14,Brioches La Boulangère,",, 0:51",3,2004,▲2
,,+ - 13:42:34,20.0,15,Alessio - Bianchi,0:56 0:56,3,2004,▲5
,,+ - 13:42:34,18.0,16,Lotto - Domo,1:00 1:00,3,2004,▲2
,,+ - 13:42:34,19.0,17,Saeco,4:53 4:53,3,2004,▲2
,,+ - 13:42:34,21.0,18,R.a.g.t Semence - Mg Rover,5:00 5:00,3,2004,▲3
,,+ - 13:42:34,13.0,19,"Cofidis, le Crédit par Téléphone",8:19 8:19,3,2004,▼6
,,+ - 13:42:34,6.0,20,Crédit Agricole,11:44 11:44,3,2004,▼14
,,+ - 13:42:34,12.0,21,Euskaltel - Euskadi,12:04 12:04,3,2004,▼9
,,+0:00,1.0,1,US Postal Service,42:20:59 42:20:59,4,2004,-
,,+0:00,4.0,2,Phonak Hearing Systems,1:13 1:13,4,2004,▲2
,,+0:00,6.0,3,T-Mobile Team,1:44 1:44,4,2004,▲3
,,+0:00,3.0,4,CSC ProTeam,1:52 1:52,4,2004,▼1
,,+0:00,11.0,5,Illes Balears - Banesto,1:54 1:54,4,2004,▲6
,,+0:00,5.0,6,Rabobank ProTeam,2:14 2:14,4,2004,▼1
,,+0:00,7.0,7,Liberty Seguros,2:54 2:54,4,2004,-
,,+0:00,15.0,8,Alessio - Bianchi,3:53 3:53,4,2004,▲7
,,+0:00,13.0,9,Quickstep - Davitamon,4:20 4:20,4,2004,▲4
,,+0:00,10.0,10,AG2R Prévoyance,4:40 4:40,4,2004,-
,,+0:00,2.0,11,Fassa Bortolo,4:56 4:56,4,2004,▼9
