BIB,GC,GC-Time,Prev,Rnk,Team,Time,stage,year,▼▲
,,+ -14:56,,1,Team LottoNL-Jumbo,46:06 46:06,1,2015,
,,+ -14:56,,2,Trek Factory Racing,0:03 0:03,1,2015,
,,+ -14:56,,3,BMC Racing Team,0:08 0:08,1,2015,
,,+ -14:56,,4,Movistar Team,0:10 0:10,1,2015,
,,+ -14:56,,5,Etixx - Quick Step,0:12 0:12,1,2015,
,,+ -14:56,,6,Team Giant - Alpecin,0:34 0:34,1,2015,
,,+ -14:56,,7,IAM Cycling,0:40 0:40,1,2015,
,,+ -14:56,,8,Team Sky,0:48 0:48,1,2015,
,,+ -14:56,,9,Astana Pro Team,0:54 0:54,1,2015,
,,+ -14:56,,10,Orica GreenEDGE,0:59 0:59,1,2015,
,,+ -14:56,,11,Tinkoff - Saxo,1:08 1:08,1,2015,
,,+ -14:56,,12,FDJ,1:10 1:10,1,2015,
,,+ -14:56,,13,MTN - Qhubeka,1:34 1:34,1,2015,
,,+ -14:56,,14,Team Cannondale - Garmin,1:46 1:46,1,2015,
,,+ -14:56,,15,Lotto Soudal,2:01 2:01,1,2015,
,,+ -14:56,,16,AG2R La Mondiale,2:11 2:11,1,2015,
,,+ -14:56,,17,Bora - Argon 18,2:16 2:16,1,2015,
,,+ -14:56,,18,Team Katusha,2:21 2:21,1,2015,
,,+ -14:56,,19,Lampre - Merida,2:41 2:41,1,2015,
,,+ -14:56,,20,Team Europcar,2:54 2:54,1,2015,
,,+ -14:56,,21,"Cofidis, Solutions Crédits",2:55 2:55,1,2015,
,,+ -14:56,,22,Bretagne - Séché Environnement,3:08 3:08,1,2015,
,,+ -3:44:01,3.0,1,BMC Racing Team,11:13:27 11:13:27,2,2015,▲2
,,+ -3:44:01,5.0,2,Etixx - Quick Step,0:04 0:04,2,2015,▲3
,,+ -3:44:01,8.0,3,Team Sky,0:51 0:51,2,2015,▲5
,,+ -3:44:01,11.0,4,Tinkoff - Saxo,1:04 1:04,2,2015,▲7
,,+ -3:44:01,6.0,5,Team Giant - Alpecin,1:50 1:50,2,2015,▲1
,,+ -3:44:01,15.0,6,Lotto Soudal,1:57 1:57,2,2015,▲9
,,+ -3:44:01,4.0,7,Movistar Team,4:22 4:22,2,2015,▼3
,,+ -3:44:01,9.0,8,Astana Pro Team,5:06 5:06,2,2015,▲1
,,+ -3:44:01,12.0,9,FDJ,5:22 5:22,2,2015,▲3
,,+ -3:44:01,13.0,10,MTN - Qhubeka,5:46 5:46,2,2015,▲3
,,+ -3:44:01,14.0,11,Team Cannondale - Garmin,5:58 5:58,2,2015,▲3
,,+ -3:44:01,2.0,12,Trek Factory Racing,6:23 6:23,2,2015,▼10
,,+ -3:44:01,16.0,13,AG2R La Mondiale,",, 6:23",2,2015,▲3
,,+ -3:44:01,17.0,14,Bora - Argon 18,6:28 6:28,2,2015,▲3
,,+ -3:44:01,18.0,15,Team Katusha,6:33 6:33,2,2015,▲3
,,+ -3:44:01,19.0,16,Lampre - Merida,6:53 6:53,2,2015,▲3
,,+ -3:44:01,21.0,17,"Cofidis, Solutions Crédits",7:07 7:07,2,2015,▲4
,,+ -3:44:01,1.0,18,Team LottoNL-Jumbo,7:48 7:48,2,2015,▼17
,,+ -3:44:01,7.0,19,IAM Cycling,8:28 8:28,2,2015,▼12
,,+ -3:44:01,22.0,20,Bretagne - Séché Environnement,10:56 10:56,2,2015,▲2
,,+ -3:44:01,10.0,21,Orica GreenEDGE,12:23 12:23,2,2015,▼11
,,+ -3:44:01,20.0,22,Team Europcar,17:54 17:54,2,2015,▼2
,,+ -7:11:37,1.0,1,BMC Racing Team,21:35:52 21:35:52,3,2015,-
,,+ -7:11:37,2.0,2,Etixx - Quick Step,0:27 0:27,3,2015,-
,,+ -7:11:37,3.0,3,Team Sky,1:43 1:43,3,2015,-
,,+ -7:11:37,4.0,4,Tinkoff - Saxo,1:44 1:44,3,2015,-
,,+ -7:11:37,7.0,5,Movistar Team,4:34 4:34,3,2015,▲2
,,+ -7:11:37,5.0,6,Team Giant - Alpecin,5:03 5:03,3,2015,▼1
,,+ -7:11:37,11.0,7,Team Cannondale - Garmin,5:40 5:40,3,2015,▲4
,,+ -7:11:37,13.0,8,AG2R La Mondiale,5:44 5:44,3,2015,▲5
,,+ -7:11:37,12.0,9,Trek Factory Racing,6:25 6:25,3,2015,▲3
,,+ -7:11:37,8.0,10,Astana Pro Team,6:35 6:35,3,2015,▼2
,,+ -7:11:37,10.0,11,MTN - Qhubeka,6:53 6:53,3,2015,▼1
,,+ -7:11:37,15.0,12,Team Katusha,7:08 7:08,3,2015,▲3
,,+ -7:11:37,6.0,13,Lotto Soudal,7:44 7:44,3,2015,▼7
,,+ -7:11:37,17.0,14,"Cofidis, Solutions Crédits",7:47 7:47,3,2015,▲3
,,+ -7:11:37,9.0,15,FDJ,9:28 9:28,3,2015,▼6
,,+ -7:11:37,14.0,16,Bora - Argon 18,9:29 9:29,3,2015,▼2
,,+ -7:11:37,18.0,17,Team LottoNL-Jumbo,9:51 9:51,3,2015,▲1
,,+ -7:11:37,19.0,18,IAM Cycling,13:00 13:00,3,2015,▲1
,,+ -7:11:37,20.0,19,Bretagne - Séché Environnement,13:31 13:31,3,2015,▲1
,,+ -7:11:37,16.0,20,Lampre - Merida,16:52 16:52,3,2015,▼4
,,+ -7:11:37,21.0,21,Orica GreenEDGE,18:04 18:04,3,2015,-
,,+ -7:11:37,22.0,22,Team Europcar,19:22 19:22,3,2015,-
,,+ - 12:40:26,1.0,1,BMC Racing Team,38:02:55 38:02:55,4,2015,-
,,+ - 12:40:26,2.0,2,Etixx - Quick Step,0:24 0:24,4,2015,-
,,+ - 12:40:26,4.0,3,Tinkoff - Saxo,1:44 1:44,4,2015,▲1
,,+ - 12:40:26,3.0,4,Team Sky,2:31 2:31,4,2015,▼1
,,+ - 12:40:26,6.0,5,Team Giant - Alpecin,5:43 5:43,4,2015,▲1
,,+ - 12:40:26,8.0,6,AG2R La Mondiale,5:44 5:44,4,2015,▲2
,,+ - 12:40:26,5.0,7,Movistar Team,7:15 7:15,4,2015,▼2
,,+ - 12:40:26,14.0,8,"Cofidis, Solutions Crédits",7:47 7:47,4,2015,▲6
,,+ - 12:40:26,12.0,9,Team Katusha,7:56 7:56,4,2015,▲3
,,+ - 12:40:26,7.0,10,Team Cannondale - Garmin,9:00 9:00,4,2015,▼3
,,+ - 12:40:26,10.0,11,Astana Pro Team,9:55 9:55,4,2015,▼1
,,+ - 12:40:26,13.0,12,Lotto Soudal,11:52 11:52,4,2015,▲1
,,+ - 12:40:26,9.0,13,Trek Factory Racing,13:05 13:05,4,2015,▼4
,,+ - 12:40:26,11.0,14,MTN - Qhubeka,13:33 13:33,4,2015,▼3
,,+ - 12:40:26,17.0,15,Team LottoNL-Jumbo,13:59 13:59,4,2015,▲2
,,+ - 12:40:26,18.0,16,IAM Cycling,15:40 15:40,4,2015,▲2
,,+ - 12:40:26,16.0,17,Bora - Argon 18,17:03 17:03,4,2015,▼1
,,+ - 12:40:26,15.0,18,FDJ,20:12 20:12,4,2015,▼3
,,+ - 12:40:26,20.0,19,Lampre - Merida,22:52 22:52,4,2015,▲1
,,+ - 12:40:26,22.0,20,Team Europcar,22:57 22:57,4,2015,▲2
,,+ - 12:40:26,19.0,21,Bretagne - Séché Environnement,23:39 23:39,4,2015,▼2
,,+ - 12:40:26,21.0,22,Orica GreenEDGE,33:09 33:09,4,2015,▼1
