Age,BIB,Pnt,Prev,Rider,Rnk,Team,stage,year,▼▲
30.0,201.0,5.0,,Millar David,1.0,Saunier Duval,1,2007,
32.0,142.0,5.0,,Augé Stéphane,2.0,"Cofidis, le Crédit par Téléphone",1,2007,
27.0,132.0,3.0,,Bichot Freddy,3.0,Agritubel,1,2007,
23.0,184.0,2.0,,Grivko Andrey,4.0,Milram,1,2007,
27.0,156.0,2.0,,Kuschynski Aleksandr,5.0,Liquigas,1,2007,
26.0,205.0,1.0,,de la Fuente David,6.0,Saunier Duval,1,2007,
30.0,201.0,5.0,1.0,Millar David,1.0,Saunier Duval,2,2007,-
32.0,142.0,5.0,2.0,Augé Stéphane,2.0,"Cofidis, le Crédit par Téléphone",2,2007,-
27.0,132.0,3.0,3.0,Bichot Freddy,3.0,Agritubel,2,2007,-
23.0,184.0,2.0,4.0,Grivko Andrey,4.0,Milram,2,2007,-
27.0,156.0,2.0,5.0,Kuschynski Aleksandr,5.0,Liquigas,2,2007,-
26.0,205.0,1.0,6.0,de la Fuente David,6.0,Saunier Duval,2,2007,-
32.0,142.0,8.0,2.0,Augé Stéphane,1.0,"Cofidis, le Crédit par Téléphone",3,2007,▲1
30.0,201.0,5.0,1.0,Millar David,2.0,Saunier Duval,3,2007,▼1
27.0,132.0,3.0,3.0,Bichot Freddy,3.0,Agritubel,3,2007,-
23.0,184.0,2.0,4.0,Grivko Andrey,4.0,Milram,3,2007,-
22.0,167.0,2.0,,Ladagnous Matthieu,5.0,Française des Jeux,3,2007,-
27.0,156.0,2.0,5.0,Kuschynski Aleksandr,6.0,Liquigas,3,2007,▼1
27.0,159.0,1.0,,Willems Frederik,7.0,Liquigas,3,2007,-
26.0,205.0,1.0,6.0,de la Fuente David,8.0,Saunier Duval,3,2007,▼2
32.0,142.0,9.0,1.0,Augé Stéphane,1.0,"Cofidis, le Crédit par Téléphone",4,2007,-
28.0,141.0,7.0,,Chavanel Sylvain,2.0,"Cofidis, le Crédit par Téléphone",4,2007,-
30.0,201.0,7.0,2.0,Millar David,3.0,Saunier Duval,4,2007,▼1
26.0,185.0,5.0,,Knees Christian,4.0,Milram,4,2007,-
27.0,156.0,5.0,6.0,Kuschynski Aleksandr,5.0,Liquigas,4,2007,▲1
27.0,132.0,3.0,3.0,Bichot Freddy,6.0,Agritubel,4,2007,▼3
29.0,55.0,3.0,,Flecha Juan Antonio,7.0,Rabobank ProTeam,4,2007,-
23.0,184.0,2.0,4.0,Grivko Andrey,8.0,Milram,4,2007,▼4
22.0,167.0,2.0,5.0,Ladagnous Matthieu,9.0,Française des Jeux,4,2007,▼4
25.0,127.0,2.0,,Sprick Matthieu,10.0,Bouygues Telecom,4,2007,-
27.0,159.0,1.0,7.0,Willems Frederik,11.0,Liquigas,4,2007,▼4
26.0,205.0,1.0,8.0,de la Fuente David,12.0,Saunier Duval,4,2007,▼4
28.0,79.0,1.0,,Verdugo Gorka,13.0,Euskaltel - Euskadi,4,2007,-
28.0,141.0,37.0,2.0,Chavanel Sylvain,1.0,"Cofidis, le Crédit par Téléphone",5,2007,▲1
25.0,165.0,23.0,,Gilbert Philippe,2.0,Française des Jeux,5,2007,-
25.0,102.0,15.0,,Bonnet William,3.0,Crédit Agricole,5,2007,-
28.0,213.0,10.0,,Cheula Giampaolo,4.0,Barloworld,5,2007,-
32.0,142.0,9.0,1.0,Augé Stéphane,5.0,"Cofidis, le Crédit par Téléphone",5,2007,▼4
33.0,58.0,8.0,,Rasmussen Michael,6.0,Rabobank ProTeam,5,2007,-
30.0,201.0,7.0,3.0,Millar David,7.0,Saunier Duval,5,2007,▼4
26.0,185.0,5.0,4.0,Knees Christian,8.0,Milram,5,2007,▼4
