Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
27,77,+1:22:10,5.0,,Zumsteg Lukas,77,,1:22:10 1:22:10,+2204:50,-,9,1999
24,78,+1:22:12,5.0,,Bertoletti Simone,78,Lampre - Daikin - Colnago,1:22:12 1:22:12,+2204:52,-,9,1999
32,79,+1:22:20,5.0,,Baronti Alessandro,79,Cantina Tollo - Alexia Alluminio,1:22:20 1:22:20,+2205:00,-,9,1999
36,80,+1:23:52,5.0,,Casagrande Stefano,80,,1:23:52 1:23:52,+2206:32,-,9,1999
30,81,+1:25:35,5.0,,Bramati Davide,81,Mapei - Quickstep,1:25:35 1:25:35,+2208:15,-,9,1999
28,82,+1:26:48,5.0,,Garcia Marcelino,82,,1:26:48 1:26:48,+2209:28,-,9,1999
27,83,+1:29:51,5.0,,Brasi Rossano,83,Polti,1:29:51 1:29:51,+2212:31,-,9,1999
29,84,+1:31:25,5.0,,Von Flue Daniel,84,,1:31:25 1:31:25,+2214:05,-,9,1999
28,85,+1:32:03,5.0,,Christen Josef,85,,1:32:03 1:32:03,+2214:43,-,9,1999
28,86,+1:33:28,5.0,,Patuelli Andrea,86,,1:33:28 1:33:28,+2216:08,-,9,1999
31,87,+1:34:28,5.0,,Finco Carlo,87,,1:34:28 1:34:28,+2217:08,-,9,1999
25,88,+1:34:55,5.0,,Mazzanti Luca,88,Cantina Tollo - Alexia Alluminio,1:34:55 1:34:55,+2217:35,-,9,1999
23,89,+1:35:17,5.0,,Di Biase Moreno,89,Cantina Tollo - Alexia Alluminio,1:35:17 1:35:17,+2217:57,-,9,1999
27,90,+1:36:19,5.0,,Traversoni Mario,90,Saeco - Cannondale,1:36:19 1:36:19,+2218:59,-,9,1999
29,91,+1:37:30,5.0,,Themann Michael,91,,1:37:30 1:37:30,+2220:10,-,9,1999
27,92,+1:39:09,5.0,,Crepaldi Mirco,92,Polti,1:39:09 1:39:09,+2221:49,-,9,1999
21,93,+1:40:23,5.0,,Nozal Isidro,93,O.N.C.E. - Deutsche Bank,1:40:23 1:40:23,+2223:03,-,9,1999
23,94,+1:41:03,5.0,,Plouhinec Samuel,94,Cofidis,1:41:03 1:41:03,+2223:43,-,9,1999
28,95,+1:42:22,5.0,,Zucchi Simone,95,Polti,1:42:22 1:42:22,+2225:02,-,9,1999
27,96,+1:50:57,5.0,,Barnsley Chris,96,,1:50:57 1:50:57,+2233:37,-,9,1999
26,97,+1:54:47,5.0,,Sidler Christian,97,,1:54:47 1:54:47,+2237:27,-,9,1999
27,98,+1:56:13,5.0,,Leporatti Simone,98,,1:56:13 1:56:13,+2238:53,-,9,1999
24,99,+1:56:18,5.0,,Ca\xf1ada David,99,,1:56:18 1:56:18,+2238:58,-,9,1999
26,100,+1:58:16,5.0,,Rokia Anthony,100,Cofidis,1:58:16 1:58:16,+2240:56,-,9,1999
25,101,+2:01:24,5.0,,Cannone Marco,101,,2:01:24 2:01:24,+2244:04,-,9,1999
26,102,+2:01:51,5.0,,Krzeszowiec Artur,102,,2:01:51 2:01:51,+2244:31,-,9,1999
