Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
22,144,110,+10:32,23.0,Putt Christopher,25,Jelly Belly p/b Maxxis,",, 10:11",\u25bc2,2,2016
22,148,111,+10:32,24.0,Wolfe Ben,26,Jelly Belly p/b Maxxis,",, 10:11",\u25bc2,2,2016
21,64,129,+15:46,11.0,Kelly Jake,27,Team Wiggins,15:25 15:25,\u25bc16,2,2016
22,65,140,+18:19,25.0,Latham Christopher,28,Team Wiggins,17:58 17:58,\u25bc3,2,2016
22,2,141,+18:34,27.0,Ba\u0161ka Erik,29,Tinkoff,18:13 18:13,\u25bc2,2,2016
19,138,5,+0:40,9.0,Powless Neilson,1,Axeon Hagens Berman,4:37:29 4:37:29,\u25b28,3,2016
21,135,14,+1:28,6.0,Guerreiro Ruben,2,Axeon Hagens Berman,0:48 0:48,\u25b24,3,2016
21,131,19,+2:10,8.0,Geoghegan Hart Tao,3,Axeon Hagens Berman,1:30 1:30,\u25b25,3,2016
23,107,27,+4:23,3.0,Lunke Sindre Skj\xf8stad,4,Team Giant - Alpecin,3:44 3:44,\u25bc1,3,2016
21,116,33,+5:02,16.0,Vermeulen Alexey,5,Team LottoNL-Jumbo,4:22 4:22,\u25b211,3,2016
21,47,38,+5:53,18.0,Restrepo Jhonatan,6,Team Katusha,4:34 4:34,\u25b212,3,2016
23,113,45,+9:48,14.0,Roosen Timo,7,Team LottoNL-Jumbo,9:08 9:08,\u25b27,3,2016
21,134,43,+9:46,13.0,Daniel Gregory,8,Axeon Hagens Berman,",, 9:08",\u25b25,3,2016
22,5,46,+9:48,15.0,Gogl Michael,9,Tinkoff,",, 9:08",\u25b26,3,2016
21,136,51,+10:49,10.0,Neilands Krists,10,Axeon Hagens Berman,10:09 10:09,-,3,2016
20,133,55,+11:09,17.0,Curran Geoffrey,11,Axeon Hagens Berman,10:18 10:18,\u25b26,3,2016
22,124,58,+12:05,1.0,Eaton Daniel,12,UnitedHealthcare Pro Cycling Team,11:28 11:28,\u25bc11,3,2016
22,173,79,+20:01,20.0,De Vos Adam,13,Rally Cycling,13:20 13:20,\u25b27,3,2016
21,102,76,+18:26,19.0,Andersen S\xf8ren Kragh,14,Team Giant - Alpecin,",, 13:20",\u25b25,3,2016
22,166,99,+25:26,23.0,Planet Charles,15,Team Novo Nordisk,14:38 14:38,\u25b28,3,2016
22,27,65,+15:53,5.0,van Poppel Danny,16,Team Sky,15:13 15:13,\u25bc11,3,2016
22,111,100,+25:57,21.0,Groenewegen Dylan,17,Team LottoNL-Jumbo,",, 15:13",\u25b24,3,2016
20,132,70,+18:05,2.0,Barta William,18,Axeon Hagens Berman,17:28 17:28,\u25bc16,3,2016
