Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
25,1,+0:00,,,Boonen Tom,1,Quickstep - Innergetic,3:51:04 3:51:04,+0:00,,1,2006
25,2,+0:04,,,Bennati Daniele,2,Lampre-Fondital,0:04 0:04,+0:04,,1,2006
25,3,+0:05,,,Albasini Michael,3,Liquigas,0:05 0:05,+0:05,,1,2006
30,4,+0:06,,,Freire Oscar,4,Rabobank ProTeam,0:06 0:06,+0:06,,1,2006
29,5,+0:07,,,Zampieri Steve,5,Phonak Hearing Systems,0:07 0:07,+0:07,,1,2006
28,6,+0:10,,,Usov Alexandre,6,AG2R Pr\xe9voyance,0:10 0:10,+0:10,,1,2006
25,7,+0:10,,,Davis Allan,7,Astana - W\xfcrth Team,",, 0:10",+0:10,,1,2006
24,8,+0:10,,,Lequatre Geoffroy,8,Cofidis,",, 0:10",+0:10,,1,2006
31,9,+0:10,,,G\xe1lvez Isaac,9,Caisse d'Epargne - Illes Balears,",, 0:10",+0:10,,1,2006
25,10,+0:10,,,Schr\xf6der Bjorn,10,Milram,",, 0:10",+0:10,,1,2006
25,1,+0:00,,2.0,Bennati Daniele,1,Lampre-Fondital,7:53:12 7:53:12,+0:00,\u25b21,2,2006
25,2,+0:08,,1.0,Boonen Tom,2,Quickstep - Innergetic,0:08 0:08,+0:12,\u25bc1,2,2006
25,3,+0:11,,3.0,Albasini Michael,3,Liquigas,0:11 0:11,+0:10,-,2,2006
24,4,+0:12,,8.0,Lequatre Geoffroy,4,Cofidis,0:12 0:12,+0:06,\u25b24,2,2006
28,5,+0:12,,6.0,Usov Alexandre,5,AG2R Pr\xe9voyance,",, 0:12",+0:06,\u25b21,2,2006
27,6,+0:12,,,Markov Alexei,6,Caisse d'Epargne - Illes Balears,",, 0:12",+231:20,-,2,2006
27,7,+0:12,,,Elmiger Martin,7,Phonak Hearing Systems,",, 0:12",+231:20,-,2,2006
30,8,+0:12,,,Kroon Karsten,8,CSC ProTeam,",, 0:12",+231:20,-,2,2006
24,9,+0:12,,,Perez Ruben,9,Euskaltel - Euskadi,",, 0:12",+231:20,-,2,2006
25,10,+0:12,,,De La Fuente David,10,Saunier Duval - Prodir,",, 0:12",+231:20,-,2,2006
26,1,+0:00,,,Nuyens Nick,1,Quickstep - Innergetic,12:30:09 12:30:09,+0:00,-,3,2006
23,2,+0:05,,,Gerdemann Linus,2,T-Mobile Team,0:05 0:05,+0:05,-,3,2006
25,3,+0:06,,1.0,Bennati Daniele,3,Lampre-Fondital,0:06 0:06,+-474:54,\u25bc2,3,2006
29,4,+0:08,,,Jaksche Jorg,4,Astana - W\xfcrth Team,0:08 0:08,+0:08,-,3,2006
25,5,+0:14,,2.0,Boonen Tom,5,Quickstep - Innergetic,0:14 0:14,+-474:54,\u25bc3,3,2006
25,6,+0:15,,3.0,Albasini Michael,6,Liquigas,0:15 0:15,+-474:52,\u25bc3,3,2006
28,7,+0:17,,,Gil Fernandez Koldo,7,,0:17 0:17,+0:17,-,3,2006
24,8,+0:18,,4.0,Lequatre Geoffroy,8,Cofidis,0:18 0:18,+-474:54,\u25bc4,3,2006
28,9,+0:18,,5.0,Usov Alexandre,9,AG2R Pr\xe9voyance,",, 0:18",+-474:54,\u25bc4,3,2006
25,10,+0:18,,10.0,De La Fuente David,10,Saunier Duval - Prodir,",, 0:18",+-474:54,-,3,2006
26,1,+0:00,,1.0,Nuyens Nick,1,Quickstep - Innergetic,16:15:19 16:15:19,+0:00,-,4,2006
25,2,+0:02,,3.0,Bennati Daniele,2,Lampre-Fondital,0:02 0:02,+-1:56,\u25b21,4,2006
23,3,+0:02,,2.0,Gerdemann Linus,3,T-Mobile Team,",, 0:02",+-1:57,\u25bc1,4,2006
29,4,+0:05,,4.0,Jaksche Jorg,4,Astana - W\xfcrth Team,0:05 0:05,+-1:57,-,4,2006
29,5,+0:13,,,Vicioso \xc1ngel,5,Astana - W\xfcrth Team,0:13 0:13,+750:22,-,4,2006
25,6,+0:15,,6.0,Albasini Michael,6,Liquigas,0:15 0:15,+0:00,-,4,2006
28,7,+0:16,,7.0,Gil Fernandez Koldo,7,,0:16 0:16,+-1:59,-,4,2006
26,8,+0:17,,,Herrero Llorente David,8,Euskaltel - Euskadi,0:17 0:17,+750:26,-,4,2006
25,9,+0:18,,10.0,De La Fuente David,9,Saunier Duval - Prodir,0:18 0:18,+0:00,\u25b21,4,2006
26,10,+0:18,,,Rast Gregory,10,Phonak Hearing Systems,",, 0:18",+750:27,-,4,2006
29,1,+0:00,,5.0,Vicioso \xc1ngel,1,Astana - W\xfcrth Team,21:53:31 21:53:31,+0:00,\u25b24,5,2006
29,2,+0:02,,4.0,Jaksche Jorg,2,Astana - W\xfcrth Team,0:02 0:02,+0:10,\u25b22,5,2006
23,3,+0:03,,3.0,Gerdemann Linus,3,T-Mobile Team,0:03 0:03,+0:14,-,5,2006
28,4,+0:08,,7.0,Gil Fernandez Koldo,4,,0:08 0:08,+0:05,\u25b23,5,2006
31,5,+0:15,,,Ca\xf1ada David,5,Saunier Duval - Prodir,0:15 0:15,+975:47,-,5,2006
26,6,+0:16,,,Schleck Fr\xe4nk,6,CSC ProTeam,0:16 0:16,+975:48,-,5,2006
32,7,+0:16,,,Ullrich Jan,7,T-Mobile Team,",, 0:16",+975:48,-,5,2006
35,8,+0:18,,,Zberg Beat,8,Gerolsteiner,0:18 0:18,+975:50,-,5,2006
31,9,+0:19,,,Botcharov Alexandre,9,Cr\xe9dit Agricole,0:19 0:19,+975:51,-,5,2006
26,10,+0:19,,,G\xf3mez Marchante Jose Angel,10,Saunier Duval - Prodir,",, 0:19",+975:51,-,5,2006
28,1,+0:00,,4.0,Gil Fernandez Koldo,1,,27:43:21 27:43:21,+0:00,\u25b23,6,2006
29,2,+0:34,,2.0,Jaksche Jorg,2,Astana - W\xfcrth Team,0:34 0:34,+0:40,-,6,2006
32,3,+0:54,,7.0,Ullrich Jan,3,T-Mobile Team,0:54 0:54,+0:46,\u25b24,6,2006
