Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,Pnt,year,stage
1,6.0,\u25b25,131,Sagan Peter,24,Cannondale,16,2014,2
2,1.0,\u25bc1,13,Martin Tony,29,Omega Pharma - Quick-Step,15,2014,2
3,,-,97,Meyer Cameron,26,Orica GreenEDGE,15,2014,2
4,2.0,\u25bc2,125,Dumoulin Tom,23,Team Giant - Shimano,12,2014,2
5,,-,42,Deignan Philip,30,Team Sky,12,2014,2
6,3.0,\u25bc3,116,Dennis Rohan,24,Garmin Sharp,10,2014,2
7,,-,67,Warbasse Larry,23,BMC Racing Team,10,2014,2
8,4.0,\u25bc4,81,Cancellara Fabian,33,Trek Factory Racing,9,2014,2
9,,-,48,Swift Ben,26,Team Sky,8,2014,2
10,,-,63,Dillier Silvan,23,BMC Racing Team,7,2014,2
11,7.0,\u25bc4,101,Mollema Bauke,27,Belkin-Pro Cycling Team,6,2014,2
12,,-,124,de Kort Koen,31,Team Giant - Shimano,6,2014,2
13,8.0,\u25bc5,111,Slagter Tom-Jelte,24,Garmin Sharp,5,2014,2
14,,-,98,Schurter Nino,28,Orica GreenEDGE,5,2014,2
15,9.0,\u25bc6,23,Izagirre Ion,25,Movistar Team,4,2014,2
16,,-,142,Gasparotto Enrico,32,Astana Pro Team,4,2014,2
17,10.0,\u25bc7,3,Cattaneo Mattia,23,Lampre - Merida,3,2014,2
18,,-,31,Kolobnev Alexandr,33,Team Katusha,3,2014,2
19,11.0,\u25bc8,45,Kennaugh Peter,25,Team Sky,2,2014,2
20,,-,117,King Benjamin,25,Garmin Sharp,2,2014,2
21,12.0,\u25bc9,205,Pardilla Sergio,30,MTN - Qhubeka,1,2014,2
22,,-,62,Burghardt Marcus,30,BMC Racing Team,1,2014,2
1,1.0,-,131,Sagan Peter,24,Cannondale,41,2014,3
2,,-,91,Albasini Michael,33,Orica GreenEDGE,20,2014,3
3,11.0,\u25b28,101,Mollema Bauke,27,Belkin-Pro Cycling Team,19,2014,3
4,2.0,\u25bc2,13,Martin Tony,29,Omega Pharma - Quick-Step,17,2014,3
5,,-,44,Henao Sergio Luis,26,Team Sky,16,2014,3
6,3.0,\u25bc3,97,Meyer Cameron,26,Orica GreenEDGE,15,2014,3
7,4.0,\u25bc3,125,Dumoulin Tom,23,Team Giant - Shimano,13,2014,3
