Rnk,BIB,Team,GC,GC-Time,Time,year,stage
1,,Liquigas - Doimo,,+ - 87:44:01,262:04:40 262:04:40,2010,21
2,,Rabobank ProTeam,,+ - 87:44:01,24:21 24:21,2010,21
3,,Caisse d'Epargne,,+ - 87:44:01,1:05:55 1:05:55,2010,21
4,,AG2R La Mondiale,,+ - 87:44:01,1:10:16 1:10:16,2010,21
5,,Omega Pharma-Lotto,,+ - 87:44:01,1:10:45 1:10:45,2010,21
6,,Saxo Bank,,+ - 87:44:01,1:42:45 1:42:45,2010,21
7,,Cervelo Test Team,,+ - 87:44:01,2:06:16 2:06:16,2010,21
8,,Androni Giocattoli - Serramenti PVC Diquigiovanni,,+ - 87:44:01,2:22:33 2:22:33,2010,21
9,,Team Katusha,,+ - 87:44:01,2:23:30 2:23:30,2010,21
10,,Bbox Bouygues Telecom,,+ - 87:44:01,2:31:15 2:31:15,2010,21
11,,Sky Procycling,,+ - 87:44:01,2:42:26 2:42:26,2010,21
12,,Lampre - Farnese Vini,,+ - 87:44:01,2:51:14 2:51:14,2010,21
13,,Acqua & Sapone,,+ - 87:44:01,2:53:59 2:53:59,2010,21
14,,Astana,,+ - 87:44:01,3:56:19 3:56:19,2010,21
15,,Quickstep - Innergetic,,+ - 87:44:01,4:08:01 4:08:01,2010,21
16,,Team HTC - Columbia,,+ - 87:44:01,5:03:22 5:03:22,2010,21
17,,BMC Racing Team,,+ - 87:44:01,5:15:22 5:15:22,2010,21
18,,Footon-Servetto,,+ - 87:44:01,5:18:41 5:18:41,2010,21
19,,Milram,,+ - 87:44:01,5:23:05 5:23:05,2010,21
20,,Cofidis Le Credit en Ligne,,+ - 87:44:01,5:34:58 5:34:58,2010,21
21,,Colnago - CSF Inox,,+ - 87:44:01,6:25:46 6:25:46,2010,21
22,,Team Garmin - Transitions,,+ - 87:44:01,7:25:13 7:25:13,2010,21
