Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
26,118.0,,,,,Verbrugghe Rik,1,Lotto - Adecco,,+0:00,,0,2001
26,118.0,,,,1.0,Verbrugghe Rik,1,Lotto - Adecco,,+0:00,-,1,2001
26,118.0,,,,1.0,Verbrugghe Rik,1,Lotto - Adecco,,+0:00,-,2,2001
26,118.0,,,,1.0,Verbrugghe Rik,1,Lotto - Adecco,,+0:00,-,3,2001
27,64.0,,,,,Frigo Dario,1,Fassa Bortolo,,+0:00,-,4,2001
27,64.0,,,,1.0,Frigo Dario,1,Fassa Bortolo,,+0:00,-,5,2001
27,64.0,,,,1.0,Frigo Dario,1,Fassa Bortolo,,+0:00,-,6,2001
27,64.0,,,,1.0,Frigo Dario,1,Fassa Bortolo,,+0:00,-,7,2001
27,64.0,,,,1.0,Frigo Dario,1,Fassa Bortolo,,+0:00,-,8,2001
27,64.0,,,,1.0,Frigo Dario,1,Fassa Bortolo,,+0:00,-,9,2001
27,64.0,,,,1.0,Frigo Dario,1,Fassa Bortolo,,+0:00,-,10,2001
27,64.0,,,,1.0,Frigo Dario,1,Fassa Bortolo,,+0:00,-,11,2001
27,64.0,,,,1.0,Frigo Dario,1,Fassa Bortolo,,+0:00,-,12,2001
29,91.0,,,,,Simoni Gilberto,1,Lampre - Daikin,,+0:00,-,13,2001
29,91.0,,,,1.0,Simoni Gilberto,1,Lampre - Daikin,,+0:00,-,14,2001
29,91.0,,,,1.0,Simoni Gilberto,1,Lampre - Daikin,,+0:00,-,15,2001
29,91.0,,,,1.0,Simoni Gilberto,1,Lampre - Daikin,,+0:00,-,16,2001
29,91.0,,,,1.0,Simoni Gilberto,1,Lampre - Daikin,,+0:00,-,17,2001
29,91.0,,,,1.0,Simoni Gilberto,1,Lampre - Daikin,,+0:00,-,18,2001
29,91.0,,,,1.0,Simoni Gilberto,1,Lampre - Daikin,,+0:00,-,19,2001
29,91.0,,,,1.0,Simoni Gilberto,1,Lampre - Daikin,,+0:00,-,20,2001
29,91.0,1.0,+0:00,400.0,1.0,Simoni Gilberto,1,Lampre - Daikin,89:02:58 89:02:58,+0:00,-,21,2001
31,141.0,2.0,+7:31,290.0,,Olano Abraham,2,O.N.C.E. - Eroski,7:31 7:31,+7:31,-,21,2001
25,77.0,3.0,+8:37,240.0,,Osa Unai,3,Ibanesto.com,8:37 8:37,+8:37,-,21,2001
30,102.0,4.0,+9:25,220.0,,Honchar Serhiy,4,Liquigas - Pata,9:25 9:25,+9:25,-,21,2001
27,143.0,5.0,+9:44,200.0,,Azevedo Jos\xe9 Bento Carvalho,5,O.N.C.E. - Eroski,9:44 9:44,+9:44,-,21,2001
32,8.0,6.0,+10:50,190.0,,Noe Andrea,6,Mapei - Quickstep,10:50 10:50,+10:50,-,21,2001
32,14.0,7.0,+10:54,180.0,,Gotti Ivan,7,Alessio,10:54 10:54,+10:54,-,21,2001
27,163.0,8.0,+11:44,170.0,,Alberto Contreras Carlos,8,Selle Italia - Pacific,11:44 11:44,+11:44,-,21,2001
25,13.0,9.0,+13:34,160.0,,Caucchioli Pietro,9,Alessio,13:34 13:34,+13:34,-,21,2001
25,51.0,10.0,+14:08,150.0,,Figueras Giuliano,10,Panaria - Fiordo,14:08 14:08,+14:08,-,21,2001
27,124.0,11.0,+14:34,140.0,,Velo Marco,11,Mercatone Uno - Stream TV,14:34 14:34,+14:34,-,21,2001
28,172.0,12.0,+15:36,130.0,,Luttenberger Peter,12,Tacconi Sport - Vini Caldirola,15:36 15:36,+15:36,-,21,2001
34,161.0,13.0,+16:22,120.0,,Buenahora Hernan,13,Selle Italia - Pacific,16:22 16:22,+16:22,-,21,2001
28,157.0,14.0,+18:42,110.0,,Savoldelli Paolo,14,Saeco,18:42 18:42,+18:42,-,21,2001
31,162.0,15.0,+23:02,100.0,,Joaquin Castelblanco Jos\xe9,15,Selle Italia - Pacific,23:02 23:02,+23:02,-,21,2001
26,72.0,16.0,+25:13,90.0,,Bruseghin Marzio,16,Ibanesto.com,25:13 25:13,+25:13,-,21,2001
25,,17.0,+27:16,85.0,,Zinetti Mauro,17,,27:16 27:16,+27:16,-,21,2001
26,24.0,18.0,+33:04,80.0,,Magnani Marco,18,Alexia Alluminio,33:04 33:04,+33:04,-,21,2001
35,108.0,19.0,+33:14,75.0,,Faresin Gianni,19,Liquigas - Pata,33:14 33:14,+33:14,-,21,2001
25,97.0,20.0,+33:24,70.0,,Garate Juan Manuel,20,Lampre - Daikin,33:24 33:24,+33:24,-,21,2001
27,127.0,21.0,+33:55,65.0,,De Paoli Daniele,21,Mercatone Uno - Stream TV,33:55 33:55,+33:55,-,21,2001
29,44.0,22.0,+36:21,60.0,,Gentili Massimiliano,22,Cantina Tollo - Acqua e Sapone,36:21 36:21,+36:21,-,21,2001
22,196.0,23.0,+40:41,55.0,,Kessler Matthias,23,Team Telekom,40:41 40:41,+40:41,-,21,2001
25,41.0,24.0,+41:28,50.0,,Di Luca Danilo,24,Cantina Tollo - Acqua e Sapone,41:28 41:28,+41:28,-,21,2001
29,18.0,25.0,+41:47,45.0,,Shefer Alexandre,25,Alessio,41:47 41:47,+41:47,-,21,2001
32,122.0,26.0,+45:14,40.0,,Clavero Daniel,26,Mercatone Uno - Stream TV,45:14 45:14,+45:14,-,21,2001
29,92.0,27.0,+46:15,35.0,,Camenzind Oscar,27,Lampre - Daikin,46:15 46:15,+46:15,-,21,2001
