Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,UCI,UCI.1,\u25bc\u25b2,stage,year
24,156,101,+1:04:58,,10.0,Grmay Tsgabu,13,Lampre - Merida,1:04:42 1:04:42,,,\u25bc3,8,2016
23,26,106,+1:08:05,,22.0,Lutsenko Alexey,14,Astana Pro Team,1:07:49 1:07:49,,,\u25b28,8,2016
25,203,108,+1:08:19,,19.0,Durbridge Luke,15,ORICA-BikeExchange,1:08:03 1:08:03,,,\u25b24,8,2016
24,171,111,+1:08:57,,15.0,Coquard Bryan,16,Direct Energie,1:08:41 1:08:41,,,\u25bc1,8,2016
24,67,116,+1:10:11,,13.0,Stuyven Jasper,17,Trek - Segafredo,1:09:55 1:09:55,,,\u25bc4,8,2016
24,89,120,+1:10:59,,24.0,van Baarle Dylan,18,Cannondale-Drapac Pro Cycling Team,1:10:43 1:10:43,,,\u25b26,8,2016
24,173,128,+1:12:44,,14.0,Duchesne Antoine,19,Direct Energie,1:12:28 1:12:28,,,\u25bc5,8,2016
22,75,136,+1:14:51,,17.0,Enger Sondre Holst,20,IAM Cycling,1:14:35 1:14:35,,,\u25bc3,8,2016
25,68,137,+1:15:04,,18.0,Theuns Edward,21,Trek - Segafredo,1:14:48 1:14:48,,,\u25bc3,8,2016
23,196,147,+1:18:35,,20.0,Laporte Christophe,22,"Cofidis, Solutions Cr\xe9dits",1:18:19 1:18:19,,,\u25bc2,8,2016
23,56,151,+1:20:12,,21.0,Roosen Timo,23,Team LottoNL-Jumbo,1:19:56 1:19:56,,,\u25bc2,8,2016
23,188,156,+1:20:55,,25.0,Vakoc Petr,24,Etixx - Quick Step,1:20:39 1:20:39,,,\u25b21,8,2016
23,53,176,+1:25:00,,23.0,Groenewegen Dylan,25,Team LottoNL-Jumbo,1:24:44 1:24:44,,,\u25bc2,8,2016
25,102,178,+1:25:18,,27.0,Berhane Natnael,26,Team Dimension Data,1:25:02 1:25:02,,,\u25b21,8,2016
24,216,183,+1:26:16,,26.0,McLay Daniel,27,Fortuneo - Vital Concept,1:26:00 1:26:00,,,\u25bc1,8,2016
25,143,189,+1:29:25,,29.0,Haller Marco,28,Team Katusha,1:29:09 1:29:09,,,\u25b21,8,2016
23,47,191,+1:30:43,,28.0,Gougeard Alexis,29,AG2R La Mondiale,1:30:27 1:30:27,,,\u25bc1,8,2016
23,209,2,+0:16,,1.0,Yates Adam,1,ORICA-BikeExchange,44:36:19 44:36:19,,,-,9,2016
24,157,9,+0:55,,2.0,Meintjes Louis,2,Lampre - Merida,0:39 0:39,,,-,9,2016
24,111,15,+2:51,,3.0,Barguil Warren,3,Team Giant - Alpecin,2:35 2:35,,,-,9,2016
25,51,19,+5:28,,4.0,Kelderman Wilco,4,Team LottoNL-Jumbo,5:12 5:12,,,-,9,2016
23,131,22,+8:48,,5.0,Buchmann Emanuel,5,Bora - Argon 18,8:32 8:32,,,-,9,2016
25,211,28,+16:57,,6.0,Sep\xfalveda Eduardo,6,Fortuneo - Vital Concept,16:41 16:41,,,-,9,2016
24,182,45,+40:37,,7.0,Alaphilippe Julian,7,Etixx - Quick Step,40:21 40:21,,,-,9,2016
24,137,62,+57:33,,8.0,Konrad Patrick,8,Bora - Argon 18,57:17 57:17,,,-,9,2016
24,83,69,+1:02:36,,9.0,Craddock Lawson,9,Cannondale-Drapac Pro Cycling Team,1:02:20 1:02:20,,,-,9,2016
24,159,75,+1:07:49,,10.0,Polanc Jan,10,Lampre - Merida,1:07:33 1:07:33,,,-,9,2016
24,156,89,+1:17:26,,13.0,Grmay Tsgabu,11,Lampre - Merida,1:17:10 1:17:10,,,\u25b22,9,2016
24,39,95,+1:22:38,,11.0,Valgren Michael,12,Tinkoff,1:22:22 1:22:22,,,\u25bc1,9,2016
23,26,96,+1:23:49,,14.0,Lutsenko Alexey,13,Astana Pro Team,1:23:33 1:23:33,,,\u25b21,9,2016
22,158,101,+1:26:03,,12.0,Pibernik Luka,14,Lampre - Merida,1:25:47 1:25:47,,,\u25bc2,9,2016
25,102,103,+1:27:10,,26.0,Berhane Natnael,15,Team Dimension Data,1:26:54 1:26:54,,,\u25b211,9,2016
24,171,107,+1:32:05,,16.0,Coquard Bryan,16,Direct Energie,1:31:49 1:31:49,,,-,9,2016
25,203,111,+1:33:47,,15.0,Durbridge Luke,17,ORICA-BikeExchange,1:33:31 1:33:31,,,\u25bc2,9,2016
24,89,112,+1:35:34,,18.0,van Baarle Dylan,18,Cannondale-Drapac Pro Cycling Team,1:35:18 1:35:18,,,-,9,2016
24,173,116,+1:37:19,,19.0,Duchesne Antoine,19,Direct Energie,1:37:03 1:37:03,,,-,9,2016
24,67,126,+1:39:02,,17.0,Stuyven Jasper,20,Trek - Segafredo,1:38:46 1:38:46,,,\u25bc3,9,2016
22,75,139,+1:43:42,,20.0,Enger Sondre Holst,21,IAM Cycling,1:43:26 1:43:26,,,\u25bc1,9,2016
23,188,141,+1:44:03,,24.0,Vakoc Petr,22,Etixx - Quick Step,1:43:47 1:43:47,,,\u25b22,9,2016
25,68,142,+1:44:15,,21.0,Theuns Edward,23,Trek - Segafredo,1:43:59 1:43:59,,,\u25bc2,9,2016
23,196,150,+1:47:46,,22.0,Laporte Christophe,24,"Cofidis, Solutions Cr\xe9dits",1:47:30 1:47:30,,,\u25bc2,9,2016
23,56,153,+1:49:03,,23.0,Roosen Timo,25,Team LottoNL-Jumbo,1:48:47 1:48:47,,,\u25bc2,9,2016
23,53,174,+1:53:51,,25.0,Groenewegen Dylan,26,Team LottoNL-Jumbo,1:53:35 1:53:35,,,\u25bc1,9,2016
24,216,182,+1:55:07,,27.0,McLay Daniel,27,Fortuneo - Vital Concept,1:54:51 1:54:51,,,-,9,2016
25,143,186,+1:58:16,,28.0,Haller Marco,28,Team Katusha,1:58:00 1:58:00,,,-,9,2016
23,47,187,+1:59:34,,29.0,Gougeard Alexis,29,AG2R La Mondiale,1:59:18 1:59:18,,,-,9,2016
23,209,2,+0:16,,1.0,Yates Adam,1,ORICA-BikeExchange,49:08:36 49:08:36,,,-,10,2016
24,157,9,+0:55,,2.0,Meintjes Louis,2,Lampre - Merida,0:39 0:39,,,-,10,2016
24,111,15,+2:51,,3.0,Barguil Warren,3,Team Giant - Alpecin,2:35 2:35,,,-,10,2016
25,51,19,+5:28,,4.0,Kelderman Wilco,4,Team LottoNL-Jumbo,5:12 5:12,,,-,10,2016
23,131,23,+8:48,,5.0,Buchmann Emanuel,5,Bora - Argon 18,8:32 8:32,,,-,10,2016
25,211,28,+16:57,,6.0,Sep\xfalveda Eduardo,6,Fortuneo - Vital Concept,16:41 16:41,,,-,10,2016
24,182,47,+40:37,,7.0,Alaphilippe Julian,7,Etixx - Quick Step,40:21 40:21,,,-,10,2016
24,137,63,+57:33,,8.0,Konrad Patrick,8,Bora - Argon 18,57:17 57:17,,,-,10,2016
24,83,70,+1:02:36,,9.0,Craddock Lawson,9,Cannondale-Drapac Pro Cycling Team,1:02:20 1:02:20,,,-,10,2016
24,159,76,+1:07:49,,10.0,Polanc Jan,10,Lampre - Merida,1:07:33 1:07:33,,,-,10,2016
24,156,90,+1:17:26,,11.0,Grmay Tsgabu,11,Lampre - Merida,1:17:10 1:17:10,,,-,10,2016
24,39,96,+1:22:38,,12.0,Valgren Michael,12,Tinkoff,1:22:22 1:22:22,,,-,10,2016
23,26,98,+1:24:48,,13.0,Lutsenko Alexey,13,Astana Pro Team,1:24:32 1:24:32,,,-,10,2016
25,203,100,+1:25:18,,17.0,Durbridge Luke,14,ORICA-BikeExchange,1:25:02 1:25:02,,,\u25b23,10,2016
22,158,102,+1:26:03,,14.0,Pibernik Luka,15,Lampre - Merida,1:25:47 1:25:47,,,\u25bc1,10,2016
25,102,104,+1:27:10,,15.0,Berhane Natnael,16,Team Dimension Data,1:26:54 1:26:54,,,\u25bc1,10,2016
24,171,110,+1:32:05,,16.0,Coquard Bryan,17,Direct Energie,1:31:49 1:31:49,,,\u25bc1,10,2016
24,89,115,+1:35:34,,18.0,van Baarle Dylan,18,Cannondale-Drapac Pro Cycling Team,1:35:18 1:35:18,,,-,10,2016
24,173,119,+1:37:19,,19.0,Duchesne Antoine,19,Direct Energie,1:37:03 1:37:03,,,-,10,2016
24,67,128,+1:39:02,,20.0,Stuyven Jasper,20,Trek - Segafredo,1:38:46 1:38:46,,,-,10,2016
22,75,139,+1:43:42,,21.0,Enger Sondre Holst,21,IAM Cycling,1:43:26 1:43:26,,,-,10,2016
24,188,141,+1:44:03,,22.0,Vakoc Petr,22,Etixx - Quick Step,1:43:47 1:43:47,,,-,10,2016
25,68,142,+1:44:15,,23.0,Theuns Edward,23,Trek - Segafredo,1:43:59 1:43:59,,,-,10,2016
23,196,151,+1:48:45,,24.0,Laporte Christophe,24,"Cofidis, Solutions Cr\xe9dits",1:48:29 1:48:29,,,-,10,2016
23,56,152,+1:49:03,,25.0,Roosen Timo,25,Team LottoNL-Jumbo,1:48:47 1:48:47,,,-,10,2016
23,53,173,+1:53:51,,26.0,Groenewegen Dylan,26,Team LottoNL-Jumbo,1:53:35 1:53:35,,,-,10,2016
24,216,184,+1:57:06,,27.0,McLay Daniel,27,Fortuneo - Vital Concept,1:56:50 1:56:50,,,-,10,2016
23,47,185,+1:59:34,,29.0,Gougeard Alexis,28,AG2R La Mondiale,1:59:18 1:59:18,,,\u25b21,10,2016
25,143,187,+2:00:15,,28.0,Haller Marco,29,Team Katusha,1:59:59 1:59:59,,,\u25bc1,10,2016
23,209,2,+0:28,,1.0,Yates Adam,1,ORICA-BikeExchange,52:35:05 52:35:05,,,-,11,2016
24,157,13,+2:10,,2.0,Meintjes Louis,2,Lampre - Merida,1:42 1:42,,,-,11,2016
24,111,15,+3:03,,3.0,Barguil Warren,3,Team Giant - Alpecin,2:35 2:35,,,-,11,2016
25,51,18,+5:54,,4.0,Kelderman Wilco,4,Team LottoNL-Jumbo,5:26 5:26,,,-,11,2016
23,131,22,+10:03,,5.0,Buchmann Emanuel,5,Bora - Argon 18,9:35 9:35,,,-,11,2016
25,211,26,+18:12,,6.0,Sep\xfalveda Eduardo,6,Fortuneo - Vital Concept,17:44 17:44,,,-,11,2016
24,182,46,+43:13,,7.0,Alaphilippe Julian,7,Etixx - Quick Step,42:45 42:45,,,-,11,2016
24,137,61,+58:48,,8.0,Konrad Patrick,8,Bora - Argon 18,58:20 58:20,,,-,11,2016
24,159,75,+1:11:37,,10.0,Polanc Jan,9,Lampre - Merida,1:11:09 1:11:09,,,\u25b21,11,2016
24,83,88,+1:19:43,,9.0,Craddock Lawson,10,Cannondale-Drapac Pro Cycling Team,1:19:15 1:19:15,,,\u25bc1,11,2016
24,39,91,+1:22:50,,12.0,Valgren Michael,11,Tinkoff,1:22:22 1:22:22,,,\u25b21,11,2016
24,156,92,+1:23:11,,11.0,Grmay Tsgabu,12,Lampre - Merida,1:22:43 1:22:43,,,\u25bc1,11,2016
23,26,96,+1:25:37,,13.0,Lutsenko Alexey,13,Astana Pro Team,1:25:09 1:25:09,,,-,11,2016
25,203,98,+1:26:14,,14.0,Durbridge Luke,14,ORICA-BikeExchange,1:25:46 1:25:46,,,-,11,2016
22,158,99,+1:27:27,,15.0,Pibernik Luka,15,Lampre - Merida,1:26:59 1:26:59,,,-,11,2016
25,102,106,+1:31:06,,16.0,Berhane Natnael,16,Team Dimension Data,1:30:38 1:30:38,,,-,11,2016
24,171,107,+1:32:17,,17.0,Coquard Bryan,17,Direct Energie,1:31:49 1:31:49,,,-,11,2016
24,173,116,+1:37:45,,19.0,Duchesne Antoine,18,Direct Energie,1:37:17 1:37:17,,,\u25b21,11,2016
24,67,119,+1:39:14,,20.0,Stuyven Jasper,19,Trek - Segafredo,1:38:46 1:38:46,,,\u25b21,11,2016
24,89,121,+1:39:30,,18.0,van Baarle Dylan,20,Cannondale-Drapac Pro Cycling Team,1:39:02 1:39:02,,,\u25bc2,11,2016
22,75,132,+1:43:54,,21.0,Enger Sondre Holst,21,IAM Cycling,1:43:26 1:43:26,,,-,11,2016
24,188,136,+1:45:09,,22.0,Vakoc Petr,22,Etixx - Quick Step,1:44:41 1:44:41,,,-,11,2016
23,196,144,+1:48:57,,24.0,Laporte Christophe,23,"Cofidis, Solutions Cr\xe9dits",1:48:29 1:48:29,,,\u25b21,11,2016
25,68,152,+1:50:09,,23.0,Theuns Edward,24,Trek - Segafredo,1:49:41 1:49:41,,,\u25bc1,11,2016
23,56,154,+1:50:18,,25.0,Roosen Timo,25,Team LottoNL-Jumbo,1:49:50 1:49:50,,,-,11,2016
23,53,165,+1:54:03,,26.0,Groenewegen Dylan,26,Team LottoNL-Jumbo,1:53:35 1:53:35,,,-,11,2016
24,216,174,+1:57:18,,27.0,McLay Daniel,27,Fortuneo - Vital Concept,1:56:50 1:56:50,,,-,11,2016
25,143,186,+2:02:28,,29.0,Haller Marco,28,Team Katusha,2:02:00 2:02:00,,,\u25b21,11,2016
23,47,187,+2:05:39,,28.0,Gougeard Alexis,29,AG2R La Mondiale,2:05:11 2:05:11,,,\u25bc1,11,2016
23,209,2,+0:47,,1.0,Yates Adam,1,ORICA-BikeExchange,57:12:20 57:12:20,,,-,12,2016
24,157,12,+2:29,,2.0,Meintjes Louis,2,Lampre - Merida,1:42 1:42,,,-,12,2016
24,111,15,+4:28,,3.0,Barguil Warren,3,Team Giant - Alpecin,3:41 3:41,,,-,12,2016
23,131,21,+14:33,,5.0,Buchmann Emanuel,4,Bora - Argon 18,13:46 13:46,,,\u25b21,12,2016
25,51,25,+26:14,,4.0,Kelderman Wilco,5,Team LottoNL-Jumbo,25:27 25:27,,,\u25bc1,12,2016
25,211,30,+38:32,,6.0,Sep\xfalveda Eduardo,6,Fortuneo - Vital Concept,37:45 37:45,,,-,12,2016
24,182,54,+1:01:45,,7.0,Alaphilippe Julian,7,Etixx - Quick Step,1:00:58 1:00:58,,,-,12,2016
24,137,59,+1:07:23,,8.0,Konrad Patrick,8,Bora - Argon 18,1:06:36 1:06:36,,,-,12,2016
24,156,80,+1:32:39,,12.0,Grmay Tsgabu,9,Lampre - Merida,1:31:52 1:31:52,,,\u25b23,12,2016
24,159,83,+1:34:56,,9.0,Polanc Jan,10,Lampre - Merida,1:34:09 1:34:09,,,\u25bc1,12,2016
24,83,90,+1:40:35,,10.0,Craddock Lawson,11,Cannondale-Drapac Pro Cycling Team,1:39:48 1:39:48,,,\u25bc1,12,2016
24,39,91,+1:41:22,,11.0,Valgren Michael,12,Tinkoff,1:40:35 1:40:35,,,\u25bc1,12,2016
23,26,96,+1:44:09,,13.0,Lutsenko Alexey,13,Astana Pro Team,1:43:22 1:43:22,,,-,12,2016
25,203,97,+1:44:46,,14.0,Durbridge Luke,14,ORICA-BikeExchange,1:43:59 1:43:59,,,-,12,2016
22,158,104,+1:47:47,,15.0,Pibernik Luka,15,Lampre - Merida,1:47:00 1:47:00,,,-,12,2016
24,171,110,+1:50:49,,17.0,Coquard Bryan,16,Direct Energie,1:50:02 1:50:02,,,\u25b21,12,2016
24,173,113,+1:54:06,,18.0,Duchesne Antoine,17,Direct Energie,1:53:19 1:53:19,,,\u25b21,12,2016
25,102,114,+1:54:25,,16.0,Berhane Natnael,18,Team Dimension Data,1:53:38 1:53:38,,,\u25bc2,12,2016
24,67,117,+1:55:35,,19.0,Stuyven Jasper,19,Trek - Segafredo,1:54:48 1:54:48,,,-,12,2016
24,89,118,+1:55:51,,20.0,van Baarle Dylan,20,Cannondale-Drapac Pro Cycling Team,1:55:04 1:55:04,,,-,12,2016
24,188,127,+2:01:30,,22.0,Vakoc Petr,21,Etixx - Quick Step,2:00:43 2:00:43,,,\u25b21,12,2016
25,68,139,+2:06:30,,24.0,Theuns Edward,22,Trek - Segafredo,2:05:43 2:05:43,,,\u25b22,12,2016
22,75,141,+2:07:13,,21.0,Enger Sondre Holst,23,IAM Cycling,2:06:26 2:06:26,,,\u25bc2,12,2016
23,196,147,+2:09:55,,23.0,Laporte Christophe,24,"Cofidis, Solutions Cr\xe9dits",2:09:08 2:09:08,,,\u25bc1,12,2016
23,56,149,+2:10:38,,25.0,Roosen Timo,25,Team LottoNL-Jumbo,2:09:51 2:09:51,,,-,12,2016
23,53,167,+2:17:22,,26.0,Groenewegen Dylan,26,Team LottoNL-Jumbo,2:16:35 2:16:35,,,-,12,2016
24,216,177,+2:20:37,,27.0,McLay Daniel,27,Fortuneo - Vital Concept,2:19:50 2:19:50,,,-,12,2016
25,143,181,+2:22:48,,28.0,Haller Marco,28,Team Katusha,2:22:01 2:22:01,,,-,12,2016
23,47,185,+2:25:59,,29.0,Gougeard Alexis,29,AG2R La Mondiale,2:25:12 2:25:12,,,-,12,2016
23,209,3,+2:45,,1.0,Yates Adam,1,ORICA-BikeExchange,58:05:36 58:05:36,,,-,13,2016
24,157,12,+5:48,,2.0,Meintjes Louis,2,Lampre - Merida,3:03 3:03,,,-,13,2016
24,111,16,+8:23,,3.0,Barguil Warren,3,Team Giant - Alpecin,5:38 5:38,,,-,13,2016
23,131,20,+19:02,,4.0,Buchmann Emanuel,4,Bora - Argon 18,16:17 16:17,,,-,13,2016
25,51,24,+30:08,,5.0,Kelderman Wilco,5,Team LottoNL-Jumbo,27:23 27:23,,,-,13,2016
25,211,32,+44:56,,6.0,Sep\xfalveda Eduardo,6,Fortuneo - Vital Concept,42:11 42:11,,,-,13,2016
24,182,54,+1:07:57,,7.0,Alaphilippe Julian,7,Etixx - Quick Step,1:05:12 1:05:12,,,-,13,2016
24,137,60,+1:14:59,,8.0,Konrad Patrick,8,Bora - Argon 18,1:12:14 1:12:14,,,-,13,2016
24,159,79,+1:39:03,,10.0,Polanc Jan,9,Lampre - Merida,1:36:18 1:36:18,,,\u25b21,13,2016
24,156,80,+1:39:28,,9.0,Grmay Tsgabu,10,Lampre - Merida,1:36:43 1:36:43,,,\u25bc1,13,2016
24,39,90,+1:46:20,,12.0,Valgren Michael,11,Tinkoff,1:43:35 1:43:35,,,\u25b21,13,2016
25,203,91,+1:46:44,,14.0,Durbridge Luke,12,ORICA-BikeExchange,1:43:59 1:43:59,,,\u25b22,13,2016
23,26,93,+1:46:47,,13.0,Lutsenko Alexey,13,Astana Pro Team,1:44:02 1:44:02,,,-,13,2016
24,83,95,+1:47:55,,11.0,Craddock Lawson,14,Cannondale-Drapac Pro Cycling Team,1:45:10 1:45:10,,,\u25bc3,13,2016
22,158,107,+1:55:21,,15.0,Pibernik Luka,15,Lampre - Merida,1:52:36 1:52:36,,,-,13,2016
24,171,110,+1:57:47,,16.0,Coquard Bryan,16,Direct Energie,1:55:02 1:55:02,,,-,13,2016
24,173,113,+2:00:22,,17.0,Duchesne Antoine,17,Direct Energie,1:57:37 1:57:37,,,-,13,2016
24,89,114,+2:00:29,,20.0,van Baarle Dylan,18,Cannondale-Drapac Pro Cycling Team,1:57:44 1:57:44,,,\u25b22,13,2016
25,102,115,+2:01:10,,18.0,Berhane Natnael,19,Team Dimension Data,1:58:25 1:58:25,,,\u25bc1,13,2016
24,67,116,+2:01:13,,19.0,Stuyven Jasper,20,Trek - Segafredo,1:58:28 1:58:28,,,\u25bc1,13,2016
24,188,130,+2:09:05,,21.0,Vakoc Petr,21,Etixx - Quick Step,2:06:20 2:06:20,,,-,13,2016
22,75,138,+2:13:40,,23.0,Enger Sondre Holst,22,IAM Cycling,2:10:55 2:10:55,,,\u25b21,13,2016
23,56,142,+2:15:15,,25.0,Roosen Timo,23,Team LottoNL-Jumbo,2:12:30 2:12:30,,,\u25b22,13,2016
23,196,144,+2:16:46,,24.0,Laporte Christophe,24,"Cofidis, Solutions Cr\xe9dits",2:14:01 2:14:01,,,-,13,2016
23,53,166,+2:24:10,,26.0,Groenewegen Dylan,25,Team LottoNL-Jumbo,2:21:25 2:21:25,,,\u25b21,13,2016
23,47,177,+2:29:18,,29.0,Gougeard Alexis,26,AG2R La Mondiale,2:26:33 2:26:33,,,\u25b23,13,2016
24,216,178,+2:29:24,,27.0,McLay Daniel,27,Fortuneo - Vital Concept,2:26:39 2:26:39,,,-,13,2016
25,143,182,+2:32:22,,28.0,Haller Marco,28,Team Katusha,2:29:37 2:29:37,,,-,13,2016
23,209,3,+2:45,,1.0,Yates Adam,1,ORICA-BikeExchange,63:49:25 63:49:25,,,-,14,2016
24,157,12,+5:48,,2.0,Meintjes Louis,2,Lampre - Merida,3:03 3:03,,,-,14,2016
24,111,16,+8:23,,3.0,Barguil Warren,3,Team Giant - Alpecin,5:38 5:38,,,-,14,2016
23,131,20,+19:02,,4.0,Buchmann Emanuel,4,Bora - Argon 18,16:17 16:17,,,-,14,2016
25,51,24,+30:27,,5.0,Kelderman Wilco,5,Team LottoNL-Jumbo,27:42 27:42,,,-,14,2016
25,211,31,+46:22,,6.0,Sep\xfalveda Eduardo,6,Fortuneo - Vital Concept,43:37 43:37,,,-,14,2016
24,182,53,+1:10:35,,7.0,Alaphilippe Julian,7,Etixx - Quick Step,1:07:50 1:07:50,,,-,14,2016
24,137,58,+1:14:59,,8.0,Konrad Patrick,8,Bora - Argon 18,1:12:14 1:12:14,,,-,14,2016
24,159,78,+1:39:03,,9.0,Polanc Jan,9,Lampre - Merida,1:36:18 1:36:18,,,-,14,2016
24,156,79,+1:39:28,,10.0,Grmay Tsgabu,10,Lampre - Merida,1:36:43 1:36:43,,,-,14,2016
24,39,88,+1:46:20,,11.0,Valgren Michael,11,Tinkoff,1:43:35 1:43:35,,,-,14,2016
25,203,89,+1:46:44,,12.0,Durbridge Luke,12,ORICA-BikeExchange,1:43:59 1:43:59,,,-,14,2016
23,26,94,+1:49:25,,13.0,Lutsenko Alexey,13,Astana Pro Team,1:46:40 1:46:40,,,-,14,2016
24,83,96,+1:50:33,,14.0,Craddock Lawson,14,Cannondale-Drapac Pro Cycling Team,1:47:48 1:47:48,,,-,14,2016
22,158,106,+1:55:21,,15.0,Pibernik Luka,15,Lampre - Merida,1:52:36 1:52:36,,,-,14,2016
24,171,108,+1:57:47,,16.0,Coquard Bryan,16,Direct Energie,1:55:02 1:55:02,,,-,14,2016
24,173,112,+2:00:48,,17.0,Duchesne Antoine,17,Direct Energie,1:58:03 1:58:03,,,-,14,2016
24,67,113,+2:01:13,,20.0,Stuyven Jasper,18,Trek - Segafredo,1:58:28 1:58:28,,,\u25b22,14,2016
24,89,116,+2:03:07,,18.0,van Baarle Dylan,19,Cannondale-Drapac Pro Cycling Team,2:00:22 2:00:22,,,\u25bc1,14,2016
25,102,117,+2:03:48,,19.0,Berhane Natnael,20,Team Dimension Data,2:01:03 2:01:03,,,\u25bc1,14,2016
24,188,131,+2:11:43,,21.0,Vakoc Petr,21,Etixx - Quick Step,2:08:58 2:08:58,,,-,14,2016
22,75,134,+2:13:40,,22.0,Enger Sondre Holst,22,IAM Cycling,2:10:55 2:10:55,,,-,14,2016
23,56,138,+2:15:15,,23.0,Roosen Timo,23,Team LottoNL-Jumbo,2:12:30 2:12:30,,,-,14,2016
23,196,141,+2:16:46,,24.0,Laporte Christophe,24,"Cofidis, Solutions Cr\xe9dits",2:14:01 2:14:01,,,-,14,2016
23,53,161,+2:24:10,,25.0,Groenewegen Dylan,25,Team LottoNL-Jumbo,2:21:25 2:21:25,,,-,14,2016
23,47,173,+2:29:18,,26.0,Gougeard Alexis,26,AG2R La Mondiale,2:26:33 2:26:33,,,-,14,2016
24,216,174,+2:29:24,,27.0,McLay Daniel,27,Fortuneo - Vital Concept,2:26:39 2:26:39,,,-,14,2016
25,143,180,+2:32:54,,28.0,Haller Marco,28,Team Katusha,2:30:09 2:30:09,,,-,14,2016
23,209,3,+2:45,,1.0,Yates Adam,1,ORICA-BikeExchange,68:17:21 68:17:21,,,-,15,2016
24,157,12,+5:48,,2.0,Meintjes Louis,2,Lampre - Merida,3:03 3:03,,,-,15,2016
24,111,18,+19:05,,3.0,Barguil Warren,3,Team Giant - Alpecin,16:20 16:20,,,-,15,2016
23,131,21,+27:59,,4.0,Buchmann Emanuel,4,Bora - Argon 18,25:14 25:14,,,-,15,2016
25,51,30,+48:23,,5.0,Kelderman Wilco,5,Team LottoNL-Jumbo,45:38 45:38,,,-,15,2016
24,182,40,+1:07:50,,7.0,Alaphilippe Julian,6,Etixx - Quick Step,1:05:05 1:05:05,,,\u25b21,15,2016
25,211,41,+1:09:47,,6.0,Sep\xfalveda Eduardo,7,Fortuneo - Vital Concept,1:07:02 1:07:02,,,\u25bc1,15,2016
24,137,61,+1:33:45,,8.0,Konrad Patrick,8,Bora - Argon 18,1:31:00 1:31:00,,,-,15,2016
24,159,66,+1:45:02,,9.0,Polanc Jan,9,Lampre - Merida,1:42:17 1:42:17,,,-,15,2016
24,156,83,+1:58:14,,10.0,Grmay Tsgabu,10,Lampre - Merida,1:55:29 1:55:29,,,-,15,2016
24,39,91,+2:05:06,,11.0,Valgren Michael,11,Tinkoff,2:02:21 2:02:21,,,-,15,2016
23,26,94,+2:08:11,,13.0,Lutsenko Alexey,12,Astana Pro Team,2:05:26 2:05:26,,,\u25b21,15,2016
25,203,100,+2:11:44,,12.0,Durbridge Luke,13,ORICA-BikeExchange,2:08:59 2:08:59,,,\u25bc1,15,2016
24,83,101,+2:13:58,,14.0,Craddock Lawson,14,Cannondale-Drapac Pro Cycling Team,2:11:13 2:11:13,,,-,15,2016
24,89,105,+2:19:02,,19.0,van Baarle Dylan,15,Cannondale-Drapac Pro Cycling Team,2:16:17 2:16:17,,,\u25b24,15,2016
22,158,108,+2:20:21,,15.0,Pibernik Luka,16,Lampre - Merida,2:17:36 2:17:36,,,\u25bc1,15,2016
24,171,111,+2:22:47,,16.0,Coquard Bryan,17,Direct Energie,2:20:02 2:20:02,,,\u25bc1,15,2016
24,173,112,+2:24:13,,17.0,Duchesne Antoine,18,Direct Energie,2:21:28 2:21:28,,,\u25bc1,15,2016
24,67,113,+2:26:13,,18.0,Stuyven Jasper,19,Trek - Segafredo,2:23:28 2:23:28,,,\u25bc1,15,2016
25,102,118,+2:28:48,,20.0,Berhane Natnael,20,Team Dimension Data,2:26:03 2:26:03,,,-,15,2016
24,188,134,+2:35:08,,21.0,Vakoc Petr,21,Etixx - Quick Step,2:32:23 2:32:23,,,-,15,2016
22,75,142,+2:39:43,,22.0,Enger Sondre Holst,22,IAM Cycling,2:36:58 2:36:58,,,-,15,2016
23,196,143,+2:40:11,,24.0,Laporte Christophe,23,"Cofidis, Solutions Cr\xe9dits",2:37:26 2:37:26,,,\u25b21,15,2016
23,56,144,+2:40:15,,23.0,Roosen Timo,24,Team LottoNL-Jumbo,2:37:30 2:37:30,,,\u25bc1,15,2016
23,53,161,+2:50:13,,25.0,Groenewegen Dylan,25,Team LottoNL-Jumbo,2:47:28 2:47:28,,,-,15,2016
23,47,171,+2:55:21,,26.0,Gougeard Alexis,26,AG2R La Mondiale,2:52:36 2:52:36,,,-,15,2016
25,143,174,+2:56:19,,28.0,Haller Marco,27,Team Katusha,2:53:34 2:53:34,,,\u25b21,15,2016
24,216,177,+2:58:02,,27.0,McLay Daniel,28,Fortuneo - Vital Concept,2:55:17 2:55:17,,,\u25bc1,15,2016
23,209,3,+2:45,,1.0,Yates Adam,1,ORICA-BikeExchange,72:43:23 72:43:23,,,-,16,2016
24,157,12,+5:48,,2.0,Meintjes Louis,2,Lampre - Merida,3:03 3:03,,,-,16,2016
24,111,18,+19:15,,3.0,Barguil Warren,3,Team Giant - Alpecin,16:30 16:30,,,-,16,2016
23,131,21,+28:38,,4.0,Buchmann Emanuel,4,Bora - Argon 18,25:53 25:53,,,-,16,2016
25,51,30,+48:23,,5.0,Kelderman Wilco,5,Team LottoNL-Jumbo,45:38 45:38,,,-,16,2016
25,211,43,+1:12:58,,7.0,Sep\xfalveda Eduardo,6,Fortuneo - Vital Concept,1:10:13 1:10:13,,,\u25b21,16,2016
