Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
31,151,,,,,Di Luca Danilo,1,Liquigas,,+0:00,-,2,2007
25,152,,,,,Gasparotto Enrico,1,Liquigas,,+0:00,-,3,2007
31,151,,,,,Di Luca Danilo,1,Liquigas,,+0:00,-,4,2007
31,151,,,,1.0,Di Luca Danilo,1,Liquigas,,+0:00,-,5,2007
31,217,,,,,Pinotti Marco,1,T-Mobile Team,,+0:00,-,6,2007
31,217,,,,1.0,Pinotti Marco,1,T-Mobile Team,,+0:00,-,7,2007
31,217,,,,1.0,Pinotti Marco,1,T-Mobile Team,,+0:00,-,8,2007
31,217,,,,1.0,Pinotti Marco,1,T-Mobile Team,,+0:00,-,9,2007
38,155,,,,,Noe Andrea,1,Liquigas,,+0:00,-,10,2007
38,155,,,,1.0,Noe Andrea,1,Liquigas,,+0:00,-,11,2007
31,151,,,,,Di Luca Danilo,1,Liquigas,,+0:00,-,12,2007
31,151,,,,1.0,Di Luca Danilo,1,Liquigas,,+0:00,-,13,2007
31,151,,,,1.0,Di Luca Danilo,1,Liquigas,,+0:00,-,14,2007
31,151,,,,1.0,Di Luca Danilo,1,Liquigas,,+0:00,-,15,2007
31,151,,,,1.0,Di Luca Danilo,1,Liquigas,,+0:00,-,16,2007
31,151,,,,1.0,Di Luca Danilo,1,Liquigas,,+0:00,-,17,2007
31,151,,,,1.0,Di Luca Danilo,1,Liquigas,,+0:00,-,18,2007
31,151,,,,1.0,Di Luca Danilo,1,Liquigas,,+0:00,-,19,2007
31,151,,,,1.0,Di Luca Danilo,1,Liquigas,,+0:00,-,20,2007
31,151,1,+0:00,400.0,1.0,Di Luca Danilo,1,Liquigas,92:59:39 92:59:39,+0:00,-,21,2007
21,183,2,+1:55,290.0,,Schleck Andy,2,CSC ProTeam,1:55 1:55,+1:55,-,21,2007
33,16,3,+2:25,240.0,,Mazzoleni Eddy,3,Astana,2:25 2:25,+2:25,-,21,2007
35,21,4,+3:15,220.0,,Simoni Gilberto,4,Saunier Duval,3:15 3:15,+3:15,-,21,2007
25,31,5,+3:49,200.0,,Cunego Damiano,5,Lampre-Fondital,3:49 3:49,+3:49,-,21,2007
23,29,6,+7:00,190.0,,Ricco Riccardo,6,Saunier Duval,7:00 7:00,+7:00,-,21,2007
