stage_type,Stage,Winner,Leader after stage,year,IndivTimeTrial,TeamTimeTrial,MountainStage,SprintStage
0.0,Prologue - Strasbourg › Strasbourg,HUSHOVD Thor,Hushovd Thor,2006,1,0,0,0
0.0,Stage 1 - Strasbourg › Strasbourg,CASPER Jimmy,Casper Jimmy,2006,0,0,0,1
0.0,Stage 2 - Obernai › Esch-sur-Alzette,MCEWEN Robbie,Hushovd Thor,2006,0,0,0,1
0.0,Stage 3 - Esch-sur-Alzette › Valkenburg,KESSLER Matthias,Boonen Tom,2006,0,0,0,1
0.0,Stage 4 - Huy › Saint-Quentin,MCEWEN Robbie,Boonen Tom,2006,0,0,0,1
0.0,Stage 5 - Beauvais › Caen,FREIRE Oscar,Boonen Tom,2006,0,0,0,1
0.0,Stage 6 - Lisieux › Vitré,MCEWEN Robbie,Boonen Tom,2006,0,0,0,1
0.0,Stage 7 (ITT) - Saint-Grégoire › Rennes,HONCHAR Serhiy,Honchar Serhiy,2006,1,0,0,0
0.0,Stage 8 - Saint-Méen-le-Grand › Lorient,CALZATI Sylvain,Honchar Serhiy,2006,0,0,0,1
0.0,Stage 9 - Bordeaux › Dax,FREIRE Oscar,Honchar Serhiy,2006,0,0,0,1
0.0,Stage 10 - Cambo-les-Bains › Pau,MERCADO Juan Miguel,Dessel Cyril,2006,0,0,0,1
0.0,Stage 11 - Tarbes › Val d'Aran - Pla-de-Beret,MENCHOV Denis,Dessel Cyril,2006,0,0,0,1
0.0,Stage 12 - Luchon › Carcassonne,POPOVYCH Yaroslav,Dessel Cyril,2006,0,0,0,1
0.0,Stage 13 - Béziers › Montélimar,VOIGT Jens,Pereiro Oscar,2006,0,0,0,1
0.0,Stage 14 - Montélimar › Gap,FEDRIGO Pierrick,Pereiro Oscar,2006,0,0,0,1
0.0,Stage 15 - Gap › L'Alpe d'Huez,SCHLECK Fränk,Pereiro Oscar,2006,0,0,0,1
0.0,Stage 16 - Le Bourg d'Oisans › La Toussuire - Les Sybelles,RASMUSSEN Michael,Pereiro Oscar,2006,0,0,0,1
0.0,Stage 17 - St-Jean-de-Maurienne › Morzine,SASTRE Carlos,Pereiro Oscar,2006,0,0,0,1
0.0,Stage 18 - Morzine › Mâcon,TOSATTO Matteo,Pereiro Oscar,2006,0,0,0,1
0.0,Stage 19 (ITT) - Le Creusot › Montceau-les-Mines,HONCHAR Serhiy,Pereiro Oscar,2006,1,0,0,0
0.0,Stage 20 - Sceaux - Antony › Paris,HUSHOVD Thor,Pereiro Oscar,2006,0,0,0,1
