Age,Avg,BIB,Pnt,Rider,Rnk,Team,Time won/lost,stage,year
34,,215.0,,Merckx Axel,77,T-Mobile Team,,3,2007
32,,165.0,,Aerts Mario,78,Predictor - Lotto,,3,2007
36,,115.0,,Padrnos Pavel,79,Discovery Channel,,3,2007
25,,121.0,,Albizuri Benat,80,Euskaltel - Euskadi,,3,2007
31,,151.0,,Di Luca Danilo,81,Liquigas,,3,2007
27,,102.0,,Bellotti Francesco,82,Cr\xe9dit Agricole,,3,2007
27,,172.0,,Ardila Mauricio Alberto,83,Rabobank ProTeam,,3,2007
26,,127.0,,Pena Aketza,84,Euskaltel - Euskadi,,3,2007
27,,167.0,,Van Huffel Wim,85,Predictor - Lotto,,3,2007
23,,148.0,,Russ Matthias,86,Gerolsteiner,,3,2007
26,,194.0,,Knees Christian,87,Milram,,3,2007
22,,145.0,,Klinger Tim,88,Gerolsteiner,,3,2007
24,,143.0,,Fothen Thomas,89,Gerolsteiner,,3,2007
22,,154.0,,Nibali Vincenzo,90,Liquigas,,3,2007
31,,44.0,,Balducci Gabriele,91,Acqua & Sapone - Caff\xe8 Mokambo,,3,2007
34,,42.0,,Andriotto Dario,92,Acqua & Sapone - Caff\xe8 Mokambo,,3,2007
38,,155.0,,Noe Andrea,93,Liquigas,,3,2007
25,,97.0,,Moinard Ama\xebl,94,Cofidis,,3,2007
30,,188.0,,Gustov Volodymyr,95,CSC ProTeam,,3,2007
34,,45.0,,Codol Massimo,96,Acqua & Sapone - Caff\xe8 Mokambo,,3,2007
32,,86.0,,Baliani Fortunato,97,Ceramica Panaria - Navigare,,3,2007
21,,49.0,,Samoilau Branislau,98,Acqua & Sapone - Caff\xe8 Mokambo,,3,2007
21,,183.0,,Schleck Andy,99,CSC ProTeam,,3,2007
27,,125.0,,Irizar Markel,100,Euskaltel - Euskadi,,3,2007
30,,103.0,,Bodrogi Laszlo,101,Cr\xe9dit Agricole,,3,2007
25,,75.0,,Losada Alberto,102,Caisse d'Epargne,,3,2007
25,,118.0,,Vandborg Brian,103,Discovery Channel,,3,2007
31,,15.0,,Yakovlev Serguei,104,Astana,,3,2007
29,,27.0,,Mayo Iban,105,Saunier Duval,,3,2007
23,,164.0,,Lloyd Matthew,106,Predictor - Lotto,,3,2007
26,,117.0,,van Goolen Jurgen,107,Discovery Channel,,3,2007
25,,3.0,,Facci Mauro,108,Quickstep - Innergetic,,3,2007
28,,129.0,,Zubeldia Joseba,109,Euskaltel - Euskadi,,3,2007
31,,101.0,,Caucchioli Pietro,110,Cr\xe9dit Agricole,,3,2007
32,,162.0,,Cioni Dario,111,Predictor - Lotto,,3,2007
26,,149.0,,Zaugg Oliver,112,Gerolsteiner,,3,2007
35,,141.0,,Rebellin Davide,113,Gerolsteiner,,3,2007
33,,174.0,,Moerenhout Koos,114,Rabobank ProTeam,,3,2007
29,,51.0,,Nocentini Rinaldo,115,AG2R Pr\xe9voyance,,3,2007
24,,166.0,,Van den Broeck Jurgen,116,Predictor - Lotto,,3,2007
27,,195.0,,Lancaster Brett,117,Milram,,3,2007
33,,196.0,,M\xfcller Martin,118,Milram,,3,2007
32,,189.0,,Arvesen Kurt-Asle,119,CSC ProTeam,,3,2007
23,,138.0,,Patanchon Fabien,120,Fran\xe7aise des Jeux,,3,2007
34,,186.0,,Blaudzun Michael,121,CSC ProTeam,,3,2007
35,,92.0,,Bessy Fr\xe9d\xe9ric,122,Cofidis,,3,2007
26,,52.0,,Dupont Hubert,123,AG2R Pr\xe9voyance,,3,2007
31,,134.0,,Jegou Lilian,124,Fran\xe7aise des Jeux,,3,2007
25,,124.0,,Hernandez Gutierrez Aitor,125,Euskaltel - Euskadi,,3,2007
33,,7.0,,Tosatto Matteo,126,Quickstep - Innergetic,,3,2007
30,,8.0,,van de Walle Jurgen,127,Quickstep - Innergetic,,3,2007
26,,58.0,,Riblon Christophe,128,AG2R Pr\xe9voyance,,3,2007
31,,23.0,,Belohvosciks Raivis,129,Saunier Duval,,3,2007
32,,203.0,,Contrini Daniele,130,Tinkoff Credit Systems,,3,2007
27,,62.0,,Crosbie Nicolas,131,Bouygues Telecom,,3,2007
24,,85.0,,Pozzovivo Domenico,132,Ceramica Panaria - Navigare,,3,2007
25,,55.0,,Mangel Laurent,133,AG2R Pr\xe9voyance,,3,2007
32,,33.0,,Bruseghin Marzio,134,Lampre-Fondital,,3,2007
23,,218.0,,Rabon Frantisek,135,T-Mobile Team,,3,2007
32,,4.0,,Scarselli Leonardo,136,Quickstep - Innergetic,,3,2007
29,,2.0,,Engels Addy,137,Quickstep - Innergetic,,3,2007
25,,207.0,,Brutt Pavel,138,Tinkoff Credit Systems,,3,2007
31,,217.0,,Pinotti Marco,139,T-Mobile Team,,3,2007
31,,39.0,,Javier Vila Francisco,140,Lampre-Fondital,,3,2007
28,,182.0,,Zabriskie David,141,CSC ProTeam,,3,2007
33,,153.0,,Miholjevic Vladimir,142,Liquigas,,3,2007
28,,22.0,,Bertogliati Rubens,143,Saunier Duval,,3,2007
29,,159.0,,Wegelius Charles,144,Liquigas,,3,2007
34,,116.0,,Rubiera Jos\xe9 Luis,145,Discovery Channel,,3,2007
22,,198.0,,Sabatini Fabio,146,Milram,,3,2007
22,,54.0,,Loubet Julien,147,AG2R Pr\xe9voyance,,3,2007
33,,119.0,,White Matthew,148,Discovery Channel,,3,2007
25,,199.0,,Lorenzetto Mirco,149,Milram,,3,2007
26,,113.0,,Cummings Stephen,150,Discovery Channel,,3,2007
31,,197.0,,Ongarato Alberto,151,Milram,,3,2007
31,,13.0,,Joachim Benoit,152,Astana,,3,2007
33,,73.0,,Horrach Joan,153,Caisse d'Epargne,,3,2007
29,,216.0,,Olson Aaron,154,T-Mobile Team,,3,2007
24,,57.0,,Naibo Carl,155,AG2R Pr\xe9voyance,,3,2007
26,,137.0,,Mourey Francis,156,Fran\xe7aise des Jeux,,3,2007
26,,158.0,,Vanotti Alessandro,157,Liquigas,,3,2007
23,,176.0,,Kozonchuk Dmitry,158,Rabobank ProTeam,,3,2007
31,,66.0,,le Boulanger Yoann,159,Bouygues Telecom,,3,2007
35,,28.0,,Piepoli Leonardo,160,Saunier Duval,,3,2007
29,,83.0,,Perez Cuapio Julio Alberto,161,Ceramica Panaria - Navigare,,3,2007
29,,38.0,,Tiralongo Paolo,162,Lampre-Fondital,,3,2007
25,,31.0,,Cunego Damiano,163,Lampre-Fondital,,3,2007
29,,37.0,,Szmyd Sylwester,164,Lampre-Fondital,,3,2007
23,,32.0,,Bono Matteo,165,Lampre-Fondital,,3,2007
26,,26.0,,Mori Manuele,166,Saunier Duval,,3,2007
34,,36.0,,Stangelj Gorazd,167,Lampre-Fondital,,3,2007
22,,187.0,,Breschel Matti,168,CSC ProTeam,,3,2007
32,,171.0,,Rasmussen Michael,169,Rabobank ProTeam,,3,2007
32,,157.0,,Spezialetti Alessandro,170,Liquigas,,3,2007
26,,185.0,,Kolobnev Alexandr,171,CSC ProTeam,,3,2007
23,,136.0,,Monnerais Cyrille,172,Fran\xe7aise des Jeux,,3,2007
27,,93.0,,Buffaz Mickael,173,Cofidis,,3,2007
25,,63.0,,Drancourt Pierre,174,Bouygues Telecom,,3,2007
22,,132.0,,Gerard Arnaud,175,Fran\xe7aise des Jeux,,3,2007
22,,206.0,,Ignatyev Mikhail,176,Tinkoff Credit Systems,,3,2007
22,,79.0,,Perget Mathieu,177,Caisse d'Epargne,,3,2007
