Rnk,BIB,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,year,stage
128,134,D\xe9mare Arnaud,23,FDJ,,,140.0,+33:03,",, 17:02",2015,3
129,27,Br\xe4ndle Matthias,25,IAM Cycling,,,135.0,+32:48,",, 17:02",2015,3
130,2,Bonifazio Niccolo,21,Lampre - Merida,,,133.0,+30:49,",, 17:02",2015,3
131,112,Capecchi Eros,29,Movistar Team,,,79.0,+18:24,",, 17:02",2015,3
132,76,Lagutin Sergey,34,Team Katusha,,,146.0,+33:13,",, 17:02",2015,3
133,43,Trusov Nikolay,29,Tinkoff - Saxo,,,128.0,+30:44,",, 17:02",2015,3
134,68,Teunissen Mike,22,Team LottoNL-Jumbo,,,124.0,+30:33,",, 17:02",2015,3
135,67,Vanmarcke Sep,26,Team LottoNL-Jumbo,,,110.0,+27:22,",, 17:02",2015,3
136,128,Roelandts Jurgen,29,Lotto Soudal,,,109.0,+27:20,",, 17:02",2015,3
137,62,Leezer Tom,29,Team LottoNL-Jumbo,,,144.0,+33:12,",, 17:02",2015,3
138,126,Dehaes Kenny,30,Lotto Soudal,,,130.0,+30:46,",, 17:02",2015,3
139,122,Arm\xe9e Sander,29,Lotto Soudal,,,150.0,+33:21,",, 17:02",2015,3
140,45,Brutt Pavel,33,Tinkoff - Saxo,,,127.0,+30:40,",, 17:02",2015,3
141,74,Kozonchuk Dmitry,31,Team Katusha,,,101.0,+24:41,",, 17:02",2015,3
142,66,Van Asbroeck Tom,25,Team LottoNL-Jumbo,,,147.0,+33:14,",, 17:02",2015,3
143,63,Lindeman Bert-Jan,25,Team LottoNL-Jumbo,,,126.0,+30:40,",, 17:02",2015,3
144,153,Fominykh Daniil,23,Astana Pro Team,,,116.0,+27:37,",, 17:02",2015,3
145,166,Kadri Blel,28,AG2R La Mondiale,,,131.0,+30:48,",, 17:02",2015,3
146,47,M\xf8rk\xf8v Michael,30,Tinkoff - Saxo,,,100.0,+24:40,",, 17:02",2015,3
147,42,Bennati Daniele,34,Tinkoff - Saxo,,,122.0,+30:29,",, 17:02",2015,3
148,142,Cavendish Mark,30,Etixx - Quick Step,,,123.0,+30:33,",, 17:02",2015,3
149,138,Vichot Arthur,26,FDJ,,,145.0,+33:12,",, 17:02",2015,3
150,58,Pate Danny,36,Team Sky,,,139.0,+33:01,",, 17:02",2015,3
151,106,Tuft Svein,38,Orica GreenEDGE,,,138.0,+33:01,",, 17:02",2015,3
1,107,Matthews Michael,24,Orica GreenEDGE,6.0,50.0,41.0,+10:10,4:36:00 4:36:00,2015,4
2,41,Sagan Peter,25,Tinkoff - Saxo,4.0,30.0,2.0,+0:00,",, ,,",2015,4
3,37,Van Avermaet Greg,30,BMC Racing Team,2.0,18.0,27.0,+2:22,",, ,,",2015,4
4,81,Degenkolb John,26,Team Giant - Alpecin,1.0,13.0,72.0,+23:40,",, ,,",2015,4
5,18,Stuyven Jasper,23,Trek Factory Racing,1.0,10.0,75.0,+24:50,",, ,,",2015,4
6,77,Moreno Daniel,33,Team Katusha,,7.0,3.0,+0:08,",, ,,",2015,4
7,31,Dillier Silvan,24,BMC Racing Team,,4.0,53.0,+15:44,",, ,,",2015,4
8,131,Pinot Thibaut,25,FDJ,,3.0,5.0,+0:15,",, ,,",2015,4
9,147,Trentin Matteo,25,Etixx - Quick Step,,2.0,48.0,+14:34,",, ,,",2015,4
10,61,Gesink Robert,29,Team LottoNL-Jumbo,,1.0,17.0,+0:35,",, ,,",2015,4
11,85,Dumoulin Tom,24,Team Giant - Alpecin,,,1.0,+0:00,",, ,,",2015,4
12,181,Gasparotto Enrico,33,Wanty - Groupe Gobert,,,30.0,+2:40,",, ,,",2015,4
13,151,Fuglsang Jakob,30,Astana Pro Team,,,6.0,+0:17,",, ,,",2015,4
14,83,Barguil Warren,23,Team Giant - Alpecin,,,31.0,+2:41,",, ,,",2015,4
15,12,Arredondo Juli\xe1n David,26,Trek Factory Racing,,,11.0,+0:22,",, ,,",2015,4
16,51,Henao Sergio Luis,27,Team Sky,,,23.0,+1:22,",, ,,",2015,4
17,33,Hermans Ben,29,BMC Racing Team,,,16.0,+0:35,",, ,,",2015,4
18,67,Vanmarcke Sep,26,Team LottoNL-Jumbo,,,81.0,+27:25,",, ,,",2015,4
19,102,Chaves Johan Esteban,25,Orica GreenEDGE,,,18.0,+0:42,",, ,,",2015,4
20,136,Morabito Steve,32,FDJ,,,7.0,+0:18,",, ,,",2015,4
21,26,Reichenbach Sebastien,26,IAM Cycling,,,15.0,+0:32,",, ,,",2015,4
22,156,Lopez Miguel Angel,21,Astana Pro Team,,,13.0,+0:29,",, ,,",2015,4
23,158,Lutsenko Alexey,22,Astana Pro Team,,,29.0,+2:32,",, ,,",2015,4
24,78,Spilak Simon,28,Team Katusha,,,10.0,+0:22,",, ,,",2015,4
25,175,Rebellin Davide,43,CCC Sprandi Polkowice,,,26.0,+1:29,",, ,,",2015,4
26,143,Brambilla Gianluca,27,Etixx - Quick Step,,,22.0,+1:20,",, ,,",2015,4
27,111,Anacona Winner,26,Movistar Team,,,12.0,+0:24,",, ,,",2015,4
28,52,Thomas Geraint,29,Team Sky,,,4.0,+0:09,",, ,,",2015,4
29,7,Durasek Kristijan,27,Lampre - Merida,,,8.0,+0:21,",, ,,",2015,4
30,15,Jungels Bob,22,Trek Factory Racing,,,9.0,+0:22,",, ,,",2015,4
31,121,Van den Broeck Jurgen,32,Lotto Soudal,,,24.0,+1:22,",, ,,",2015,4
32,184,de Greef Francis,30,Wanty - Groupe Gobert,,,32.0,+2:45,",, ,,",2015,4
33,187,Minnaard Marco,26,Wanty - Groupe Gobert,,,40.0,+9:05,",, ,,",2015,4
34,93,Cardoso Andr\xe9,30,Team Cannondale - Garmin,,,44.0,+11:48,",, ,,",2015,4
35,94,Dombrowski Joe,24,Team Cannondale - Garmin,,,37.0,+7:33,",, ,,",2015,4
36,163,Bakelants Jan,29,AG2R La Mondiale,,,21.0,+1:17,",, ,,",2015,4
37,57,Siutsou Kanstantsin,32,Team Sky,,,19.0,+1:12,",, ,,",2015,4
38,75,Kuznetsov Viacheslav,25,Team Katusha,,,84.0,+27:38,",, ,,",2015,4
39,144,Go\u0142a\u015b Micha\u0142,31,Etixx - Quick Step,,,49.0,+14:40,",, ,,",2015,4
40,161,Pozzovivo Domenico,32,AG2R La Mondiale,,,14.0,+0:32,",, ,,",2015,4
41,148,Vermote Julien,25,Etixx - Quick Step,,,51.0,+15:24,0:40 0:40,2015,4
42,104,Impey Daryl,30,Orica GreenEDGE,,,38.0,+7:56,0:50 0:50,2015,4
43,65,ten Dam Laurens,34,Team LottoNL-Jumbo,,,28.0,+2:29,0:51 0:51,2015,4
44,46,Majka Rafa\u0142,25,Tinkoff - Saxo,,,25.0,+1:24,0:00 0:00,2015,4
45,28,Warbasse Larry,24,IAM Cycling,,,39.0,+8:48,",, 0:00",2015,4
46,17,Schleck Fr\xe4nk,35,Trek Factory Racing,,,33.0,+2:46,",, 0:00",2015,4
47,73,Haller Marco,24,Team Katusha,,,90.0,+28:55,1:18 1:18,2015,4
48,101,Albasini Michael,34,Orica GreenEDGE,,,35.0,+5:57,",, 1:18",2015,4
49,117,Rojas Jos\xe9 Joaqu\xedn,30,Movistar Team,,,20.0,+1:17,0:00 0:00,2015,4
50,186,Marcato Marco,31,Wanty - Groupe Gobert,,,77.0,+25:37,2:04 2:04,2015,4
51,82,Arndt Nikias,23,Team Giant - Alpecin,,,69.0,+22:54,2:14 2:14,2015,4
52,154,Agnoli Valerio,30,Astana Pro Team,,,79.0,+26:23,2:37 2:37,2015,4
53,188,Selvaggi Mirko,30,Wanty - Groupe Gobert,,,59.0,+18:38,",, 2:37",2015,4
54,42,Bennati Daniele,34,Tinkoff - Saxo,,,98.0,+33:09,",, 2:37",2015,4
55,32,Atapuma John Darwin,27,BMC Racing Team,,,36.0,+6:51,",, 2:37",2015,4
56,6,Pibernik Luka,21,Lampre - Merida,,,47.0,+14:11,",, 2:37",2015,4
57,152,Bozic Borut,34,Astana Pro Team,,,104.0,+35:41,",, 2:37",2015,4
58,76,Lagutin Sergey,34,Team Katusha,,,107.0,+35:53,",, 2:37",2015,4
59,4,Conti Valerio,22,Lampre - Merida,,,34.0,+4:06,",, 2:37",2015,4
60,56,Knees Christian,34,Team Sky,,,50.0,+15:16,",, 2:37",2015,4
61,21,Elmiger Martin,36,IAM Cycling,,,45.0,+12:34,",, 2:37",2015,4
62,176,Hirt Jan,24,CCC Sprandi Polkowice,,,58.0,+17:36,",, 2:37",2015,4
63,48,Valgren Michael,23,Tinkoff - Saxo,,,55.0,+17:14,",, 2:37",2015,4
64,95,King Benjamin,26,Team Cannondale - Garmin,,,92.0,+29:18,",, 2:37",2015,4
65,25,Fumeaux Jonathan,27,IAM Cycling,,,56.0,+17:23,",, 2:37",2015,4
66,171,Szmyd Sylwester,37,CCC Sprandi Polkowice,,,57.0,+17:30,",, 2:37",2015,4
67,141,Kwiatkowski Michal,25,Etixx - Quick Step,,,78.0,+26:23,",, 2:37",2015,4
68,112,Capecchi Eros,29,Movistar Team,,,64.0,+21:04,",, 2:37",2015,4
69,127,Monfort Maxime,32,Lotto Soudal,,,42.0,+11:36,",, 2:37",2015,4
70,162,Bonnafond Guillaume,27,AG2R La Mondiale,,,62.0,+20:04,3:21 3:21,2015,4
71,64,Martens Paul,31,Team LottoNL-Jumbo,,,71.0,+23:24,4:08 4:08,2015,4
72,47,M\xf8rk\xf8v Michael,30,Tinkoff - Saxo,,,88.0,+28:51,",, 4:08",2015,4
73,123,Breen Vegard,25,Lotto Soudal,,,67.0,+22:26,",, 4:08",2015,4
74,91,Danielson Thomas,37,Team Cannondale - Garmin,,,54.0,+15:54,",, 4:08",2015,4
75,146,Stybar Zdenek,29,Etixx - Quick Step,,,85.0,+27:43,",, 4:08",2015,4
76,22,Coppel J\xe9rome,28,IAM Cycling,,,43.0,+11:47,",, 4:08",2015,4
77,74,Kozonchuk Dmitry,31,Team Katusha,,,89.0,+28:52,",, 4:08",2015,4
78,135,Ladagnous Matthieu,30,FDJ,,,65.0,+21:11,4:49 4:49,2015,4
79,137,Roy J\xe9r\xe9my,31,FDJ,,,46.0,+13:36,",, 4:49",2015,4
80,38,Wyss Danilo,29,BMC Racing Team,,,66.0,+21:43,5:13 5:13,2015,4
81,103,Clarke Simon,28,Orica GreenEDGE,,,86.0,+27:49,6:42 6:42,2015,4
82,125,De Gendt Thomas,28,Lotto Soudal,,,82.0,+27:33,8:15 8:15,2015,4
83,63,Lindeman Bert-Jan,26,Team LottoNL-Jumbo,,,112.0,+38:58,",, 8:15",2015,4
84,155,Kozhatayev Bakhtiyar,23,Astana Pro Team,,,111.0,+37:49,",, 8:15",2015,4
85,27,Br\xe4ndle Matthias,25,IAM Cycling,,,116.0,+41:06,",, 8:15",2015,4
86,122,Arm\xe9e Sander,29,Lotto Soudal,,,119.0,+41:39,",, 8:15",2015,4
87,84,de Kort Koen,32,Team Giant - Alpecin,,,102.0,+35:10,",, 8:15",2015,4
88,86,Fr\xf6hlinger Johannes,30,Team Giant - Alpecin,,,113.0,+39:07,",, 8:15",2015,4
89,172,Samoilau Branislau,30,CCC Sprandi Polkowice,,,52.0,+15:38,",, 8:15",2015,4
90,88,Preidler Georg,24,Team Giant - Alpecin,,,94.0,+30:41,",, 8:15",2015,4
91,62,Leezer Tom,29,Team LottoNL-Jumbo,,,118.0,+41:30,",, 8:15",2015,4
92,118,Ventoso Francisco,33,Movistar Team,,,63.0,+20:46,",, 8:15",2015,4
93,116,Malori Adriano,27,Movistar Team,,,80.0,+27:21,",, 8:15",2015,4
94,16,Rast Gregory,35,Trek Factory Racing,,,106.0,+35:49,",, 8:15",2015,4
95,14,Didier Laurent,30,Trek Factory Racing,,,76.0,+24:53,",, 8:15",2015,4
96,44,Breschel Matti,30,Tinkoff - Saxo,,,91.0,+29:11,",, 8:15",2015,4
97,92,Bettiol Alberto,21,Team Cannondale - Garmin,,,108.0,+35:54,",, 8:15",2015,4
98,168,Domont Axel,24,AG2R La Mondiale,,,74.0,+24:30,",, 8:15",2015,4
99,164,Gaudin Damien,28,AG2R La Mondiale,,,96.0,+31:55,",, 8:15",2015,4
100,167,Minard S\xe9bastien,33,AG2R La Mondiale,,,103.0,+35:19,",, 8:15",2015,4
101,98,Moser Moreno,24,Team Cannondale - Garmin,,,70.0,+23:07,",, 8:15",2015,4
102,124,de Buyst Jasper,21,Lotto Soudal,,,101.0,+35:06,",, 8:15",2015,4
103,11,Cancellara Fabian,34,Trek Factory Racing,,,122.0,+44:02,13:40 13:40,2015,4
104,108,Meyer Cameron,27,Orica GreenEDGE,,,93.0,+29:46,",, 13:40",2015,4
105,142,Cavendish Mark,30,Etixx - Quick Step,,,128.0,+47:25,16:49 16:49,2015,4
106,54,Nordhaug Lars Petter,31,Team Sky,,,127.0,+46:22,",, 16:49",2015,4
107,8,Costa M\xe1rio,29,Lampre - Merida,,,114.0,+39:58,",, 16:49",2015,4
108,97,Mohoric Matej,20,Team Cannondale - Garmin,,,95.0,+31:37,",, 16:49",2015,4
109,13,Devolder Stijn,35,Trek Factory Racing,,,139.0,+49:53,",, 16:49",2015,4
110,132,Bonnet William,32,FDJ,,,143.0,+49:56,",, 16:49",2015,4
111,165,Turgot S\xe9bastien,31,AG2R La Mondiale,,,109.0,+36:07,",, 16:49",2015,4
112,173,Rutkiewicz Marek,34,CCC Sprandi Polkowice,,,125.0,+44:35,",, 16:49",2015,4
113,178,Bole Grega,29,CCC Sprandi Polkowice,,,105.0,+35:44,",, 16:49",2015,4
114,177,Honkisz Adrian,27,CCC Sprandi Polkowice,,,97.0,+31:56,",, 16:49",2015,4
115,1,Cimolai Davide,25,Lampre - Merida,,,148.0,+50:09,",, 16:49",2015,4
116,185,Antonini Simone,24,Wanty - Groupe Gobert,,,136.0,+47:40,",, 16:49",2015,4
117,36,Senni Manuel,23,BMC Racing Team,,,68.0,+22:30,",, 16:49",2015,4
118,133,Chavanel S\xe9bastien,32,FDJ,,,133.0,+47:37,",, 16:49",2015,4
119,153,Fominykh Daniil,23,Astana Pro Team,,,124.0,+44:29,",, 16:49",2015,4
120,72,Guarnieri Jacopo,27,Team Katusha,,,144.0,+50:02,",, 16:49",2015,4
121,145,Renshaw Mark,32,Etixx - Quick Step,,,130.0,+47:32,",, 16:49",2015,4
122,24,Devenyns Dries,31,IAM Cycling,,,110.0,+37:33,",, 16:49",2015,4
123,174,Schumacher Stefan,33,CCC Sprandi Polkowice,,,73.0,+24:24,",, 16:49",2015,4
124,113,Anton Igor,32,Movistar Team,,,83.0,+27:36,",, 16:49",2015,4
125,53,Lopez David,34,Team Sky,,,61.0,+19:38,",, 16:49",2015,4
126,126,Dehaes Kenny,30,Lotto Soudal,,,134.0,+47:38,",, 16:49",2015,4
127,128,Roelandts Jurgen,29,Lotto Soudal,,,123.0,+44:12,",, 16:49",2015,4
128,66,Van Asbroeck Tom,25,Team LottoNL-Jumbo,,,146.0,+50:06,",, 16:49",2015,4
129,34,Drucker Jean-Pierre,28,BMC Racing Team,,,115.0,+40:23,",, 16:49",2015,4
130,157,Malacarne Davide,27,Astana Pro Team,,,120.0,+43:48,",, 16:49",2015,4
131,5,Niemiec Przemyslaw,35,Lampre - Merida,,,60.0,+19:38,",, 16:49",2015,4
132,182,Backaert Frederik,25,Wanty - Groupe Gobert,,,100.0,+33:24,",, 16:49",2015,4
133,87,Jones Carter,26,Team Giant - Alpecin,,,126.0,+44:36,",, 16:49",2015,4
134,23,Denifl Stefan,27,IAM Cycling,,,87.0,+28:38,",, 16:49",2015,4
135,106,Tuft Svein,38,Orica GreenEDGE,,,140.0,+49:53,",, 16:49",2015,4
136,166,Kadri Blel,28,AG2R La Mondiale,,,135.0,+47:40,",, 16:49",2015,4
137,71,Kristoff Alexander,27,Team Katusha,,,138.0,+49:52,",, 16:49",2015,4
138,96,Howes Alex,27,Team Cannondale - Garmin,,,121.0,+43:50,",, 16:49",2015,4
139,55,Eisel Bernhard,34,Team Sky,,,147.0,+50:07,",, 16:49",2015,4
140,105,Hayman Mathew,37,Orica GreenEDGE,,,117.0,+41:09,",, 16:49",2015,4
141,43,Trusov Nikolay,29,Tinkoff - Saxo,,,132.0,+47:36,",, 16:49",2015,4
142,134,D\xe9mare Arnaud,23,FDJ,,,142.0,+49:55,",, 16:49",2015,4
143,68,Teunissen Mike,22,Team LottoNL-Jumbo,,,129.0,+47:25,",, 16:49",2015,4
144,45,Brutt Pavel,33,Tinkoff - Saxo,,,131.0,+47:32,",, 16:49",2015,4
145,58,Pate Danny,36,Team Sky,,,141.0,+49:53,",, 16:49",2015,4
146,138,Vichot Arthur,26,FDJ,,,145.0,+50:04,",, 16:49",2015,4
147,2,Bonifazio Niccolo,21,Lampre - Merida,,,137.0,+48:01,",, 16:49",2015,4
148,183,Baugnies Jerome,28,Wanty - Groupe Gobert,,,149.0,+50:49,23:12 23:12,2015,4
149,114,Izagirre Ion,26,Movistar Team,,,99.0,+33:10,",, 23:12",2015,4
DNS,35,Gilbert Philippe,32,BMC Racing Team,,,,+ - 11:19:09,",, 23:12",2015,4
DNS,3,Xu Gang,31,Lampre - Merida,,,,+ - 11:19:09,",, 23:12",2015,4
1,131,Pinot Thibaut,25,FDJ,6.0,50.0,1.0,+0:00,6:22:47 6:22:47,2015,5
2,161,Pozzovivo Domenico,32,AG2R La Mondiale,4.0,30.0,4.0,+0:55,0:34 0:34,2015,5
3,78,Spilak Simon,28,Team Katusha,2.0,18.0,3.0,+0:50,0:37 0:37,2015,5
4,156,Lopez Miguel Angel,21,Astana Pro Team,1.0,13.0,5.0,+1:07,0:43 0:43,2015,5
5,52,Thomas Geraint,29,Team Sky,1.0,10.0,2.0,+0:47,",, 0:43",2015,5
6,151,Fuglsang Jakob,30,Astana Pro Team,,7.0,6.0,+1:27,1:15 1:15,2015,5
7,176,Hirt Jan,24,CCC Sprandi Polkowice,,4.0,34.0,+18:49,1:18 1:18,2015,5
8,51,Henao Sergio Luis,27,Team Sky,,3.0,10.0,+2:46,1:29 1:29,2015,5
9,23,Denifl Stefan,27,IAM Cycling,,2.0,50.0,+30:02,1:31 1:31,2015,5
10,85,Dumoulin Tom,24,Team Giant - Alpecin,,1.0,7.0,+1:32,1:37 1:37,2015,5
11,46,Majka Rafa\u0142,25,Tinkoff - Saxo,,,12.0,+2:59,1:40 1:40,2015,5
12,26,Reichenbach Sebastien,26,IAM Cycling,,,9.0,+2:43,2:16 2:16,2015,5
13,136,Morabito Steve,32,FDJ,,,8.0,+2:29,",, 2:16",2015,5
14,65,ten Dam Laurens,34,Team LottoNL-Jumbo,,,16.0,+3:49,",, 2:16",2015,5
15,83,Barguil Warren,23,Team Giant - Alpecin,,,19.0,+4:52,",, 2:16",2015,5
16,61,Gesink Robert,29,Team LottoNL-Jumbo,,,11.0,+2:57,2:27 2:27,2015,5
17,102,Chaves Johan Esteban,25,Orica GreenEDGE,,,13.0,+3:12,2:35 2:35,2015,5
18,94,Dombrowski Joe,24,Team Cannondale - Garmin,,,26.0,+10:31,3:03 3:03,2015,5
19,15,Jungels Bob,22,Trek Factory Racing,,,15.0,+3:22,3:05 3:05,2015,5
20,7,Durasek Kristijan,27,Lampre - Merida,,,14.0,+3:21,",, 3:05",2015,5
21,33,Hermans Ben,29,BMC Racing Team,,,17.0,+4:27,3:57 3:57,2015,5
22,57,Siutsou Kanstantsin,32,Team Sky,,,20.0,+5:35,4:28 4:28,2015,5
23,77,Moreno Daniel,33,Team Katusha,,,18.0,+4:33,4:30 4:30,2015,5
24,163,Bakelants Jan,29,AG2R La Mondiale,,,21.0,+6:15,5:03 5:03,2015,5
25,17,Schleck Fr\xe4nk,35,Trek Factory Racing,,,24.0,+7:49,5:08 5:08,2015,5
26,184,de Greef Francis,30,Wanty - Groupe Gobert,,,25.0,+8:02,5:22 5:22,2015,5
27,143,Brambilla Gianluca,27,Etixx - Quick Step,,,22.0,+7:00,5:45 5:45,2015,5
28,91,Danielson Thomas,37,Team Cannondale - Garmin,,,38.0,+21:36,5:47 5:47,2015,5
29,95,King Benjamin,26,Team Cannondale - Garmin,,,61.0,+34:58,",, 5:47",2015,5
30,171,Szmyd Sylwester,37,CCC Sprandi Polkowice,,,42.0,+24:00,6:35 6:35,2015,5
31,187,Minnaard Marco,26,Wanty - Groupe Gobert,,,29.0,+15:55,6:55 6:55,2015,5
32,113,Anton Igor,32,Movistar Team,,,60.0,+34:54,7:23 7:23,2015,5
33,111,Anacona Winner,26,Movistar Team,,,23.0,+7:42,",, 7:23",2015,5
34,22,Coppel J\xe9rome,28,IAM Cycling,,,35.0,+19:14,7:32 7:32,2015,5
35,127,Monfort Maxime,32,Lotto Soudal,,,36.0,+20:04,8:33 8:33,2015,5
36,28,Warbasse Larry,24,IAM Cycling,,,32.0,+17:16,",, 8:33",2015,5
37,36,Senni Manuel,23,BMC Racing Team,,,52.0,+31:15,8:50 8:50,2015,5
38,25,Fumeaux Jonathan,27,IAM Cycling,,,46.0,+27:05,9:47 9:47,2015,5
39,93,Cardoso Andr\xe9,30,Team Cannondale - Garmin,,,37.0,+21:30,",, 9:47",2015,5
40,125,De Gendt Thomas,28,Lotto Soudal,,,64.0,+37:12,",, 9:47",2015,5
41,38,Wyss Danilo,29,BMC Racing Team,,,53.0,+32:15,10:37 10:37,2015,5
42,32,Atapuma John Darwin,27,BMC Racing Team,,,33.0,+17:29,10:43 10:43,2015,5
43,12,Arredondo Juli\xe1n David,26,Trek Factory Racing,,,27.0,+11:21,11:04 11:04,2015,5
44,175,Rebellin Davide,43,CCC Sprandi Polkowice,,,28.0,+12:43,11:19 11:19,2015,5
45,6,Pibernik Luka,21,Lampre - Merida,,,44.0,+25:25,",, 11:19",2015,5
46,56,Knees Christian,34,Team Sky,,,45.0,+26:53,11:42 11:42,2015,5
47,168,Domont Axel,24,AG2R La Mondiale,,,63.0,+36:48,12:23 12:23,2015,5
48,162,Bonnafond Guillaume,27,AG2R La Mondiale,,,54.0,+32:22,",, 12:23",2015,5
49,122,Arm\xe9e Sander,29,Lotto Soudal,,,89.0,+54:20,12:46 12:46,2015,5
50,103,Clarke Simon,28,Orica GreenEDGE,,,67.0,+41:05,13:21 13:21,2015,5
51,155,Kozhatayev Bakhtiyar,23,Astana Pro Team,,,83.0,+52:08,14:24 14:24,2015,5
52,158,Lutsenko Alexey,22,Astana Pro Team,,,31.0,+16:51,",, 14:24",2015,5
53,5,Niemiec Przemyslaw,35,Lampre - Merida,,,58.0,+34:04,14:31 14:31,2015,5
54,88,Preidler Georg,25,Team Giant - Alpecin,,,74.0,+45:44,15:08 15:08,2015,5
55,86,Fr\xf6hlinger Johannes,30,Team Giant - Alpecin,,,88.0,+54:10,",, 15:08",2015,5
56,121,Van den Broeck Jurgen,32,Lotto Soudal,,,30.0,+16:41,15:24 15:24,2015,5
57,31,Dillier Silvan,24,BMC Racing Team,,,51.0,+31:11,15:32 15:32,2015,5
58,174,Schumacher Stefan,33,CCC Sprandi Polkowice,,,66.0,+40:39,16:21 16:21,2015,5
59,172,Samoilau Branislau,30,CCC Sprandi Polkowice,,,55.0,+32:35,17:02 17:02,2015,5
60,173,Rutkiewicz Marek,34,CCC Sprandi Polkowice,,,104.0,+1:01:32,",, 17:02",2015,5
61,178,Bole Grega,29,CCC Sprandi Polkowice,,,85.0,+52:41,",, 17:02",2015,5
62,177,Honkisz Adrian,27,CCC Sprandi Polkowice,,,80.0,+48:53,",, 17:02",2015,5
63,108,Meyer Cameron,27,Orica GreenEDGE,,,75.0,+46:46,17:05 17:05,2015,5
64,148,Vermote Julien,25,Etixx - Quick Step,,,56.0,+32:41,17:22 17:22,2015,5
65,54,Nordhaug Lars Petter,31,Team Sky,,,109.0,+1:03:41,17:24 17:24,2015,5
66,14,Didier Laurent,30,Trek Factory Racing,,,71.0,+43:00,18:12 18:12,2015,5
67,64,Martens Paul,31,Team LottoNL-Jumbo,,,68.0,+42:00,18:41 18:41,2015,5
68,167,Minard S\xe9bastien,33,AG2R La Mondiale,,,90.0,+54:34,19:20 19:20,2015,5
69,137,Roy J\xe9r\xe9my,31,FDJ,,,59.0,+34:47,21:16 21:16,2015,5
70,135,Ladagnous Matthieu,30,FDJ,,,69.0,+42:22,",, 21:16",2015,5
71,117,Rojas Jos\xe9 Joaqu\xedn,30,Movistar Team,,,39.0,+22:28,",, 21:16",2015,5
72,97,Mohoric Matej,20,Team Cannondale - Garmin,,,86.0,+52:59,21:27 21:27,2015,5
73,21,Elmiger Martin,36,IAM Cycling,,,57.0,+33:56,",, 21:27",2015,5
74,104,Impey Daryl,30,Orica GreenEDGE,,,49.0,+29:18,",, 21:27",2015,5
75,63,Lindeman Bert-Jan,26,Team LottoNL-Jumbo,,,100.0,+1:00:20,",, 21:27",2015,5
76,87,Jones Carter,26,Team Giant - Alpecin,,,116.0,+1:05:58,",, 21:27",2015,5
77,116,Malori Adriano,27,Movistar Team,,,79.0,+48:43,",, 21:27",2015,5
78,154,Agnoli Valerio,30,Astana Pro Team,,,78.0,+47:45,",, 21:27",2015,5
79,48,Valgren Michael,23,Tinkoff - Saxo,,,65.0,+38:36,",, 21:27",2015,5
80,186,Marcato Marco,31,Wanty - Groupe Gobert,,,76.0,+46:59,",, 21:27",2015,5
81,37,Van Avermaet Greg,30,BMC Racing Team,,,40.0,+23:44,",, 21:27",2015,5
82,144,Go\u0142a\u015b Micha\u0142,31,Etixx - Quick Step,,,62.0,+36:02,",, 21:27",2015,5
83,112,Capecchi Eros,29,Movistar Team,,,70.0,+42:26,",, 21:27",2015,5
84,96,Howes Alex,27,Team Cannondale - Garmin,,,113.0,+1:05:12,",, 21:27",2015,5
85,128,Roelandts Jurgen,29,Lotto Soudal,,,115.0,+1:05:34,",, 21:27",2015,5
86,106,Tuft Svein,38,Orica GreenEDGE,,,122.0,+1:11:15,",, 21:27",2015,5
87,181,Gasparotto Enrico,33,Wanty - Groupe Gobert,,,43.0,+24:25,21:50 21:50,2015,5
88,105,Hayman Mathew,37,Orica GreenEDGE,,,110.0,+1:03:43,22:39 22:39,2015,5
89,101,Albasini Michael,34,Orica GreenEDGE,,,48.0,+28:31,",, 22:39",2015,5
90,62,Leezer Tom,29,Team LottoNL-Jumbo,,,111.0,+1:04:04,",, 22:39",2015,5
91,123,Breen Vegard,25,Lotto Soudal,,,73.0,+45:12,22:51 22:51,2015,5
92,58,Pate Danny,36,Team Sky,,,125.0,+1:12:50,23:02 23:02,2015,5
93,4,Conti Valerio,22,Lampre - Merida,,,47.0,+27:29,23:28 23:28,2015,5
94,41,Sagan Peter,25,Tinkoff - Saxo,,,41.0,+23:46,23:51 23:51,2015,5
95,118,Ventoso Francisco,33,Movistar Team,,,72.0,+44:32,",, 23:51",2015,5
96,68,Teunissen Mike,22,Team LottoNL-Jumbo,,,121.0,+1:11:11,",, 23:51",2015,5
97,18,Stuyven Jasper,23,Trek Factory Racing,,,81.0,+50:22,25:37 25:37,2015,5
98,16,Rast Gregory,35,Trek Factory Racing,,,102.0,+1:01:23,25:40 25:40,2015,5
99,45,Brutt Pavel,33,Tinkoff - Saxo,,,127.0,+1:13:33,26:06 26:06,2015,5
100,185,Antonini Simone,24,Wanty - Groupe Gobert,,,128.0,+1:13:53,26:18 26:18,2015,5
101,183,Baugnies Jerome,28,Wanty - Groupe Gobert,,,133.0,+1:17:02,",, 26:18",2015,5
102,138,Vichot Arthur,26,FDJ,,,132.0,+1:16:37,26:38 26:38,2015,5
103,13,Devolder Stijn,35,Trek Factory Racing,,,131.0,+1:16:35,26:47 26:47,2015,5
104,165,Turgot S\xe9bastien,31,AG2R La Mondiale,,,106.0,+1:02:53,26:51 26:51,2015,5
