Rnk,BIB,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,year,stage
64,177,Honkisz Adrian,27,CCC Sprandi Polkowice,,,66.0,+6:16,",, 5:35",2015,2
65,172,Samoilau Branislau,30,CCC Sprandi Polkowice,,,60.0,+6:01,",, 5:35",2015,2
66,144,Go\u0142a\u015b Micha\u0142,31,Etixx - Quick Step,,,55.0,+5:49,",, 5:35",2015,2
67,171,Szmyd Sylwester,37,CCC Sprandi Polkowice,,,61.0,+6:02,",, 5:35",2015,2
68,127,Monfort Maxime,32,Lotto Soudal,,,75.0,+7:34,7:18 7:18,2015,2
69,56,Knees Christian,34,Team Sky,,,74.0,+7:32,",, 7:18",2015,2
70,14,Didier Laurent,30,Trek Factory Racing,,,81.0,+7:47,",, 7:18",2015,2
71,118,Ventoso Francisco,33,Movistar Team,,,69.0,+7:24,",, 7:18",2015,2
72,182,Backaert Frederik,25,Wanty - Groupe Gobert,,,80.0,+7:44,",, 7:18",2015,2
73,82,Arndt Nikias,23,Team Giant - Alpecin,,,70.0,+7:24,",, 7:18",2015,2
74,23,Denifl Stefan,27,IAM Cycling,,,79.0,+7:43,",, 7:18",2015,2
75,162,Bonnafond Guillaume,27,AG2R La Mondiale,,,82.0,+7:52,",, 7:18",2015,2
76,74,Kozonchuk Dmitry,31,Team Katusha,,,77.0,+7:39,",, 7:18",2015,2
77,135,Ladagnous Matthieu,30,FDJ,,,73.0,+7:31,",, 7:18",2015,2
78,123,Breen Vegard,25,Lotto Soudal,,,72.0,+7:30,",, 7:18",2015,2
79,22,Coppel J\xe9rome,28,IAM Cycling,,,68.0,+7:23,",, 7:18",2015,2
80,44,Breschel Matti,30,Tinkoff - Saxo,,,78.0,+7:42,",, 7:18",2015,2
81,47,M\xf8rk\xf8v Michael,30,Tinkoff - Saxo,,,76.0,+7:38,",, 7:18",2015,2
82,24,Devenyns Dries,31,IAM Cycling,,,71.0,+7:28,",, 7:18",2015,2
83,146,Stybar Zdenek,29,Etixx - Quick Step,,,87.0,+10:19,10:13 10:13,2015,2
84,34,Drucker Jean-Pierre,28,BMC Racing Team,,,85.0,+10:18,",, 10:13",2015,2
85,173,Rutkiewicz Marek,34,CCC Sprandi Polkowice,,,105.0,+10:41,",, 10:13",2015,2
86,141,Kwiatkowski Michal,25,Etixx - Quick Step,,,96.0,+10:30,",, 10:13",2015,2
87,125,De Gendt Thomas,28,Lotto Soudal,,,94.0,+10:28,",, 10:13",2015,2
88,183,Baugnies Jerome,28,Wanty - Groupe Gobert,,,98.0,+10:32,",, 10:13",2015,2
89,16,Rast Gregory,35,Trek Factory Racing,,,95.0,+10:29,",, 10:13",2015,2
90,81,Degenkolb John,26,Team Giant - Alpecin,,,91.0,+10:24,",, 10:13",2015,2
91,73,Haller Marco,24,Team Katusha,,,99.0,+10:32,",, 10:13",2015,2
92,87,Jones Carter,26,Team Giant - Alpecin,,,106.0,+10:42,",, 10:13",2015,2
93,116,Malori Adriano,27,Movistar Team,,,83.0,+10:15,",, 10:13",2015,2
94,154,Agnoli Valerio,30,Astana Pro Team,,,97.0,+10:30,",, 10:13",2015,2
95,168,Domont Axel,24,AG2R La Mondiale,,,107.0,+10:43,",, 10:13",2015,2
96,103,Clarke Simon,28,Orica GreenEDGE,,,101.0,+10:34,",, 10:13",2015,2
97,107,Matthews Michael,24,Orica GreenEDGE,,,84.0,+10:17,",, 10:13",2015,2
98,64,Martens Paul,31,Team LottoNL-Jumbo,,,92.0,+10:25,",, 10:13",2015,2
99,97,Mohoric Matej,20,Team Cannondale - Garmin,,,104.0,+10:39,",, 10:13",2015,2
100,67,Vanmarcke Sep,26,Team LottoNL-Jumbo,,,88.0,+10:20,",, 10:13",2015,2
101,128,Roelandts Jurgen,29,Lotto Soudal,,,86.0,+10:18,",, 10:13",2015,2
102,165,Turgot S\xe9bastien,31,AG2R La Mondiale,,,93.0,+10:27,",, 10:13",2015,2
103,164,Gaudin Damien,28,AG2R La Mondiale,,,90.0,+10:24,",, 10:13",2015,2
104,92,Bettiol Alberto,21,Team Cannondale - Garmin,,,102.0,+10:34,",, 10:13",2015,2
105,186,Marcato Marco,31,Wanty - Groupe Gobert,,,89.0,+10:23,",, 10:13",2015,2
106,153,Fominykh Daniil,23,Astana Pro Team,,,103.0,+10:35,",, 10:13",2015,2
107,75,Kuznetsov Viacheslav,25,Team Katusha,,,100.0,+10:33,",, 10:13",2015,2
108,96,Howes Alex,27,Team Cannondale - Garmin,,,129.0,+13:48,13:19 13:19,2015,2
109,145,Renshaw Mark,32,Etixx - Quick Step,,,117.0,+13:38,",, 13:19",2015,2
110,142,Cavendish Mark,30,Etixx - Quick Step,,,112.0,+13:31,",, 13:19",2015,2
111,63,Lindeman Bert-Jan,25,Team LottoNL-Jumbo,,,118.0,+13:38,",, 13:19",2015,2
112,68,Teunissen Mike,22,Team LottoNL-Jumbo,,,113.0,+13:31,",, 13:19",2015,2
113,86,Fr\xf6hlinger Johannes,30,Team Giant - Alpecin,,,127.0,+13:47,",, 13:19",2015,2
114,105,Hayman Mathew,37,Orica GreenEDGE,,,114.0,+13:32,",, 13:19",2015,2
115,88,Preidler Georg,24,Team Giant - Alpecin,,,115.0,+13:35,",, 13:19",2015,2
116,95,King Benjamin,26,Team Cannondale - Garmin,,,109.0,+13:25,",, 13:19",2015,2
117,43,Trusov Nikolay,29,Tinkoff - Saxo,,,121.0,+13:42,",, 13:19",2015,2
118,84,de Kort Koen,32,Team Giant - Alpecin,,,120.0,+13:39,",, 13:19",2015,2
119,126,Dehaes Kenny,30,Lotto Soudal,,,123.0,+13:44,",, 13:19",2015,2
120,124,de Buyst Jasper,21,Lotto Soudal,,,116.0,+13:35,",, 13:19",2015,2
121,98,Moser Moreno,24,Team Cannondale - Garmin,,,110.0,+13:27,",, 13:19",2015,2
122,42,Bennati Daniele,34,Tinkoff - Saxo,,,111.0,+13:27,",, 13:19",2015,2
123,11,Cancellara Fabian,34,Trek Factory Racing,,,108.0,+13:17,",, 13:19",2015,2
124,167,Minard S\xe9bastien,33,AG2R La Mondiale,,,130.0,+13:48,",, 13:19",2015,2
125,185,Antonini Simone,24,Wanty - Groupe Gobert,,,125.0,+13:46,",, 13:19",2015,2
126,133,Chavanel S\xe9bastien,32,FDJ,,,122.0,+13:43,",, 13:19",2015,2
