stage_type,Stage,Winner,Leader after stage,year,IndivTimeTrial,TeamTimeTrial,MountainStage,SprintStage
1.0,Individual Time Trial - Düsseldorf › Düsseldorf,THOMAS Geraint,Thomas Geraint,2017,1,0,0,0
1.0,Stage 2 - Düsseldorf › Liège,KITTEL Marcel,Thomas Geraint,2017,0,0,0,1
1.0,Stage 3 - Verviers › Longwy,SAGAN Peter,Thomas Geraint,2017,0,0,0,1
1.0,Stage 4 - Mondorf-les-Bains › Vittel,DÉMARE Arnaud,Thomas Geraint,2017,0,0,0,1
5.0,Stage 5 - Vittel › La Planche des Belles Filles,ARU Fabio,Froome Christopher,2017,0,0,1,0
1.0,Stage 6 - Vesoul › Troyes,KITTEL Marcel,Froome Christopher,2017,0,0,0,1
1.0,Stage 7 - Troyes › Nuits-Saint-Georges,KITTEL Marcel,Froome Christopher,2017,0,0,0,1
4.0,Stage 8 - Dole › Station des Rousses,CALMEJANE Lilian,Froome Christopher,2017,0,0,1,0
4.0,Stage 9 - Nantua › Chambéry,URAN Rigoberto,Froome Christopher,2017,0,0,1,0
1.0,Stage 10 - Périgueux › Bergerac,KITTEL Marcel,Froome Christopher,2017,0,0,0,1
1.0,Stage 11 - Eymet › Pau,KITTEL Marcel,Froome Christopher,2017,0,0,0,1
5.0,Stage 12 - Pau › Peyragudes,BARDET Romain,Aru Fabio,2017,0,0,1,0
4.0,Stage 13 - Saint-Girons › Foix,BARGUIL Warren,Aru Fabio,2017,0,0,1,0
1.0,Stage 14 - Blagnac › Rodez,MATTHEWS Michael,Froome Christopher,2017,0,0,0,1
2.0,Stage 15 - Laissac-Sévérac l'Église › Le Puy-en-Velay,MOLLEMA Bauke,Froome Christopher,2017,0,0,0,1
1.0,Stage 16 - Le Puy-en-Velay › Romans-sur-Isère,MATTHEWS Michael,Froome Christopher,2017,0,0,0,1
4.0,Stage 17 - La Mure › Serre-Chevalier,ROGLIC Primoz,Froome Christopher,2017,0,0,1,0
5.0,Stage 18 - Briancon › Izoard,BARGUIL Warren,Froome Christopher,2017,0,0,1,0
1.0,Stage 19 - Embrun › Salon-de-Provence,BOASSON HAGEN Edvald,Froome Christopher,2017,0,0,0,1
1.0,Stage 20 (ITT) - Marseille › Marseille,BODNAR Maciej,Froome Christopher,2017,1,0,0,0
1.0,Stage 21 - Montgeron › Paris,GROENEWEGEN Dylan,Froome Christopher,2017,0,0,0,1
