Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
26,134,24,+5:31,,42.0,Silin Egor,24,Team Katusha,5:31 5:31,+0:00,,\u25b218,5,2014
33,95,25,+5:50,,14.0,Larsson Gustav,25,IAM Cycling,5:50 5:50,+4:08,,\u25bc11,5,2014
28,143,26,+6:03,,45.0,Bakelants Jan,26,Omega Pharma - Quick-Step,6:03 6:03,+0:12,,\u25b219,5,2014
26,104,27,+6:03,,48.0,Caruso Damiano,27,Cannondale,",, 6:03",+0:00,,\u25b221,5,2014
26,85,28,+6:04,,17.0,Gallopin Tony,28,Lotto Belisol,6:04 6:04,+4:08,,\u25bc11,5,2014
22,151,29,+6:09,,18.0,Elissonde Kenny,29,FDJ.fr,6:09 6:09,+4:08,,\u25bc11,5,2014
24,141,30,+6:45,,23.0,Kwiatkowski Michal,30,Omega Pharma - Quick-Step,6:45 6:45,+4:08,,\u25bc7,5,2014
24,102,31,+6:45,,24.0,Bennett George,31,Cannondale,",, 6:45",+4:08,,\u25bc7,5,2014
32,23,32,+7:14,,27.0,Hern\xe1ndez Jes\xfas,32,Tinkoff - Saxo,7:14 7:14,+4:08,,\u25bc5,5,2014
30,47,33,+7:36,,29.0,Santaromita Ivan,33,Orica GreenEDGE,7:36 7:36,+4:08,,\u25bc4,5,2014
30,137,34,+7:50,,31.0,Trofimov Yuri,34,Team Katusha,7:50 7:50,+4:08,,\u25bc3,5,2014
26,34,35,+7:51,,32.0,Edet Nicolas,35,"Cofidis, Solutions Cr\xe9dits",7:51 7:51,+4:08,,\u25bc3,5,2014
33,161,36,+7:58,,33.0,Hesjedal Ryder,36,Garmin Sharp,7:58 7:58,+4:08,,\u25bc3,5,2014
26,126,37,+8:09,,36.0,Stetina Peter,37,BMC Racing Team,8:09 8:09,+4:08,,\u25bc1,5,2014
28,64,38,+9:10,,56.0,Ch\xe9rel Micka\xebl,38,AG2R La Mondiale,9:10 9:10,+0:00,,\u25b218,5,2014
