Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
21,148,7,+0:16,,Stuyven Jasper,1,Bontrager Cycling Team,4:31:39 4:31:39,,1,2013
22,17,8,+0:16,,Rathe Jacob,2,Garmin Sharp,",, ,,",,1,2013
21,147,12,+0:16,,Putt Tanner,3,Bontrager Cycling Team,",, ,,",,1,2013
21,142,32,+0:16,,Craddock Lawson,4,Bontrager Cycling Team,",, ,,",,1,2013
21,145,39,+0:16,,Mannion Gavin,5,Bontrager Cycling Team,",, ,,",,1,2013
21,141,50,+0:16,,Brown Nathan,6,Bontrager Cycling Team,",, ,,",,1,2013
21,16,51,+0:16,,Morton Lachlan,7,Garmin Sharp,",, ,,",,1,2013
21,143,62,+10:28,,Duchesne Antoine,8,Bontrager Cycling Team,10:12 10:12,,1,2013
20,28,69,+10:28,,Verona Carlos,9,Omega Pharma - Quick-Step,",, 10:12",,1,2013
20,5,74,+10:28,,Jungels Bob,10,RadioShack - Leopard,",, 10:12",,1,2013
19,146,79,+10:28,,Oram James,11,Bontrager Cycling Team,",, 10:12",,1,2013
20,144,83,+10:28,,Eastman Ryan,12,Bontrager Cycling Team,",, 10:12",,1,2013
22,26,90,+10:54,,van Keirsbulck Guillaume,13,Omega Pharma - Quick-Step,10:38 10:38,,1,2013
20,65,94,+10:54,,McCarthy Jay,14,Team Saxo - Tinkoff,",, 10:38",,1,2013
21,142,9,+1:32,4.0,Craddock Lawson,1,Bontrager Cycling Team,9:40:51 9:40:51,\u25b23,2,2013
21,16,17,+3:19,7.0,Morton Lachlan,2,Garmin Sharp,1:47 1:47,\u25b25,2,2013
21,147,25,+5:48,3.0,Putt Tanner,3,Bontrager Cycling Team,4:16 4:16,-,2,2013
22,17,36,+10:57,2.0,Rathe Jacob,4,Garmin Sharp,9:25 9:25,\u25bc2,2,2013
21,145,39,+11:38,5.0,Mannion Gavin,5,Bontrager Cycling Team,10:06 10:06,-,2,2013
21,141,47,+15:39,6.0,Brown Nathan,6,Bontrager Cycling Team,14:07 14:07,-,2,2013
21,148,49,+16:36,1.0,Stuyven Jasper,7,Bontrager Cycling Team,15:04 15:04,\u25bc6,2,2013
20,28,65,+22:25,9.0,Verona Carlos,8,Omega Pharma - Quick-Step,20:53 20:53,\u25b21,2,2013
20,5,69,+22:55,10.0,Jungels Bob,9,RadioShack - Leopard,21:23 21:23,\u25b21,2,2013
20,65,70,+23:02,14.0,McCarthy Jay,10,Team Saxo - Tinkoff,21:30 21:30,\u25b24,2,2013
21,143,76,+25:34,8.0,Duchesne Antoine,11,Bontrager Cycling Team,24:02 24:02,\u25bc3,2,2013
22,26,80,+25:51,13.0,van Keirsbulck Guillaume,12,Omega Pharma - Quick-Step,24:19 24:19,\u25b21,2,2013
20,144,82,+26:48,12.0,Eastman Ryan,13,Bontrager Cycling Team,25:16 25:16,\u25bc1,2,2013
19,146,107,+37:20,11.0,Oram James,14,Bontrager Cycling Team,35:48 35:48,\u25bc3,2,2013
21,142,9,+1:32,1.0,Craddock Lawson,1,Bontrager Cycling Team,14:01:22 14:01:22,-,3,2013
21,16,16,+3:19,2.0,Morton Lachlan,2,Garmin Sharp,1:47 1:47,-,3,2013
21,147,24,+5:48,3.0,Putt Tanner,3,Bontrager Cycling Team,4:16 4:16,-,3,2013
22,17,35,+10:57,4.0,Rathe Jacob,4,Garmin Sharp,9:25 9:25,-,3,2013
21,145,41,+12:44,5.0,Mannion Gavin,5,Bontrager Cycling Team,11:12 11:12,-,3,2013
21,141,46,+15:39,6.0,Brown Nathan,6,Bontrager Cycling Team,14:07 14:07,-,3,2013
21,148,48,+16:36,7.0,Stuyven Jasper,7,Bontrager Cycling Team,15:04 15:04,-,3,2013
20,28,62,+22:25,8.0,Verona Carlos,8,Omega Pharma - Quick-Step,20:53 20:53,-,3,2013
20,5,66,+22:55,9.0,Jungels Bob,9,RadioShack - Leopard,21:23 21:23,-,3,2013
20,65,67,+23:02,10.0,McCarthy Jay,10,Team Saxo - Tinkoff,21:30 21:30,-,3,2013
21,143,75,+25:34,11.0,Duchesne Antoine,11,Bontrager Cycling Team,24:02 24:02,-,3,2013
22,26,78,+25:51,12.0,van Keirsbulck Guillaume,12,Omega Pharma - Quick-Step,24:19 24:19,-,3,2013
20,144,82,+26:48,13.0,Eastman Ryan,13,Bontrager Cycling Team,25:16 25:16,-,3,2013
19,146,105,+38:28,14.0,Oram James,14,Bontrager Cycling Team,36:56 36:56,-,3,2013
21,142,9,+1:32,1.0,Craddock Lawson,1,Bontrager Cycling Team,17:15:31 17:15:31,-,4,2013
21,16,16,+3:19,2.0,Morton Lachlan,2,Garmin Sharp,1:47 1:47,-,4,2013
21,147,23,+5:48,3.0,Putt Tanner,3,Bontrager Cycling Team,4:16 4:16,-,4,2013
22,17,37,+12:28,4.0,Rathe Jacob,4,Garmin Sharp,10:56 10:56,-,4,2013
21,145,38,+12:44,5.0,Mannion Gavin,5,Bontrager Cycling Team,11:12 11:12,-,4,2013
21,148,47,+16:36,7.0,Stuyven Jasper,6,Bontrager Cycling Team,15:04 15:04,\u25b21,4,2013
21,141,51,+19:10,6.0,Brown Nathan,7,Bontrager Cycling Team,17:38 17:38,\u25bc1,4,2013
20,5,63,+22:55,9.0,Jungels Bob,9,RadioShack - Leopard,21:23 21:23,-,4,2013
20,65,64,+23:02,10.0,McCarthy Jay,10,Team Saxo - Tinkoff,21:30 21:30,-,4,2013
21,143,70,+25:34,11.0,Duchesne Antoine,11,Bontrager Cycling Team,24:02 24:02,-,4,2013
22,26,78,+27:59,12.0,van Keirsbulck Guillaume,12,Omega Pharma - Quick-Step,26:27 26:27,-,4,2013
20,144,84,+28:56,13.0,Eastman Ryan,13,Bontrager Cycling Team,27:24 27:24,-,4,2013
19,146,105,+40:36,14.0,Oram James,14,Bontrager Cycling Team,39:04 39:04,-,4,2013
21,142,10,+2:22,1.0,Craddock Lawson,1,Bontrager Cycling Team,21:57:54 21:57:54,-,5,2013
21,147,19,+6:38,3.0,Putt Tanner,2,Bontrager Cycling Team,4:16 4:16,\u25b21,5,2013
22,17,29,+13:18,4.0,Rathe Jacob,3,Garmin Sharp,10:56 10:56,\u25b21,5,2013
21,145,30,+13:34,5.0,Mannion Gavin,4,Bontrager Cycling Team,11:12 11:12,\u25b21,5,2013
21,148,38,+17:26,6.0,Stuyven Jasper,5,Bontrager Cycling Team,15:04 15:04,\u25b21,5,2013
21,141,44,+20:00,7.0,Brown Nathan,6,Bontrager Cycling Team,17:38 17:38,\u25b21,5,2013
