Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
24,166,130,+24:50,20.0,Schwarzmann Michael,27,Bora - Argon 18,24:40 24:40,\u25bc7,2,2015
24,117,131,+25:14,21.0,Le Bon Johan,28,FDJ,25:04 25:04,\u25bc7,2,2015
23,126,132,+25:14,25.0,Van Hoecke Gijs,29,Topsport Vlaanderen - Baloise,",, 25:04",\u25bc4,2,2015
24,25,133,+25:14,28.0,Hansen Jesper,30,Tinkoff - Saxo,",, 25:04",\u25bc2,2,2015
21,177,137,+26:48,30.0,Sterbini Simone,31,Bardiani - CSF Pro Team,26:38 26:38,\u25bc1,2,2015
24,105,5,+0:33,3.0,Rowe Luke,1,Team Sky,7:54:15 7:54:15,\u25b22,3,2015
25,21,10,+0:48,1.0,Sagan Peter,2,Tinkoff - Saxo,0:15 0:15,\u25bc1,3,2015
22,36,13,+1:00,2.0,Stuyven Jasper,3,Trek Factory Racing,0:27 0:27,\u25bc1,3,2015
23,12,21,+1:32,4.0,Arndt Nikias,4,Team Giant - Alpecin,0:59 0:59,-,3,2015
23,62,27,+1:41,5.0,Bystr\xf8m Sven Erik,5,Team Katusha,1:08 1:08,-,3,2015
24,102,33,+3:20,6.0,Fenn Andrew,6,Team Sky,2:47 2:47,-,3,2015
23,6,39,+4:03,11.0,van Keirsbulck Guillaume,7,Etixx - Quick Step,3:30 3:30,\u25b24,3,2015
24,167,46,+4:49,10.0,Thwaites Scott,8,Bora - Argon 18,4:16 4:16,\u25b22,3,2015
24,71,54,+5:23,8.0,Bouhanni Nacer,9,"Cofidis, Solutions Cr\xe9dits",4:50 4:50,\u25bc1,3,2015
24,161,55,+5:24,7.0,Bennett Sam,10,Bora - Argon 18,4:51 4:51,\u25bc3,3,2015
24,72,58,+6:11,9.0,Ahlstrand Jonas,11,"Cofidis, Solutions Cr\xe9dits",5:38 5:38,\u25bc2,3,2015
23,111,61,+8:12,12.0,D\xe9mare Arnaud,12,FDJ,7:39 7:39,-,3,2015
23,64,63,+8:22,14.0,Haller Marco,13,Team Katusha,7:49 7:49,\u25b21,3,2015
24,152,66,+8:32,13.0,Aregger Marcel,14,IAM Cycling,7:59 7:59,\u25bc1,3,2015
21,48,82,+10:36,16.0,Zabel Rick,15,BMC Racing Team,10:03 10:03,\u25b21,3,2015
22,57,87,+11:01,17.0,S\xfctterlin Jasha,16,Movistar Team,10:28 10:28,\u25b21,3,2015
25,84,96,+11:24,15.0,Reguigui Youcef,17,MTN - Qhubeka,10:51 10:51,\u25bc2,3,2015
23,122,98,+11:43,21.0,Campenaerts Victor,18,Topsport Vlaanderen - Baloise,11:10 11:10,\u25b23,3,2015
24,14,101,+11:53,19.0,Preidler Georg,19,Team Giant - Alpecin,11:20 11:20,-,3,2015
24,75,105,+12:16,22.0,Petit Adrien,20,"Cofidis, Solutions Cr\xe9dits",11:43 11:43,\u25b22,3,2015
21,38,108,+12:24,20.0,van Poppel Danny,21,Trek Factory Racing,11:51 11:51,\u25bc1,3,2015
24,86,111,+12:44,23.0,Van Zyl Johann,22,MTN - Qhubeka,12:11 12:11,\u25b21,3,2015
24,175,112,+12:59,18.0,Ruffoni Nicola,23,Bardiani - CSF Pro Team,12:26 12:26,\u25bc5,3,2015
21,77,118,+14:37,24.0,S\xe9n\xe9chal Florian,24,"Cofidis, Solutions Cr\xe9dits",14:04 14:04,-,3,2015
23,127,127,+25:57,25.0,Van Meirhaeghe Jef,25,Topsport Vlaanderen - Baloise,25:24 25:24,-,3,2015
24,117,128,+25:59,28.0,Le Bon Johan,26,FDJ,25:26 25:26,\u25b22,3,2015
23,126,129,+26:22,29.0,Van Hoecke Gijs,27,Topsport Vlaanderen - Baloise,25:49 25:49,\u25b22,3,2015
24,25,130,+26:24,30.0,Hansen Jesper,28,Tinkoff - Saxo,25:51 25:51,\u25b22,3,2015
24,85,132,+26:35,26.0,Sbaragli Kristian,29,MTN - Qhubeka,26:02 26:02,\u25bc3,3,2015
24,166,134,+26:56,27.0,Schwarzmann Michael,30,Bora - Argon 18,26:23 26:23,\u25bc3,3,2015
21,177,138,+29:59,31.0,Sterbini Simone,31,Bardiani - CSF Pro Team,29:26 29:26,-,3,2015
24,105,6,+0:33,1.0,Rowe Luke,1,Team Sky,12:10:17 12:10:17,-,4,2015
25,21,7,+0:37,2.0,Sagan Peter,2,Tinkoff - Saxo,0:04 0:04,-,4,2015
22,36,12,+0:55,3.0,Stuyven Jasper,3,Trek Factory Racing,0:22 0:22,-,4,2015
23,12,19,+1:23,4.0,Arndt Nikias,4,Team Giant - Alpecin,0:50 0:50,-,4,2015
23,62,27,+1:41,5.0,Bystr\xf8m Sven Erik,5,Team Katusha,1:08 1:08,-,4,2015
24,102,32,+3:20,6.0,Fenn Andrew,6,Team Sky,2:47 2:47,-,4,2015
23,6,36,+4:03,7.0,van Keirsbulck Guillaume,7,Etixx - Quick Step,3:30 3:30,-,4,2015
24,71,51,+5:23,9.0,Bouhanni Nacer,8,"Cofidis, Solutions Cr\xe9dits",4:50 4:50,\u25b21,4,2015
24,161,52,+5:36,10.0,Bennett Sam,9,Bora - Argon 18,5:03 5:03,\u25b21,4,2015
24,72,57,+6:56,11.0,Ahlstrand Jonas,10,"Cofidis, Solutions Cr\xe9dits",6:23 6:23,\u25b21,4,2015
24,167,58,+6:57,8.0,Thwaites Scott,11,Bora - Argon 18,6:24 6:24,\u25bc3,4,2015
23,111,60,+8:12,12.0,D\xe9mare Arnaud,12,FDJ,7:39 7:39,-,4,2015
23,64,61,+8:17,13.0,Haller Marco,13,Team Katusha,7:44 7:44,-,4,2015
21,48,76,+10:36,15.0,Zabel Rick,14,BMC Racing Team,10:03 10:03,\u25b21,4,2015
22,57,79,+11:01,16.0,S\xfctterlin Jasha,15,Movistar Team,10:28 10:28,\u25b21,4,2015
25,84,87,+11:36,17.0,Reguigui Youcef,16,MTN - Qhubeka,11:03 11:03,\u25b21,4,2015
23,122,89,+11:43,18.0,Campenaerts Victor,17,Topsport Vlaanderen - Baloise,11:10 11:10,\u25b21,4,2015
24,14,93,+12:05,19.0,Preidler Georg,18,Team Giant - Alpecin,11:32 11:32,\u25b21,4,2015
24,152,96,+12:39,14.0,Aregger Marcel,19,IAM Cycling,12:06 12:06,\u25bc5,4,2015
24,175,99,+12:54,23.0,Ruffoni Nicola,20,Bardiani - CSF Pro Team,12:21 12:21,\u25b23,4,2015
24,75,102,+13:07,20.0,Petit Adrien,21,"Cofidis, Solutions Cr\xe9dits",12:34 12:34,\u25bc1,4,2015
21,38,104,+13:25,21.0,van Poppel Danny,22,Trek Factory Racing,12:52 12:52,\u25bc1,4,2015
21,77,112,+15:00,24.0,S\xe9n\xe9chal Florian,23,"Cofidis, Solutions Cr\xe9dits",14:27 14:27,\u25b21,4,2015
24,86,117,+17:28,22.0,Van Zyl Johann,24,MTN - Qhubeka,16:55 16:55,\u25bc2,4,2015
23,127,124,+26:09,25.0,Van Meirhaeghe Jef,25,Topsport Vlaanderen - Baloise,25:36 25:36,-,4,2015
23,126,125,+26:22,27.0,Van Hoecke Gijs,26,Topsport Vlaanderen - Baloise,25:49 25:49,\u25b21,4,2015
24,85,127,+26:35,29.0,Sbaragli Kristian,27,MTN - Qhubeka,26:02 26:02,\u25b22,4,2015
24,25,131,+28:32,28.0,Hansen Jesper,28,Tinkoff - Saxo,27:59 27:59,-,4,2015
24,166,134,+29:04,30.0,Schwarzmann Michael,29,Bora - Argon 18,28:31 28:31,\u25b21,4,2015
24,117,136,+30:06,26.0,Le Bon Johan,30,FDJ,29:33 29:33,\u25bc4,4,2015
21,177,139,+34:06,31.0,Sterbini Simone,31,Bardiani - CSF Pro Team,33:33 33:33,-,4,2015
25,21,6,+0:31,2.0,Sagan Peter,1,Tinkoff - Saxo,15:13:16 15:13:16,\u25b21,5,2015
24,105,7,+0:33,1.0,Rowe Luke,2,Team Sky,0:02 0:02,\u25bc1,5,2015
22,36,12,+0:55,3.0,Stuyven Jasper,3,Trek Factory Racing,0:24 0:24,-,5,2015
23,12,16,+1:19,4.0,Arndt Nikias,4,Team Giant - Alpecin,0:48 0:48,-,5,2015
23,62,20,+1:41,5.0,Bystr\xf8m Sven Erik,5,Team Katusha,1:10 1:10,-,5,2015
23,6,32,+4:03,7.0,van Keirsbulck Guillaume,6,Etixx - Quick Step,3:32 3:32,\u25b21,5,2015
24,71,40,+5:23,8.0,Bouhanni Nacer,7,"Cofidis, Solutions Cr\xe9dits",4:52 4:52,\u25b21,5,2015
24,72,53,+7:54,10.0,Ahlstrand Jonas,8,"Cofidis, Solutions Cr\xe9dits",7:23 7:23,\u25b22,5,2015
23,111,55,+8:12,12.0,D\xe9mare Arnaud,9,FDJ,7:41 7:41,\u25b23,5,2015
23,64,56,+8:17,13.0,Haller Marco,10,Team Katusha,7:46 7:46,\u25b23,5,2015
24,102,60,+9:58,6.0,Fenn Andrew,11,Team Sky,9:27 9:27,\u25bc5,5,2015
25,167,65,+10:37,11.0,Thwaites Scott,12,Bora - Argon 18,10:06 10:06,\u25bc1,5,2015
25,84,77,+12:34,16.0,Reguigui Youcef,13,MTN - Qhubeka,12:03 12:03,\u25b23,5,2015
21,48,79,+12:46,14.0,Zabel Rick,14,BMC Racing Team,12:15 12:15,-,5,2015
24,175,81,+12:54,20.0,Ruffoni Nicola,15,Bardiani - CSF Pro Team,12:23 12:23,\u25b25,5,2015
22,57,82,+13:11,15.0,S\xfctterlin Jasha,16,Movistar Team,12:40 12:40,\u25bc1,5,2015
24,161,86,+13:33,9.0,Bennett Sam,17,Bora - Argon 18,13:02 13:02,\u25bc8,5,2015
23,122,89,+13:53,17.0,Campenaerts Victor,18,Topsport Vlaanderen - Baloise,13:22 13:22,\u25bc1,5,2015
24,75,90,+14:05,21.0,Petit Adrien,19,"Cofidis, Solutions Cr\xe9dits",13:34 13:34,\u25b22,5,2015
24,152,93,+14:49,19.0,Aregger Marcel,20,IAM Cycling,14:18 14:18,\u25bc1,5,2015
21,38,96,+15:35,22.0,van Poppel Danny,21,Trek Factory Racing,15:04 15:04,\u25b21,5,2015
24,14,100,+16:11,18.0,Preidler Georg,22,Team Giant - Alpecin,15:40 15:40,\u25bc4,5,2015
21,77,101,+16:22,23.0,S\xe9n\xe9chal Florian,23,"Cofidis, Solutions Cr\xe9dits",15:51 15:51,-,5,2015
24,86,115,+21:34,24.0,Van Zyl Johann,24,MTN - Qhubeka,21:03 21:03,-,5,2015
24,85,120,+27:45,27.0,Sbaragli Kristian,25,MTN - Qhubeka,27:14 27:14,\u25b22,5,2015
23,127,121,+28:19,25.0,Van Meirhaeghe Jef,26,Topsport Vlaanderen - Baloise,27:48 27:48,\u25bc1,5,2015
23,126,122,+28:32,26.0,Van Hoecke Gijs,27,Topsport Vlaanderen - Baloise,28:01 28:01,\u25bc1,5,2015
24,25,125,+30:42,28.0,Hansen Jesper,28,Tinkoff - Saxo,30:11 30:11,-,5,2015
24,117,128,+32:16,30.0,Le Bon Johan,29,FDJ,31:45 31:45,\u25b21,5,2015
24,166,132,+36:21,29.0,Schwarzmann Michael,30,Bora - Argon 18,35:50 35:50,\u25bc1,5,2015
25,21,6,+0:31,1.0,Sagan Peter,1,Tinkoff - Saxo,17:37:19 17:37:19,-,6,2015
24,105,7,+0:33,2.0,Rowe Luke,2,Team Sky,0:02 0:02,-,6,2015
22,36,12,+0:55,3.0,Stuyven Jasper,3,Trek Factory Racing,0:24 0:24,-,6,2015
23,12,16,+1:19,4.0,Arndt Nikias,4,Team Giant - Alpecin,0:48 0:48,-,6,2015
23,62,24,+1:49,5.0,Bystr\xf8m Sven Erik,5,Team Katusha,1:18 1:18,-,6,2015
23,6,32,+4:03,6.0,van Keirsbulck Guillaume,6,Etixx - Quick Step,3:32 3:32,-,6,2015
24,71,39,+5:19,7.0,Bouhanni Nacer,7,"Cofidis, Solutions Cr\xe9dits",4:48 4:48,-,6,2015
24,72,49,+7:54,8.0,Ahlstrand Jonas,8,"Cofidis, Solutions Cr\xe9dits",7:23 7:23,-,6,2015
23,111,51,+8:12,9.0,D\xe9mare Arnaud,9,FDJ,7:41 7:41,-,6,2015
23,64,54,+8:41,10.0,Haller Marco,10,Team Katusha,8:10 8:10,-,6,2015
24,102,57,+9:58,11.0,Fenn Andrew,11,Team Sky,9:27 9:27,-,6,2015
25,84,72,+12:34,13.0,Reguigui Youcef,12,MTN - Qhubeka,12:03 12:03,\u25b21,6,2015
24,175,74,+12:54,15.0,Ruffoni Nicola,13,Bardiani - CSF Pro Team,12:23 12:23,\u25b22,6,2015
21,48,75,+12:54,14.0,Zabel Rick,14,BMC Racing Team,",, 12:23",-,6,2015
22,57,76,+13:19,16.0,S\xfctterlin Jasha,15,Movistar Team,12:48 12:48,\u25b21,6,2015
24,161,79,+13:23,17.0,Bennett Sam,16,Bora - Argon 18,12:52 12:52,\u25b21,6,2015
25,167,81,+13:31,12.0,Thwaites Scott,17,Bora - Argon 18,13:00 13:00,\u25bc5,6,2015
24,75,87,+14:13,19.0,Petit Adrien,18,"Cofidis, Solutions Cr\xe9dits",13:42 13:42,\u25b21,6,2015
23,122,88,+14:46,18.0,Campenaerts Victor,19,Topsport Vlaanderen - Baloise,14:15 14:15,\u25bc1,6,2015
24,152,89,+15:01,20.0,Aregger Marcel,20,IAM Cycling,14:30 14:30,-,6,2015
21,38,94,+15:47,21.0,van Poppel Danny,21,Trek Factory Racing,15:16 15:16,-,6,2015
24,14,100,+17:04,22.0,Preidler Georg,22,Team Giant - Alpecin,16:33 16:33,-,6,2015
21,77,103,+17:40,23.0,S\xe9n\xe9chal Florian,23,"Cofidis, Solutions Cr\xe9dits",17:09 17:09,-,6,2015
24,86,116,+25:24,24.0,Van Zyl Johann,24,MTN - Qhubeka,24:53 24:53,-,6,2015
24,85,119,+27:45,25.0,Sbaragli Kristian,25,MTN - Qhubeka,27:14 27:14,-,6,2015
23,127,120,+28:27,26.0,Van Meirhaeghe Jef,26,Topsport Vlaanderen - Baloise,27:56 27:56,-,6,2015
23,126,121,+28:42,27.0,Van Hoecke Gijs,27,Topsport Vlaanderen - Baloise,28:11 28:11,-,6,2015
24,25,125,+31:38,28.0,Hansen Jesper,28,Tinkoff - Saxo,31:07 31:07,-,6,2015
24,117,128,+34:08,29.0,Le Bon Johan,29,FDJ,33:37 33:37,-,6,2015
24,166,130,+37:24,30.0,Schwarzmann Michael,30,Bora - Argon 18,36:53 36:53,-,6,2015
