Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
33.0,47.265,1.0,+0:00,50.0,Z\xfclle Alex,1,Team Coast,7:37 7:37,0,2002
28.0,46.753,2.0,+0:05,30.0,Di Grande Giuseppe,2,,0:05 0:05,0,2002
33.0,46.652,3.0,+0:06,18.0,Dufaux Laurent,3,Alessio,0:06 0:06,0,2002
30.0,46.552,4.0,+0:07,13.0,Rebellin Davide,4,Gerolsteiner,0:07 0:07,0,2002
31.0,46.552,5.0,+0:07,10.0,Steinhauser Tobias,5,Gerolsteiner,",, 0:07",0,2002
33.0,46.253,6.0,+0:10,7.0,Peschel Uwe,6,Gerolsteiner,0:10 0:10,0,2002
29.0,46.253,7.0,+0:10,4.0,Savoldelli Paolo,7,,",, 0:10",0,2002
30.0,46.055,8.0,+0:12,3.0,Julich Bobby,8,Team Telekom,0:12 0:12,0,2002
31.0,46.055,9.0,+0:12,2.0,Casagrande Francesco,9,Fassa Bortolo,",, 0:12",0,2002
28.0,46.055,10.0,+0:12,1.0,Schnider Daniel,10,Phonak Hearing Systems,",, 0:12",0,2002
27.0,46.055,,+ -7:37,,Ivanov Serguei,11,Fassa Bortolo,",, 0:12",0,2002
28.0,46.055,,+ -7:37,,Ivanov Ruslan,12,Alessio,",, 0:12",0,2002
28.0,45.957,,+ -7:37,,Vinokourov Alexandre,13,Team Telekom,0:13 0:13,0,2002
25.0,45.957,,+ -7:37,,Zampieri Steve,14,Tacconi Sport,",, 0:13",0,2002
29.0,45.957,,+ -7:37,,Moos Alexandre,15,Phonak Hearing Systems,",, 0:13",0,2002
23.0,45.86,,+ -7:37,,Trampusch Gerhard,16,Mapei - Quickstep,0:14 0:14,0,2002
23.0,45.86,,+ -7:37,,Kirchen Kim,17,Fassa Bortolo,",, 0:14",0,2002
33.0,45.666000000000004,,+ -7:37,,Noe Andrea,18,Mapei - Quickstep,0:16 0:16,0,2002
23.0,45.666000000000004,,+ -7:37,,Elmiger Martin,19,Phonak Hearing Systems,",, 0:16",0,2002
23.0,45.666000000000004,,+ -7:37,,Bertogliati Rubens,20,Lampre - Daikin,",, 0:16",0,2002
31.0,45.666000000000004,,+ -7:37,,Totschnig Georg,21,Gerolsteiner,",, 0:16",0,2002
25.0,45.57,,+ -7:37,,Hunter Robert,22,Mapei - Quickstep,0:17 0:17,0,2002
28.0,45.57,,+ -7:37,,Gonzalez Santos,23,Acqua & Sapone,",, 0:17",0,2002
27.0,45.474,,+ -7:37,,Giunti Massimo,24,Acqua & Sapone,0:18 0:18,0,2002
29.0,45.474,,+ -7:37,,Wadecki Piotr,25,Domo - Farm Frites,",, 0:18",0,2002
26.0,45.474,,+ -7:37,,Bergmann Reto,26,,",, 0:18",0,2002
28.0,45.474,,+ -7:37,,Pollack Olaf,27,Gerolsteiner,",, 0:18",0,2002
28.0,45.378,,+ -7:37,,Rodriguez Fred,28,Domo - Farm Frites,0:19 0:19,0,2002
25.0,45.378,,+ -7:37,,Fertonani Marco,29,Phonak Hearing Systems,",, 0:19",0,2002
24.0,45.378,,+ -7:37,,Scholz Ronny,30,Gerolsteiner,",, 0:19",0,2002
31.0,45.378,,+ -7:37,,Zberg Beat,31,Rabobank ProTeam,",, 0:19",0,2002
30.0,45.283,,+ -7:37,,Shefer Alexandre,32,Alessio,0:20 0:20,0,2002
26.0,45.188,,+ -7:37,,Garate Juan Manuel,33,Lampre - Daikin,0:21 0:21,0,2002
28.0,45.188,,+ -7:37,,Christensen Bekim leif,34,Team Coast,",, 0:21",0,2002
29.0,45.188,,+ -7:37,,Aebersold Niki,35,Team Coast,",, 0:21",0,2002
27.0,45.188,,+ -7:37,,Zberg Markus,36,Rabobank ProTeam,",, 0:21",0,2002
26.0,45.188,,+ -7:37,,Martinez Miguel,37,Mapei - Quickstep,",, 0:21",0,2002
28.0,45.093999999999994,,+ -7:37,,Nuttli Jean,38,,0:22 0:22,0,2002
36.0,45.093999999999994,,+ -7:37,,Faresin Gianni,39,Gerolsteiner,",, 0:22",0,2002
25.0,45.093999999999994,,+ -7:37,,Valjavec Tadej,40,Fassa Bortolo,",, 0:22",0,2002
32.0,45.093999999999994,,+ -7:37,,Guerini Giuseppe,41,Team Telekom,",, 0:22",0,2002
33.0,45.093999999999994,,+ -7:37,,Wauters Marc,42,Rabobank ProTeam,",, 0:22",0,2002
23.0,45.0,,+ -7:37,,Fritsch Nicolas,43,La Fran\xe7aise des Jeux,0:23 0:23,0,2002
26.0,45.0,,+ -7:37,,Charriere Christian,44,Phonak Hearing Systems,",, 0:23",0,2002
29.0,44.906000000000006,,+ -7:37,,Hendrix Sascha,45,Team Coast,0:24 0:24,0,2002
32.0,44.906000000000006,,+ -7:37,,Hamburger Bo,46,,",, 0:24",0,2002
33.0,44.813,,+ -7:37,,Aldag Rolf,47,Team Telekom,0:25 0:25,0,2002
30.0,44.813,,+ -7:37,,van Bon L\xe9on,48,Domo - Farm Frites,",, 0:25",0,2002
31.0,44.72,,+ -7:37,,Gabriel Fr\xe9d\xe9ric,49,,0:26 0:26,0,2002
32.0,44.628,,+ -7:37,,Agnolutto Christophe,50,AG2R Pr\xe9voyance,0:27 0:27,0,2002
26.0,44.536,,+ -7:37,,Pospyeyev Kyrylo,51,Acqua & Sapone,0:28 0:28,0,2002
29.0,44.536,,+ -7:37,,Martin Perdiguero Miguel Angel,52,Acqua & Sapone,",, 0:28",0,2002
38.0,44.536,,+ -7:37,,Gianetti Mauro,53,Team Coast,",, 0:28",0,2002
24.0,44.536,,+ -7:37,,Wegelius Charles,54,Mapei - Quickstep,",, 0:28",0,2002
29.0,44.536,,+ -7:37,,Livingston Kevin,55,Team Telekom,",, 0:28",0,2002
28.0,44.443999999999996,,+ -7:37,,Sacchi Fabio,56,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,0:29 0:29,0,2002
25.0,44.443999999999996,,+ -7:37,,Duijn Marcel,57,Rabobank ProTeam,",, 0:29",0,2002
21.0,44.443999999999996,,+ -7:37,,Bennati Daniele,58,Acqua & Sapone,",, 0:29",0,2002
30.0,44.443999999999996,,+ -7:37,,Pozzi Oscar,59,Fassa Bortolo,",, 0:29",0,2002
29.0,44.443999999999996,,+ -7:37,,Verheyen Geert,60,Rabobank ProTeam,",, 0:29",0,2002
31.0,44.262,,+ -7:37,,Missaglia Gabriele,61,Lampre - Daikin,0:31 0:31,0,2002
31.0,44.262,,+ -7:37,,Huser Rolf,62,Team Coast,",, 0:31",0,2002
25.0,44.262,,+ -7:37,,Fuentes Juan,63,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,",, 0:31",0,2002
30.0,44.262,,+ -7:37,,Boven Jan,64,Rabobank ProTeam,",, 0:31",0,2002
27.0,44.262,,+ -7:37,,Da Cruz Carlos,65,La Fran\xe7aise des Jeux,",, 0:31",0,2002
32.0,44.262,,+ -7:37,,Bourquenoud Pierre,66,,",, 0:31",0,2002
33.0,44.172,,+ -7:37,,Bortolami Gianluca,67,Tacconi Sport,0:32 0:32,0,2002
26.0,44.172,,+ -7:37,,Kroon Karsten,68,Rabobank ProTeam,",, 0:32",0,2002
33.0,44.082,,+ -7:37,,Mengin Christophe,69,La Fran\xe7aise des Jeux,0:33 0:33,0,2002
27.0,44.082,,+ -7:37,,Commesso Salvatore,70,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,",, 0:33",0,2002
28.0,44.082,,+ -7:37,,Rinero Christophe,71,,",, 0:33",0,2002
27.0,44.082,,+ -7:37,,Hauptman Andrej,72,Tacconi Sport,",, 0:33",0,2002
29.0,44.082,,+ -7:37,,Casagranda Stefano,73,Alessio,",, 0:33",0,2002
30.0,43.992,,+ -7:37,,Cassani Enrico,74,Domo - Farm Frites,0:34 0:34,0,2002
21.0,43.992,,+ -7:37,,Lembo Eddy,75,,",, 0:34",0,2002
26.0,43.902,,+ -7:37,,Belohvosciks Raivis,76,Lampre - Daikin,0:35 0:35,0,2002
23.0,43.813,,+ -7:37,,Gaynitdinov Dmitri,77,Tacconi Sport,0:36 0:36,0,2002
27.0,43.725,,+ -7:37,,Giabbecucci Federico,78,Acqua & Sapone,0:37 0:37,0,2002
33.0,43.725,,+ -7:37,,Tonkov Pavel,79,Lampre - Daikin,",, 0:37",0,2002
29.0,43.636,,+ -7:37,,Nardello Daniele,80,Mapei - Quickstep,0:38 0:38,0,2002
33.0,43.636,,+ -7:37,,Lanfranchi Paolo,81,,",, 0:38",0,2002
35.0,43.548,,+ -7:37,,Kasputis Arturas,82,AG2R Pr\xe9voyance,0:39 0:39,0,2002
34.0,43.548,,+ -7:37,,Verstrepen Johan,83,Lampre - Daikin,",, 0:39",0,2002
32.0,43.548,,+ -7:37,,Koerts Jans,84,Domo - Farm Frites,",, 0:39",0,2002
35.0,43.548,,+ -7:37,,Donati Massimo,85,Tacconi Sport,",, 0:39",0,2002
29.0,43.461000000000006,,+ -7:37,,Celestino Mirko,86,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,0:40 0:40,0,2002
29.0,43.461000000000006,,+ -7:37,,Luttenberger Peter,87,Tacconi Sport,",, 0:40",0,2002
