BIB,GC,GC-Time,Prev,Rnk,Team,Time,stage,year,▼▲
,,+ -9:20,,1,Festina,28:23 28:23,0,2001,
,,+ -9:20,,2,O.N.C.E. - Eroski,0:07 0:07,0,2001,
,,+ -9:20,,3,US Postal Service,0:14 0:14,0,2001,
,,+ -5:04:35,1.0,1,Festina,15:14:08 15:14:08,1,2001,-
,,+ -5:04:35,2.0,2,O.N.C.E. - Eroski,0:07 0:07,1,2001,-
,,+ -5:04:35,3.0,3,US Postal Service,0:14 0:14,1,2001,-
,,+ -9:40:17,,1,Crédit Agricole,29:02:03 29:02:03,2,2001,-
,,+ -9:40:17,1.0,2,Festina,0:10 0:10,2,2001,▼1
,,+ -9:40:17,,3,Lampre - Daikin,0:22 0:22,2,2001,-
,,+ - 14:14:59,1.0,1,Crédit Agricole,42:45:39 42:45:39,3,2001,-
,,+ - 14:14:59,2.0,2,Festina,0:10 0:10,3,2001,-
,,+ - 14:14:59,,3,O.N.C.E. - Eroski,0:39 0:39,3,2001,-
,,+ - 19:32:49,1.0,1,Crédit Agricole,58:39:27 58:39:27,4,2001,-
,,+ - 19:32:49,2.0,2,Festina,0:10 0:10,4,2001,-
,,+ - 19:32:49,3.0,3,O.N.C.E. - Eroski,0:39 0:39,4,2001,-
,,+ - 20:54:21,1.0,1,Crédit Agricole,62:44:03 62:44:03,5,2001,-
,,+ - 20:54:21,3.0,2,O.N.C.E. - Eroski,2:12 2:12,5,2001,▲1
,,+ - 20:54:21,2.0,3,Festina,2:52 2:52,5,2001,▼1
,,+ - 25:45:00,1.0,1,Crédit Agricole,77:16:00 77:16:00,6,2001,-
,,+ - 25:45:00,2.0,2,O.N.C.E. - Eroski,2:12 2:12,6,2001,-
,,+ - 25:45:00,3.0,3,Festina,2:52 2:52,6,2001,-
,,+ - 29:51:29,1.0,1,Crédit Agricole,89:43:19 89:43:19,7,2001,-
,,+ - 29:51:29,2.0,2,O.N.C.E. - Eroski,6:29 6:29,7,2001,-
,,+ - 29:51:29,3.0,3,Festina,7:09 7:09,7,2001,-
,,+ - 34:57:18,,1,Rabobank ProTeam,105:12:16 105:12:16,8,2001,-
,,+ - 34:57:18,3.0,2,Festina,23:55 23:55,8,2001,▲1
,,+ - 34:57:18,1.0,3,Crédit Agricole,43:17 43:17,8,2001,▼2
,,+ - 38:55:30,1.0,1,Rabobank ProTeam,117:06:52 117:06:52,9,2001,-
,,+ - 38:55:30,2.0,2,Festina,23:55 23:55,9,2001,-
,,+ - 38:55:30,3.0,3,Crédit Agricole,43:17 43:17,9,2001,-
,,+ - 45:34:09,1.0,1,Rabobank ProTeam,136:48:08 136:48:08,10,2001,-
,,+ - 45:34:09,,2,Kelme - Costa Blanca,37:30 37:30,10,2001,-
,,+ - 45:34:09,2.0,3,Festina,53:56 53:56,10,2001,▼1
,,+ - 46:48:36,1.0,1,Rabobank ProTeam,140:31:49 140:31:49,11,2001,-
,,+ - 46:48:36,2.0,2,Kelme - Costa Blanca,25:08 25:08,11,2001,-
,,+ - 46:48:36,3.0,3,Festina,52:30 52:30,11,2001,-
,,+ - 51:56:14,1.0,1,Rabobank ProTeam,155:54:52 155:54:52,12,2001,-
,,+ - 51:56:14,2.0,2,Kelme - Costa Blanca,15:23 15:23,12,2001,-
,,+ - 51:56:14,,3,O.N.C.E. - Eroski,44:36 44:36,12,2001,-
,,+0:00,2.0,1,Kelme - Costa Blanca,173:50:06 173:50:06,13,2001,▲1
,,+0:00,3.0,2,O.N.C.E. - Eroski,10:21 10:21,13,2001,▲1
