Rnk,BIB,Rider,Age,Team,Pnt,year,stage
1*,121,Di Luca Danilo,33,LPR Brakes - Farnese Vini,,2009,21
2,141,Menchov Denis,31,Rabobank ProTeam,144.0,2009,21
3*,115,Pellizotti Franco,31,Liquigas,,2009,21
4,1,Garzelli Stefano,35,Acqua & Sapone,133.0,2009,21
5,127,Petacchi Alessandro,35,LPR Brakes - Farnese Vini,104.0,2009,21
6,172,Boasson Hagen Edvald,22,Team Columbia - HTC,103.0,2009,21
7,61,Sastre Carlos,34,Cervelo Test Team,86.0,2009,21
8,131,Davis Allan,28,Quickstep - Innergetic,82.0,2009,21
9,111,Basso Ivan,31,Liquigas,74.0,2009,21
10,24,Leipheimer Levi,35,Astana,70.0,2009,21
11,153,Scarponi Michele,29,Serramenti PVC Diquigiovanni-Androni Giocattoli,64.0,2009,21
12,91,Visconti Giovanni,26,ISD Cycling Team,64.0,2009,21
13,178,Rogers Michael,29,Team Columbia - HTC,55.0,2009,21
14,106,Gavazzi Francesco,24,Lampre - NGC,48.0,2009,21
15,164,Gilbert Philippe,26,Silence - Lotto,47.0,2009,21
16,73,Vigano Davide,24,Fuji-Servetto,47.0,2009,21
17,103,Bruseghin Marzio,34,Lampre - NGC,46.0,2009,21
18*,11,Valjavec Tadej,32,AG2R La Mondiale,,2009,21
19,135,Facci Mauro,27,Quickstep - Innergetic,39.0,2009,21
20,51,Arroyo David,29,Caisse d'Epargne,38.0,2009,21
21,69,Pauwels Serge,25,Cervelo Test Team,38.0,2009,21
22,38,Hunter Robert,32,Barloworld - Bianchi,37.0,2009,21
23,189,Swift Ben,21,Team Katusha,35.0,2009,21
24,49,Voeckler Thomas,29,Bbox Bouygues Telekom,34.0,2009,21
25,95,Grivko Andrei,25,ISD Cycling Team,34.0,2009,21
26,63,Gerrans Simon,29,Cervelo Test Team,32.0,2009,21
27,13,Hinault S\xe9bastien,35,AG2R La Mondiale,32.0,2009,21
28,174,L\xf6fkvist Thomas,25,Team Columbia - HTC,31.0,2009,21
29,179,Siutsou Kanstantsin,26,Team Columbia - HTC,30.0,2009,21
30,207,Bak Lars Ytting,29,Saxo Bank,29.0,2009,21
31,35,Rafael Cardenas F\xe9lix,36,Barloworld - Bianchi,29.0,2009,21
32,88,Wiggins Bradley,29,Team Garmin - Slipstream,29.0,2009,21
33,27,Popovych Yaroslav,29,Astana,28.0,2009,21
34,101,Cunego Damiano,27,Lampre - NGC,27.0,2009,21
35,219,Vorganov Eduard,26,Xacobeo-Galicia,27.0,2009,21
36,67,Konovalovas Ignatas,23,Cervelo Test Team,25.0,2009,21
37,53,Kiryienka Vasil,27,Caisse d'Epargne,25.0,2009,21
38,155,Serpa Jose Rodolfo,30,Serramenti PVC Diquigiovanni-Androni Giocattoli,25.0,2009,21
39,133,Devenyns Dries,25,Quickstep - Innergetic,25.0,2009,21
40,151,Simoni Gilberto,37,Serramenti PVC Diquigiovanni-Androni Giocattoli,24.0,2009,21
41,156,Bertogliati Rubens,30,Serramenti PVC Diquigiovanni-Androni Giocattoli,24.0,2009,21
42,92,Gatto Oscar,24,ISD Cycling Team,23.0,2009,21
43,175,Pinotti Marco,33,Team Columbia - HTC,22.0,2009,21
44,192,F\xf6rster Robert,31,Milram,22.0,2009,21
