Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,UCI,stage,year,▼▲
22.0,34.0,14.0,+0:12,,Karpets Vladimir,1.0,iBanesto.com,7:38 7:38,,0,2003,
23.0,152.0,15.0,+0:12,,Astarloza Mikel,2.0,AG2R Prévoyance,",, ,,",,0,2003,
25.0,125.0,18.0,+0:13,,Hushovd Thor,3.0,Crédit Agricole,0:01 0:01,,0,2003,
23.0,117.0,19.0,+0:13,,Rogers Michael,4.0,Quickstep - Davitamon,",, 0:01",,0,2003,
25.0,132.0,25.0,+0:16,,Becke Daniel,5.0,Team Bianchi,0:04 0:04,,0,2003,
24.0,155.0,32.0,+0:18,,Flickinger Andy,6.0,AG2R Prévoyance,0:06 0:06,,0,2003,
24.0,93.0,45.0,+0:20,,Cooke Baden,7.0,Fdjeux.com,0:08 0:08,,0,2003,
25.0,104.0,46.0,+0:20,,Manzano Jesus Maria,8.0,Kelme - Costa Blanca,",, 0:08",,0,2003,
25.0,36.0,49.0,+0:20,,Menchov Denis,9.0,iBanesto.com,",, 0:08",,0,2003,
24.0,91.0,50.0,+0:21,,Casar Sandy,10.0,Fdjeux.com,0:09 0:09,,0,2003,
25.0,38.0,57.0,+0:22,,Petrov Evgeni,11.0,iBanesto.com,0:10 0:10,,0,2003,
25.0,52.0,77.0,+0:27,,Bertagnolli Leonardo,12.0,Saeco,0:15 0:15,,0,2003,
24.0,37.0,84.0,+0:29,,Mercado Juan Miguel,13.0,iBanesto.com,0:17 0:17,,0,2003,
25.0,178.0,85.0,+0:29,,Sánchez Samuel,14.0,Euskaltel - Euskadi,",, 0:17",,0,2003,
23.0,214.0,91.0,+0:30,,Edaleine Christophe,15.0,Jean Delatour,0:18 0:18,,0,2003,
24.0,217.0,96.0,+0:30,,Krivtsov Yuriy,16.0,Jean Delatour,",, 0:18",,0,2003,
24.0,123.0,100.0,+0:31,,Fédrigo Pierrick,17.0,Crédit Agricole,0:19 0:19,,0,2003,
24.0,95.0,102.0,+0:32,,Fritsch Nicolas,18.0,Fdjeux.com,0:20 0:20,,0,2003,
25.0,49.0,104.0,+0:32,,Wielinga Remmert,19.0,Rabobank ProTeam,",, 0:20",,0,2003,
24.0,183.0,105.0,+0:32,,Chavanel Sylvain,20.0,Brioches La Boulangère,",, 0:20",,0,2003,
25.0,92.0,118.0,+0:34,,Casper Jimmy,21.0,Fdjeux.com,0:22 0:22,,0,2003,
23.0,187.0,124.0,+0:35,,Pineau Jérôme,22.0,Brioches La Boulangère,0:23 0:23,,0,2003,
