Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
29,123,6,13.0,Breschel Matti,18,Tinkoff - Saxo,\u25bc5,4,2014
26,67,5,14.0,Stannard Ian,19,Team Sky,\u25bc5,4,2014
26,74,5,,Guarnieri Jacopo,20,Astana Pro Team,-,4,2014
31,27,4,15.0,Sieberg Marcel,21,Lotto Belisol,\u25bc6,4,2014
25,151,4,20.0,van Staeyen Michael,22,Topsport Vlaanderen - Baloise,\u25bc2,4,2014
27,4,3,17.0,Maes Nikolas,23,Omega Pharma - Quick-Step,\u25bc6,4,2014
31,31,3,18.0,Gilbert Philippe,24,BMC Racing Team,\u25bc6,4,2014
25,108,3,,Pelucchi Matteo,25,IAM Cycling,-,4,2014
38,126,2,23.0,Kroon Karsten,26,Tinkoff - Saxo,\u25bc3,4,2014
26,81,2,21.0,Kristoff Alexander,27,Team Katusha,\u25bc6,4,2014
33,117,2,22.0,Mouris Jens,28,Orica GreenEDGE,\u25bc6,4,2014
33,5,1,24.0,Steegmans Gert,29,Omega Pharma - Quick-Step,\u25bc5,4,2014
32,61,1,,Eisel Bernhard,30,Team Sky,-,4,2014
33,1,43,1.0,Boonen Tom,1,Omega Pharma - Quick-Step,-,5,2014
29,6,38,2.0,Terpstra Niki,2,Omega Pharma - Quick-Step,-,5,2014
28,26,34,3.0,Roelandts Jurgen,3,Lotto Belisol,-,5,2014
31,21,27,8.0,Greipel Andr\xe9,4,Lotto Belisol,\u25b24,5,2014
27,115,20,13.0,Kruopis Aidis,5,Orica GreenEDGE,\u25b28,5,2014
33,121,16,12.0,Bennati Daniele,6,Tinkoff - Saxo,\u25b26,5,2014
22,111,15,4.0,Hepburn Michael,7,Orica GreenEDGE,\u25bc3,5,2014
28,128,15,5.0,M\xf8rk\xf8v Michael,8,Tinkoff - Saxo,\u25bc3,5,2014
28,41,14,6.0,Boom Lars,9,Belkin-Pro Cycling Team,\u25bc3,5,2014
22,45,13,7.0,Markus Barry,10,Belkin-Pro Cycling Team,\u25bc3,5,2014
35,103,12,9.0,Elmiger Martin,11,IAM Cycling,\u25bc2,5,2014
23,131,11,16.0,Bennett Sam,12,Team NetApp \u2013 Endura,\u25b24,5,2014
22,7,10,10.0,van Keirsbulck Guillaume,13,Omega Pharma - Quick-Step,\u25bc3,5,2014
27,36,10,11.0,Schar Michael,14,BMC Racing Team,\u25bc3,5,2014
25,108,9,25.0,Pelucchi Matteo,15,IAM Cycling,\u25b210,5,2014
30,43,9,,Bos Theo,16,Belkin-Pro Cycling Team,-,5,2014
23,2,7,14.0,Fenn Andrew,17,Omega Pharma - Quick-Step,\u25bc3,5,2014
22,51,7,15.0,D\xe9mare Arnaud,18,FDJ.fr,\u25bc3,5,2014
32,11,7,17.0,Cancellara Fabian,19,Trek Factory Racing,\u25bc2,5,2014
29,123,6,18.0,Breschel Matti,20,Tinkoff - Saxo,\u25bc2,5,2014
26,67,5,19.0,Stannard Ian,21,Team Sky,\u25bc2,5,2014
