Age,BIB,Pnt,Prev,Rider,Rnk,Team,stage,year,▼▲
27.0,96.0,15.0,,McGee Bradley,1,Fdjeux.com,0,2003,
26.0,61.0,12.0,,Millar David,2,Cofidis,0,2003,
26.0,179.0,10.0,,Zubeldia Haimar,3,Euskaltel - Euskadi,0,2003,
29.0,131.0,8.0,,Ullrich Jan,4,Team Bianchi,0,2003,
28.0,8.0,6.0,,Peña Victor Hugo,5,US Postal Service,0,2003,
32.0,71.0,5.0,,Hamilton Tyler,6,CSC ProTeam,0,2003,
31.0,1.0,,,Armstrong Lance,7*,US Postal Service,0,2003,
29.0,11.0,3.0,,Beloki Joseba,8,O.N.C.E. - Eroski,0,2003,
30.0,21.0,2.0,,Botero Santiago,9,Team Telekom,0,2003,
37.0,4.0,1.0,,Ekimov Viatcheslav,10,US Postal Service,0,2003,
31.0,141.0,36.0,,McEwen Robbie,1,Lotto - Domo,1,2003,-
29.0,88.0,35.0,,Petacchi Alessandro,2,Fassa Bortolo,1,2003,-
32.0,29.0,26.0,,Zabel Erik,3,Team Telekom,1,2003,-
29.0,111.0,24.0,,Bettini Paolo,4,Quickstep - Davitamon,1,2003,-
24.0,93.0,22.0,,Cooke Baden,5,Fdjeux.com,1,2003,-
25.0,125.0,20.0,,Hushovd Thor,6,Crédit Agricole,1,2003,-
27.0,96.0,19.0,1,McGee Bradley,7,Fdjeux.com,1,2003,▼6
27.0,44.0,19.0,,Freire Óscar,8,Rabobank ProTeam,1,2003,-
26.0,116.0,18.0,,Paolini Luca,9,Quickstep - Davitamon,1,2003,-
30.0,168.0,17.0,,Vainšteins Romāns,10,Vini Calderola - So.di,1,2003,-
33.0,156.0,16.0,,Kirsipuu Jaan,11,AG2R Prévoyance,1,2003,-
25.0,193.0,15.0,,Haselbacher René,12,Gerolsteiner,1,2003,-
26.0,219.0,14.0,,Nazon Jean-Patrick,13,Jean Delatour,1,2003,-
29.0,186.0,14.0,,Nazon Damien,14,Brioches La Boulangère,1,2003,-
29.0,127.0,13.0,,O'Grady Stuart,15,Crédit Agricole,1,2003,-
24.0,155.0,12.0,,Flickinger Andy,16,AG2R Prévoyance,1,2003,-
26.0,61.0,12.0,2,Millar David,17,Cofidis,1,2003,▼15
28.0,56.0,11.0,,Glomser Gerrit,18,Saeco,1,2003,-
26.0,179.0,10.0,3,Zubeldia Haimar,19,Euskaltel - Euskadi,1,2003,▼16
31.0,136.0,10.0,,Guidi Fabrizio,20,Team Bianchi,1,2003,-
28.0,94.0,9.0,,Da Cruz Carlos,21,Fdjeux.com,1,2003,-
29.0,131.0,8.0,4,Ullrich Jan,22,Team Bianchi,1,2003,▼18
26.0,62.0,8.0,,Clain Médéric,23,Cofidis,1,2003,-
28.0,153.0,7.0,,Botcharov Alexandre,24,AG2R Prévoyance,1,2003,-
28.0,8.0,6.0,5,Peña Victor Hugo,25,US Postal Service,1,2003,▼20
