BIB,GC,GC-Time,Prev,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,+ -16:04,,1,Team Sky,48:31 48:31,,1,2017
,,+ -16:04,,2,Quick-Step Floors,0:37 0:37,,1,2017
,,+ -16:04,,3,Team Sunweb,0:58 0:58,,1,2017
,,+ -16:04,,4,Team LottoNL-Jumbo,1:01 1:01,,1,2017
,,+ -16:04,,5,Team Katusha - Alpecin,",, 1:01",,1,2017
,,+ -16:04,,6,BMC Racing Team,1:07 1:07,,1,2017
,,+ -16:04,,7,Movistar Team,1:08 1:08,,1,2017
,,+ -16:04,,8,BORA - hansgrohe,1:19 1:19,,1,2017
,,+ -16:04,,9,ORICA-Scott,",, 1:19",,1,2017
,,+ -16:04,,10,Astana Pro Team,",, 1:19",,1,2017
,,+ -16:04,,11,Cannondale-Drapac Pro Cycling Team,1:31 1:31,,1,2017
,,+ -16:04,,12,Trek - Segafredo,1:55 1:55,,1,2017
,,+ -16:04,,13,AG2R La Mondiale,1:59 1:59,,1,2017
,,+ -16:04,,14,Team Dimension Data,2:02 2:02,,1,2017
,,+ -16:04,,15,FDJ,2:06 2:06,,1,2017
,,+ -16:04,,16,Lotto Soudal,2:09 2:09,,1,2017
,,+ -16:04,,17,Direct Energie,2:12 2:12,,1,2017
,,+ -16:04,,18,Bahrain Merida Pro Cycling Team,2:36 2:36,,1,2017
,,+ -16:04,,19,UAE Team Emirates,2:43 2:43,,1,2017
,,+ -16:04,,20,Fortuneo - Oscaro,2:53 2:53,,1,2017
,,+ -16:04,,21,"Cofidis, Solutions Cr\xe9dits",2:56 2:56,,1,2017
,,+ -16:04,,22,Wanty - Groupe Gobert,3:50 3:50,,1,2017
,,+ -4:53:10,1.0,1,Team Sky,14:39:49 14:39:49,-,2,2017
,,+ -4:53:10,2.0,2,Quick-Step Floors,0:37 0:37,-,2,2017
,,+ -4:53:10,3.0,3,Team Sunweb,0:58 0:58,-,2,2017
,,+ -4:53:10,4.0,4,Team LottoNL-Jumbo,1:01 1:01,-,2,2017
,,+ -4:53:10,5.0,5,Team Katusha - Alpecin,",, 1:01",-,2,2017
,,+ -4:53:10,6.0,6,BMC Racing Team,1:07 1:07,-,2,2017
,,+ -4:53:10,7.0,7,Movistar Team,1:08 1:08,-,2,2017
,,+ -4:53:10,8.0,8,BORA - hansgrohe,1:19 1:19,-,2,2017
,,+ -4:53:10,10.0,9,Astana Pro Team,",, 1:19",\u25b21,2,2017
,,+ -4:53:10,9.0,10,ORICA-Scott,",, 1:19",\u25bc1,2,2017
,,+ -4:53:10,11.0,11,Cannondale-Drapac Pro Cycling Team,1:31 1:31,-,2,2017
,,+ -4:53:10,12.0,12,Trek - Segafredo,1:55 1:55,-,2,2017
,,+ -4:53:10,13.0,13,AG2R La Mondiale,1:59 1:59,-,2,2017
,,+ -4:53:10,14.0,14,Team Dimension Data,2:02 2:02,-,2,2017
,,+ -4:53:10,15.0,15,FDJ,2:06 2:06,-,2,2017
,,+ -4:53:10,16.0,16,Lotto Soudal,2:09 2:09,-,2,2017
,,+ -4:53:10,17.0,17,Direct Energie,2:12 2:12,-,2,2017
,,+ -4:53:10,18.0,18,Bahrain Merida Pro Cycling Team,2:36 2:36,-,2,2017
,,+ -4:53:10,19.0,19,UAE Team Emirates,2:43 2:43,-,2,2017
,,+ -4:53:10,20.0,20,Fortuneo - Oscaro,2:53 2:53,-,2,2017
,,+ -4:53:10,21.0,21,"Cofidis, Solutions Cr\xe9dits",2:56 2:56,-,2,2017
,,+ -4:53:10,22.0,22,Wanty - Groupe Gobert,3:50 3:50,-,2,2017
,,+ - 10:00:31,1.0,1,Team Sky,30:01:52 30:01:52,-,3,2017
,,+ - 10:00:31,2.0,2,Quick-Step Floors,1:01 1:01,-,3,2017
,,+ - 10:00:31,7.0,3,Movistar Team,1:16 1:16,\u25b24,3,2017
,,+ - 10:00:31,8.0,4,BORA - hansgrohe,1:17 1:17,\u25b24,3,2017
,,+ - 10:00:31,3.0,5,Team Sunweb,1:27 1:27,\u25bc2,3,2017
,,+ - 10:00:31,9.0,6,Astana Pro Team,",, 1:27",\u25b23,3,2017
,,+ - 10:00:31,10.0,7,ORICA-Scott,",, 1:27",\u25b23,3,2017
,,+ - 10:00:31,6.0,8,BMC Racing Team,1:28 1:28,\u25bc2,3,2017
,,+ - 10:00:31,11.0,9,Cannondale-Drapac Pro Cycling Team,1:39 1:39,\u25b22,3,2017
,,+ - 10:00:31,13.0,10,AG2R La Mondiale,2:07 2:07,\u25b23,3,2017
,,+ - 10:00:31,14.0,11,Team Dimension Data,2:36 2:36,\u25b23,3,2017
,,+ - 10:00:31,20.0,12,Fortuneo - Oscaro,3:47 3:47,\u25b28,3,2017
,,+ - 10:00:31,16.0,13,Lotto Soudal,3:56 3:56,\u25b23,3,2017
,,+ - 10:00:31,12.0,14,Trek - Segafredo,4:01 4:01,\u25bc2,3,2017
,,+ - 10:00:31,15.0,15,FDJ,",, 4:01",-,3,2017
,,+ - 10:00:31,5.0,16,Team Katusha - Alpecin,4:03 4:03,\u25bc11,3,2017
,,+ - 10:00:31,19.0,17,UAE Team Emirates,4:18 4:18,\u25b22,3,2017
,,+ - 10:00:31,17.0,18,Direct Energie,4:37 4:37,\u25bc1,3,2017
,,+ - 10:00:31,4.0,19,Team LottoNL-Jumbo,4:41 4:41,\u25bc15,3,2017
,,+ - 10:00:31,22.0,20,Wanty - Groupe Gobert,5:19 5:19,\u25b22,3,2017
,,+ - 10:00:31,21.0,21,"Cofidis, Solutions Cr\xe9dits",5:28 5:28,-,3,2017
,,+ - 10:00:31,18.0,22,Bahrain Merida Pro Cycling Team,5:37 5:37,\u25bc4,3,2017
,,+ - 14:54:25,1.0,1,Team Sky,43:34 43:34,-,4,2017
,,+ - 14:54:25,2.0,2,Quick-Step Floors,1:01 1:01,-,4,2017
,,+ - 14:54:25,3.0,3,Movistar Team,1:16 1:16,-,4,2017
,,+ - 14:54:25,4.0,4,BORA - hansgrohe,1:17 1:17,-,4,2017
,,+ - 14:54:25,5.0,5,Team Sunweb,1:27 1:27,-,4,2017
,,+ - 14:54:25,6.0,6,Astana Pro Team,",, 1:27",-,4,2017
,,+ - 14:54:25,7.0,7,ORICA-Scott,",, 1:27",-,4,2017
,,+ - 14:54:25,8.0,8,BMC Racing Team,1:28 1:28,-,4,2017
,,+ - 14:54:25,9.0,9,Cannondale-Drapac Pro Cycling Team,1:39 1:39,-,4,2017
