Age,BIB,Pnt,Prev,Rider,Rnk,Team,stage,year,▼▲
24.0,67.0,4.0,,Stuyven Jasper,1.0,Trek - Segafredo,2,2016,-
30.0,139.0,2.0,1.0,Voss Paul,2.0,Bora - Argon 18,2,2016,▼1
26.0,212.0,1.0,,Breen Vegard,3.0,Fortuneo - Vital Concept,2,2016,-
30.0,36.0,1.0,,Kreuziger Roman,4.0,Tinkoff,2,2016,-
24.0,67.0,4.0,1.0,Stuyven Jasper,1.0,Trek - Segafredo,3,2016,-
30.0,139.0,2.0,2.0,Voss Paul,2.0,Bora - Argon 18,3,2016,-
27.0,215.0,1.0,,Fonseca Armindo,3.0,Fortuneo - Vital Concept,3,2016,-
26.0,212.0,1.0,3.0,Breen Vegard,4.0,Fortuneo - Vital Concept,3,2016,▼1
30.0,36.0,1.0,4.0,Kreuziger Roman,5.0,Tinkoff,3,2016,▼1
24.0,67.0,4.0,1.0,Stuyven Jasper,1.0,Trek - Segafredo,4,2016,-
30.0,139.0,2.0,2.0,Voss Paul,2.0,Bora - Argon 18,4,2016,-
27.0,215.0,1.0,3.0,Fonseca Armindo,3.0,Fortuneo - Vital Concept,4,2016,-
36.0,63.0,1.0,,Irizar Markel,4.0,Trek - Segafredo,4,2016,-
26.0,212.0,1.0,4.0,Breen Vegard,5.0,Fortuneo - Vital Concept,4,2016,▼1
30.0,36.0,1.0,5.0,Kreuziger Roman,6.0,Tinkoff,4,2016,▼1
29.0,163.0,13.0,,De Gendt Thomas,1.0,Lotto Soudal,5,2016,-
31.0,98.0,11.0,,Van Avermaet Greg,2.0,BMC Racing Team,5,2016,-
24.0,67.0,5.0,1.0,Stuyven Jasper,3.0,Trek - Segafredo,5,2016,▼2
32.0,24.0,5.0,,Grivko Andrey,4.0,Astana Pro Team,5,2016,-
30.0,139.0,2.0,2.0,Voss Paul,5.0,Bora - Argon 18,5,2016,▼3
26.0,37.0,2.0,,Majka Rafał,6.0,Tinkoff,5,2016,-
27.0,215.0,1.0,3.0,Fonseca Armindo,7.0,Fortuneo - Vital Concept,5,2016,▼4
26.0,212.0,1.0,5.0,Breen Vegard,8.0,Fortuneo - Vital Concept,5,2016,▼3
36.0,63.0,1.0,4.0,Irizar Markel,9.0,Trek - Segafredo,5,2016,▼5
30.0,36.0,1.0,6.0,Kreuziger Roman,10.0,Tinkoff,5,2016,▼4
