Age,BIB,Pnt,Prev,Rider,Rnk,Team,UCI,\u25bc\u25b2,stage,year
25,58,51,3.0,P\xf6stlberger Lukas,6,BORA - hansgrohe,,\u25bc3,3,2017
22,123,50,4.0,Ewan Caleb,7,ORICA-Scott,,\u25bc3,3,2017
25,199,43,7.0,Stuyven Jasper,8,Trek - Segafredo,,\u25bc1,3,2017
28,196,43,13.0,Nizzolo Giacomo,9,Trek - Segafredo,,\u25b24,3,2017
34,203,38,6.0,Ferrari Roberto,10,UAE Team Emirates,,\u25bc4,3,2017
28,59,35,,Selig R\xfcdiger,11,BORA - hansgrohe,,-,3,2017
28,141,24,30.0,Haas Nathan,12,Team Dimension Data,,\u25b218,3,2017
29,205,21,16.0,Modolo Sacha,13,UAE Team Emirates,,\u25b23,3,2017
22,145,20,12.0,Gibbons Ryan,14,Team Dimension Data,,\u25bc2,3,2017
29,96,20,,Rovny Ivan,15,Gazprom-RusVelo,,-,3,2017
26,215,20,10.0,Koshevoy Ilia,16,Wilier Triestina - Selle Italia,,\u25bc6,3,2017
35,92,18,11.0,Brutt Pavel,17,Gazprom-RusVelo,,\u25bc6,3,2017
23,33,18,14.0,Andreetta Simone,18,Bardiani - CSF,,\u25bc4,3,2017
34,138,16,31.0,Richeze Ariel Maximiliano,19,Quick-Step Floors,,\u25b212,3,2017
27,162,15,15.0,Battaglin Enrico,20,Team LottoNL-Jumbo,,\u25bc5,3,2017
27,79,14,,Tratnik Jan,21,CCC Sprandi Polkowice,,-,3,2017
34,8,12,,Siutsou Kanstantsin,22,Bahrain Merida Pro Cycling Team,,-,3,2017
25,98,12,17.0,Shalunov Evgeny,23,Gazprom-RusVelo,,\u25bc6,3,2017
33,72,12,18.0,Bialoblocki Marcin,24,CCC Sprandi Polkowice,,\u25bc6,3,2017
24,131,11,35.0,Jungels Bob,25,Quick-Step Floors,,\u25b210,3,2017
22,182,11,24.0,Bauhaus Phil,26,Team Sunweb,,\u25bc2,3,2017
29,52,11,19.0,Benedetti Cesare,27,BORA - hansgrohe,,\u25bc8,3,2017
27,74,10,20.0,Owsian Lukasz,28,CCC Sprandi Polkowice,,\u25bc8,3,2017
30,179,8,21.0,Thomas Geraint,29,Team Sky,,\u25bc8,3,2017
26,53,7,22.0,Bennett Sam,30,BORA - hansgrohe,,\u25bc8,3,2017
30,201,6,23.0,Costa Rui,31,UAE Team Emirates,,\u25bc8,3,2017
27,156,6,33.0,Kuznetsov Viacheslav,32,Team Katusha - Alpecin,,\u25b21,3,2017
33,19,5,25.0,Montaguti Matteo,33,AG2R La Mondiale,,\u25bc8,3,2017
23,56,5,26.0,M\xfchlberger Gregor,34,BORA - hansgrohe,,\u25bc8,3,2017
25,68,4,27.0,Villella Davide,35,Cannondale-Drapac Pro Cycling Team,,\u25bc8,3,2017
26,149,4,,Van Zyl Johann,36,Team Dimension Data,,-,3,2017
32,1,3,28.0,Nibali Vincenzo,37,Bahrain Merida Pro Cycling Team,,\u25bc9,3,2017
32,51,3,29.0,B\xe1rta Jan,38,BORA - hansgrohe,,\u25bc9,3,2017
30,76,2,,Ponzi Simone,39,CCC Sprandi Polkowice,,-,3,2017
39,128,2,34.0,Tuft Svein,40,ORICA-Scott,,\u25bc6,3,2017
34,142,2,32.0,Anton Igor,41,Team Dimension Data,,\u25bc9,3,2017
25,54,1,,Konrad Patrick,42,BORA - hansgrohe,,-,3,2017
37,101,1,36.0,Bak Lars Ytting,43,Lotto Soudal,,\u25bc7,3,2017
28,139,1,37.0,Serry Pieter,44,Quick-Step Floors,,\u25bc7,3,2017
34,100,81,1.0,Greipel Andr\xe9,1,Lotto Soudal,,-,4,2017
28,148,74,2.0,Teklehaimanot Daniel,2,Team Dimension Data,,-,4,2017
22,135,72,3.0,Gaviria Fernando,3,Quick-Step Floors,,-,4,2017
27,147,64,4.0,Sbaragli Kristian,4,Team Dimension Data,,-,4,2017
27,219,60,5.0,Zhupa Eugert,5,Wilier Triestina - Selle Italia,,-,4,2017
25,58,51,6.0,P\xf6stlberger Lukas,6,BORA - hansgrohe,,-,4,2017
22,123,50,7.0,Ewan Caleb,7,ORICA-Scott,,-,4,2017
25,199,43,8.0,Stuyven Jasper,8,Trek - Segafredo,,-,4,2017
28,196,43,9.0,Nizzolo Giacomo,9,Trek - Segafredo,,-,4,2017
34,203,38,10.0,Ferrari Roberto,10,UAE Team Emirates,,-,4,2017
28,59,35,11.0,Selig R\xfcdiger,11,BORA - hansgrohe,,-,4,2017
35,92,34,17.0,Brutt Pavel,12,Gazprom-RusVelo,,\u25b25,4,2017
28,141,24,12.0,Haas Nathan,13,Team Dimension Data,,\u25bc1,4,2017
29,205,21,13.0,Modolo Sacha,14,UAE Team Emirates,,\u25bc1,4,2017
25,209,20,,Polanc Jan,15,UAE Team Emirates,,-,4,2017
22,145,20,14.0,Gibbons Ryan,16,Team Dimension Data,,\u25bc2,4,2017
29,96,20,15.0,Rovny Ivan,17,Gazprom-RusVelo,,\u25bc2,4,2017
26,215,20,16.0,Koshevoy Ilia,18,Wilier Triestina - Selle Italia,,\u25bc2,4,2017
23,33,18,18.0,Andreetta Simone,19,Bardiani - CSF,,\u25bc1,4,2017
30,179,17,29.0,Thomas Geraint,20,Team Sky,,\u25b29,4,2017
34,138,16,19.0,Richeze Ariel Maximiliano,21,Quick-Step Floors,,\u25bc2,4,2017
24,131,15,25.0,Jungels Bob,22,Quick-Step Floors,,\u25b23,4,2017
27,162,15,20.0,Battaglin Enrico,23,Team LottoNL-Jumbo,,\u25bc3,4,2017
27,79,14,21.0,Tratnik Jan,24,CCC Sprandi Polkowice,,\u25bc3,4,2017
27,151,12,,Zakarin Ilnur,25,Team Katusha - Alpecin,,-,4,2017
34,8,12,22.0,Siutsou Kanstantsin,26,Bahrain Merida Pro Cycling Team,,\u25bc4,4,2017
25,98,12,23.0,Shalunov Evgeny,27,Gazprom-RusVelo,,\u25bc4,4,2017
33,72,12,24.0,Bialoblocki Marcin,28,CCC Sprandi Polkowice,,\u25bc4,4,2017
29,52,11,27.0,Benedetti Cesare,29,BORA - hansgrohe,,\u25bc2,4,2017
22,182,11,26.0,Bauhaus Phil,30,Team Sunweb,,\u25bc4,4,2017
27,74,10,28.0,Owsian Lukasz,31,CCC Sprandi Polkowice,,\u25bc3,4,2017
26,81,7,,Pinot Thibaut,32,FDJ,,-,4,2017
26,53,7,30.0,Bennett Sam,33,BORA - hansgrohe,,\u25bc3,4,2017
30,201,6,31.0,Costa Rui,34,UAE Team Emirates,,\u25bc3,4,2017
32,22,6,,Cataldo Dario,35,Astana Pro Team,,-,4,2017
27,156,6,32.0,Kuznetsov Viacheslav,36,Team Katusha - Alpecin,,\u25bc4,4,2017
26,181,5,,Dumoulin Tom,37,Team Sunweb,,-,4,2017
33,19,5,33.0,Montaguti Matteo,38,AG2R La Mondiale,,\u25bc5,4,2017
23,56,5,34.0,M\xfchlberger Gregor,39,BORA - hansgrohe,,\u25bc5,4,2017
29,146,5,,Janse van Rensburg Jacques,40,Team Dimension Data,,-,4,2017
32,1,4,37.0,Nibali Vincenzo,41,Bahrain Merida Pro Cycling Team,,\u25bc4,4,2017
25,68,4,35.0,Villella Davide,42,Cannondale-Drapac Pro Cycling Team,,\u25bc7,4,2017
26,149,4,36.0,Van Zyl Johann,43,Team Dimension Data,,\u25bc7,4,2017
24,121,3,,Yates Adam,44,ORICA-Scott,,-,4,2017
32,51,3,38.0,B\xe1rta Jan,45,BORA - hansgrohe,,\u25bc7,4,2017
30,191,2,,Mollema Bauke,46,Trek - Segafredo,,-,4,2017
34,142,2,41.0,Anton Igor,47,Team Dimension Data,,\u25bc6,4,2017
30,76,2,39.0,Ponzi Simone,48,CCC Sprandi Polkowice,,\u25bc9,4,2017
40,128,2,40.0,Tuft Svein,49,ORICA-Scott,,\u25bc9,4,2017
25,54,1,42.0,Konrad Patrick,50,BORA - hansgrohe,,\u25bc8,4,2017
37,101,1,43.0,Bak Lars Ytting,51,Lotto Soudal,,\u25bc8,4,2017
28,139,1,44.0,Serry Pieter,52,Quick-Step Floors,,\u25bc8,4,2017
22,135,138,3.0,Gaviria Fernando,1,Quick-Step Floors,,\u25b22,5,2017
34,100,99,1.0,Greipel Andr\xe9,2,Lotto Soudal,,\u25bc1,5,2017
27,147,76,4.0,Sbaragli Kristian,3,Team Dimension Data,,\u25b21,5,2017
28,148,74,2.0,Teklehaimanot Daniel,4,Team Dimension Data,,\u25bc2,5,2017
25,199,62,8.0,Stuyven Jasper,5,Trek - Segafredo,,\u25b23,5,2017
27,219,60,5.0,Zhupa Eugert,6,Wilier Triestina - Selle Italia,,\u25bc1,5,2017
25,58,51,6.0,P\xf6stlberger Lukas,7,BORA - hansgrohe,,\u25bc1,5,2017
22,123,50,7.0,Ewan Caleb,8,ORICA-Scott,,\u25bc1,5,2017
34,203,46,10.0,Ferrari Roberto,9,UAE Team Emirates,,\u25b21,5,2017
28,196,43,9.0,Nizzolo Giacomo,10,Trek - Segafredo,,\u25bc1,5,2017
30,75,40,,Paterski Maciej,11,CCC Sprandi Polkowice,,-,5,2017
25,98,36,27.0,Shalunov Evgeny,12,Gazprom-RusVelo,,\u25b215,5,2017
28,59,35,11.0,Selig R\xfcdiger,13,BORA - hansgrohe,,\u25bc2,5,2017
23,216,35,,Mareczko Jakub,14,Wilier Triestina - Selle Italia,,-,5,2017
35,92,34,12.0,Brutt Pavel,15,Gazprom-RusVelo,,\u25bc3,5,2017
26,53,32,33.0,Bennett Sam,16,BORA - hansgrohe,,\u25b217,5,2017
22,145,30,16.0,Gibbons Ryan,17,Team Dimension Data,,\u25bc1,5,2017
22,182,25,30.0,Bauhaus Phil,18,Team Sunweb,,\u25b212,5,2017
28,141,24,13.0,Haas Nathan,19,Team Dimension Data,,\u25bc6,5,2017
27,162,21,23.0,Battaglin Enrico,20,Team LottoNL-Jumbo,,\u25b23,5,2017
