Rnk,Rider,Age,Team,Pnt,GC,GC-Time,Time,Time won/lost,year,stage
1,Mol Wouter,27.0,Vacansoleil,100.0,1,+0:00,15:55:17 15:55:17,+0:00,2010,6
2,Steurs Geert,28.0,Topsport Vlaanderen - Mercator,70.0,2,+0:35,0:35 0:35,+0:35,2010,6
3,Boonen Tom,29.0,Quickstep - Innergetic,50.0,3,+1:45,1:45 1:45,+1:45,2010,6
4,Kluge Roger,24.0,Milram,36.0,4,+1:59,1:59 1:59,+1:59,2010,6
5,Burghardt Marcus,26.0,BMC Racing Team,28.0,5,+2:05,2:05 2:05,+2:05,2010,6
6,Napolitano Danilo,29.0,Team Katusha,24.0,6,+2:09,2:09 2:09,+2:09,2010,6
7,Gilbert Philippe,27.0,Omega Pharma-Lotto,20.0,7,+2:17,2:17 2:17,+2:17,2010,6
8,Chicchi Francesco,29.0,Liquigas - Doimo,18.0,8,+2:28,2:28 2:28,+2:28,2010,6
9,Haussler Heinrich,25.0,Cervelo Test Team,16.0,9,+2:37,2:37 2:37,+2:37,2010,6
10,O'Grady Stuart,36.0,Saxo Bank,14.0,10,+2:40,2:40 2:40,+2:40,2010,6
11,Velo Marco,35.0,Quickstep - Innergetic,12.0,11,+2:47,2:47 2:47,+2:47,2010,6
12,Ballan Alessandro,30.0,BMC Racing Team,10.0,12,+2:48,2:48 2:48,+2:48,2010,6
13,Hammond Roger,36.0,Cervelo Test Team,8.0,13,+2:53,2:53 2:53,+2:53,2010,6
14,Lemoine Cyril,26.0,Saur - Sojasun,7.0,14,+2:54,2:54 2:54,+2:54,2010,6
15,Lodewyck Klaas,21.0,Topsport Vlaanderen - Mercator,6.0,15,+3:00,3:00 3:00,+3:00,2010,6
16,Hunt Jeremy,35.0,Cervelo Test Team,5.0,16,+3:23,3:23 3:23,+3:23,2010,6
17,Klier Andreas,34.0,Cervelo Test Team,4.0,17,+3:35,3:35 3:35,+3:35,2010,6
18,Cooke Baden,31.0,Saxo Bank,3.0,18,+3:37,3:37 3:37,+3:37,2010,6
19,Eisel Bernhard,28.0,Team HTC - Columbia,2.0,19,+3:41,3:41 3:41,+3:41,2010,6
20,Trusov Nikolay,24.0,Team Katusha,1.0,20,+3:56,3:56 3:56,+3:56,2010,6
21,Lang Sebastian,30.0,Omega Pharma-Lotto,,21,+3:56,",, 3:56",+3:56,2010,6
22,Mondory Lloyd,27.0,AG2R La Mondiale,,22,+4:00,4:00 4:00,+4:00,2010,6
23,van Groen Arnoud,26.0,Vacansoleil,,23,+4:11,4:11 4:11,+4:11,2010,6
