Age,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,Time won/lost,stage,year
26,1,+0:00,,Mayo Iban,1,Euskaltel - Euskadi,6:11:38 6:11:38,+0:00,1,2004
33,2,+0:01,,Hamilton Tyler,2,Phonak Hearing Systems,0:01 0:01,+0:01,1,2004
32,3,+0:02,,Armstrong Lance,3,US Postal Service,0:02 0:02,+0:02,1,2004
26,4,+0:02,,Pereiro Oscar,4,Phonak Hearing Systems,",, 0:02",+0:02,1,2004
24,5,+0:06,,Rogers Michael,5,Quickstep - Davitamon,0:06 0:06,+0:06,1,2004
27,6,+0:06,,Sevilla Oscar,6,Phonak Hearing Systems,",, 0:06",+0:06,1,2004
29,7,+0:08,,Dessel Cyril,7,Phonak Hearing Systems,0:08 0:08,+0:08,1,2004
29,8,+0:09,,Gutierrez Jose Enrique,8,Phonak Hearing Systems,0:09 0:09,+0:09,1,2004
26,9,+0:10,,Hushovd Thor,9,Cr\xe9dit Agricole,0:10 0:10,+0:10,1,2004
30,10,+0:10,,O'Grady Stuart,10,Cofidis,",, 0:10",+0:10,1,2004
27,11,+0:10,,Lefevre Laurent,11,Brioches La Boulang\xe8re,",, 0:10",+0:10,1,2004
30,12,+0:12,,Leipheimer Levi,12,Rabobank ProTeam,0:12 0:12,+0:12,1,2004
30,13,+0:13,,Hincapie George,13,US Postal Service,0:13 0:13,+0:13,1,2004
27,14,+0:13,,Jaksche Jorg,14,CSC ProTeam,",, 0:13",+0:13,1,2004
24,15,+0:13,,Astarloza Mikel,15,AG2R Pr\xe9voyance,",, 0:13",+0:13,1,2004
27,16,+0:14,,Landaluze Inigo,16,Euskaltel - Euskadi,0:14 0:14,+0:14,1,2004
30,17,+0:14,,Rasmussen Michael,17,Rabobank ProTeam,",, 0:14",+0:14,1,2004
20,18,+0:19,,L\xf6fkvist Thomas,18,Fdjeux.com,0:19 0:19,+0:19,1,2004
29,19,+0:20,,Moncouti\xe9 David,19,Cofidis,0:20 0:20,+0:20,1,2004
30,20,+0:20,,Gonzalez Santos,20,Phonak Hearing Systems,",, 0:20",+0:20,1,2004
35,21,+0:20,,Dufaux Laurent,21,Quickstep - Davitamon,",, 0:20",+0:20,1,2004
33,22,+0:22,,Moreau Christophe,22,Cr\xe9dit Agricole,0:22 0:22,+0:22,1,2004
25,23,+0:22,,Krivtsov Yuriy,23,AG2R Pr\xe9voyance,",, 0:22",+0:22,1,2004
28,24,+0:23,,Grabsch Bert,24,Phonak Hearing Systems,0:23 0:23,+0:23,1,2004
30,25,+0:23,,Azevedo Jos\xe9 Bento Carvalho,25,US Postal Service,",, 0:23",+0:23,1,2004
24,26,+0:24,,Voeckler Thomas,26,Brioches La Boulang\xe8re,0:24 0:24,+0:24,1,2004
27,27,+0:24,,Flores Iker,27,Euskaltel - Euskadi,",, 0:24",+0:24,1,2004
29,28,+0:24,,Sastre Carlos,28,CSC ProTeam,",, 0:24",+0:24,1,2004
25,29,+0:24,,Fedrigo Pierrick,29,Cr\xe9dit Agricole,",, 0:24",+0:24,1,2004
33,30,+0:24,,Dekker Erik,30,Rabobank ProTeam,",, 0:24",+0:24,1,2004
25,31,+0:24,,Cama\xf1o Iker,31,Euskaltel - Euskadi,",, 0:24",+0:24,1,2004
25,32,+0:27,,Casar Sandy,32,Fdjeux.com,0:27 0:27,+0:27,1,2004
26,33,+0:29,,Martinez Egoi,33,Euskaltel - Euskadi,0:29 0:29,+0:29,1,2004
38,34,+0:29,,Ekimov Viatcheslav,34,US Postal Service,",, 0:29",+0:29,1,2004
26,35,+0:31,,Basso Ivan,35,CSC ProTeam,0:31 0:31,+0:31,1,2004
25,36,+0:32,,Portal Nicolas,36,AG2R Pr\xe9voyance,0:32 0:32,+0:32,1,2004
24,37,+0:33,,Calzati Sylvain,37,R.a.g.t Semence - Mg Rover,0:33 0:33,+0:33,1,2004
30,38,+0:33,,Pichon Mickael,38,Brioches La Boulang\xe8re,",, 0:33",+0:33,1,2004
24,39,+0:34,,Pineau J\xe9rome,39,Brioches La Boulang\xe8re,0:34 0:34,+0:34,1,2004
25,40,+0:35,,Cooke Baden,40,Fdjeux.com,0:35 0:35,+0:35,1,2004
23,41,+0:35,,Le M\xe9vel Christophe,41,Cr\xe9dit Agricole,",, 0:35",+0:35,1,2004
34,42,+0:35,,Goubert Stephane,42,AG2R Pr\xe9voyance,",, 0:35",+0:35,1,2004
30,43,+0:36,,Halgand Patrice,43,Cr\xe9dit Agricole,0:36 0:36,+0:36,1,2004
32,44,+0:37,,Bessy Fr\xe9d\xe9ric,44,Cofidis,0:37 0:37,+0:37,1,2004
25,45,+0:38,,Mercado Juan Miguel,45,Quickstep - Davitamon,0:38 0:38,+0:38,1,2004
35,46,+0:38,,Seigneur Eddy,46,R.a.g.t Semence - Mg Rover,",, 0:38",+0:38,1,2004
30,47,+0:39,,Salmon Benoit,47,Cr\xe9dit Agricole,0:39 0:39,+0:39,1,2004
26,48,+0:40,,Silloniz Josu,48,Euskaltel - Euskadi,0:40 0:40,+0:40,1,2004
