Rnk,Prev,\u25bc\u25b2,BIB,Team,GC,GC-Time,Time,year,stage
1,5,\u25b24,,Movistar Team,,+ - 17:03:53,50:32:04 50:32:04,2018,5
2,6,\u25b24,,Bahrain Merida Pro Cycling Team,,+ - 17:03:53,1:46 1:46,2018,5
3,11,\u25b28,,Astana Pro Team,,+ - 17:03:53,1:55 1:55,2018,5
4,10,\u25b26,,AG2R La Mondiale,,+ - 17:03:53,2:59 2:59,2018,5
5,1,\u25bc4,,BMC Racing Team,,+ - 17:03:53,3:46 3:46,2018,5
6,2,\u25bc4,,Team Sunweb,,+ - 17:03:53,3:48 3:48,2018,5
7,7,-,,Team Katusha - Alpecin,,+ - 17:03:53,8:07 8:07,2018,5
8,4,\u25bc4,,BORA - hansgrohe,,+ - 17:03:53,13:39 13:39,2018,5
9,12,\u25b23,,Trek - Segafredo,,+ - 17:03:53,13:55 13:55,2018,5
10,8,\u25bc2,,Team LottoNL-Jumbo,,+ - 17:03:53,16:04 16:04,2018,5
11,9,\u25bc2,,Lotto Soudal,,+ - 17:03:53,16:18 16:18,2018,5
12,14,\u25b22,,Team Dimension Data,,+ - 17:03:53,22:52 22:52,2018,5
13,3,\u25bc10,,Quick-Step Floors,,+ - 17:03:53,24:22 24:22,2018,5
14,13,\u25bc1,,Team Sky,,+ - 17:03:53,27:30 27:30,2018,5
15,15,-,,Mitchelton-Scott,,+ - 17:03:53,28:31 28:31,2018,5
16,16,-,,UAE-Team Emirates,,+ - 17:03:53,31:44 31:44,2018,5
17,19,\u25b22,,Direct Energie,,+ - 17:03:53,35:35 35:35,2018,5
18,18,-,,Groupama - FDJ,,+ - 17:03:53,48:22 48:22,2018,5
19,17,\u25bc2,,Team EF Education First-Drapac p/b Cannondale,,+ - 17:03:53,50:00 50:00,2018,5
20,20,-,,Aqua Blue Sport,,+ - 17:03:53,1:16:13 1:16:13,2018,5
21,21,-,,Nippo - Vini Fantini - Europa Ovini,,+ - 17:03:53,1:24:17 1:24:17,2018,5
1,1,-,,Movistar Team,,+ - 22:04:13,65:34:26 65:34:26,2018,6
2,3,\u25b21,,Astana Pro Team,,+ - 22:04:13,1:39 1:39,2018,6
3,2,\u25bc1,,Bahrain Merida Pro Cycling Team,,+ - 22:04:13,1:49 1:49,2018,6
4,4,-,,AG2R La Mondiale,,+ - 22:04:13,2:11 2:11,2018,6
5,6,\u25b21,,Team Sunweb,,+ - 22:04:13,2:23 2:23,2018,6
6,5,\u25bc1,,BMC Racing Team,,+ - 22:04:13,6:01 6:01,2018,6
7,7,-,,Team Katusha - Alpecin,,+ - 22:04:13,7:07 7:07,2018,6
8,9,\u25b21,,Trek - Segafredo,,+ - 22:04:13,13:45 13:45,2018,6
9,10,\u25b21,,Team LottoNL-Jumbo,,+ - 22:04:13,18:32 18:32,2018,6
10,8,\u25bc2,,BORA - hansgrohe,,+ - 22:04:13,20:33 20:33,2018,6
11,12,\u25b21,,Team Dimension Data,,+ - 22:04:13,22:51 22:51,2018,6
12,11,\u25bc1,,Lotto Soudal,,+ - 22:04:13,28:59 28:59,2018,6
13,13,-,,Quick-Step Floors,,+ - 22:04:13,30:53 30:53,2018,6
14,14,-,,Team Sky,,+ - 22:04:13,32:10 32:10,2018,6
15,15,-,,Mitchelton-Scott,,+ - 22:04:13,38:47 38:47,2018,6
16,17,\u25b21,,Direct Energie,,+ - 22:04:13,42:13 42:13,2018,6
17,16,\u25bc1,,UAE-Team Emirates,,+ - 22:04:13,45:10 45:10,2018,6
