Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
25,213,,,1.0,5.0,Keizer Martijn,5,Vacansoleil - DCM,,-,2,2013
22,33,18.0,+1:05,,3.0,Aru Fabio,1,Astana Pro Team,9:05:37 9:05:37,\u25b22,3,2013
23,201,25.0,+1:34,,18.0,Majka Rafa\u0142,2,Team Saxo - Tinkoff,0:29 0:29,\u25b216,3,2013
23,15,28.0,+1:41,,23.0,Betancur Carlos,3,AG2R La Mondiale,0:36 0:36,\u25b220,3,2013
22,55,37.0,+2:21,,9.0,Kelderman Wilco,4,Blanco Pro Cycling Team,1:16 1:16,\u25b25,3,2013
24,27,38.0,+2:24,,21.0,Rosa Diego,5,Androni Giocattoli - Venezuela,1:19 1:19,\u25b216,3,2013
22,44,42.0,+2:34,,15.0,Bongiorno Francesco Manuel,6,Bardiani Valvole - CSF Inox,1:29 1:29,\u25b29,3,2013
25,81,54.0,+2:49,,26.0,Atapuma John Darwin,7,Team Colombia,1:44 1:44,\u25b219,3,2013
23,42,64.0,+3:27,,39.0,Battaglin Enrico,8,Bardiani Valvole - CSF Inox,2:22 2:22,\u25b231,3,2013
23,23,70.0,+4:29,,38.0,Felline Fabio,9,Androni Giocattoli - Venezuela,3:24 3:24,\u25b229,3,2013
24,88,74.0,+5:21,,27.0,Pantano Jarlinson,10,Team Colombia,4:16 4:16,\u25b217,3,2013
23,186,76.0,+7:06,,1.0,Puccio Salvatore,11,Sky Procycling,6:01 6:01,\u25bc10,3,2013
24,143,77.0,+8:37,,2.0,Dowsett Alex,12,Movistar Team,7:32 7:32,\u25bc10,3,2013
22,122,80.0,+8:50,,4.0,Cattaneo Mattia,13,Lampre - Merida,7:45 7:45,\u25bc9,3,2013
24,78,82.0,+8:51,,5.0,Viviani Elia,14,Cannondale Pro Cycling Team,7:46 7:46,\u25bc9,3,2013
22,162,85.0,+8:56,,8.0,Durbridge Luke,15,Orica GreenEDGE,7:51 7:51,\u25bc7,3,2013
23,219,86.0,+8:56,,11.0,Wauters Willem,16,Vacansoleil - DCM,",, 7:51",\u25bc5,3,2013
24,164,88.0,+8:56,,10.0,Keukeleire Jens,17,Orica GreenEDGE,",, 7:51",\u25bc7,3,2013
23,43,94.0,+9:09,,13.0,Boem Nicola,18,Bardiani Valvole - CSF Inox,8:04 8:04,\u25bc5,3,2013
24,47,95.0,+9:09,,14.0,Locatelli Stefano,19,Bardiani Valvole - CSF Inox,",, 8:04",\u25bc5,3,2013
23,49,96.0,+9:09,,16.0,Zardini Edoardo,20,Bardiani Valvole - CSF Inox,",, 8:04",\u25bc4,3,2013
23,171,97.0,+9:11,,19.0,Bennett George,21,RadioShack - Leopard,8:06 8:06,\u25bc2,3,2013
23,158,99.0,+9:16,,22.0,Trentin Matteo,22,Omega Pharma - Quick-Step,8:11 8:11,-,3,2013
22,46,109.0,+9:32,,28.0,Colbrelli Sonny,23,Bardiani Valvole - CSF Inox,8:27 8:27,\u25b25,3,2013
24,191,111.0,+9:41,,29.0,Degenkolb John,24,Team Argos - Shimano,8:36 8:36,\u25b25,3,2013
24,192,112.0,+9:41,,31.0,Damuseau Thomas,25,Team Argos - Shimano,",, 8:36",\u25b26,3,2013
24,176,119.0,+10:33,,35.0,Oliveira Nelson,26,RadioShack - Leopard,9:28 9:28,\u25b29,3,2013
24,45,124.0,+10:56,,36.0,Canola Marco,27,Bardiani Valvole - CSF Inox,9:51 9:51,\u25b29,3,2013
24,136,130.0,+11:49,,43.0,Dockx Gert,28,Lotto Belisol Team,10:44 10:44,\u25b215,3,2013
23,159,137.0,+12:21,,44.0,Vermote Julien,29,Omega Pharma - Quick-Step,11:16 11:16,\u25b215,3,2013
25,213,138.0,+12:24,,45.0,Keizer Martijn,30,Vacansoleil - DCM,11:19 11:19,\u25b215,3,2013
22,214,140.0,+13:44,,33.0,Lammertink Maurits,31,Vacansoleil - DCM,12:39 12:39,\u25b22,3,2013
22,104,141.0,+13:51,,25.0,Le Bon Johan,32,FDJ.fr,12:46 12:46,\u25bc7,3,2013
25,7,146.0,+14:43,,6.0,Navardauskas Ramunas,33,Garmin Sharp,13:38 13:38,\u25bc27,3,2013
24,4,147.0,+14:43,,7.0,Haas Nathan,34,Garmin Sharp,",, 13:38",\u25bc27,3,2013
22,67,150.0,+14:55,,12.0,Phinney Taylor,35,BMC Racing Team,13:50 13:50,\u25bc23,3,2013
24,175,154.0,+15:01,,17.0,Nizzolo Giacomo,36,RadioShack - Leopard,13:56 13:56,\u25bc19,3,2013
24,198,164.0,+15:31,,30.0,Mezgec Luka,37,Team Argos - Shimano,14:26 14:26,\u25bc7,3,2013
22,197,165.0,+15:31,,32.0,Ludvigsson Tobias,38,Team Argos - Shimano,",, 14:26",\u25bc6,3,2013
23,163,168.0,+15:58,,34.0,Howard Leigh,39,Orica GreenEDGE,14:53 14:53,\u25bc5,3,2013
23,82,180.0,+17:08,,40.0,Avila Edwin,40,Team Colombia,16:03 16:03,-,3,2013
23,12,186.0,+17:58,,24.0,Appollonio Davide,41,AG2R La Mondiale,16:53 16:53,\u25bc17,3,2013
25,133,189.0,+18:21,,46.0,Bulgac Brian,42,Lotto Belisol Team,17:16 17:16,\u25b24,3,2013
24,215,192.0,+19:55,,48.0,Ligthart Pim,43,Vacansoleil - DCM,18:50 18:50,\u25b25,3,2013
23,62,193.0,+20:06,,41.0,Blythe Adam,44,BMC Racing Team,19:01 19:01,\u25bc3,3,2013
25,64,194.0,+20:06,,42.0,Lodewyck Klaas,45,BMC Racing Team,",, 19:01",\u25bc3,3,2013
24,179,196.0,+20:15,,20.0,Sergent Jesse,46,RadioShack - Leopard,19:10 19:10,\u25bc26,3,2013
24,95,198.0,+22:03,,37.0,Minguez Miguel,47,Euskaltel - Euskadi,20:58 20:58,\u25bc10,3,2013
22,100,204.0,+24:34,,47.0,Bouhanni Nacer,48,FDJ.fr,23:29 23:29,\u25bc1,3,2013
23,52,205.0,+25:41,,49.0,Bobridge Jack,49,Blanco Pro Cycling Team,24:36 24:36,-,3,2013
