Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,UCI.1,stage,year,▼▲
26.0,32.0,1.0,+0:00,,3.0,Sagan Peter,1.0,Tinkoff,8:34:42 8:34:42,+0:00,25.0,,2,2016,▲2
24.0,182.0,2.0,+0:08,,14.0,Alaphilippe Julian,2.0,Etixx - Quick Step,0:08 0:08,+0:04,,,2,2016,▲12
36.0,12.0,3.0,+0:10,,33.0,Valverde Alejandro,3.0,Movistar Team,0:10 0:10,+0:06,,,2,2016,▲30
24.0,111.0,4.0,+0:14,,13.0,Barguil Warren,4.0,Team Giant - Alpecin,0:14 0:14,+0:10,,,2,2016,▲9
31.0,1.0,5.0,+0:14,,25.0,Froome Chris,5.0,Team Sky,",, 0:14",+0:10,,,2,2016,▲20
31.0,98.0,6.0,+0:14,,32.0,Van Avermaet Greg,6.0,BMC Racing Team,",, 0:14",+0:10,,,2,2016,▲26
26.0,11.0,7.0,+0:14,,30.0,Quintana Nairo,7.0,Movistar Team,",, 0:14",+0:10,,,2,2016,▲23
30.0,36.0,8.0,+0:14,,24.0,Kreuziger Roman,8.0,Tinkoff,",, 0:14",+0:10,,,2,2016,▲16
36.0,201.0,9.0,+0:14,,46.0,Gerrans Simon,9.0,ORICA-BikeExchange,",, 0:14",+0:10,,,2,2016,▲37
29.0,184.0,10.0,+0:14,,54.0,Martin Dan,10.0,Etixx - Quick Step,",, 0:14",+0:10,,,2,2016,▲44
26.0,21.0,11.0,+0:14,,44.0,Aru Fabio,11.0,Astana Pro Team,",, 0:14",+0:10,,,2,2016,▲33
29.0,81.0,12.0,+0:14,,55.0,Rolland Pierre,12.0,Cannondale-Drapac Pro Cycling Team,",, 0:14",+0:10,,,2,2016,▲43
28.0,165.0,13.0,+0:14,,63.0,Gallopin Tony,13.0,Lotto Soudal,",, 0:14",+0:10,,,2,2016,▲50
25.0,114.0,14.0,+0:14,,49.0,Dumoulin Tom,14.0,Team Giant - Alpecin,",, 0:14",+0:10,,,2,2016,▲35
25.0,51.0,15.0,+0:14,,73.0,Kelderman Wilco,15.0,Team LottoNL-Jumbo,",, 0:14",+0:10,,,2,2016,▲58
33.0,147.0,16.0,+0:14,,59.0,Van den Broeck Jurgen,16.0,Team Katusha,",, 0:14",+0:10,,,2,2016,▲43
25.0,41.0,17.0,+0:14,,56.0,Bardet Romain,17.0,AG2R La Mondiale,",, 0:14",+0:10,,,2,2016,▲39
27.0,99.0,18.0,+0:14,,68.0,van Garderen Tejay,18.0,BMC Racing Team,",, 0:14",+0:10,,,2,2016,▲50
25.0,207.0,19.0,+0:14,,90.0,Matthews Michael,19.0,ORICA-BikeExchange,",, 0:14",+0:10,,,2,2016,▲71
29.0,151.0,20.0,+0:14,,81.0,Costa Rui,20.0,Lampre - Merida,",, 0:14",+0:10,,,2,2016,▲61
23.0,209.0,21.0,+0:14,,87.0,Yates Adam,21.0,ORICA-BikeExchange,",, 0:14",+0:10,,,2,2016,▲66
28.0,2.0,22.0,+0:14,,77.0,Henao Sergio,22.0,Team Sky,",, 0:14",+0:10,,,2,2016,▲55
29.0,61.0,23.0,+0:14,,107.0,Mollema Bauke,23.0,Trek - Segafredo,",, 0:14",+0:10,,,2,2016,▲84
26.0,4.0,24.0,+0:14,,114.0,Landa Mikel,24.0,Team Sky,",, 0:14",+0:10,,,2,2016,▲90
27.0,129.0,25.0,+0:14,,113.0,Vichot Arthur,25.0,FDJ,",, 0:14",+0:10,,,2,2016,▲88
37.0,141.0,26.0,+0:14,,160.0,Rodríguez Joaquim,26.0,Team Katusha,",, 0:14",+0:10,,,2,2016,▲134
29.0,71.0,27.0,+0:24,,96.0,Frank Mathias,27.0,IAM Cycling,0:24 0:24,+0:20,,,2,2016,▲69
31.0,22.0,28.0,+0:25,,43.0,Nibali Vincenzo,28.0,Astana Pro Team,0:25 0:25,+0:21,,,2,2016,▲15
27.0,79.0,29.0,+0:25,,83.0,Pantano Jarlinson,29.0,IAM Cycling,",, 0:25",+0:21,,,2,2016,▲54
27.0,126.0,30.0,+0:25,,112.0,Reichenbach Sébastien,30.0,FDJ,",, 0:25",+0:21,,,2,2016,▲82
26.0,121.0,31.0,+0:25,,111.0,Pinot Thibaut,31.0,FDJ,",, 0:25",+0:21,,,2,2016,▲80
24.0,157.0,32.0,+0:25,,123.0,Meintjes Louis,32.0,Lampre - Merida,",, 0:25",+0:21,,,2,2016,▲91
32.0,28.0,33.0,+0:29,,27.0,Sánchez Luis León,33.0,Astana Pro Team,0:29 0:29,+0:25,,,2,2016,▼6
28.0,49.0,34.0,+0:29,,103.0,Vuillermoz Alexis,34.0,AG2R La Mondiale,",, 0:29",+0:25,,,2,2016,▲69
24.0,83.0,35.0,+0:31,,51.0,Craddock Lawson,35.0,Cannondale-Drapac Pro Cycling Team,0:31 0:31,+0:27,,,2,2016,▲16
32.0,107.0,36.0,+0:31,,64.0,Pauwels Serge,36.0,Team Dimension Data,",, 0:31",+0:27,,,2,2016,▲28
28.0,177.0,37.0,+0:31,,74.0,Sicard Romain,37.0,Direct Energie,",, 0:31",+0:27,,,2,2016,▲37
25.0,211.0,38.0,+0:31,,82.0,Sepúlveda Eduardo,38.0,Fortuneo - Vital Concept,",, 0:31",+0:27,,,2,2016,▲44
23.0,131.0,39.0,+0:31,,99.0,Buchmann Emanuel,39.0,Bora - Argon 18,",, 0:31",+0:27,,,2,2016,▲60
29.0,25.0,40.0,+0:31,,108.0,Kangert Tanel,40.0,Astana Pro Team,",, 0:31",+0:27,,,2,2016,▲68
39.0,69.0,41.0,+0:31,,116.0,Zubeldia Haimar,41.0,Trek - Segafredo,",, 0:31",+0:27,,,2,2016,▲75
24.0,137.0,42.0,+0:31,,122.0,Konrad Patrick,42.0,Bora - Argon 18,",, 0:31",+0:27,,,2,2016,▲80
27.0,88.0,43.0,+0:31,,150.0,Slagter Tom-Jelte,43.0,Cannondale-Drapac Pro Cycling Team,",, 0:31",+0:27,,,2,2016,▲107
25.0,15.0,44.0,+0:35,,50.0,Herrada Jesús,44.0,Movistar Team,0:35 0:35,+0:31,,,2,2016,▲6
28.0,46.0,45.0,+0:35,,98.0,Gautier Cyril,45.0,AG2R La Mondiale,",, 0:35",+0:31,,,2,2016,▲53
30.0,9.0,46.0,+0:38,,167.0,Thomas Geraint,46.0,Team Sky,0:38 0:38,+0:34,,,2,2016,▲121
32.0,198.0,47.0,+0:40,,62.0,Maté Luis Ángel,47.0,"Cofidis, Solutions Crédits",0:40 0:40,+0:36,,,2,2016,▲15
30.0,195.0,48.0,+0:40,,174.0,Jeannesson Arnold,48.0,"Cofidis, Solutions Crédits",",, 0:40",+0:36,,,2,2016,▲126
36.0,65.0,49.0,+0:46,,145.0,Schleck Fränk,49.0,Trek - Segafredo,0:46 0:46,+0:42,,,2,2016,▲96
34.0,18.0,50.0,+0:49,,110.0,Moreno Daniel,50.0,Movistar Team,0:49 0:49,+0:45,,,2,2016,▲60
24.0,159.0,51.0,+0:49,,131.0,Polanc Jan,51.0,Lampre - Merida,",, 0:49",+0:45,,,2,2016,▲80
34.0,145.0,52.0,+0:49,,161.0,Losada Alberto,52.0,Team Katusha,",, 0:49",+0:45,,,2,2016,▲109
30.0,42.0,53.0,+0:49,,168.0,Bakelants Jan,53.0,AG2R La Mondiale,",, 0:49",+0:45,,,2,2016,▲115
33.0,124.0,54.0,+0:49,,171.0,Morabito Steve,54.0,FDJ,",, 0:49",+0:45,,,2,2016,▲117
35.0,44.0,55.0,+0:55,,53.0,Dumoulin Samuel,55.0,AG2R La Mondiale,0:55 0:55,+0:51,,,2,2016,▼2
30.0,214.0,56.0,+0:55,,109.0,Feillu Brice,56.0,Fortuneo - Vital Concept,",, 0:55",+0:51,,,2,2016,▲53
31.0,175.0,57.0,+0:55,,129.0,Jeandesboz Fabrice,57.0,Direct Energie,",, 0:55",+0:51,,,2,2016,▲72
26.0,149.0,58.0,+0:55,,158.0,Zakarin Ilnur,58.0,Team Katusha,",, 0:55",+0:51,,,2,2016,▲100
32.0,5.0,59.0,+0:55,,164.0,Nieve Mikel,59.0,Team Sky,",, 0:55",+0:51,,,2,2016,▲105
33.0,186.0,60.0,+1:02,,20.0,Richeze Maximiliano,60.0,Etixx - Quick Step,1:02 1:02,+0:58,,,2,2016,▼40
30.0,43.0,61.0,+1:02,,76.0,Cherel Mickaël,61.0,AG2R La Mondiale,",, 1:02",+0:58,,,2,2016,▲15
33.0,31.0,62.0,+1:02,,86.0,Contador Alberto,62.0,Tinkoff,",, 1:02",+0:58,,,2,2016,▲24
29.0,35.0,63.0,+1:02,,91.0,Kišerlovski Robert,63.0,Tinkoff,",, 1:02",+0:58,,,2,2016,▲28
28.0,66.0,64.0,+1:02,,126.0,Stetina Peter,64.0,Trek - Segafredo,",, 1:02",+0:58,,,2,2016,▲62
35.0,118.0,65.0,+1:02,,139.0,ten Dam Laurens,65.0,Team Giant - Alpecin,",, 1:02",+0:58,,,2,2016,▲74
24.0,67.0,66.0,+1:11,,12.0,Stuyven Jasper,66.0,Trek - Segafredo,1:11 1:11,+1:07,,,2,2016,▼54
24.0,171.0,67.0,+1:21,,7.0,Coquard Bryan,67.0,Direct Energie,1:21 1:21,+1:17,,,2,2016,▼60
37.0,172.0,68.0,+1:21,,35.0,Chavanel Sylvain,68.0,Direct Energie,",, 1:21",+1:17,,,2,2016,▼33
29.0,217.0,69.0,+1:27,,72.0,Périchon Pierre-Luc,69.0,Fortuneo - Vital Concept,1:27 1:27,+1:23,,,2,2016,▲3
26.0,116.0,70.0,+1:27,,101.0,Preidler Georg,70.0,Team Giant - Alpecin,",, 1:27",+1:23,,,2,2016,▲31
30.0,115.0,71.0,+1:27,,100.0,Geschke Simon,71.0,Team Giant - Alpecin,",, 1:27",+1:23,,,2,2016,▲29
22.0,75.0,72.0,+1:36,,11.0,Enger Sondre Holst,72.0,IAM Cycling,1:36 1:36,+1:32,,,2,2016,▼61
29.0,103.0,73.0,+1:36,,154.0,Boasson Hagen Edvald,73.0,Team Dimension Data,",, 1:36",+1:32,,,2,2016,▲81
35.0,62.0,74.0,+1:42,,85.0,Cancellara Fabian,74.0,Trek - Segafredo,1:42 1:42,+1:38,,,2,2016,▲11
31.0,101.0,75.0,+1:49,,1.0,Cavendish Mark,75.0,Team Dimension Data,1:49 1:49,+1:55,,,2,2016,▼74
25.0,68.0,76.0,+1:53,,5.0,Theuns Edward,76.0,Trek - Segafredo,1:53 1:53,+1:49,,,2,2016,▼71
25.0,78.0,77.0,+1:53,,47.0,Naesen Oliver,77.0,IAM Cycling,",, 1:53",+1:49,,,2,2016,▼30
35.0,202.0,78.0,+1:53,,93.0,Albasini Michael,78.0,ORICA-BikeExchange,",, 1:53",+1:49,,,2,2016,▲15
22.0,158.0,79.0,+1:53,,102.0,Pibernik Luka,79.0,Lampre - Merida,",, 1:53",+1:49,,,2,2016,▲23
29.0,127.0,80.0,+1:53,,132.0,Roux Anthony,80.0,FDJ,",, 1:53",+1:49,,,2,2016,▲52
31.0,91.0,81.0,+1:59,,40.0,Porte Richie,81.0,BMC Racing Team,1:59 1:59,+1:55,,,2,2016,▼41
30.0,76.0,82.0,+1:59,,52.0,Hollenstein Reto,82.0,IAM Cycling,",, 1:59",+1:55,,,2,2016,▼30
27.0,57.0,83.0,+1:59,,71.0,Vanmarcke Sep,83.0,Team LottoNL-Jumbo,",, 1:59",+1:55,,,2,2016,▼12
28.0,45.0,84.0,+1:59,,119.0,Gastauer Ben,84.0,AG2R La Mondiale,",, 1:59",+1:55,,,2,2016,▲35
33.0,48.0,85.0,+1:59,,149.0,Pozzovivo Domenico,85.0,AG2R La Mondiale,",, 1:59",+1:55,,,2,2016,▲64
27.0,106.0,86.0,+2:20,,148.0,Janse van Rensburg Reinardt,86.0,Team Dimension Data,2:20 2:20,+2:16,,,2,2016,▲62
28.0,94.0,87.0,+2:24,,136.0,Caruso Damiano,87.0,BMC Racing Team,2:24 2:24,+2:20,,,2,2016,▲49
33.0,72.0,88.0,+2:38,,104.0,Clement Stef,88.0,IAM Cycling,2:38 2:38,+2:34,,,2,2016,▲16
32.0,24.0,89.0,+2:43,,41.0,Grivko Andrey,89.0,Astana Pro Team,2:43 2:43,+2:39,,,2,2016,▼48
23.0,196.0,90.0,+3:06,,6.0,Laporte Christophe,90.0,"Cofidis, Solutions Crédits",3:06 3:06,+3:02,,,2,2016,▼84
31.0,82.0,91.0,+3:06,,22.0,Breschel Matti,91.0,Cannondale-Drapac Pro Cycling Team,",, 3:06",+3:02,,,2,2016,▼69
36.0,64.0,92.0,+3:06,,18.0,Rast Grégory,92.0,Trek - Segafredo,",, 3:06",+3:02,,,2,2016,▼74
27.0,19.0,93.0,+3:06,,29.0,Oliveira Nelson,93.0,Movistar Team,",, 3:06",+3:02,,,2,2016,▼64
36.0,63.0,94.0,+3:06,,34.0,Irizar Markel,94.0,Trek - Segafredo,",, 3:06",+3:02,,,2,2016,▼60
32.0,55.0,95.0,+3:06,,37.0,Martens Paul,95.0,Team LottoNL-Jumbo,",, 3:06",+3:02,,,2,2016,▼58
24.0,39.0,96.0,+3:06,,42.0,Valgren Michael,96.0,Tinkoff,",, 3:06",+3:02,,,2,2016,▼54
27.0,215.0,97.0,+3:06,,45.0,Fonseca Armindo,97.0,Fortuneo - Vital Concept,",, 3:06",+3:02,,,2,2016,▼52
31.0,205.0,98.0,+3:06,,48.0,Impey Daryl,98.0,ORICA-BikeExchange,",, 3:06",+3:02,,,2,2016,▼50
28.0,16.0,99.0,+3:06,,75.0,Izagirre Gorka,99.0,Movistar Team,",, 3:06",+3:02,,,2,2016,▼24
35.0,3.0,100.0,+3:06,,84.0,Kiryienka Vasil,100.0,Team Sky,",, 3:06",+3:02,,,2,2016,▼16
31.0,168.0,101.0,+3:06,,94.0,Roelandts Jürgen,101.0,Lotto Soudal,",, 3:06",+3:02,,,2,2016,▼7
34.0,122.0,102.0,+3:06,,134.0,Bonnet William,102.0,FDJ,",, 3:06",+3:02,,,2,2016,▲32
28.0,6.0,103.0,+3:32,,182.0,Poels Wout,103.0,Team Sky,3:32 3:32,+1:55,,,2,2016,▲79
28.0,87.0,104.0,+3:33,,65.0,Navardauskas Ramūnas,104.0,Cannondale-Drapac Pro Cycling Team,3:33 3:33,+3:29,,,2,2016,▼39
31.0,86.0,105.0,+3:33,,138.0,Langeveld Sebastian,105.0,Cannondale-Drapac Pro Cycling Team,",, 3:33",+3:29,,,2,2016,▲33
38.0,29.0,106.0,+3:38,,89.0,Tiralongo Paolo,106.0,Astana Pro Team,3:38 3:38,+3:34,,,2,2016,▼17
23.0,188.0,107.0,+3:44,,151.0,Vakoč Petr,107.0,Etixx - Quick Step,3:44 3:44,+3:40,,,2,2016,▲44
33.0,197.0,108.0,+4:01,,36.0,Lemoine Cyril,108.0,"Cofidis, Solutions Crédits",4:01 4:01,+3:57,,,2,2016,▼72
38.0,204.0,109.0,+4:05,,92.0,Hayman Mathew,109.0,ORICA-BikeExchange,4:05 4:05,+4:01,,,2,2016,▼17
25.0,203.0,110.0,+4:05,,125.0,Durbridge Luke,110.0,ORICA-BikeExchange,",, 4:05",+4:01,,,2,2016,▲15
28.0,199.0,111.0,+4:30,,60.0,Soupe Geoffrey,111.0,"Cofidis, Solutions Crédits",4:30 4:30,+4:26,,,2,2016,▼51
34.0,96.0,112.0,+4:30,,130.0,Moinard Amaël,112.0,BMC Racing Team,",, 4:30",+4:26,,,2,2016,▲18
29.0,73.0,113.0,+4:30,,153.0,Coppel Jérôme,113.0,IAM Cycling,",, 4:30",+4:26,,,2,2016,▲40
31.0,23.0,114.0,+4:39,,179.0,Fuglsang Jakob,114.0,Astana Pro Team,4:39 4:39,+3:02,,,2,2016,▲65
27.0,17.0,115.0,+4:41,,193.0,Izagirre Ion,115.0,Movistar Team,4:41 4:41,+1:49,,,2,2016,▲78
28.0,144.0,116.0,+5:00,,8.0,Kristoff Alexander,116.0,Team Katusha,5:00 5:00,+4:56,,,2,2016,▼108
26.0,164.0,117.0,+5:00,,17.0,Debusschere Jens,117.0,Lotto Soudal,",, 5:00",+4:56,,,2,2016,▼100
33.0,93.0,118.0,+5:00,,38.0,Burghardt Marcus,118.0,BMC Racing Team,",, 5:00",+4:56,,,2,2016,▼80
36.0,112.0,119.0,+5:00,,39.0,Curvers Roy,119.0,Team Giant - Alpecin,",, 5:00",+4:56,,,2,2016,▼80
27.0,54.0,120.0,+5:00,,69.0,Lindeman Bert-Jan,120.0,Team LottoNL-Jumbo,",, 5:00",+4:56,,,2,2016,▼51
27.0,13.0,121.0,+5:00,,141.0,Anacona Winner,121.0,Movistar Team,",, 5:00",+4:56,,,2,2016,▲20
32.0,191.0,122.0,+5:00,,135.0,Navarro Daniel,122.0,"Cofidis, Solutions Crédits",",, 5:00",+4:56,,,2,2016,▲13
32.0,153.0,123.0,+5:00,,142.0,Bono Matteo,123.0,Lampre - Merida,",, 5:00",+4:56,,,2,2016,▲19
31.0,185.0,124.0,+5:00,,159.0,Martin Tony,124.0,Etixx - Quick Step,",, 5:00",+4:56,,,2,2016,▲35
28.0,194.0,125.0,+5:17,,185.0,Edet Nicolas,125.0,"Cofidis, Solutions Crédits",5:17 5:17,+3:02,,,2,2016,▲60
31.0,123.0,126.0,+5:27,,188.0,Ladagnous Matthieu,126.0,FDJ,5:27 5:27,+3:02,,,2,2016,▲62
30.0,139.0,127.0,+5:41,,187.0,Voss Paul,127.0,Bora - Argon 18,5:41 5:41,+3:17,,,2,2016,▲60
39.0,148.0,128.0,+5:59,,165.0,Vicioso Ángel,128.0,Team Katusha,5:59 5:59,+5:55,,,2,2016,▲37
26.0,213.0,129.0,+6:03,,184.0,Delaplace Anthony,129.0,Fortuneo - Vital Concept,6:03 6:03,+4:26,,,2,2016,▲55
26.0,212.0,130.0,+6:07,,143.0,Breen Vegard,130.0,Fortuneo - Vital Concept,6:07 6:07,+6:03,,,2,2016,▲13
29.0,97.0,131.0,+6:10,,66.0,Schär Michael,131.0,BMC Racing Team,6:10 6:10,+6:06,,,2,2016,▼65
25.0,178.0,132.0,+6:10,,196.0,Tulik Angelo,132.0,Direct Energie,",, 6:10",+2:01,,,2,2016,▲64
26.0,189.0,133.0,+6:30,,194.0,Vermote Julien,133.0,Etixx - Quick Step,6:30 6:30,+3:19,,,2,2016,▲61
28.0,181.0,134.0,+6:59,,2.0,Kittel Marcel,134.0,Etixx - Quick Step,6:59 6:59,+7:01,,,2,2016,▼132
27.0,113.0,135.0,+7:05,,15.0,Degenkolb John,135.0,Team Giant - Alpecin,7:05 7:05,+7:01,,,2,2016,▼120
31.0,119.0,136.0,+7:05,,19.0,Timmer Albert,136.0,Team Giant - Alpecin,",, 7:05",+7:01,,,2,2016,▼117
27.0,117.0,137.0,+7:05,,21.0,Sinkeldam Ramon,137.0,Team Giant - Alpecin,",, 7:05",+7:01,,,2,2016,▼116
24.0,216.0,138.0,+7:05,,9.0,McLay Daniel,138.0,Fortuneo - Vital Concept,",, 7:05",+7:01,,,2,2016,▼129
33.0,108.0,139.0,+7:05,,16.0,Renshaw Mark,139.0,Team Dimension Data,",, 7:05",+7:01,,,2,2016,▼123
33.0,58.0,140.0,+7:05,,31.0,Wagner Robert,140.0,Team LottoNL-Jumbo,",, 7:05",+7:01,,,2,2016,▼109
31.0,34.0,141.0,+7:05,,28.0,Gatto Oscar,141.0,Tinkoff,",, 7:05",+7:01,,,2,2016,▼113
31.0,187.0,142.0,+7:05,,58.0,Sabatini Fabio,142.0,Etixx - Quick Step,",, 7:05",+7:01,,,2,2016,▼84
31.0,219.0,143.0,+7:05,,57.0,Vachon Florian,143.0,Fortuneo - Vital Concept,",, 7:05",+7:01,,,2,2016,▼86
29.0,85.0,144.0,+7:05,,79.0,Koren Kristijan,144.0,Cannondale-Drapac Pro Cycling Team,",, 7:05",+7:01,,,2,2016,▼65
24.0,173.0,145.0,+7:05,,70.0,Duchesne Antoine,145.0,Direct Energie,",, 7:05",+7:01,,,2,2016,▼75
42.0,38.0,146.0,+7:05,,88.0,Tosatto Matteo,146.0,Tinkoff,",, 7:05",+7:01,,,2,2016,▼58
35.0,192.0,147.0,+7:05,,80.0,Božič Borut,147.0,"Cofidis, Solutions Crédits",",, 7:05",+7:01,,,2,2016,▼67
35.0,174.0,148.0,+7:05,,78.0,Gène Yohann,148.0,Direct Energie,",, 7:05",+7:01,,,2,2016,▼70
31.0,125.0,149.0,+7:05,,115.0,Pineau Cédric,149.0,FDJ,",, 7:05",+7:01,,,2,2016,▼34
31.0,33.0,150.0,+7:05,,97.0,Bodnar Maciej,150.0,Tinkoff,",, 7:05",+7:01,,,2,2016,▼53
31.0,218.0,151.0,+7:05,,120.0,Sørensen Chris Anker,151.0,Fortuneo - Vital Concept,",, 7:05",+7:01,,,2,2016,▼31
33.0,128.0,152.0,+7:05,,133.0,Roy Jérémy,152.0,FDJ,",, 7:05",+7:01,,,2,2016,▼19
31.0,152.0,153.0,+7:05,,117.0,Arashiro Yukiya,153.0,Lampre - Merida,",, 7:05",+7:01,,,2,2016,▼36
35.0,136.0,154.0,+7:05,,124.0,Huzarski Bartosz,154.0,Bora - Argon 18,",, 7:05",+7:01,,,2,2016,▼30
28.0,155.0,155.0,+7:05,,137.0,Đurasek Kristijan,155.0,Lampre - Merida,",, 7:05",+7:01,,,2,2016,▼18
35.0,166.0,156.0,+7:05,,146.0,Hansen Adam,156.0,Lotto Soudal,",, 7:05",+7:01,,,2,2016,▼10
34.0,59.0,157.0,+7:05,,152.0,Wynants Maarten,157.0,Team LottoNL-Jumbo,",, 7:05",+7:01,,,2,2016,▼5
26.0,52.0,158.0,+7:05,,144.0,Bennett George,158.0,Team LottoNL-Jumbo,",, 7:05",+7:01,,,2,2016,▼14
31.0,133.0,159.0,+7:05,,162.0,Bárta Jan,159.0,Bora - Argon 18,",, 7:05",+7:01,,,2,2016,▲3
33.0,183.0,160.0,+7:05,,170.0,Keisse Iljo,160.0,Etixx - Quick Step,",, 7:05",+7:01,,,2,2016,▲10
25.0,143.0,161.0,+7:05,,176.0,Haller Marco,161.0,Team Katusha,",, 7:05",+7:01,,,2,2016,▲15
37.0,179.0,162.0,+8:27,,177.0,Voeckler Thomas,162.0,Direct Energie,8:27 8:27,+7:01,,,2,2016,▲15
33.0,161.0,163.0,+8:29,,4.0,Greipel André,163.0,Lotto Soudal,8:29 8:29,+8:25,,,2,2016,▼159
39.0,167.0,164.0,+8:29,,10.0,Henderson Gregory,164.0,Lotto Soudal,",, 8:29",+8:25,,,2,2016,▼154
23.0,53.0,165.0,+8:29,,23.0,Groenewegen Dylan,165.0,Team LottoNL-Jumbo,",, 8:29",+8:25,,,2,2016,▼142
32.0,14.0,166.0,+8:29,,26.0,Erviti Imanol,166.0,Movistar Team,",, 8:29",+8:25,,,2,2016,▼140
26.0,154.0,167.0,+8:29,,61.0,Cimolai Davide,167.0,Lampre - Merida,",, 8:29",+8:25,,,2,2016,▼106
37.0,74.0,168.0,+8:29,,67.0,Elmiger Martin,168.0,IAM Cycling,",, 8:29",+8:25,,,2,2016,▼101
34.0,169.0,169.0,+8:29,,95.0,Sieberg Marcel,169.0,Lotto Soudal,",, 8:29",+8:25,,,2,2016,▼74
27.0,27.0,170.0,+8:29,,106.0,Rosa Diego,170.0,Astana Pro Team,",, 8:29",+8:25,,,2,2016,▼64
23.0,47.0,171.0,+8:29,,118.0,Gougeard Alexis,171.0,AG2R La Mondiale,",, 8:29",+8:25,,,2,2016,▼53
29.0,8.0,172.0,+8:29,,105.0,Stannard Ian,172.0,Team Sky,",, 8:29",+8:25,,,2,2016,▼67
28.0,142.0,173.0,+8:29,,121.0,Guarnieri Jacopo,173.0,Team Katusha,",, 8:29",+8:25,,,2,2016,▼52
25.0,176.0,174.0,+8:29,,140.0,Petit Adrien,174.0,Direct Energie,",, 8:29",+8:25,,,2,2016,▼34
28.0,84.0,175.0,+8:29,,127.0,Howes Alex,175.0,Cannondale-Drapac Pro Cycling Team,",, 8:29",+8:25,,,2,2016,▼48
25.0,102.0,176.0,+8:29,,128.0,Berhane Natnael,176.0,Team Dimension Data,",, 8:29",+8:25,,,2,2016,▼48
35.0,104.0,177.0,+8:29,,147.0,Cummings Steve,177.0,Team Dimension Data,",, 8:29",+8:25,,,2,2016,▼30
23.0,26.0,178.0,+8:29,,157.0,Lutsenko Alexey,178.0,Astana Pro Team,",, 8:29",+8:25,,,2,2016,▼21
27.0,109.0,179.0,+8:29,,155.0,Teklehaimanot Daniel,179.0,Team Dimension Data,",, 8:29",+8:25,,,2,2016,▼24
32.0,138.0,180.0,+8:29,,163.0,Schillinger Andreas,180.0,Bora - Argon 18,",, 8:29",+8:25,,,2,2016,▼17
35.0,105.0,181.0,+8:29,,166.0,Eisel Bernhard,181.0,Team Dimension Data,",, 8:29",+8:25,,,2,2016,▼15
26.0,7.0,182.0,+8:29,,169.0,Rowe Luke,182.0,Team Sky,",, 8:29",+8:25,,,2,2016,▼13
27.0,193.0,183.0,+8:32,,195.0,Cousin Jérôme,183.0,"Cofidis, Solutions Crédits",8:32 8:32,+4:56,,,2,2016,▲12
24.0,156.0,184.0,+8:38,,183.0,Grmay Tsgabu,184.0,Lampre - Merida,8:38 8:38,+7:01,,,2,2016,▼1
26.0,206.0,185.0,+8:38,,180.0,Juul-Jensen Christopher,185.0,ORICA-BikeExchange,",, 8:38",+7:01,,,2,2016,▼5
29.0,163.0,186.0,+8:47,,186.0,De Gendt Thomas,186.0,Lotto Soudal,8:47 8:47,+6:25,,,2,2016,-
32.0,92.0,187.0,+8:58,,189.0,Bookwalter Brent,187.0,BMC Racing Team,8:58 8:58,+6:06,,,2,2016,▲2
26.0,37.0,188.0,+9:53,,192.0,Majka Rafał,188.0,Tinkoff,9:53 9:53,+7:01,,,2,2016,▲4
28.0,134.0,189.0,+10:01,,156.0,Benedetti Cesare,189.0,Bora - Argon 18,10:01 10:01,+9:57,,,2,2016,▼33
24.0,89.0,190.0,+10:02,,181.0,van Baarle Dylan,190.0,Cannondale-Drapac Pro Cycling Team,10:02 10:02,+8:25,,,2,2016,▼9
36.0,208.0,191.0,+10:02,,178.0,Plaza Rubén,191.0,ORICA-BikeExchange,",, 10:02",+8:25,,,2,2016,▼13
26.0,77.0,192.0,+11:17,,191.0,Howard Leigh,192.0,IAM Cycling,11:17 11:17,+8:25,,,2,2016,▼1
26.0,95.0,193.0,+11:17,,190.0,Dennis Rohan,193.0,BMC Racing Team,",, 11:17",+8:25,,,2,2016,▼3
23.0,56.0,194.0,+11:38,,198.0,Roosen Timo,194.0,Team LottoNL-Jumbo,11:38 11:38,+7:01,,,2,2016,▲4
36.0,162.0,195.0,+13:02,,197.0,Bak Lars Ytting,195.0,Lotto Soudal,13:02 13:02,+8:25,,,2,2016,▲2
27.0,132.0,196.0,+13:53,,173.0,Archbold Shane,196.0,Bora - Argon 18,13:53 13:53,+13:49,,,2,2016,▼23
31.0,146.0,197.0,+13:53,,175.0,Mørkøv Michael,197.0,Team Katusha,",, 13:53",+13:49,,,2,2016,▼22
25.0,135.0,198.0,+16:37,,172.0,Bennett Sam,198.0,Bora - Argon 18,16:37 16:37,+16:33,,,2,2016,▼26
26.0,32.0,1.0,+0:00,,1.0,Sagan Peter,1.0,Tinkoff,14:34:36 14:34:36,+0:00,25.0,,3,2016,-
24.0,182.0,2.0,+0:08,,2.0,Alaphilippe Julian,2.0,Etixx - Quick Step,0:08 0:08,+0:00,,,3,2016,-
36.0,12.0,3.0,+0:10,,3.0,Valverde Alejandro,3.0,Movistar Team,0:10 0:10,+0:00,,,3,2016,-
31.0,1.0,4.0,+0:14,,5.0,Froome Chris,4.0,Team Sky,0:14 0:14,+0:00,,,3,2016,▲1
